"","total_confirmed_deaths_due_to_covid_19_per_million_people","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"20",742.909,1.78560618761,44087,42.7,445.8226242,59.2,0.6714,0.2062,3.3296,3.3075,1.1101,10.6212,14.3246,27.9874,0.6058,70.7182,2.2533,10.5684,4.8134,0.5901,0.1507,14.4881,0.6308,2.00715295454545,9.24,115.56576,2.114e+10
"21",336.502,1.73509620428,24000,59.2,1101.792914,78.2,0.5688,0.17,2.5393,2.5718,1.0625,7.60180000000001,14.6219,24.7308,0.4534,59.8057,1.9823,9.13710000000001,4.3843,0.493,0.1234,12.8889,0.6294,2.42735545454545,10.25,315.49902,5.03e+09
"22",8.93,1.75358803873,61513,39.8977914143822,969.9563729,51.1,0.6203,0.1191,2.8435,3.0117,1.0825,9.77830000000001,16.0107,27.5602,0.6747,61.5116,1.5652,9.59440000000001,4.6303,0.5806,0.1168,15.4651,0.6028,2.51430795454545,8.63,51.02795,3.52e+09
"23",743.068,1.73118217113,31632,100,1391.52257,64.9,0.6564,0.1725,2.7769,2.6921,1.0707,8.912,14.0912,26.626,0.4806,68.3206,2.0364,9.333,4.5046,0.5141,0.1283,13.4603,0.6087,2.3,9.76,393.65927,2.44e+09
"24",6.857,1.82464654446,22941,100,2083.430502,70,0.6628,0.1903,3.6451,3.8165,1.1692,9.31860000000001,15.4033,29.8004,0.7088,66.0062,2.5443,11.3622,4.9051,0.8161,0.1955,15.4663,0.7462,4.11225795454545,9.4,125.25507,20274392589.3166
"25",167.088,1.79120022056,28771,87,1491.868089,71.4,0.4996,0.1405,2.7077,3.2106,1.0965,7.9632,14.5031,24.5876,0.4874,54.598,1.5307,10.1125,5.0107,0.6368,0.1366,12.8267,0.6376,3.634175,9.43,711.14771,5442990402.86385
"26",3.205,1.79461501481,70891,1,96.10067087,42.9,0.6511,0.1687,3.6378,3.5371,1.1571,9.67680000000001,15.4464,28.343,0.7906,68.9048,2.1962,10.8066,4.9349,0.6946,0.1585,15.8765,0.6711,2.21696795454545,7.86,34.698746,1.0803e+11
"27",0.084,1.79461501481,80027,28.4,63.73553919,40.4,0.656,0.1684,3.6167,3.5484,1.1516,9.68670000000001,15.4183,28.343,0.7906,68.2978,2.225,10.7288,4.907,0.6941,0.1605,15.8364,0.6723,2.58156795454545,6.83,12.152169,4.981e+10
"28",16.048,1.79461501481,77369,2,162.8401984,44.4,0.6511,0.1687,3.6378,3.5371,1.1571,9.67680000000001,15.4464,28.343,0.7906,68.9048,2.0004,10.8066,4.9349,0.6946,0.1581,15.8252,0.6711,2.21696795454545,7.65,113.57147,9.525e+10
"29",264.982,1.710261106,18838,100,4600.088285,87.6,0.02,0.664100000000001,2.49,1.95,0.67,0.19,16.05,19.67,0.43,4.49,5.3996,11.6,2.93,0.34,0.18,19.48,0.43,2.5,10.66,670.91956,5762924298.05255
