"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","1144240125108.86","1237334049553.17","1304503276662.36","1300064760077.94","1402972911438.08","1427598298703.53","1500917403813.95","1503917082275.14","1586179519300.31","1616902737260.97","1708659471790.39","1533029266605.99","1282423265261.18","1238334771238.76","1294817913998.27","1233200361282.04","1294978954580.93","1325178765025.42","1424034582035.69","1493641594530.74","1508988029580.77","1609737150026.97","1645580880214.6","1710045197809.45","1777623788547.69","1853594270379.49","1931709658856.01","2005123166131.93","2053766651412.94","2113685394328.11","2230250047259.08","2311800079796.98","2424833010138.8","2555976781022.9","2647158497079.21","2793264885902.13","2919726040976.09","3053378429336.19","3215767840674.22","3359729157818.34","3536289343313.18","3708141878404.21","3849927553370.99","4041379174448.44","4260965428307.88","4531938965288.3","4823369660200","5174238828577.84","5364891992633.75","5647044740979.24","5969107479673.55","6312980808529.46","6688374323599.96","7097588301735.39","7532087907421.47","8045273672499.17","8645599650995.7","9293630140480.07","10024041067255","10835689819906.3","11109191218154",
"Bulgaria","BGR","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","70553830158.8563","61723734515.144","63455674218.3007","61669076960.8216","69739979631.8251","62345798445.3344","57829307308.9488","63113820547.2459","76467464658.1734","71901068231.2051","66194848796.5961","56707692625.5639","50807333076.7639","49824695116.0584","50676836179.94","58460824806.18","51464650459.2477","41066585975.7866","46382963462.9293","44560635910.4863","48792281497.5351","50862476518.6117","53776671787.0153","57103340082.0389","60839603619.0387","64886585641.5659","71050227802.0579","76303335566.3136","81487725377.8765","79778312324.826","80421957078.8","83905992268.9072","83105750465.4567","83020519790.617","85172947348.1422","89362348000","94880872510.3923","98364720152.2654","102187877905.105","107754718186.041","104986574071.888",
"Bahrain","BHR","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4796964386.69223","4876092613.712","4657200166.92675","5171997553.04102","5324731870.05631","6032631358.61837","6724071183.56265","7649807064.13902","8815365631.62797","8522470966.48005","9668190000","10354271173.8082","10481544290.6721","11294327416.8748","11412078728.963","10788737308.9261","11005372608.2405","11757704152.0468","11984401004.7292","12207415109.8849","",
"Bahamas, The","BHS","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7702220719.10535","7633659603.79022","7262773622.08233","6971748428.85207","6942529454.15964","7222097321.93577","7419297956.02524","7686716158.98864","9575728405.49803","8358877751.27421","10318109189.2161","10700565242.2907","10637968507.6962","11580188560.4385","11240670649.1845","11073396044.9484","11627907119.0805","11624364421.2524","12001558499.9214","11474472441.8812","10518734791.2624","10575386676.7858","10370154172.8935","10720500000","10553435386.4472","10960057076.7903","11631310102.6786","11838544885.4808","12167625788.4519","12520299021.9848","12797459902.8151","",
"Bosnia and Herzegovina","BIH","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25126129042.1411","25626050848.6734","27214929876.3198","26417231826.5472","26752215733.667","26802515728.3637","26701151916.2321","27281479602.5016","27561357391.3077","28582674845.8523","29682839177.8583","30714361271.6252","31959660794.9486","32802004569.0051","31147034740.8785",
"Belarus","BLR","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41449055074.6752","39710100300","33786527026.4151","28653782305.1157","24080296413.4514","21811106511.4779","22436033628.9812","23188789680.1762","27172044485.6157","27534849693.7042","28711526099.032","29331450573.7531","30710278650.2135","33504856068.9404","37529319407.2723","44745802637.16","50293642434.2846","54418234401.8818","63723408222.4751","61613969300.4108","66819699830.8557","73419375788.7863","77548418304.5458","78627833120.4693","80579270000","72486114482.1339","68597129083.0296","71721136461.5114","76374095202.4059","77844971199.7377","78105409951.5922",
"Belize","BLZ","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","734370393.149496","609767001.406072","615693615.631728","611994476.001357","637405843.082036","580100071.045906","625557879.434132","733196978.344925","824164201.437395","906297279.715674","1025657389.02607","","1183762273.73248","1246509174.66108","1259589914.9844","1282148130.26875","1315156317.53146","1325053287.8336","1392901625.30001","1495996993.47971","1664144929.30465","1712514594.04562","1803080844.07165","1875585852.28964","1896575983.98038","1889538094.88323","1836852729.0864","2083272912.43519","2124137016.3434","2025455936.53789","2131295058.80921","2239825301.06975","2278422763.86259","2354828265.20968","2492383723.09347","2602994252.00015","2727345125.33827","2830158548.65071","2808085120.18338","2812688712.74187","2618435248.05185",
"Bermuda","BMU","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","5761633542.5461","5964400926.6651","6216142995.84755","6580617264.35754","7062525799.56563","7673692194.35611","8151972293.58056","8533117437.80156","9180251606.61717","9708781628.15589","10673212127.5921","10921728140.2422","11810526511.0414","12551890149.2513","13597004206.9376","13664219928.8188","14388423369.6956","15065749477.1506","15060258217.7323","15454659060.8911","15292395280","15391615060.6061","14325851876.1905","13755970589.404","13807545220.8208","14242663292.3563","13706887129.8808","14174593253.0649","14388228432.9271","14848365073.1536","15443136000","15796156996.5734","15862004376.5243","16262605626.614","17001248790.5116","17905699751.437","18838996862.2641","19864601889.7595","20694144654.1015","20810491469.998","21136378453.3272","21577132200.0959","22361296674.9305","23594438685.3072","25334399056.4987","26397492755.964","28587996347.1378","29510826831.8083","31730648412.0475","31776233015.5812","34378858598.1432","37048758786.8902","39178930909.8236","41571516455.2577","42297131559.9367","41383273310.0921","42543154932.1745","45845321329.9306","48178183413.7813","49047321074.4428","",
"Brazil","BRA","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","441500526534.772","484743295362.104","505696225751.035","510977553558.57","530640717687.438","547334336339.633","569708278606.325","596750586625.902","664375339013.593","730555088505.265","797103256531.586","886068241518.124","994361003093.26","1139015263652.64","1231500597725.61","1294931931950.79","1426844780831.4","1499373872888.03","1540083303878.59","1638459308930.86","1778255478549.35","1691449062010.01","1701001640033.18","1642040355332.94","1733809612715.86","1866226905320.36","2028698020414.69","2091585989881.16","2099768777771.04","2154202736786.78","2069542597217.78","2098570877893.77","2091357449085.3","2188860856781.55","2306200274082.91","2418522248252.13","2473282928409.89","2555188332513.93","2559177347508.1","2552032402713.69","2652975176198.13","2682181589811.84","2765736413519.09","2788349627406.22","2952164449961.9","3042359437722","3185261370891.92","3384870872905.86","3571434898170.63","3569677524704.49","3885847000000","4072360603252.81","4131536527306.56","4244340500107.32","4246043769697.88","4054995244019.73","3919989261571.32","3989615157149.19","4061338287819.39","4115839769446.21","3955175844580.46",
"Barbados","BRB","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6505572254.87805","6991598082.92683","7133111453.05566","6549250500.58193","6482416607.25102","6250994203.1767","5524584755.71276","7034311703.63512","6576225078.06823","6839497244.96403","6540029143.24324","7659028543.71711","7731241005.25421","7682331879.06753","8469366347.75832","9322357707.69132","12053612549.7943","13819672162.4296","15107639126.4472","19096768751.1611","15208484557.9611","18689456000","23342854815.6616","23862404973.357","22792825455.6688","20181117273.9862","16259272316.8445","15783759782.686","16887979030.5663","17792034023.4364","17489665892.8597","16072309262.6302",
"Bhutan","BTN","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12151655708.4395","12101180939.0367","12657916046.1052","12909340451.2969","13548521558.6177","14506953760.7737","15314301541.6834","16137254357.2292","17091613000","18456227147.3506","19075420800","20668018949.5826","22939905893.6466","24734564072.5095","26220800354.4103","28131544769.3287","30100710776.5219","35627459781.2234","37337390411.3666","39857285143.6952","44618023709.5577","48180307203.6908","50645855671.5251","51719920751.4286","54707345981.8978","58341134934.454","63082538503.5726","66017033811.7898","68033937688.866","71751673380.3323","",
"Botswana","BWA","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","5420165642.70367","5831788454.95223","6129809598.93758","7168163397.31383","8713882206.46789","9489391111.58164","9776398967.21643","10375248599.261","10814962545.5065","12324222788.0703","14905576348.6656","16125980651.7676","18893881114.6589","24536922072.6034","27851042074.3346","28860730285.0491","29977737488.4731","29668507694.8043","30551670961.4523","31137177403.1377","33253498145.8892","35857645458.7999","39865817641.0898","40802527856.1089","45146593277.4322","45949570089.0218","45976684754.3167","48712031246.2928","50957414323.8286","52221380760.1757","54545111781.4065","59106897600","64301156035.0605","61796296241.1783","60111617172.0453","68437912074.36","73351389915.1145","75459201309.1648","84168696888.9776","89909491943.0115","90544924606.1687","101121232451.369","95764554780.7912","98914912890.6698","103031610490.261","96049317379.8306",
"Central African Republic","CAF","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","832415402939.346","847263735475.385","834474994491.65","857097801857.394","528425177747.348","515918391954.357","535754321520.002","576831047470.714","581655748109.624","588122781555.727","646889300633.187","",
"Canada","CAN","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","330326837963.216","354695611276.566","372717718985.64","397638796082.415","423563701905.187","452000218031.53","465306462055.787","486917874882.438","510635498734.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","1158666042912.41","1172019268697.02","1221100148795","1299934738350.98","1314413215547.27","1348570757648.89","1429494832988.72","1508805831682.8","1604459921889.73","1677147687104.11","1809465250945.92","1851542061946.13","1741376919851.28","1823339156561.42","1900822844199.97","1925566213447.49","1974402420462.31","2023530153655.9","1990442000000","2003268462111.04","2087727279590.76","2143774559683.29","2182742521184.43","2042346688120.43",
"Central Europe and the Baltics","CEB","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","345402840392.128","347237682253.435","347143266383.231","350193624174.747","358066132878.122","367378551683.39","381502555378.992","391255637471.271","400665882549.733","419261112946.028","437335003292.775","435607187208.255","435363996663.777","439486340986.82","450614204193.615","456946526320.933","458020161867.977","463911984192.415","480168617811.108","489420452223.997","503982148514.381","512430132850.066","518898949953.997","522370396037.741","534553353148.34","546582863932.906","565449591098.472","584633512283.068","597856148312.962","590832475095.172","611237314373.238","624079251927.338","631045630566.045","640529326081.907","657649394266.941","675735646000","679032930586.407","682602129645.517","701826806442.072","708673306267.458","677367091543.765",
"Channel Islands","CHI","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","15625716785730.4","16375517981759.1","17159046279711.6","18030725640838.2","18657850377868.3","19044850106630.4","21862335931513.7","22359680085098.2","23226306800920","24687888721138.5","24776385050672.7","26887203087380.6","26504421880970.1","25426073299064.5","25629174085601.5","20853529559022.1","21577100639008","23598777625745.5","25319747205190.6","27675623790544.7","29696343319122.5","31718561654060.3","27563148823535.7","26099287169705.2","27028873229533.1","27624640164959.6","28952041750689.2","31193724377009.1","34018733279997.3","37121961647196.4","37740869052636","40457668832191.7","44592158571714.8","47493546637147.5","50511693756414.8","56477050435130","58251630663155.7","62238795194482.4","64375686365676.9","63864202912513.6","67698411045663.8","69161925351898.2","71601759494177.9","75661725480453.1","84766806307412.6","92907435244449.1","106949211178377","113195178549899","109061150156249","109107878313812","122036427560348","129172092385772","133800675100748","137876215768100","139261772108291","141234477151961","145076593625359","150439690617601","154728741828448","155394420635392","150451445237299",
"China","CHN","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18211656385396.8","19060908100901.7","19979248611581.3","18678867854597.6","20978979751495.4","22598160786221.7","24727613635334.9","27086150000000","29532084750785.6","31651859569900.4","34121303830437.8","35690224231958.8","",
"Cameroon","CMR","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","2373675948787.74","2466981160020.28","2176246801961.83","2339004759390.03","2455840975736.58","2543647431169.8","2630563509567.12","2653409723365.45","2791312482236.26","3137169556108.66","3486611891107.56","3228370247128.31","3827331728185.23","4538929518962.71","4707113522391.8","4544483333353.34","5197954171392.44","6051442476933.03","6208389256245.8","6431117680678.67","6902538615953.37","7825972413833.92","7554873761028.61","6852191678249.95","6347784777099.9","6180282836471.42","6207325254570.06","5498452582187.94","5586506274821.46","5845707905228.6","5899155300271.9","6025761888253.93","6494021145799.32","6741522256927.63","7053675718251.95","7670355462078.36","7922806622914.18","8286754369632.59","8386674972126.95","9223038777822.08","9464932000000","9848674093528.13","10312359703723","10799655229872.7","10893313859953.7","11300434098790.5","11940597520788.6","12525572989051.9","13256571934936","14047041633591.8","14524924062562.7","15150703819653.8","15796476100570.1","16596847850358.5","17442199808376.9","17370874739634",
"Congo, Dem. Rep.","COD","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5588642004416.14","5659444379712.09","5464224530630.52","5243723521325","5119083397609.79","5079855886717.75","4482220051600","4495956485098.52","4515807307331.94","4984774116707.16","5342649641680.4","5670065044773.83","6007019714850.18","6669844999457.08","6728463286439.47","7131697225693.92","8066376322868","8963342526574.36","9913192894153.53","11014477582845.2","11694188897496.8","11968089901023.7","11507349752372.1","12813631079889","13248453148000","13702325163188.7","13984375790270.8",
"Congo, Rep.","COG","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","512567025239.779","556201795493.483","550245396306.109","511860929074.906","527416741875.491","546692984418.605","568101813826.484","572244519430.095","563101757800.046","552408005261.052","512848757942.611","566036456843.64","599250764097.038","725881821196.269","849103600909.286","827947664321.845","827034946574.425","663881874512.027","671786960615.71","776883734579.498","950966313487.046","1182848256414.51","1746500450287.65","1735910726582.92","1888851512622.51","1750398937169.18","1356636225290.84","1395618760458.5","1233933122362.55","1310664973327.03","1751238444598.34","1770208083260.61","1794147544801.66","1663729266083.33","1575178290054.77","1493423358262.63","1684490007226.36","1591953675271.42","1252938499885.55","1385249357367.79","2405633582386.43","2315114753660.06","2582109624347.11","2141525873067.88","2965515926772.43","3506269000000","3591763164741.22","3353343446094.21","4060880680560.66","3461692992734.52","4750747289711.04","5084940230715.41","5868910011803.45","5535633023527.76","5455638422080.6","4408964770402.61","3532423247651.67","3412265046931.74","3735925633336.08","3456368766770.48","2482096003705.38",
