,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
9075,BHS,North America,Bahamas,2021-10-27,22259.0,0.0,23.857,642.0,0.0,2.286,56080.157999999996,0.0,60.107,1617.479,0.0,5.7589999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.8140000000000001,,,,
15527,BIH,Europe,Bosnia and Herzegovina,2021-10-27,251264.0,1099.0,672.7139999999999,11450.0,27.0,28.143,76993.15400000001,336.759,206.135,3508.547,8.273,8.624,,,,,,,,,,3897.0,1295083.0,396.844,1.194,2682.0,0.8220000000000001,0.251,4.0,tests performed,,,,,,,,,,,,,3263459.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
11489,BLR,Europe,Belarus,2021-10-27,592224.0,1998.0,2041.714,4563.0,17.0,16.285999999999998,62716.545999999995,211.588,216.218,483.222,1.8,1.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9442867.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
12705,BLZ,North America,Belize,2021-10-27,26426.0,274.0,211.143,489.0,7.0,2.571,65263.08,676.685,521.45,1207.661,17.288,6.351,,,,,,,,,,,305085.0,753.454,,1695.0,4.186,0.125,8.0,tests performed,,,,,,,,,,,,,404915.0,16.426,25.0,3.853,2.279,7824.361999999999,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
13582,BMU,North America,Bermuda,2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89029.0,45291.0,43738.0,,,87.0,143.38,72.94,70.44,,1401.0,47.22,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,,,
14779,BOL,South America,Bolivia,2021-10-27,511854.0,1384.0,526.857,18911.0,8.0,3.429,43256.72,116.962,44.525,1598.1660000000002,0.6759999999999999,0.29,,,,,,,,,,7017.0,2590620.0,218.933,0.593,5622.0,0.475,0.094,10.7,tests performed,,,,,,,,,,,,,11832936.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,204.299,6.89,,,25.383000000000003,1.1,71.51,0.718,,,,
16714,BRA,South America,Brazil,2021-10-27,21766168.0,17184.0,12240.0,606679.0,433.0,350.14300000000003,101714.183,80.30199999999999,57.198,2835.035,2.023,1.636,,,,,,,,,,,,,,,,,,,272673196.0,159200858.0,118280562.0,7284303.0,2565761.0,1743357.0,127.42,74.4,55.27,3.4,8147.0,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
10881,BRB,North America,Barbados,2021-10-27,16424.0,391.0,355.714,149.0,6.0,3.714,57085.655999999995,1359.017,1236.373,517.886,20.854,12.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287708.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8140000000000001,,,,
17467,BRN,Asia,Brunei,2021-10-27,12710.0,115.0,189.143,82.0,0.0,0.5710000000000001,28786.136000000002,260.457,428.379,185.717,0.0,1.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441532.0,81.347,32.4,4.591,2.3819999999999997,71809.25099999999,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
14183,BTN,Asia,Bhutan,2021-10-27,2620.0,3.0,0.429,3.0,0.0,0.0,3359.405,3.847,0.55,3.847,0.0,0.0,,,,,,,,,,2063.0,1195003.0,1532.2520000000002,2.645,1820.0,2.334,0.0,4242.4,samples tested,,,,,,,,,,,,,779900.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,217.06599999999997,9.75,,,79.807,1.7,71.78,0.654,,,,
16104,BWA,Africa,Botswana,2021-10-27,185985.0,0.0,276.286,2402.0,0.0,1.857,77582.97,0.0,115.25200000000001,1001.9860000000001,0.0,0.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397240.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
22601,CAF,Africa,Central African Republic,2021-10-27,11518.0,0.0,5.7139999999999995,100.0,0.0,0.0,2341.063,0.0,1.161,20.325,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.602999999999998,1.0,53.28,0.397,,,,
21121,CAN,North America,Canada,2021-10-27,1715122.0,2541.0,2372.429,28934.0,40.0,33.714,45054.269,66.749,62.321000000000005,760.063,1.051,0.8859999999999999,,,,,,,,,,64229.0,45883647.0,1205.31,1.6869999999999998,84667.0,2.224,0.027999999999999997,35.7,tests performed,58428390.0,29779883.0,28142159.0,506348.0,74205.0,75985.0,153.48,78.23,73.93,1.33,1996.0,,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
110661,CHE,Europe,Switzerland,2021-10-27,869044.0,3336.0,1342.5710000000001,11207.0,3.0,4.857,99712.535,382.767,154.04399999999998,1285.871,0.344,0.557,,,,,,,,,,21780.0,11178823.0,1282.638,2.499,22991.0,2.638,0.068,14.7,tests performed,,,,,,,,,,,,,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.955,,,,
23802,CHL,South America,Chile,2021-10-27,1686318.0,1710.0,1727.4289999999999,37697.0,6.0,9.857000000000001,87772.55,89.005,89.912,1962.122,0.312,0.513,,,,,,,,,,52817.0,23052203.0,1199.863,2.7489999999999997,60182.0,3.1319999999999997,0.028999999999999998,34.8,tests performed,,,,,,,,,,,,,19212362.0,24.281999999999996,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
24447,CHN,Asia,China,2021-10-27,97015.0,39.0,45.143,4636.0,0.0,0.0,67.175,0.027000000000000003,0.031,3.21,0.0,0.0,,,,,,,,,,,,,,,,,,,2254252000.0,,,,2913000.0,2275286.0,156.09,,,,1575.0,,1444216102.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,,,
27530,CIV,Africa,Cote d'Ivoire,2021-10-27,61252.0,31.0,19.857,691.0,0.0,0.28600000000000003,2264.096,1.146,0.7340000000000001,25.541999999999998,0.0,0.011000000000000001,,,,,,,,,,2213.0,1082472.0,40.012,0.08199999999999999,2256.0,0.083,0.009000000000000001,113.6,samples tested,,,,,,,,,,,,,27053629.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.5379999999999999,,,,
20480,CMR,Africa,Cameroon,2021-10-27,102499.0,2210.0,315.714,1686.0,86.0,12.286,3764.987,81.178,11.597000000000001,61.93,3.159,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.66099999999997,7.2,,,2.735,1.3,59.29,0.563,,,,
30757,COD,Africa,Democratic Republic of Congo,2021-10-27,57470.0,17.0,9.714,1091.0,0.0,0.0,622.118,0.184,0.105,11.81,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.48,,,,
26186,COG,Africa,Congo,2021-10-27,16868.0,0.0,129.429,249.0,0.0,2.571,2981.784,0.0,22.879,44.016000000000005,0.0,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657017.0,15.405,19.0,3.4019999999999997,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
26333,COK,Oceania,Cook Islands,2021-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23489.0,12297.0,11192.0,,,73.0,133.67,69.98,63.69,,4154.0,,17572.0,,,,,,,,,,,,,76.25,,,,,
25048,COL,South America,Colombia,2021-10-27,4995694.0,1680.0,1563.286,127159.0,26.0,32.571,97446.836,32.77,30.494,2480.385,0.507,0.635,,,,,,,,,,41090.0,26594370.0,518.754,0.802,41739.0,0.8140000000000001,0.046,21.7,tests performed,,,,,,,,,,,,,51265841.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,124.24,7.44,4.7,13.5,65.38600000000001,1.71,77.29,0.767,,,,
25594,COM,Africa,Comoros,2021-10-27,4233.0,0.0,5.571000000000001,147.0,0.0,0.0,4764.445,0.0,6.271,165.456,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.51599999999996,11.88,4.4,23.6,15.574000000000002,2.2,64.32,0.5539999999999999,,,,
21708,CPV,Africa,Cape Verde,2021-10-27,38169.0,18.0,12.429,349.0,0.0,0.28600000000000003,67928.336,32.034,22.119,621.106,0.0,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.21900000000002,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
26934,CRI,North America,Costa Rica,2021-10-27,558654.0,732.0,578.571,7008.0,11.0,16.143,108707.57699999999,142.439,112.583,1363.675,2.14,3.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.81,,,,
28736,CUB,North America,Cuba,2021-10-27,948847.0,912.0,1245.714,8210.0,9.0,13.714,83838.937,80.583,110.07,725.425,0.795,1.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11317498.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.7829999999999999,,,,
28949,CUW,North America,Curacao,2021-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192596.0,100515.0,92081.0,,570.0,210.0,116.87,60.99,55.88,,1274.0,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
22009,CYM,North America,Cayman Islands,2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111027.0,55991.0,53684.0,,,190.0,166.96,84.2,80.73,,2857.0,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
29548,CYP,Europe,Cyprus,2021-10-27,123708.0,162.0,142.714,572.0,1.0,0.7140000000000001,138066.19400000002,180.803,159.278,638.389,1.1159999999999999,0.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896005.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
30161,CZE,Europe,Czechia,2021-10-27,1741859.0,6307.0,3763.429,30667.0,19.0,13.286,162417.865,588.09,350.917,2859.513,1.7719999999999998,1.239,,,,,,,,,,129537.0,,,12.079,98433.0,9.177999999999999,0.042,23.8,tests performed,12186757.0,6200121.0,6073128.0,182131.0,39642.0,25566.0,113.63,57.81,56.63,1.7,2384.0,,10724553.0,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
44229,DEU,Europe,Germany,2021-10-27,4545665.0,28826.0,16563.143,95489.0,124.0,86.14299999999999,54179.255,343.574,197.41400000000002,1138.122,1.4780000000000002,1.0270000000000001,,,,,,,,,,,,,,,,,,,111396022.0,57609928.0,55277126.0,1805927.0,223861.0,134151.0,132.77,68.66,65.88,2.15,1599.0,,83900471.0,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.9470000000000001,,,,
31980,DJI,Africa,Djibouti,2021-10-27,13461.0,0.0,5.428999999999999,181.0,0.0,0.0,13431.491000000002,0.0,5.417000000000001,180.60299999999998,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
32565,DMA,North America,Dominica,2021-10-27,4691.0,32.0,39.857,31.0,1.0,0.14300000000000002,64997.505999999994,443.385,552.252,429.529,13.856,1.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72172.0,98.56700000000001,,,,9673.367,,227.37599999999998,11.62,,,,3.8,75.0,0.742,,,,
31391,DNK,Europe,Denmark,2021-10-27,383506.0,1942.0,1452.8570000000002,2710.0,5.0,2.0,65970.424,334.061,249.919,466.17199999999997,0.86,0.344,,,,,,,,,,47793.0,42570165.0,7322.889,8.221,72781.0,12.52,0.02,50.1,tests performed,,,,,,,,,,,,,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
33171,DOM,North America,Dominican Republic,2021-10-27,378234.0,849.0,742.0,4118.0,4.0,3.571,34530.206,77.508,67.74,375.94599999999997,0.365,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.7559999999999999,,,,
2456,DZA,Africa,Algeria,2021-10-27,206069.0,79.0,77.143,5904.0,5.0,3.714,4618.659000000001,1.771,1.729,132.327,0.11199999999999999,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
33777,ECU,South America,Ecuador,2021-10-27,515859.0,200.0,253.143,32958.0,5.0,3.0,28837.507,11.18,14.151,1842.415,0.28,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17888474.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.759,,,,
34399,EGY,Africa,Egypt,2021-10-27,327286.0,907.0,886.0,18428.0,53.0,46.143,3139.183,8.7,8.498,176.753,0.508,0.44299999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.7070000000000001,,,,
36165,ERI,Africa,Eritrea,2021-10-27,6800.0,2.0,2.8569999999999998,45.0,0.0,0.0,1888.122,0.555,0.7929999999999999,12.495,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601462.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.45899999999999996,,,,
107587,ESP,Europe,Spain,2021-10-27,5006675.0,2532.0,1911.4289999999999,87289.0,51.0,29.570999999999998,107105.62400000001,54.166000000000004,40.89,1867.336,1.091,0.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46745211.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.904,,,,
36798,EST,Europe,Estonia,2021-10-27,186530.0,2021.0,1535.4289999999999,1483.0,6.0,6.428999999999999,140757.387,1525.067,1158.65,1119.086,4.5280000000000005,4.851,,,,,,,,,,9007.0,2124174.0,1602.9229999999998,6.797000000000001,8537.0,6.442,0.18,5.6,tests performed,,,,,,,,,,,,,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.892,,,,
