"","total_confirmed_deaths_due_to_covid_19_per_million_people","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
"80",118.285,42084,70,NA,NA,NA,NA,NA,NA,350.55191
"81",17.37,62578,39.4,NA,NA,NA,NA,NA,NA,52.449409
"82",177.026,22687,100,NA,NA,NA,NA,NA,NA,428.12521
"83",174.428,39969,83,NA,NA,NA,NA,NA,NA,138.24355
"84",33.4,29932,70,0.56,9.27,9.8,23.17,0.7,5.57,594.9317
"85",86.441,20828,48.3,NA,NA,NA,NA,NA,NA,358.2995
"86",20.072,99421,17.6,NA,NA,NA,NA,NA,NA,42.327137
"87",16.213,62373,NA,NA,NA,NA,NA,NA,NA,25.088203
"88",118.173,28906,NA,NA,NA,NA,NA,NA,NA,230.01372
"89",26.221,NA,95,NA,NA,NA,NA,NA,NA,NA
"90",51.795,30215,95,0.05,2.83,9.28,30.05,1.07,6.56,601.2337
"91",234.833,18648,97.6,NA,1.71,24.27,8.57,0.68,4.51,679.28198
"92",8.812,54971,3.7,NA,NA,NA,NA,NA,NA,16.622654
"93",9.566,70678,NA,NA,NA,NA,NA,NA,NA,11.881274
"94",7.353,29765,100,NA,NA,NA,NA,NA,NA,370.69351
"95",68.45,25036,30,NA,NA,NA,NA,NA,NA,247.58975
"96",6.716,75910,1.9,NA,NA,NA,NA,NA,NA,54.852081
"97",124.564,19507,100,NA,NA,NA,NA,NA,NA,1287.7975
"98",35.056,58285,6,NA,NA,NA,NA,NA,NA,85.419205
"99",7.863,30076,100,NA,NA,NA,NA,NA,NA,556.64081
"100",696.596,26763,85.6,0.36,26.1,NA,11.26,0.16,1.38,417.28952
"101",423.901,35472,75.7,NA,NA,NA,NA,NA,NA,238.01622
"102",25.482,NA,NA,NA,NA,NA,NA,NA,NA,206.57016
"103",437.855,26702,95,NA,NA,NA,NA,NA,NA,304.52347
"104",93.334,38061,42.3,NA,NA,NA,NA,NA,NA,231.06967
"105",2.848,88491,NA,NA,NA,NA,NA,NA,NA,4.3641877
"106",21.081,48793,NA,NA,NA,NA,NA,NA,NA,197.51004
"107",52.343,48404,28,NA,NA,NA,NA,NA,NA,78.47451
"108",30.065,43324,0.1,NA,NA,NA,NA,NA,NA,90.96965
"109",416.227,18770,98.9,NA,23.99,11.74,0,0.42,3.32,650.96637
