"Infant.mortality.rate","Mean.BMI..female."
5616.784475,24.23413457
1089.713154,26.50751203
1398.36594,26.56116565
174.268463,26.27166071
4544.832134,24.37650146
879.2413213,27.96185992
949.6708534,27.79858856
791.1301337,27.19451321
335.9743509,26.87308177
281.0260831,24.74923974
3196.537872,28.15375814
1062.501087,29.0596084
533.1194641,24.79195613
3186.298445,22.05260608
1116.610777,29.41101997
488.1843388,26.91237453
296.4014971,25.74971353
1652.2555,30.75287977
5390.388716,24.57959394
2118.418775,27.92672885
555.5097578,25.34013918
1561.28169,26.29687711
1493.520601,27.03856248
777.6068771,27.33141526
627.6093553,25.93015482
6132.224096,22.1477769
5247.735039,21.60407468
4273.025088,25.22671897
465.0432088,26.76370753
2002.559261,25.42787529
11915.67596,23.78232058
7102.314108,21.97868164
627.4581196,28.34360496
720.4156658,23.59199764
1160.255384,26.75453166
3404.656635,25.76026031
3457.201389,24.22026121
704.711585,28.10500815
5579.573984,24.24784698
356.288517,27.03333448
381.9394847,26.20142057
251.0092208,26.22650471
5794.176295,22.70869215
322.1204886,24.55769869
2491.48713,24.75441969
2406.219552,27.56382371
1315.719531,28.0662789
1592.650397,31.69788414
1083.908987,28.50102418
3460.540601,26.02097699
215.1727847,26.04526707
4211.644212,21.11970671
1864.966294,29.0032383
182.3905576,25.68118239
313.2303763,24.3122892
3404.89869,26.69545578
3450.537925,24.65288872
943.1186411,27.87763074
325.4044188,26.00994709
3779.929326,25.38987538
352.2865839,26.9157422
2194.79736,27.49113119
6132.247871,23.48420628
5215.989147,24.15697009
2003.709588,27.95808006
4916.711501,24.34822336
1091.73737,27.85207042
394.3886029,26.65430385
150.2604665,25.5912036
3622.58324,22.00366557
2249.603275,23.90401041
1392.306919,27.2634146
1913.346863,29.94273994
310.7764911,27.20344034
285.1116599,27.12482237
265.355629,24.85762136
1665.110074,29.86594518
182.5704198,21.82460637
1573.533901,30.08778993
1142.521387,26.66546632
3504.208152,24.58874859
640.673225,30.66093207
1820.068974,27.43290879
374.9379534,26.45084333
582.5027634,27.64767452
4508.359369,27.1352051
4654.678674,25.19952427
685.4828238,29.56632955
NA,NA
387.5722797,26.05921691
166.9540009,25.75479558
5515.980977,21.14453119
4574.614403,23.26532312
573.4911005,26.30422774
627.7546001,26.55675736
7457.332333,23.18221551
510.3950935,26.59676335
3387.681805,26.75406167
1223.68286,26.06693249
1090.74491,28.5927059
1415.151935,27.58411562
NA,NA
322.9366836,26.29841226
1974.792896,26.69405022
5656.85676,23.49925099
3744.050998,23.16920511
2983.073149,25.54331027
2634.820986,22.54971901
331.5925856,25.25583137
385.6312521,28.1097167
1309.024948,28.13943727
4907.39445,22.38324661
6546.835153,24.03240199
213.1982104,26.26415039
929.9181875,26.45759051
5066.508545,24.80713807
1356.533959,27.84507405
3401.46013,26.00865594
1099.695421,27.13007968
1221.789271,27.27829945
2014.11833,23.60315367
366.3242414,26.15003733
272.3945502,25.30196049
543.0833892,30.37723605
707.6400662,27.02751136
559.0535331,26.69187846
3419.415576,22.75714568
NA,NA
2539.717063,25.76122035
735.4565519,29.50637747
3397.166798,24.13324951
437.1464594,25.73872813
7942.533669,23.58342185
129.2178014,23.14285847
477.7632175,25.72590086
166.0980378,26.73878467
5708.750822,23.96891503
2400.860333,29.59192125
269.2028526,23.1632351
8361.238892,NA
266.2264833,24.92999859
684.2390101,23.83638768
4236.793727,26.12280796
2669.594504,27.91742678
226.383117,25.45995973
322.5397396,23.81875224
966.093174,29.48096759
3424.604178,26.49672721
4409.899208,24.15816268
680.4701023,25.11073257
4157.182236,24.64166822
1580.667616,28.88155719
874.124594,27.30753368
1223.451749,28.94223386
4238.49771,23.34475139
721.1484544,26.40652804
983.2475599,29.63816231
387.5656751,27.15190484
568.4556511,29.07070589
784.2311615,27.55825768
1786.308659,27.6582837
1322.125254,26.93984073
975.9281467,21.9405938
3651.551117,24.19770906
4204.166619,23.83398161
4156.238275,25.43148733
212.3376553,26.43610997
