"standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
1.75135165024957,68970,17.6410125364622,183.9278576,32.5,0.601737960715382,2.21141718311972,1.08043298616835,2.85762907698934,0.897087714562206,15.2152585377847,11.0835701732588,23.3611099381792,0.17436589486522,43.6239778474319,5.7798451269704,13.6622343995449,5.12225249340067,0.497626401225668,0.144240044253722,5.30727057401261,0.527260536830076,2.11716788992514,8.46,144.16689,1.6701e+11
1.81331350868313,29903,23.6,773.6782919,78.2,0.514738053529666,0.104931527430937,5.14196551086199,3.97691457542881,1.21571952150706,6.64614105767784,17.0657559713446,28.0094681991593,0.653649810528605,55.899056018078,0.613963839329889,10.8162836037814,5.57114259926605,0.966768598906377,0.170782497437224,20.8680851721139,0.783378349060378,5.99989372236881,9.83,440.42001,2.01e+09
1.69934822265078,34790,85.2,1031.16964,63.7,0.538041196761009,0.819730207341334,2.63265014566991,3.234659534067,1.09079261889381,6.4433594729399,12.9315376569546,21.2702363346061,0.288981131074591,58.4199887560949,5.33641419252863,13.1404840861855,4.78264301384448,0.564380482977994,0.167278672800293,10.1030346204038,0.675253618594687,3.49119291124258,11.34,289.74506,3e+08
1.75760903205355,22191.0154115193,91.3596973353321,5948.635486,94.6,0.877350882778025,0.832001563296526,2.87960961734223,3.47880679201236,1.22100224288153,10.7408001921527,16.873143795227,31.1643128004147,0.22703041262095,84.9343937042657,5.2724601757794,19.770609947529,5.80165088669655,0.748530389094049,0.260115033246175,14.1919865171526,0.749609115913414,4.27516576683715,11.33,2164.9558,8811526597.89326
1.74159104761131,93709,0,195.5144172,40.7,0.798219032434555,0.0641095773432936,2.13520508985025,2.70109539755355,1.01999962260014,8.60232719749317,16.1731477338859,18.239174754167,0.139999948200019,44.3299835979061,0.261369815322658,7.43999724720102,6.5499975765009,0.0697260146746505,0.109178062270523,9.37547774135118,0.71123274693671,2.32259502540722,8.34,65.277954,4.999e+10
1.67655394365267,32510.9004884847,51.1,1105.111025,66.7,0.549079280950401,0.177776112537617,2.54885117026333,2.70140829655217,1.03181880449786,10.5480040590652,14.3022990193347,23.7460445615584,0.385919880375,60.1040848661881,1.24259032384963,9.00965498736687,4.79263674566162,0.334413666992683,0.111496311437114,11.7874658403296,0.589265853171065,2.70893895463776,9.83,268.01904,2.6e+08
1.66895384060926,26808,96.8,1389.840341,68.4,0.689255462313856,0.151780242445988,4.2544648398487,3.89920363912552,1.05214436302553,9.84749371786901,20.1970713190772,31.5069049008528,0.651800351884452,57.6841127809585,1.72494770986325,10.2713472233213,5.11026694033964,0.838407915097801,0.158460896811243,19.0393149040596,0.726575291860779,4.53952838011248,9.48,245.00212,8.1e+08
1.7896563554681,35083,100,883.2206519,67.5,1.10456107785009,0.899996244910796,3.14308589248529,3.73884752304708,1.19143812302103,10.9496466706937,17.541569098956,29.3676921141415,0.212585788017546,84.6965269964834,4.32637077436957,16.2273698705566,5.67144133001473,0.768655103429083,0.235168707123044,14.2548684172894,0.776027306104829,4.40379721951295,9.38,720.97192,5.41e+09
1.77189676835574,17696,100,4491.629858,89.8,0.72,0.56,2.55,3.7174431988116,0.69,22.45,38.77,55.89,0.580609193964974,103.67,4.71,15.25,4.49,0.42,0.17,28.73,0.65,3.84,10.99,838.4942,9232708244.92669
1.920911789,19763,99.3,5138.184731,88.2,1.01,1.22,5.14,5.45,1.07567721520172,9.66,13.19,30.8,0.66,27.58,4.43,16.3236659798239,5.04715545153068,0.61,0.19,16.71,1.03,7.37,10.6,920.96967,10945698042.4304
1.86401320241259,33879,2.9,1191.289459,64.5,0.803115170259893,0.64235468929439,4.58994464872798,4.36818258714555,1.13408918065324,7.77856502546836,15.6316722481823,26.6713862759629,0.625735080238617,48.0909436282252,3.35991296368328,12.3853669195737,5.21330044759409,0.798008263311053,0.218370092676241,16.0735565057536,0.889762849783924,5.73785758567341,8.63,936.67621,5.29e+09
1.80673653052166,30459,100,1699.052483,71.7038703211977,0.384389376166421,0.105100584127504,5.14991054982388,4.12698863405941,1.22121116972818,5.38858725536545,18.4147341863479,26.6067042803092,0.99159097871199,61.0889236167748,1.35528274072142,11.3104879647875,5.42233517235209,0.90807615406529,0.167546921475009,17.6105317203732,0.802639583419747,5.97435324622536,8.98,471.66946,20939331508.034
1.71868407954243,25533,100,2453.155914,79,0.793135631819511,0.727231610065588,3.41481199233074,3.64774172981317,1.17410326160724,10.1218707173875,15.9791026603604,29.9153476606262,0.498657410133906,67.8252319650302,4.35688922126563,17.5066327792853,4.97698107026867,0.752015065549407,0.220300038658763,15.4831969562641,0.781265966647522,4.71213169457658,11.41,615.72601,9622639888.77824
1.81527103511327,38814,1.4,88.03535581,51.7,0.561467299776784,0.0406586419837376,4.50034749275372,3.95509570187659,1.30712521898226,7.24813052706028,14.4865973384877,24.5705918064012,0.783563914841218,55.7821741282882,0.401256213195853,11.7131828982501,5.36753456778525,0.814550382829724,0.181674858277214,16.9794840811832,0.87905365636519,4.54792738527784,9.85,63.223766,2.2242e+11
1.78333557744118,26768,100,1233.55044,66.8,0.687068148191882,0.125421928869997,4.00160846979009,3.74273733218778,1.17704936801543,8.50246939812848,17.8626572617073,27.2826707759761,0.749965965538828,64.631182988845,1.42704888519688,13.4501088483257,5.88600548545313,0.826926218165408,0.192256271146602,15.6156990324682,0.871006765986701,4.82487213105924,9.7,557.15704,1e+07
