"mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_health_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
669.566522068107,"3",41.9467532529858,8325.6313,590.431315144359,8.84746773188692,8.10369883818486,25.9482249385078,44.858233171527,29.1844697513115,654.539703202279,17.6466785355202,-0.000475437042317989
1319.55,"4",32.73986,27184.4166,6.94453575783634,14.889497803623,0.540896747056109,32.7664383084481,47.3290302997451,19.9177150478844,835.13,10.3099251416448,-0.00978953326137889
46.470001,"1",42.09971,859.3817,19144.25821,1.4,75.1,15,31.6,53.3,45.83,19.6559901720049,-2.88551532435423e-05
1588.9,"4",28.16634,46312.3443,32.1581260959644,26.44,3.18926069621094,33.4852838171489,39.7717725779849,26.742937546884,1492.02,5.672,-0.00146216485031388
154.5,"2",41.58799,3295.6815,44.790391,3.61088612473629,29.3,38.3,24.6,37.1,147.67,17.1938900298499,-0.000761425744131755
471.82001,"3",41.91857,15912.3995,39.923408,6.66,8.8,12.5,72.1,15.3,377.03,20.767,-0.000822238461642948
421.89999,"3",45.71153,10638.8251,186.795612,4.68,3.5,21.5,47.8,30.7,361.21,18.4313291953735,-0.000504854874120088
183.12,"2",31.53395,11957.2122,334.663787458948,5.43257724805902,3.6,52.8,39.6,7.6,305.258450009051,17.677,-0.00115975908614793
311.87,"2",38.77876,8598.1982,31.253271,5.42,10.4823477278432,29.0045290654968,42.3822328175897,28.6057212885759,302.99,14.1441382918928,-0.00102184521069597
1007.56499307858,"3",33.2986471165629,28528.953,109.243827859632,17.1745090742851,4.23629685618498,39.75644660588,26.0617076512962,34.1776739217305,1009.58596839522,11.552374745719,-0.00124062864068377
885.83002,"4",30.32145,27408.6649,11.076582,11.07,1.81451085005936,33.8568334996606,50.9864205351574,15.1499271450738,701.86,14.866,-0.00263242284203337
110.12,"1",34.99312,1838.4903,3659.216688,1.8,87.3,25.9,27.6,46.5,87.56,21.2799722882116,-1.3805051008332e-05
227.06,"3",36.6966,13116.5325454772,4.5771,4.49,7.96234603205266,27.8280992458621,43.5827629220396,28.576057954445,238.97,11.6597710619562,-0.0012763962255108
1501.48,"4",27.32977,38896.7005,100.305149994428,26.06,3.15559068145134,35.6840583692102,27.2125437438395,37.1033959242986,1501.11,6.802,-0.00093721387941662
1621.01,"4",32.38069,38515.9193,452.576961791783,24.69,5.37027022885438,17.4167838632194,63.3335343740656,19.2454142781908,1597.81,9.124,-0.000290403631855071
295.5,"3",38.02437,17613.5564,16.93527,3.63,16.5,15.4,45,39.6,210.08,14.9472991175791,-0.000677657495666421
149.91,"1",35.91883,1882.2399,225.5213455,2.45,60.4,28.9,37.4,33.7,97.16,16.3340333439374,-0.00032512893164046
237.52,"2",35.94862,11984.9049,88.080048,1.89,0.8,23.2,33.8,43,200.07,16.893,-0.000649331876352604
1637.79,"4",31.87067,46177.6187,216.394202566074,26.39,7.73134163587785,34.2442883872424,19.3035916235516,46.4367680016392,1605.69,9.165,-0.000139450942070374
199.55,"2",43.52088,4267.0667,678.509304,2.23,33.7,24.3,35.3,40.4,131.42,18.5195364837265,-6.45720300415819e-05
662.25,"4",32.89121,23450.7658,21.7946063534222,12.85,3.6481824588769,39.4919735181728,36.6003494938471,23.9067602525453,680.16,14.168,-0.00295705904394414
259.89999,"2",48.27859,7402.1146,343.840074,5.51,19.3880356933101,27.65676510161,35.1757853967887,37.1690254760336,257.19,14.606,-0.000331825635516437
87.300003,"1",33.7297,1606.4666,866.0254625,2.53,75.1,34,27.9,38.1,87.3,0,-2.88551494538994e-05
69.18,"1",50.66424,1501.4136,375.078088,2.01,77.5,32.4,25.9,41.8,69.18,16.2822651757694,-2.88551501271862e-05
202.89,"3",45.11814,9872.35460572215,12.12238,4.02854926323688,3.2,18.5,36.5,45,202.89,16.4325700739664,-0.00109655363441267
104.7,"1",41.10377,1729.0432,2040.487131,2.15,49.4,19.7,28.5,51.8,104.7,19.9878355428179,-2.73756299128463e-05
239.57001,"2",48.16817,5041.6354,417.008485,6.43,15.8,31.9,24.2,44,236.33,17.7390156522152,-0.000287515074569079
650.71997,"4",29.61204,25622.8123,14.4033015,9.59,1.44202039527627,26.5568722446452,56.8137643953658,16.6465691427282,568.43,10.427,-0.00140126325439343
1527.02,"4",26.13158,43438.5412,5.68048040024715,22.7,3.04679918915859,20.1097679683658,48.4947292343748,31.424262948704,1413.36,6.068,-0.00131781099923179
111.83,"2",41.5372873847757,6806.4986,28572.13065,1.91,53.7,21.8,35.7,42.5,111.83,19.656,-5.5044091262036e-05
190.66,"2",42.427080895282,11851.7372,2613.836175,1.85,15.5,12.6,60.7,26.7,163.97,19.9451029603656,-1.94231993357779e-05
493.39001,"3",42.0033,17011.3042,16.0510575,7.42624530266246,6.76062933848045,29.6086465418799,38.580277763651,31.7913590162255,504.64,18.0423980846404,-0.000941541022012637
178.81,"3",29.54186,12835.8126,362.680678099327,7.13509902245987,11.6,51.3,38.4,10.3,438.461101024302,15.9867188002892,-0.00078004679355958
1408.09,"4",31.3598,64684.302,132.760873696317,20.33,5.19774599206841,39.6130877955838,21.8864200537796,38.4953042591848,1248.55,9.403,-0.000942147548998859
1097.22,"4",39.01302,32954.7701,293.701021370759,13.76,6.32826029291341,21.640304406538,52.2348666243654,26.0998395995045,936.83,19.317,-0.000883535458363321
1227.58,"4",35.928,34364.1682,766.849576998838,20.72,8.85478596071643,37.5851851916509,20.2769310842526,42.1331135169938,1208.21,12.9,-0.000286578152007247
366.34,"3",45.45747,7272.9805,7.7054785,4.07,1.8,15.6,42.8,41.6,368.03,17.6711785085419,-0.000755157264540738
1212.01,"4",32.85473,38673.8081,397.59326678176,17.8718302421052,15.9138021045372,34.5241763097979,27.4250716989868,38.0513502032562,1211.9,10.938,-7.93440397254428e-05
331.66,"2",33.65573,11506.3383,421.916694638958,5.39909060181519,1.7,23.8,73.8,2.4,333.820105622296,17.2547582391232,-0.000681506740410187
340.60999,"3",27.79287,25307.5554,1.181724,4.9,0.2,34.1,46.3,19.6,364.64,12.0624990462753,-0.00252990454563989
100.36,"2",40.77577,3377.4704,2502.698639,2.39,39.9,9.8,33,57.2,124.39,20.897349459579,-1.82309942695855e-05
1157.40569781658,"4",30.3621877818283,65520.7367,9.24337984126131,17.7488677490844,4.43744742711357,29.1738475865548,50.1711266359683,20.6550196561383,1044.73635025982,9.66118999362309,-0.00309487840736499
161.92,"2",29.70122,5176.9883,19.040736,3.88,0.5,23.5,50.6,25.9,160.46,15.2961350857229,-0.00120886403492634
706.84998,"4",35.09615,24312.6778,13.2423825,8.26,2.02840731585232,38.2551295267152,43.8944472228463,17.8448617232149,545.57,12.6738085521055,-0.00514209868330136
705.17999,"3",31.83245,12558.9669,52.0734029436232,9.18502651201208,1.86910342670694,27.7927371243098,56.1960469972867,16.0124521303822,577.294175921138,12.4338860584515,-0.00192375538464303
75.699997,"2",44.8797,2731.4661,420.627168,1.76,32,13.9,30.8,55.3,75.72,19.1759859888813,-2.68835013920178e-05
83.059998,"1",35.26546,818.4211,589.3702815,1.75,71.2,21.5,32.1,46.4,54.42,18.8009014099878,-2.56322836437349e-05
602.415593149284,"3",33.6234715549212,15013.3124,25.8685266631204,9.60574908228239,1.5,44,48.2,7.8,623.798329817732,13.3816842507549,-0.00223037854946106
1058.11633310171,"4",35.528560258789,37546.8201024414,134.145570675424,16.7894948035977,4.30209988313702,18.9009600420107,66.3723680457171,14.7199044717292,1048.14905825605,12.9756181843542,-0.000969559070860273
756.90002,"4",35.70781,27370.5548,15.190424,9.16,2.97285018667353,23.3639361173571,62.3566891885327,14.2894495719921,601.98,12.39,-0.00137553525050728
2113.2,"4",35.36809,57427.5003,427.353172442347,32.39,4.63911073903063,27.8576233802491,36.6883777962324,35.4431438317147,2155,8.736,-0.000423141671725726
46.939999,"1",42.64818,1427.6004,6270.58539,1.62,66.9,34.3,16.7,49.1,46.66,0,-2.63287347324037e-05
61.68,"1",44.69431,1116.6402,3664.742496,1.27,56,17.9,25.1,57,57.94,19.6559921376031,-2.73197179779255e-05
850.15997,"3",41.0664,24842.3559,2.0437445,3.38,8.0468688732173,24.038229871599,47.9811805129025,27.9794198071616,627.05,17.5847837866183,-0.000521720124063215
198.52,"3",31.28565,17146.166725204,2.70465,5.17092164672558,5.2,13.6,81.1,5.3,198.52,12.8026061246401,-0.00111621748592885
72.610001,"1",33.03796,1667.2951,1917.911006,1.82,77.7,36.1,24.9,38.9,73.1,18.9434345459616,-2.88551522432304e-05
1294.25,"4",28.66509,32028.9124,4.62325344366799,19.5863394903014,1.88560115622941,25.2601451089341,53.878568162163,20.8809149751253,1123.37569450231,8.56261789488877,-0.00234811756146396
174.63,"2",32.61935,3457.515,45.088596,3.7,52.2,32,21.4,46.5,175.37,14.1655414704233,-0.00150490082020824
351.48999,"3",36.76121,20138.5723,0.786429,7.27297385062935,2.35983333685867,31.6098127193328,48.3994869316707,19.9920405276744,351.49,13.0038493115285,-0.00204362201368091
415.89999,"3",45.37549,16494.079,635.021306,8.02,2.8,35,24.8,40.2,341.5,19.664,-0.000145610036297862
286.64999,"2",25.66165,6746.7285,0.246886,4.86,0.8,31.2,21.5,47.3,284.48,13.7780931670709,-0.00104715491925879
1046.65513957858,"4",32.8987893730475,40936.4752083911,34.9101916803412,16.2038086497869,3.93402347451994,29.3708300024705,47.1762312456805,23.4529343912361,992.58360861155,11.4692711544573,-0.00131260192075929
441.22,"3",38.48795,19504.1588,0.988931,6.06,0.3,57.4,12.9,29.7,441.22,13.740062682439,-0.00239324044712407
305.10001,"2",39.54851,8451.1355,55.67418,2.55,15.4,47.3,18.5,34.2,238.74,17.3592427948293,-0.000876696184257832
81.559998,"1",53.99668,1132.7709,4635.128613,1.45,69.6,29.1,20.7,50.2,59.56,11.701470814526,-0.000128560526828093
172.39,"2",30.69687,5838.2173,1837.59936279893,2.65368919052707,41.6755806851848,26.8934126726157,33.3264609618462,39.7836557608128,160.987125749194,16.2618910737201,-9.38156337278156e-05
342.70999,"3",59.06661,9043.1202,83.767865,2.14,42,11.5,38.7,49.8,237.07,19.7397656798972,-0.000161240157756171
119.01,"1",32.84059,2727.4238,312.661701,2.2,28.6,27.3,28.3,44.3,119.01,18.4996431624362,-5.77560645764158e-05
1585.92,"4",28.12108,47474.1095,206.20825453509,26.31,3.07339886774242,31.5136774265719,41.3100198407242,27.176297923471,1496.93,6.184,-0.000524075474088864
1013.2947305058,"4",32.9088841217354,35336.1363,111.528615971729,14.9580883698946,3.10732305815004,27.0074594824541,57.5487034568237,15.4683893974373,954.628020588907,12.7469096294855,-0.00163450509063238
329.39001,"2",46.15629,4952.4772,80.87597,4.49,16.1,38.4,13.8,47.8,288.89,17.0923157116522,-0.000922403858744158
78.699997,"1",34.27658,964.6601,1720.182366,1.86,89.3,32.1,27.7,40.1,77.62,20.0104261993588,-3.64099398371568e-05
75.860001,"2",35.12774,5237.6623,23490.73132,1.65,53.2,28.2,33.1,38.7,75.86,19.0881820279313,-2.88551540707234e-05
2162.8799,"4",27.55783,84580.1362,20.487704990533,35.12,3.06257650365389,33.4810599435765,44.5673981413628,21.9515334139961,2000.46,7.662,-0.000975421131690217
792.589236230593,"4",32.350112316832,36477.6365,21.7535896700334,12.1731068231308,3.05626924159546,24.7720642007115,62.3805909395524,12.8499416616832,727.388226102979,12.108920167608,-0.00195807990710351
150.3,"2",31.60009,5510.3967,1281.683703,2.05,44.2,31.5,37.3,31.3,134.53,18.8353284524853,-4.70507973727194e-05
747.06,"3",49.83834,22637.1482,21.13788,6.96,6.65402623537095,19.8676155520215,48.1623296678097,31.9381096320615,630.31,22.666,-0.000680026687505792
96.879997,"2",41.85079,3511.12437886878,604.282612,1.92,53.812094319091,25.1040710757999,30.8049339075129,44.0950110028449,97.63,19.2562145627682,-2.72579466883871e-05
520.39001,"3",45.65064,9338.9484,39.0364215,6.32,7.57433513885899,20.4866663929422,47.5869740120977,31.9036658394058,570.91,21.394,-0.000720098325958939
401.73999,"3",41.5109,12310.0847,199.282773,5.52,10.5,20.6,24,55.4,424.12,24.442,-0.000906364922193787
227.03,"2",37.81171,8139.1395,1596.889162,2.44,11,16.3,56.3,27.4,174.02,18.2183009369289,-0.000148585850378389
543.27002,"4",30.23947,27455.237,0,8,4.08873835861917,27.7440438424267,46.6648761684119,25.6099064423354,508.95,10.587,-0.000209011269543711
816.5,"4",33.49256,27035.6002,9.35350037621751,12.81,0.807950973449053,34.402543628077,45.577885033575,20.0243879038318,763.76,11.1481700236147,-0.00160308027449062
968.66533861493,"4",37.829244040711,153764.1643,185.867868861204,14.5485142123162,13.9698010022002,28.661903278713,31.7706819944231,39.5539665425064,942.160197207366,13.1506622628392,-0.000430584802833904
305.64999,"3",35.7615,20126.2922,0,5.24,8.97767639565734,22.9613756965578,52.6359689129508,24.3977672776747,266.57,8.465,-0.000548939986430203
680.21002,"3",37.47301,24668.9079,9.9524185,8.3,1.75181097530102,38.5513270960385,41.0658263700921,20.3749739641423,786.43,12.506,-0.00300497156484887
78.540001,"1",43.71005,1929.2851,1826.482046,1.46,53.8,21,24.9,54.1,82.57,18.9201988196175,-2.6429792514717e-05
481.851290210729,"4",41.9402834472867,17382.0962900123,514.393384042731,7.1369605010296,8.85935875646382,26.1246882448706,43.6364446227448,30.2248789302863,483.583667725878,17.8905550418538,-0.000571174235066907
86.949997,"2",56.31984,3730.2045,8.825481,2.73,19.3,30.6,25.9,43.5,86.95,18.9546078392844,-0.00151829254356814
1020.33778123228,"4",29.3445852416567,50304.7502,8.04577356870759,14.491118040134,0.834533751468854,22.1015243749401,59.7107285900775,18.2131773438634,869.473110553164,10.4739218805477,-0.00337326990252626
95.980003,"1",40.28523,2617.1244,1230.723936,2.21,56.9,39.4,29,31.6,95.98,15.9938933328919,-3.9318767403531e-05
360,"3",30.35106,14124.1177,1.986184,5.42,0.2,48.8,10,41.2,386.22,14.137,-0.000826936917112088
70.980003,"1",35.69018,1683.8497,345.437898,1.91,81,23.1,31.5,45.5,70.84,18.8641625257311,-5.30769560932516e-05
1078.38465206661,"4",29.1591392809313,68402.3451,7.2247771528569,17.3199792787183,3.59370408134485,13.3941859971041,77.0414936724365,9.57089470387381,979.096498012115,10.098776108778,-0.00223854551522669
678.90997,"4",24.97015,27075.5344,4.502202,15.69,0.827714682034671,28.3701909525251,50.8403110174133,20.8168361121363,851.49,8.421,-0.00221582461363618
1026.3199,"4",24.63336,29244.9198,0.142861,19.37,0.397602774454304,24.1695478272217,56.7863911558818,19.0772544987203,1002.28,9.989,-0.00273402826513021
226.52485574503,"1",36.82241,8379.09196221337,1135.76205408749,3.45790567599928,81.2,34.2,18.6,47.2,206.665280170029,18.1201552388353,-0.000116050151343634
337.70999,"3",63.02607,12165.7948,1752.145088,5.62,11.1,6.2,56.7,37,358.24,23.751,-0.000260202104955016
1181.66,"4",31.40486,37927.6095,759.448316889617,18.1253494974508,8.91109519545199,29.4031562014454,36.6157877926464,33.99698422073,1183.49338459394,14.62,-5.76516377895989e-05
98.300003,"1",44.14413,2282.10796065189,3007.095753,2.02966572271957,91.1,40.1,12.7,47.2,98.29,19.6559974447203,-2.88551465683852e-05
1115.37,"4",34.71895,31496.52,900.432739555894,18.63,7.1087564360174,30.4992437213863,40.4320994893816,29.0670535326972,1102.65,15.562,-0.000472775652592984
268.32999,"2",39.34577,11662.9064,38.535021,2.6,23.3478912738628,28.2769895640563,34.9585843857148,36.7516557421784,228.33,17.9558414719211,-0.000353166609840979
138.89,"2",34.2432,3379.5957,649.140966,3.5,53.4,26.7,23.5,49.8,138.89,16.0458296767317,-0.000184485120248773
217.83,"3",57.60975,8984.15777349472,52.3030765,3.0679300225034,5.9,31.2,33.8,34.9,217.41,20.1458675966285,-0.00017077240873286
1642.51,"4",29.97419,45541.8921,94.3158441731035,29.09,2.97448637161821,41.4423238867721,20.6161026635718,37.941572405725,1534.88,5.596,-0.000816915545400869
2020.86,"4",33.14105,61372.7301,10.1983465100857,31.51,2.28604626601084,28.5953457648722,38.8604609410388,32.5441825499041,2013.28,8.745,-0.00168383398665829
217.17999,"2",37.5146,3349.4597,417.46756029887,4.10593120505317,4.4,55.4,33.5,11.1,245.341297690848,18.0711707870026,-0.00106636738066396
192.72,"2",33.99572,4440.3819,274.465108,4.46,13.2,21.3,52.3,26.4,104.75,14.0170349711475,-0.000218746030555066
78.599998,"1",40.49123,2874.9629,4526.68255,1.44,65.6,18.3,26.4,55.3,81.08,19.6559933169623,-2.71196727028867e-05
477.04999,"3",34.85572,16648.6237,0,5.43,0.9,41,39,20,449.2,13.7372185537321,-0.00313450439061386
82.519997,"1",43.05614,1451.3609,1033.280325,2.1,50.1,22,32.7,45.3,79.87,20.4426506944137,-2.11567853122784e-05
302.64999,"4",40.27296,28549.4083,1.2170925,6.0220534173949,5.6,1.3,94.3,4.4,302.77,12.9219276420421,-0.00120579660565821
334.19,"2",32.81588,11353.8865,12.8387655,3.97,1.2,48.1,25.7,26.2,288.18,16.7248258746741,-0.00180968695264301
567.58002,"3",41.90911,19270.2202,31.715142,2.82,16.0024970910524,24.3722058545053,40.4587599094746,35.1550886447718,517.27,20.1799793633485,-0.000611024230006316
96.959999,"1",42.75369,2045.4203,2612.213385,1.46,69.9,15.6,34.1,50.4,103.07,20.6645185840893,-2.0621112467461e-05
350.12,"2",26.61947,9813.3637,0,5.94,1.2,1.4,94.2,4.4,384.28,13.4884090746941,-0.00153311796041661
1096.80427487806,"4",25.96615,76397.8181,6.8555545374231,17.4994013346857,1.66664428911885,21.2058885603878,59.5328311562891,19.2842984914444,1008.38659775631,8.96155629985104,-0.00241162991839682
1432.22,"4",35.14883,38058.0856,274.932927013802,21.29,7.68962397901971,24.39618620455,45.9165765027851,29.673433972119,1350.13,9.138,-0.000318148622498567
2096.71,"4",41.40784,55334.7394,678.928661799655,21.7,12.4619248850951,17.6090259039468,52.1046670627835,30.2615347640851,1917.39,17.049,-2.85358061874237e-05
825.67999,"4",39.67655,20185.836,2.6013185,6.92,1.50200251316929,34.8280935201279,43.873532056868,21.2960509563874,764.05,14.058,-0.00265041323961392
62.200001,"2",35.2688,11220.3702,1333.783584,2.90764061810954,2.3,23.2,55.7,21.1,57.5,19.005288875108,-0.000167784504526198
314.81,"3",44.7705,10709.9506,1333.44793,6.28,10.6830367607906,24.0788357062145,41.7522216661029,34.1498479358197,353.7,19.6623346548173,-0.000281610072130453
287.04999,"2",35.71555,6814.1423,379.716216,3.35,7.1,17.6,58.1,24.3,257.04,19.4726381551445,-0.000237603045292894
123.29,"2",36.70709,2284.8899,3155.11171639983,2.34164451823126,45.9,28,36.7,35.3,135.118190376079,20.0307776031761,-6.73378393617823e-05
90.860001,"2",57.13606,3534.0337,2995.0878,1.83,56.6,18.5,29.7,51.8,78.64,19.9954288750258,-2.52683529734529e-05
147.38,"1",50.25645,1611.4052,406.092795,2.61904402658884,29.7,11.7,25.9,62.5,147.38,16.5079957108168,-0.000147892838113679
858.34998,"4",24.99034,30748.5084,5.830948,12.98,2.86715506081819,18.6115940160816,62.8603782976796,18.5681574071021,799.89,5.972,-0.000997710394510541
