"religious_compatibility_larson_et_al_2016","child_mortality_estimates_gapminder_2015","child_mortality_1950_2017_ihme_2018_x","inequality_in_life_expectancy_2015_2020","inequality_in_education_2017","infant_mortality_rate","international_historical_statistics_deaths_per_1_000_brian_mitchell_2013","life_expectancy","life_expectancy_1950_2015_un_population_division_2015","mean_bmi_male","mean_bmi_female","neonatal_mortality_rate_via_childmortality_org_2015","number_of_child_deaths_1950_2017_ihme_2017","number_of_infant_deaths_ihme_2017","number_of_neonatal_deaths_ihme_2017"
9.3,91.1,55.77,28.4,45.4,5616.784475,7.11340995308552,64.833,59.8,22.68245614,24.23413457,35.5,87,71861,36983
16.602273518341,14,13.99,9.2,8.5,1089.713154,5.073224387,78.573,77.5,27.17447081,26.50751203,6.2,0,392,251
18.9,24,24.11,15.1,33.7,1398.36594,6.32738425822593,76.88,74.4,24.86538555,26.56116565,15.5,15,13121,9039
11.9536536263406,2.8,2.11,3.65523945065794,9.4,174.268463,7.97254287311566,83.732,80.1122108387593,27.47839497,26.27166071,1.4,0,1,1
9.4796601847965,156.9,71.04,33.8,34.3,4544.832134,7.39999681800137,61.147,51.7,22.43653817,24.37650146,48.7,68,46002,24251
11.4414248542405,8.1,12.81,7.5,9.84621986487729,879.2413213,8.29615981698814,77.016,75.8,25.82569643,27.96185992,4.9,0,9,7
6.2,12.5,12.06,9.5,6.2,949.6708534,7.587625835,76.667,76,28.01768234,27.79858856,6.3,8,7030,4776
4.8,14.2,10.55,9,2.9,791.1301337,9.72031204849229,75.087,74.4,25.74388941,27.19451321,7.4,0,308,207
4.5,3.5,4.17,3.6,2.6,335.9743509,6.411221076,83.436,82.1,27.71849093,26.87308177,2.2,1,1025,714
11.6,3.5,3.81,3,2.6,281.0260831,9.201562236,81.544,81.1,26.67288696,24.74923974,2.1,0,247,178
14.7,31.7,38.24,17,3.8,3196.537872,6.49732467643573,73.005,70.6,26.24688161,28.15375814,18.2,6,5233,3410
7.89692657948951,12.1,13.61,8.7,6.3,1062.501087,8.3354819330752,73.918,75.1,27.28640266,29.0596084,6.9,0,50,31
16.401770886947,6.2,7.52,5.6,19,533.1194641,7.33167524186603,77.292,76.4,24.895558,24.79195613,1.1,0,107,55
24.6,37.6,34.26,17.3,37.3,3186.298445,6.51136017054963,72.591,71,21.40108169,22.05260608,23.3,108,90109,68140
11.7486341984804,13,13.59,7,5.5,1116.610777,8.070839579,79.19,75.4,26.51546778,29.41101997,8,0,32,24
9.95099430851887,4.4,7.34,4.9,3.7,488.1843388,11.0749430807961,74.791,71.1,26.629948,26.91237453,1.9,1,512,351
18.8,4.1,4.12,3.6,8.7,296.4014971,9.605525429,81.628,80.5,26.8013405,25.74971353,2.2,0,361,236
13.5510304605468,16.5,19.67,10.1,15.9,1652.2555,6.70744427711819,74.623,69.8,27.63242364,30.75287977,8.3,0,126,86
9.54773274769428,99.5,89.8,35,43.7,5390.388716,0,61.771,59.2,22.66670723,24.57959394,31.8,34,21620,12085
14.4642749880198,38.4,32.44,25.2,20,2118.418775,6.12917450656241,71.513,67.7,25.42187349,27.92672885,19.6,8,6255,3737
20.2,6,7.04,5.9,19.8,555.5097578,8.95476932811874,77.401,76.3,26.53071356,25.34013918,4,0,159,141
17.297771444461,53.3,25.14,18.6,26.712564288606,1561.28169,6.11455045951242,69.592,64.1,22.63366824,26.29687711,21.9,1,751,509
3.1,13.3,20.19,10.8,22,1493.520601,7.11235997012544,75.881,74.1,26.47157714,27.03856248,8.9,51,44940,23677
12.6865302659189,10.3,9.97,5.5,9.42339780182253,777.6068771,9.52485262450557,75.86,78.4,27.31810115,27.33141526,4.3,0,52,29
6,10.7,8.56,6.7,6.5,627.6093553,14.62181767,75.046,74,27.32226907,25.93015482,5.6,0,379,231
9.73559786128821,88.6,115.59,32,39.2,6132.224096,7.20859619907977,61.577,58.1,22.25253512,22.1477769,26.7,87,49380,22392
10.3075966067568,81.7,86.61,38.1,39.5,5247.735039,7.39999818700044,61.584,56.1,21.85867709,21.60407468,28.6,31,20389,10359
9.47304925433838,88.7,78.71,33.7,33,4273.025088,0,59.292,54.9,23.65643975,25.22671897,25.7,55,35507,17820
9.9,4.9,5.81,4.3,1.4,465.0432088,7.232596158,82.434,81.8,27.45423618,26.76370753,3.2,2,1819,1178
16.4946112229129,24.3,23.31,13.3,23.7,2002.559261,6.47369233961005,72.981,73,23.80060003,25.42787529,12.2,0,196,136
9.68678050018076,130.5,131.1,41.7,34.5,11915.67596,0,53.283,49.5,22.07918352,23.78232058,42.6,22,14800,7142
10.0318446722996,138.7,122.75,42.4,43,7102.314108,7.39999863100025,54.239,51.1,22.05057441,21.97868164,39.3,80,47731,22314
10.4105970395777,8.1,7.88,6.1,7.5,627.4581196,5.37883863,80.181,81.2,27.99180302,28.34360496,4.9,2,1519,1118
26.3,10.7,13.16,7.9,11.5,720.4156658,7.065046376,76.912,75.4,24.27643908,23.59199764,5.5,165,132753,65418
18.7,15.9,15.61,13.2,19.4,1160.255384,5.8,77.287,73.7,25.990732,26.75453166,8.5,12,9769,6117
