"","total_confirmed_deaths_due_to_covid_19_per_million_people","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","healthy_diet_cost_percent_cannot_afford"
"104",93.334,14.0416698,319.37,2.28,32.2,13.70442
"105",2.848,6.5621686,338.52,18.32,10.5,90.62317
"106",21.081,6.9114952,285.17,3.28,7.3,51.92937
"107",52.343,7.3191306,330.6,5.68,25.4,45.98487
"108",30.065,11.6872047,330.7,4.62,5.4,72.0897
"109",416.227,5.1717566,127.71,0.41,20,0.3128131
"110",5.184,7.9042936,155.77,0.34,31.4,57.08277839
"111",23.549,9.2258635,180.52,1.44,29,27.84136
"112",2.85,5.9408535,334.07,33.31,8.7,91.94135
"113",5.506,6.299279,197.62,18.9,13.1,89.12486
"114",51.649,6.2257413,137.75,0.3,22.5,0.4563593
"115",235.576,14.3323602,314.92,0.9,33.7,52.56091073
"116",30.599,12.5771361,479.9,8.52,11.3,75.2726
"117",614.17,8.9030156,154.03,1.38,27.6,19.78807
"118",0.782,15.357027,591.54,6.95,25.8,77.7692907
"119",186.049,8.0133105,271.74,1.96,23.4,15.44793
"120",1038.977,7.2325752,108.51,1.05,24.2,22.43048
"121",64.363,7.0508844,427.92,2.83,7.5,64.24689
"122",121.94,8.394709,283.08,0.35,22.2,0.449238
"123",232.526,8.4291863,155.11,0.34,21.2,0.9322764
"124",79.832,18.9393887,187.72,0.43,43.1,54.86801505
"125",341.725,7.2931016,430.29,0.42,21.6,11.02077
"126",182.198,7.4159878,562.81,0.96,26.9,2.541048
"127",2.702,4.2869468,268.13,19.02,9.3,91.14971
"128",1237.551,7.985503663,321.4066,6.0052,19.53,46.73220943
"129",68.443,8.3453454,293.65,5.23,16.9,81.26451
"130",153.071,17.6139625,301.43,0.69,42.3,50.09216412
"131",19.231,7.5161234,356.79,25.53,12.9,77.24802
"132",117.274,7.2703366,398.67,0.41,21.8,23.87022
"133",9.277,7.1035396,386.95,31.04,13.3,85.57656
"134",4.786,9.3643048,111.1,0.16,6.3,55.61389929
"135",32.237,8.1699695,356.91,0.5,19.9,2.348883
"136",92.355,7.2928867,190.44,0.23,21,0.01920434
"137",6.544,7.4372867,473.9,33.84,12.3,74.7215745
"138",321.251,9.666581,249.35,5.62,39.6,61.10259
"139",8.992,9.3042505,123.61,0.26,4.8,1.228063
"140",5.003,7.440544021,326.17,32.47,12.184,79.5577170000001
"141",754.96,8.5417676,117.28,0.32,22.8,1.480493
"142",0.887,7.0219834,226.84,2.56,7.3,45.437
"143",19.088,8.3090898,449.28,3.01,21.813,81.57917
"144",189.215,10.946402,331.98,2.57,33.7,53.72433305
"145",585.983,5.8450484,166.31,0.22,18.1,0.3404294
"146",222.887,5.2982009,130.34,0.2,16.9,0.02182594
"147",15.714,13.9683956,432.24,1.79,34.8,72.50477554
"148",8.493,10.2708067,515.37,4.82,16.7,34.01277
"149",0.352,6.0174174,327,20.03,12.7,84.53875
"150",0.845,8.2871193,132.19,1.48,12.7,19.70135
"151",6.523,7.252472,386.86,20.51,12.5,97.28955
"152",75.742,10.4106402,304.78,1.24,26,7.340323
"153",83.174,12.1266469,282.73,0.91,34.3,13.31939
"154",117.976,13.0451608,193.37,0.62,39.2,6.668437
"155",2.252,4.4017746,306.9,23.58,8.6,81.69172
"156",150.685,7.4189136,593.07,0.96,25.7,62.1877204
"157",48.734,15.0211902,339.84,2.98,41,54.03571106
"158",668.253,6.6201465,145.01,0.4,28.6,0.4246
"159",684.958,8.1696543,176.43,0.4,37,1.499683
"160",15.545,9.1377699,185.95,0.4,30.6,1.307074
"161",16.642,10.4833885,696.86,1.09,19,51.65607552
"162",27.43,9.9360777,231,1.12,28.6,67.9629252
"163",0.36,5.5387413,277.86,1.03,2.6,32.01523
"164",20.117,12.5919634,540.3,2.14,22,73.769662
"165",18.93,6.4647059,393.06,31.73,12.4,84.97017
"166",16.282,6.5137745,305.49,17.75,25.3,82.59679
"167",237.838,8.4406733,283.58,0.31,25.4,0.188587
