"life_expectancy"
64.833
78.573
76.88
83.732
61.147
77.016
76.667
75.087
83.436
81.544
73.005
73.918
77.292
72.591
79.19
74.791
81.628
74.623
61.771
71.513
77.401
69.592
75.881
75.86
75.046
61.577
61.584
59.292
82.434
72.981
53.283
54.239
80.181
76.912
77.287
64.321
64.57
80.279
57.783
78.488
78.802
80.982
60.681
80.898
67.112
74.081
77.01
71.99
73.317
58.735
78.745
66.597
67.444
81.908
82.659
66.467
62.05
73.767
81.326
64.074
82.239
74.302
61.602
58.322
69.906
64.001
75.27
76.875
82.993
69.656
71.716
76.677
70.604
82.305
82.972
83.512
74.475
84.629
74.526
73.597
66.699
75.489
71.45
75.292
78.93
54.331
64.104
72.913
82.494
75.933
82.25
67.041
64.263
76.156
78.921
59.306
82.53
64.925
74.991
75.054
71.901
86.751
76.884
76.68
60.854
67.134
63.708
70.778
82.283
82.288
74.485
62.42
54.687
82.404
77.861
67.273
78.506
64.501
74.254
76.736
71.231
78.73
82.049
80.227
76.054
72.584
69.024
84.972
70.385
75.133
67.941
76.001
54.696
83.62
77.542
81.324
57.397
64.131
83.033
57.846
83.565
76.978
65.311
71.682
82.797
83.779
72.697
71.097
65.456
77.15
61.042
73.507
76.699
77.691
63.368
72.065
77.972
81.321
78.862
77.911
71.725
72.064
75.4
66.125
63.886
61.49
79.376
