"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","population_with_access_to_improved_sanitation_y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","prevalence_of_obesity_both_sexes_who_2019","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","national_poverty_lines_jolliffe_and_prydz_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","stringency_index","income_support","debt_relief","containment_index","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","child_mortality_1950_2017_ihme_2018_x","life_expectancy","total_population_gapminder_hyde_un","death_rates_from_all_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000"
"16",102.124,1.027703,8948708,8.0120648,7.5475883,24.5,5.821,571.14001,"3",25.27785,18727.3176,7.59,646.27,43.52,"0","0",46.9,33783,100,1084.619757,74.4,26.6837468822657,10.2305199772045,4.8898439174082,5.90632237754146,374.66376,1.24e+09,7.34,74.791,9442867,147.0408593,3235.225358
"17",942.309,0.292606,11217825,5.6681222,3.4641042,22.1,6.839,1490.91,"4",27.21441,39756.2031,26.85,1457.53,47.22,"2","1",61.9,19878,99,4782.361046,87.9,15.27,18.47,5.84,5.64,840.12659,12570617585.1166,4.12,81.628,11632334,126.1262059,2126.612975
"18",128.263,38.11414,325156,9.9988558,15.1836179,24.1,5.956,268.57999,"3",53.26277,20616.0586830472,6.75357722170141,264.03,66.67,"1","2",71.55,31420,25,523.7288925,58.3,25.2051371637583,13.149015004031,5.20590411871643,3.72446597081168,118.64302,3.19e+09,19.67,74.623,404915,35.93314763,1092.479109
"19",3.382,89.63388,2083463,7.3902467,6.9945431,9.6,4.408,82.610001,"1",47.75591,2220.1766,1.44,82.42,38.89,"1","1",45.6,65706,9,84.46045434,43,0,0,0,2.39741512564229,34.203602,4.702e+10,89.8,61.771,12451031,92.92280266,4222.178697
"20",742.909,25.54418,5394527,6.950181,8.9480019,20.2,5.559,406.41,"2",41.64937,6695.7746,7.63,416.29,56.48,"1","2",62.26,44087,42.7,445.8226242,59.2,21.6587339032786,10.7743172565233,4.43946115364782,2.81966453268518,115.56576,2.114e+10,32.44,71.513,11832936,35.72960373,1093.519814
"21",336.502,3.633199,3352091,7.9595233,6.909738,17.9,5.516,585.77002,"3",33.03019,10460.5201,9.79,605.42,35.19,"1","0",40,24000,59.2,1101.792914,78.2,23.6896205395022,13.9199087712529,5.77126152780482,4.9357835005609,315.49902,5.03e+09,7.04,77.401,3263459,140.3937008,2760.839895
"22",8.93,60.1921,1400631,7.5742542,9.4738462,18.9,3.471,232.69,"3",53.32503,15842.1301,1.97,290.39,53.7,"0","2",57.62,61513,47.9610521528613,969.9563729,51.1,27.7663092939039,14.1496279879218,5.46412621885774,2.61424638562623,51.02795,3.52e+09,25.14,69.592,2397240,29.00088417,925.9062776
"23",743.068,12.98858,170536625,7.7976249,8.682263,22.1,6.11,602.28998,"3",53.42883,14033.5656,3.05,563.57,60.65,"1","0",56.61,31632,100,1391.52257,64.9,26.6032533031643,13.1010469716732,4.42956882410302,2.3,393.65927,2.44e+09,20.19,75.881,213993441,49.22683198,1280.895476
"24",6.857,27.2211831891724,13517000.2739242,9.2080746,9.676519,14.1,5.71586176661216,472.063665054482,"4",38.6142572908801,25837.9163708722,7.70215954723815,430.28263449693,79.63,"0","0",82.14,22941,100,2083.430502,70,25.8614793877958,18.5291399075506,5.66771727161431,3.38828034681876,125.25507,11633462590.2917,9.97,75.86,441532,21.74940898,621.749409
"25",167.088,9.337595,6173072,8.4220956,6.8991835,25,5.598,569.5,"3",41.2841,18444.2602,7.95,478.49,62.96,"2","1",57.14,28771,87,1491.868089,71.4,25.9988932585339,11.3177416231772,5.38823440907033,5.29432622944463,711.14771,8391935825.43701,8.56,75.046,6896655,210.8671329,4198.181818
