"child_mortality_1950_2017_ihme_2018_x"
55.77
13.99
24.11
2.11
71.04
12.81
12.06
10.55
4.17
3.81
38.24
13.61
7.52
34.26
13.59
7.34
4.12
19.67
89.8
32.44
7.04
25.14
20.19
9.97
8.56
115.59
86.61
78.71
5.81
23.31
131.1
122.75
7.88
13.16
15.61
50.19
59.9
8.8
94.67
4.59
5.71
3.2
87.31
4.05
48.82
33.13
19.01
20.39
13.49
59.16
3.18
60.58
27.9
2.4
4.25
40.51
51.2
12.34
3.88
62.76
4.92
26.83
103.06
80.62
28.64
63.54
15.92
5.23
2.46
40.83
29.15
15.91
25.65
3.73
3.85
3.5
15.6
2.76
14.91
15.82
48.15
8.36
22.07
5.54
7.81
76.76
78.9
14.6
16.8969
5.17
2.37
78.11
70.85
7.79
8.47
127.42
6.56
49.27
14.74
17.38
16.36
6.4584
4.26
21.93
79.13
48.97
43.6
32.46
4.27
4.96
17.19
112
109.47
2.87
11.28
58.47
18.62
57.46
15.52
17.16
29.4
4.81
3.94
7.95
9.63
8.36
50.68
5.9532
34.06
8.23
53.14
5.61
117.82
2.12
6.52
2.32
110.4
35.87
3.54
111.26
3.47
9.29
52.66
31.56
3.03
4.04
18.76
52.39
65.16
9.55
72.99
18.64
11.72
15.21
66.57
10.55
7.75
4.93
7.37
10.31
26.73
17.12
15.2
46.98
70.48
60.91
3.26
