"all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","nurses_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
28151,92.1,8.86140000000001,2.84066666666667,537.25604
117683,0,10.2844,1.65017333333333,98.019753
14354,100,14.3172,3.98156666666667,1161.4761
25991,94.8,10.4387,5.82,380.29736
21200,100,12.545,4.5,342.3797
89247,23.7404347732274,10.285,2.06552333333333,189.712727012515
67514,100,10.4456,2.32,83.637741
17921,100,12.1299,3.64546666666666,940.44543
80319,11.4722721182058,10.2844,1.65017333333333,43.657784
16984,99.2,6.24,2.97,771.09918
28527,100,10.6163,2.70344833333333,135.6982
59210,29.7,10.3335,1.614365,175.13531
29901,48.8706367732948,8.547,1.78814404761905,103.195
18308,100,19.73,2.22,804.94183
17679,100,22.0111,4.53,2149.3345
43178,90,10.0084,2.94450833333333,85.753609
42752,0.3,10.285,2.10980904761905,121.52
63043,13,10.2844,1.61292333333333,25.233082
28993,98,10.5477,2.73198571428572,75.361549
71808,4,9.9005,1.99347333333333,48.73756
38360,57.9764223085711,10.2149,2.95050833333333,822.86584
26814,80,9.1592,2.23221666666667,307.94397
29027,86,9.4835,2.81,168.79961
74116,2,10.2844,1.63837333333333,56.105515
35121,100,10.5566,3.05914,224.43942
25546,100,10.2407,3.18639166666667,431.54056
20376,100,15.4751,2.54,613.17255
22775,84,17.49,2.77,1056.9528
24820,97.2,8.81680000000001,2.93924166666667,282.98938
40253,100,10.547,2.77548404761905,163.58907
29410,100,8.92680000000001,2.29513333333333,265.49927
29226,61,10.3976,2.32745904761905,145.36028
55241,42,10.7325,1.79874833333333,116.98312
76189,8.4,10.2844,1.65017333333333,55.894348
72784,1,10.2844,1.67742333333333,47.00177
22380,100,11.54,6.63,366.23938
