"","Entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","total_confirmed_deaths_due_to_covid_19_per_million_people.y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019"
"11","Azerbaijan",67.856,0.788297947,1.835305955,2.805918933,65.85613589,153.3254766,234.4126092,9.670721036,22.51525832,34.42259283,0,0,0,0,0,0,8616862,1032479,67.856,11.572171,13.0270691,12.6342799,12.6342799,0.34,0.12,0.485528189,2.879015868,2.957904113,0.139391485,0.826543764,0.849191985,21.83,27.95,538.85,115.88,15.29,32,42.35,45.09,8.4,0.63,1.33,113.32,3.75,19.9,15.8,23.6
"12","Bahamas",335.666,0.87127250082,2.50644456314,3.52350849986,77.4680367345,213.4077581,296.797018155,30.00748403429,78.1680970442,112.7106483125,5.4489870853,39.99569373,60.9854894,964543.305982,9512261.37167741,9671479.781821,355891,30947,335.666,11.2055637,13.6572693,14.2889055,14.2889055,0.42,0.2,0.227348358,0.214321145,1.019459414,1.305280137,1.230486714,5.853044795,19.7,32.34,303.91,73.96,30.54,16.91,16.98,102.35,16.65,0.25,1.3,165.35,2.9,31.6,24.4,38.1
"13","Bahrain",185.709,0.875294865799999,2.43808821889,3.53003641991,76.9532002822,210.709049466,296.55572414,28.27076916769,78.1509239228,112.8041772991,5.5635840478,43.37877573,61.95226788,961484.8721624,9574561.68437601,8826212.2283465,1360880,10975,185.709,12.006818,10.6416642,8.2248035,8.2248035,0.7,0.31,0.428260015,0.485430128,1.941009461,1.87528846,2.125628087,8.499398762,28.6,51.43,249.93,35.3,33.35,33.65,14.4,188.6,15.38,1.94,0.82,103.75,4.03,29.8,25.5,36.8
"14","Bangladesh",35.449,0.643520024,1.946392559,3.441523122,53.76107138,162.6058947,287.5123744,14.4642141,43.74850452,77.35412319,0.2078029,37.54431,77.60098,331800.1227,59947222.41,123905944.9,97687737,63513149,35.449,10.2542749,9.2910122,7.4267267,7.4267267,2.68,0.45,6966.326443,10766.63151,15414.84812,112.7259626,174.2207907,249.436142,20.8,23.94,313.8,144.07,20.86,103.92,25.9,72.27,18.01,4.19,0.98,90.05,1.97,3.6,2.3,5
"15","Barbados",24.359,0.865991506879999,2.44959743968,3.51846416893,76.4478227889,209.39271548,295.128290588,31.22123639149,87.5663244815,130.259442118,7.1774517162,47.20234563,67.88132438,1030885.74297675,4039929.0564574,6882138.276403,273417,10800,24.359,10.5051944,13.7144681,16.3594163,16.3594163,0.56,0.25,0.47216115,0.525287214,1.639678792,1.623893897,1.806609246,5.639312724,14.4,31.54,198.43,65.64,22.01,13.08,11.08,106.04,13.77,0.24,1.35,159,2.93,23.1,14.7,31.3
"16","Belarus",102.124,0.799425284,2.174897893,4.061629992,66.78573798,181.6957304,339.3174596,9.50114393,25.8485919,48.27234256,0,0.02752161,1.027703,0,2614.075175,97613.94408,8948708,540908,102.124,8.0120648,7.5475883,9.9730906,9.9730906,0.2,0.09,0.470023218,2.439037907,3.084223009,0.051920866,0.269427029,0.34069706,55.31,28.12,527.78,100.19,4.24,15.56,19.51,10.93,12.62,0.22,0.53,133.84,3.97,24.5,22.1,26.3
"17","Belgium",942.309,0.266243314,2.440526627,2.876678049,22.24254917,203.8869363,240.3239807,3.22553798,29.56698225,34.85095711,0.05766727,0.2448614,0.292606,6559.743077,27853.37113,33284.39482,11217825,56371,942.309,5.6681222,3.4641042,5.3784499,5.3784499,0.21,0.08,17.26590116,12.64780464,19.58343854,1.161686942,0.850971482,1.317615839,69.9,46.5,141.99,32.32,8.6,30.28,10.46,23.44,12.98,0.24,0.35,152.31,3.91,22.1,23.1,21
"18","Belize",128.263,1.12991063,2.803726473,2.913016384,94.39520716,234.2294463,243.3597648,46.05555438,114.2808764,118.7355716,10.76588,36.95931,38.11414,40454.83962,138881.6296,143221.1227,325156,34132,128.263,9.9988558,15.1836179,12.2353456,12.2353456,0.76,0.32,0.574202406,0.923822056,2.189241943,4.886535063,7.86184248,18.63072567,19.6,34.53,313.61,80.28,46.99,38.68,28.42,156.48,19.7,0.44,1.43,154.26,2.91,24.1,16.5,31.5
"19","Benin",3.382,0.651227469,2.498297764,3.523153305,54.40496818,208.7132635,294.3319386,31.56592909,121.0960744,170.7722919,19.54813,82.3962,89.63388,2184543.406,9207943.438,10016768.94,2083463,8492489,3.382,7.3902467,6.9945431,5.1142909,5.1142909,0.1,0.03,470.4756371,694.4851655,888.952408,232.1764814,342.7236384,438.6918811,2.4,34.54,327.29,118.85,23.47,53.24,34.97,80.79,37.9,3.71,23.04,137.86,2.16,9.6,4.7,14.2
"20","Bhutan",164.62518,1.046312885,2.801838429,4.779471981,87.41126856,234.0717151,399.2875506,17.97673597,48.13847789,82.11626476,0.5288874,22.60959,52.1443,3943.21521,168569.868,388771.2146,396843,390543,39.71705,11.9438462,11.5148802,8.8572443,8.8572443,1.69,0.38,12.49109508,41.04472964,55.69004959,43.1003323,141.6242112,192.1576634,11,29.22,270.84,72.7,25.17,92.43,20.92,83.18,18.87,2.75,4.12,78.6,2.94,6.4,4.7,8.5
"21","Bolivia",742.909,1.467199081,3.338161179,3.758738978,122.5730227,278.8772915,314.0132814,25.7623364,58.6142892,65.99915392,7.438027,21.49098,25.54418,832527.5026,2405454.015,2859122.773,5394527,5330178,742.909,6.950181,8.9480019,7.677487,7.677487,0.41,0.14,28.2497269,43.12736664,95.43615511,6.480708413,9.893755392,21.8938008,11.6,33,215.4,55.94,45.48,45.81,28.66,90.18,30.56,0.65,1.88,151.56,2.78,20.2,14.5,25.6
"22","Bosnia and Herzegovina",336.502,0.705741816,3.118057545,4.284558679,58.95921603,260.4893521,357.9414101,8.933852302,39.47090133,54.23741878,0,1.285606,3.633199,0,43087.4322,121767.6454,3352091,183870,336.502,7.9595233,6.909738,9.1098473,9.1098473,0.52,0.18,0.165359132,0.556440895,1.81389047,0.047956712,0.161376487,0.52605636,52.3,29.45,319.89,107.48,10.77,22.8,10.27,53.65,10.79,0.15,0.38,161.52,4.12,17.9,17.1,18.4
"23","Botswana",8.93,0.505090038,2.24989419,3.958068766,42.19632731,187.9610853,330.6657282,3.825013115,17.0382984,29.97419035,0.752416,37.10923,60.1921,16591.73589,818306.0213,1327312.851,1400631,808566,8.93,7.5742542,9.4738462,7.0963344,7.0963344,0.35,0.15,58.12570008,79.48769222,116.732321,100.0783656,136.8585378,200.9847604,8.5,35.2,343.14,107.77,24.71,70.76,15.32,140.84,24.1,0.62,5.06,143.17,2.31,18.9,8.1,29.3
"24","Brazil",743.068,0.84750795,2.657711216,2.807738164,70.80266919,222.0310122,234.5645918,19.11810954,59.95272863,63.33704097,2.076389,11.95671,12.98858,4315438.805,24850088.45,26994663.41,170536625,35425483,743.068,7.7976249,8.682263,8.8017492,8.8017492,0.48,0.19,462.3082374,1001.567782,1384.006108,3.851812013,8.344758976,11.53111911,16.12,54.18,222.15,63.15,19.62,43.82,18.64,69.08,19.15,0.56,1.25,124.23,2.55,22.1,18.5,25.4
"25","Brunei",6.857,0.885335833209999,2.28539231622,3.63830114137,75.3028652072,189.694763726,304.038349445,29.756537974,80.4943849041001,118.1262467133,4.8260814476,43.946108976,73.5375005,1364583.2968606,11546049.5319,18021010.36866,11050476.19,11792911.99,6.857,9.2080746,9.676519,9.2202553,9.2202553,0.97,0.33,0.063669409,0.046031263,0.208097287,0.55648172,0.402321252,1.81880651,22.5,42.78,220.47,60.52,26.52,52.19,6.97,106.26,13.59,0.45,0.92,149.2,3.15,14.1,12.5,15.7
