"","Entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","total_confirmed_deaths_due_to_covid_19_per_million_people.y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019"
"36","China",3.293,0.847186882,2.110779841,3.608958352,70.77584646,176.339168,301.5002801,30.79742586,76.73228543,131.1949342,0.07885481,3.222103,17.94347,1093239.143,44671074.89,248767370.9,1048983300,322236700,3.293,9.8981826,7.6439389,8.2972253,8.2972253,1.58,0.3,268.3886976,837.5005904,1382.527738,0.272490726,0.850300875,1.403658169,36.7,43.8,307.9,132.84,12.13,74.79,10.09,25.64,8.71,0.61,0.61,156.5,3.24,6.2,5.9,6.5
"37","Colombia",600.693,1.024257877,2.611167317,3.266096458,85.56874495,218.142633,272.856847,23.07791175,58.83312227,73.58955935,2.649699,15.29894,22.39919,1295731.057,7481344.747,10953442.69,39113473,9115224,600.693,8.3281758,8.7073733,8.4604687,8.4604687,0.46,0.17,53.91300802,52.47716538,234.2465834,1.764725833,1.717726626,7.667555793,14.41,39.52,185.27,32.92,22.02,43.08,10,50.39,18.23,0.18,1.09,109.16,2.44,22.3,17.6,26.6
"38","Comoros",8.05,1.100676758,3.461404191,3.357260846,91.95294552,289.1732824,280.4729195,29.69686059,93.39057717,90.58073281,14.84323,60.93004,60.2145,120807.8615,495904.7212,490080.9983,278318,499106,8.05,7.863303,8.0245183,6.0384258,6.0384258,1.5,0.41,36.55028147,54.97979736,70.16465757,175.6912717,264.2789638,337.2701227,3.5,40.48,312.61,85.79,12.07,37.63,23.24,64.6,40.5,3.56,19.82,140.96,2.36,7.8,3.3,12.2
"39","Congo",16.672,0.986611486,2.575960331,3.876845836,82.42368303,215.2013644,323.8801868,44.85581396,117.1147904,176.2589206,36.00113,77.87475,90.04419,1839910.471,3979946.406,4601890.219,749347,4246301,16.672,7.7231127,7.6175358,5.7576397,5.7576397,0.86,0.25,214.3269584,310.307522,416.6726565,235.9875363,341.6682072,458.7829475,3.6,51.12,374.62,122.13,15.38,52.38,41.93,69.02,49.78,3.14,13.14,145.47,2.22,9.6,5.5,13.5
"40","Costa Rica",260.889,0.942631128,2.736463189,3.879117852,78.7494677,228.6101244,324.069996,15.2863986,44.37649658,62.90662372,0.5103955,4.925115,10.59034,25264.34247,243790.9269,524216.9584,4543420,264432,260.889,8.8486617,8.9133927,8.7075053,8.7075053,0.34,0.14,11.65821886,2.804006248,24.73488539,4.412595061,1.061306557,9.362067606,9.7,39.46,130.93,22.05,24.85,27.45,17.23,39.65,15.16,0.4,0.85,109.66,2.53,25.7,21.1,30.4
"41","Cote d'Ivoire",4.625,0.814961923,1.618856167,2.889052155,68.08370288,135.2427876,241.3577406,25.8448894,51.33878944,91.62051781,9.432848,36.85344,68.84484,2305149.306,9006047.975,16823936.43,5199406,17909066,4.625,7.3379487,6.312889,4.4236553,4.4236553,0.26,0.08,486.8208205,684.1582321,951.3260614,133.2425572,187.2536846,260.3773541,6,35.07,422.34,139.42,27.81,58.44,47.95,101.94,43.34,4.59,21.59,143,2.4,10.3,5.8,15.2
"42","Croatia",114.487,0.673078637,3.262815203,4.373040879,56.23046257,272.5827237,365.3334068,7.771650708,37.67384477,50.49298014,0.3083222,2.453549,5.311003,12716.84472,101197.3891,219053.9651,4077496,126108,114.487,8.3590648,6.3176757,9.2294015,9.2294015,0.21,0.09,0.634493705,1.217902983,6.987970489,0.111150038,0.213351152,1.224146402,58.98,30.22,325.58,88.71,8.95,23.45,18.81,27.81,13.66,0.05,0.31,180.24,4.51,24.4,24.1,24.5
"43","Cuba",11.301,0.895724832779999,2.37062562253,3.61887158295,75.5524184543,195.572482598,303.470642344,29.32741514839,75.8881773553,116.2513051458,5.24183547265,42.93306763,68.1359847,1141708.4791939,6743007.076961,9023420.9735344,10682055,779377,11.301,7.2850055,9.5670743,11.7883774,11.7883774,0.38,0.16,26.79787593,51.27562769,133.0067906,2.340771293,4.478881745,11.61802816,35.8,34.34,214.01,56.83,13.13,24.27,10.7,28.74,12.81,0.09,0.8,152.98,2.87,24.6,18.9,30.3
"44","Cyprus",28.542,0.581570659,2.085576347,3.051524636,48.58568577,174.233613,254.9310472,9.553222324,34.25890599,50.12614175,0.002312479,0.05130247,0.05130247,27.27985227,605.2049781,605.2049781,1160985,0,28.542,8.2802862,5.6710975,6.7227887,6.7227887,0.43,0.16,0.561848339,0.506820861,1.041139077,0.482389041,0.435143815,0.893896176,24.8,43.87,187.14,35.42,17.83,30.02,7.54,63.02,10.77,0.15,0.32,126.42,4.07,21.8,21.9,21.6
"45","Czech Republic",237.838,0.449308988,2.407971577,3.108033837,37.53625634,201.1672161,259.6519496,5.952627554,31.90178325,41.17649176,0,0.1187588,0.188587,0,12581.82744,19979.73279,10451144,94915,237.838,8.4406733,6.6159594,9.060892,9.060892,0.26,0.11,5.136815339,3.176816563,44.40788951,0.378736361,0.234226046,3.274184753,57.02,29.8,283.58,55.86,6.81,18.94,13.41,25.5,13.21,0.1,0.31,156.73,4.6,26,26.4,25.4
"46","Democratic Republic of Congo",3.394,0.560192577,2.049379486,3.24618016,46.79971401,171.2096479,271.1929958,36.02248181,131.7827803,208.7415482,28.68827,87.43453,95.51018,23351897.19,71170626.73,77744106.01,21868430,54328189,3.394,6.2299002,6.064558,4.3320325,4.3320325,1.21,0.3,2637.781537,3663.685833,4972.133082,220.8595465,306.7577737,416.3131186,4.4,48.24,353.13,136.68,11.47,58.92,31.39,55.64,51.98,3.99,16.71,114.31,1.8,6.7,3.6,9.7
"47","Denmark",122.406,0.303741478,1.74842859,2.389893956,25.37522787,146.0675513,199.6569721,4.451481478,25.62408513,35.02507712,0.1092044,0.1425427,0.1710614,6295.611819,8217.558146,9861.655498,5660749,22734,122.406,5.3713457,3.2946986,5.0148581,5.0148581,0.34,0.12,8.074058217,4.378149493,7.934043856,1.059482007,0.574502993,1.041109252,40.1,34.51,137.43,36.95,8.07,37.99,10.96,28.41,14.97,0.07,0.44,169.05,3.75,19.7,22.3,17
"48","Djibouti",61.741,0.615534816,2.459454634,3.540836588,51.4231258,205.4682234,295.8092388,25.67767887,102.5987234,147.709703,3.311857,46.17658,66.70957,31267.14258,435951.7065,629803.0491,439594,487820,61.741,8.6408121,7.5921335,5.8525499,5.8525499,0.71,0.24,19.31481957,27.18297244,36.92893674,103.8233809,146.1172387,198.5049382,3.5,41.29,305.33,83.21,13.97,33.29,26.47,65.77,39.81,3.38,19.55,139.33,2.32,13.5,8.6,18.3
"49","Dominica",369.5022,0.89372118471,2.50680056228,3.50567950161,78.9037156897,215.527328882,293.206041792,31.34457119719,89.1175936258,118.8611988901,6.2020227069,44.37503879,61.14803338,975886.58277385,9459569.29554841,11417980.133778,57540,13410,185.9281,8.4823535,13.5847999,14.1707703,14.1707703,0.46,0.21,0.162658359,0.231687154,0.612028439,2.866725552,4.083303752,10.78651956,19.42825,31.09,293.7,72.39,42.57,25.8,15.4,127.88,17.63,0.19,1.5,203.15,2.82,27.9,19.9,35.6
"50","Dominican Republic",205.201,1.180382518,2.875454061,4.024191138,98.61173919,240.2217261,336.1897358,15.24125693,37.12824737,51.96089413,0.5847719,7.921777,18.58065,61477.8359,832826.7935,1953408.075,8843851,1684543,205.201,8.6348075,11.4407357,10.6344056,10.6344056,0.34,0.15,42.48574207,36.78264952,98.03372129,8.682168866,7.516714052,20.03366968,6.985,30.5,272.57,70.25,22.63,20.73,18.11,53.27,9.89,0.84,2.52,103.49,2.7,27.6,21,34.1
"51","Ecuador",713.482,1.345774261,2.50948,3.182589661,112.4289274,209.647452,265.8805063,31.37819024,58.51125492,74.20553857,3.393462,10.93528,17.05914,569604.8471,1835526.224,2863438.232,13674280,2470088,713.482,7.4656134,8.4553857,7.8982064,7.8982064,0.49,0.17,20.70483616,25.33957075,68.74477193,2.566411094,3.140896891,8.521069378,7.18,28.19,141.95,33.66,40.64,23.92,22.51,80.2,18.46,0.28,0.89,106.11,2.65,19.9,14.9,24.7
"52","Egypt",60.801,0.987348298,2.265912852,4.148056121,82.48523794,189.2993193,346.5376876,8.165371609,18.739102,34.30442909,0.7054973,26.9977,75.18362,680399.8897,26037281.93,72509032.64,88807929,4970243,60.801,15.9915285,19.8157674,18.2179029,18.2179029,0.55,0.27,29.55839364,95.80742928,118.0654084,1.537230201,4.982614264,6.140175061,8.4,40.61,436.74,107.01,31.43,43.88,122.79,66.91,16.29,1.07,1.27,83.01,3.61,32,22.7,41.1
"53","El Salvador",148.315,1.459323301,5.867017476,4.686519279,121.9150627,490.1434817,391.5220784,27.08448184,108.8895985,86.98000382,2.749257,54.69082,41.0972,175625.8913,3493716.304,2625339.275,4734359,1578120,148.315,9.3025743,10.6596175,9.6655712,9.6655712,0.42,0.16,28.81949485,73.883603,106.2409055,8.679004675,22.25008242,31.99449956,5.95,41.37,179.53,25.27,69.3,23.07,25.7,116.48,15.27,0.14,1.83,98.27,2.47,24.6,18.9,28.9
"54","Equatorial Guinea",59.16,0.84764290959,2.36700248272,3.57058299021,70.7617482645,198.472235329,300.366124094,27.88888476379,75.5950912532,111.0858087197,4.8781613031,43.28994083,65.1212756,910116.9939576,4420673.3294314,5355738.9798404,875665,299724,59.16,9.4867882,9.1859882,7.3285951,7.3285951,1.08,0.31,17.85461943,16.87890766,35.34065549,96.82594982,91.53464588,191.6530649,4.6,49.24,238.66,65.36,11.01,32.48,29.25,60.57,28.6,1.8,9.17,129.09,2.54,8,3.8,12.6
"55","Eritrea",53.7341,0.88976412994,2.3787078962,3.61304771312,76.0243626374,197.287640687,301.529407545,29.46038069919,76.2266290454,111.3267098183,4.8654197083,43.4966969,69.7679966,920539.22718395,13490485.160077,9881790.065497,666729,3807961,8.87503,5.9635541,5.0479592,3.3054191,3.3054191,0.95,0.19,212.6662146,308.7297806,400.0728624,308.4783183,447.8212194,580.3169254,3.5,42.32,386.59,134.02,13.53,51.58,35.39,70.74,55.09,5.12,26.25,157.28,2.19,5,2,7.6
"56","Estonia",55.03,0.424691275,2.599478188,3.287714057,35.47963869,217.1660976,274.6628285,5.054385528,30.93721416,39.12812747,0.1485402,0.6071837,0.7833411,1956.844828,7998.940914,10319.61032,1278576,36831,55.03,7.7077688,6.5439834,9.507434,9.507434,0.19,0.07,0.079756048,0.223907952,0.499390045,0.044648951,0.125347926,0.279568036,60.51,27.81,326.4,45.83,8.79,10.48,14.09,19.43,12.91,0.05,0.41,144.09,4.19,21.2,20.3,21.8
"57","Eswatini",166.26726,0.930994443,2.243610657,3.202414589,77.7773135,187.4361451,267.5367242,15.26028991,36.77588985,52.49201585,15.93032,52.68501,66.43794,179176.7521,592576.2305,747262.7233,6904638.44,4072645.46,379.83366,9.072957337,9.634427458,7.8732791,7.854238306,0.5483,0.2028,223.84040537469,330.15539302228,457.68195052614,49.47761208224,88.94646067385,132.4212825275,10.8786,41.8164,382.4052,122.4069,35.9849,58.7121,31.8023,108.1681,33.4616,1.3892,4.3062,126.2828,2.6412,19.466,13.811,24.518
"58","Ethiopia",12.569,0.720331215,2.003412194,3.647435865,60.17804634,167.3694398,304.7147757,50.71781197,141.0582811,256.8123699,5.599133,52.99223,87.36121,5957478.856,56383745.44,92952348.41,27964449,71908584,12.569,5.7992061,5.0238509,3.5951689,3.5951689,1,0.19,4641.117043,6906.191956,8506.672859,271.5362876,404.0582705,497.6970731,2.6,39.37,360.35,106.98,17.09,47.16,39.55,70.74,50.53,5.17,23.59,151.75,2.13,4.5,1.9,6.9
"59","Fiji",2.231,0.848623732,2.557932049,3.955216302,70.89588406,213.6952422,330.4274271,10.98752775,33.11874072,51.21003245,0.03736218,7.515299,28.74499,327.837811,65943.66745,252225.5018,812748,79401,2.231,15.946039,18.8754833,18.30089,18.30089,0.47,0.22,3.306182604,10.46151617,23.2986789,11.43925761,36.19642133,80.6124833,0.4,41.41,482.67,101.87,83.75,70.5,10.82,459.95,19.12,1.05,3.64,122.79,2.63,30.2,25.1,35.3
"60","Finland",63.891,0.281521543,2.48,2.574301349,23.51892593,207.1846282,215.0627693,3.962456887,34.90636262,36.2336679,0.06272282,0.09872849,0.09872849,3454.907152,5438.176508,5438.176508,5348022,131509,63.891,6.4035424,4.3160987,6.8101355,6.8101355,0.24,0.1,1.141119764,0.792747225,1.032838419,0.140951943,0.097920714,0.127576953,31.41,52.29,179.76,43.04,4.09,14.58,12.59,11.61,11.9,0.03,0.22,116.43,4.39,22.2,23.7,20.6
"61","France",544.493,0.319270299,1.903125749,2.994268773,26.67253963,158.9912906,250.1477672,4.059037715,24.19535799,38.06758693,0.002388263,0.02060666,0.0396873,1596.915494,13778.67288,26536.97029,65757955,866113,544.493,7.4588522,4.425538,6.6258572,6.6258572,0.23,0.08,29.55886606,25.84692835,52.77921822,0.333688042,0.291784228,0.595821029,43.64,36.62,109.08,25.02,6.13,14.64,10.57,21.03,10.35,0.07,0.3,148.79,3.76,21.6,22,21.1
"62","Gabon",24.262,0.9553951,2.569921043,3.759603537,79.8157978,214.696829,314.0855085,21.99218217,59.15685746,86.54208702,1.150285,15.18224,32.0472,23751.34925,313486.3834,661717.9565,808743,1121432,24.262,10.0069996,9.9846067,8.3337097,8.3337097,0.6,0.21,45.21394737,59.61460208,85.68390025,102.0798828,134.5923536,193.4492121,9.5,55.58,308.36,94.28,16.72,36.52,51.18,77.36,41.84,2.7,11.49,146.79,2.59,15,9.6,20.3
"63","Gambia",49.241,0.98305743,2.529438269,3.849925952,82.12676944,211.3148095,321.6312408,38.99404664,100.3329315,152.7115177,3.858992,47.66144,73.06253,85433.99235,1055173.76,1617526.968,1164801,812789,49.241,9.4400826,7.9299876,5.2351226,5.2351226,0.24,0.07,60.67364177,83.36837184,114.214131,135.5411193,186.2397262,255.1472221,4.9,34.41,320.01,92.04,19.24,45.93,29.34,61.6,29.59,2.55,22.42,123.15,2.22,10.3,5.6,14.8
"64","Georgia",63.422,0.87737978791,2.38173052577,3.62943242078,75.729034797,199.101678117,303.454422249,26.58602204049,71.8228949348,105.9124513583,3.9212537001,43.13650903,65.1517038,921623.9223125,6317942.731927,7076965.7137894,3207857,509243,63.422,13.278765,12.0605641,14.9822181,14.9822181,0.28,0.11,0.536494789,2.748147005,2.895055244,0.153549655,0.786544498,0.828590963,31.6,27.94,490.35,149.05,12.9,30.94,24.49,35.78,9.26,0.64,0.84,123.01,3.68,21.7,19.2,23.8
"65","Germany",121.539,0.266420584,2.258621347,2.778415742,22.25735877,188.690171,232.1149325,3.672619731,31.13519677,38.30058588,0,0.2406784,0.2406784,0,198937.5499,198937.5499,81033118,653493,121.539,6.0163501,3.9049721,6.401131,6.401131,0.29,0.12,94.47881279,81.23252609,107.5560226,0.735746351,0.632591931,0.837584097,39.52,37.13,186.93,29.92,12.41,23.73,13.28,30.6,12.76,0.15,0.24,143.53,3.57,22.3,24.2,20.4
"66","Ghana",10.17,0.823971445,2.514906339,4.250567979,68.83637802,210.1007802,355.1017527,50.05460845,152.7755032,258.2134578,5.28721,34.26132,60.90227,1539713.327,9977400.368,17735636.9,4109840,23472981,10.17,6.4065812,6.6002139,4.9698628,4.9698628,0.25,0.08,584.1093525,811.0063725,1146.344862,93.04392962,129.186803,182.6035317,2.4,33.12,362.74,144.5,18.77,39.15,39.88,86.46,30.99,3.01,23.06,122.03,2.4,10.9,4.5,16.6
"67","Greece",56.893,0.677560681,2.580448916,3.085863011,56.60490235,215.5763506,257.7997503,7.706613058,29.35017021,35.09877836,0.45555,2.04858,2.895735,48992.94018,220318.2031,311427.0039,10712674,108209,56.893,7.2485658,6.015919,8.8226583,8.8226583,0.19,0.08,0.826121662,1.188550991,0.748101222,0.049080746,0.070613049,0.04444547,46.22,40.43,215.53,56.54,11.93,24.69,6.23,21.49,8.24,0.61,0.34,138.73,3.68,24.9,24.2,25.4
"68","Grenada",426.85058,0.90008390623,2.51481723988,3.4947907554,80.7501821528,216.128952311,293.332060536,31.41087008551,89.1268663383,118.2658146039,6.2246677589,39.70360359,60.13264158,965656.43885799,8781178.1410064,10668343.9680545,104687,2136,141.64844,8.8060987,13.254356,12.1055568,12.1055568,0.59,0.24,0.200695424,0.351517846,0.773208248,1.80703512,3.165020311,6.961865065,17.16675,32.62,340.45,109.34,44.15,24.6,19.14,153.24,21.94,0.25,1.33,201.04,2.74,21.3,13.3,29
"69","Guatemala",204.571,0.935347683489999,2.43680988788,3.5694058492,79.8389536943,207.409364966,300.59970194,26.2522147495,67.1716761873,96.504951056,3.7894076592,40.4002048,64.8438825,965611.2388285,14663668.98358,15152197.708714,10385302,5867127,204.571,8.933383,10.3592865,8.225591,8.225591,0.61,0.22,157.2738973,322.3879284,545.6001207,27.16939881,55.69319736,94.25357628,5.7,41.48,165.83,38.57,50.47,21.5,43.44,118.24,25.61,0.47,2.16,112.08,2.33,21.2,15.1,26.4
"70","Guinea",5.406,0.903217626,2.214249044,4.147675709,75.45677748,184.9832117,346.5059072,24.58392943,60.2678033,112.8921358,8.894817,59.42562,90.28445,1073385.51,7171209.869,10895111.21,2430398,9661135,5.406,6.7504811,6.0544232,4.5085532,4.5085532,0.35,0.09,475.096115,681.0557156,916.7504496,192.2882471,275.6474018,371.0414196,7.5,34.31,382.26,137.19,19.77,61.4,39.63,83.14,41.02,4.09,28.13,139.54,2.17,7.7,3.7,11.5
"71","Guinea-Bissau",20.833,0.925029393,1.857224191,3.778343141,77.27898019,155.156574,315.651056,26.10351682,52.4092351,106.6215241,45.31672,78.24714,92.62132,828455.804,1430471.96,1693252.957,368269,1402257,20.833,7.3624409,6.8439213,5.0856492,5.0856492,0.28,0.08,74.40035852,107.6224622,144.2902741,289.0878517,418.1746838,560.6500587,2.4,33.85,495.16,170.77,32.36,73.71,52.51,112.28,47.53,5.28,33.15,165.51,2.14,9.5,5,13.7
"72","Guyana",151.292,0.726962015,3.605647519,4.771648186,60.73199795,301.2236858,398.6339337,18.50998834,91.80740137,121.4962411,3.969284,25.4164,39.30348,30770.72312,197033.2702,304688.8307,643246,125268,151.292,9.0633936,12.596474,10.9003648,10.9003648,0.6,0.24,3.6719118,4.010773659,9.249413705,14.14279139,15.44795689,35.62518264,7.2,32.8,495.73,155.97,36.09,24.93,36.36,159.01,26.08,0.9,1.54,128.21,2.71,20.2,12.7,27.1
"73","Haiti",20.346,1.094127898,2.928761213,4.698406729,91.4058394,244.6751222,392.515182,41.09860075,110.0127216,176.4857132,14.42873,60.68664,82.16744,1584615.938,6664828.918,9023928.994,2956253,7754808,20.346,8.5517711,8.7666628,7.0955362,7.0955362,0.35,0.14,92.30855875,144.8636186,195.0337479,34.04920955,53.43482525,71.94072837,10.1,32.61,544.45,184.3,38.25,55.62,22.18,134.81,38.48,0.93,8.02,176.74,2.36,22.7,17.9,26.9
"74","Honduras",266.442,1.145273549,3.471640373,3.649055412,95.67865908,290.0284355,304.8500762,32.60270703,98.82780761,103.8783133,12.80576,46.9657,48.85315,1207456.775,4428401.959,4606369.864,7401645,1559184,266.442,8.4891994,9.972857,7.8857192,7.8857192,0.49,0.18,60.75258714,181.3742528,278.5056549,19.99434854,59.69227316,91.65929217,14.7,48.16,315.58,56.11,58.97,56.37,34.33,104.03,50.69,0.52,2.61,118.55,2.65,21.4,15.6,26.9
"75","Hungary",163.348,0.45006955,2.342294252,3.721089004,37.59979528,195.6803887,310.8679202,6.690511856,34.81939065,55.31587313,0.3069299,1.281289,3.021302,30042.19426,125412.1317,295724.0125,9646167,196861,163.348,8.9001676,6.6882506,9.4248907,9.4248907,0.26,0.11,4.840916635,22.05688295,46.66520692,0.389035322,1.772578876,3.750201704,78.66,30.13,361.76,74.59,8.6,32.23,26.66,27.37,17.64,0.06,0.51,202.73,4.43,26.4,28.2,24.6
"76","Iceland",32.234,0.382420976,2.450969495,2.386684087,31.94828534,204.7593563,199.3888126,4.271764756,27.37811411,26.66002552,0,0.01792546,0.01792546,0,61.55602964,61.55602964,326845,3970,32.234,7.6316878,4.1564257,5.2995146,5.2995146,0.27,0.1,0.133755738,0.080584068,0.120383674,0.413668974,0.249223918,0.372312934,25.06,43.88,147.84,31.21,5.54,22.17,3.55,15.54,9.83,0.04,0.39,144.51,4.33,21.9,24.2,19.4
"77","India",86.963,0.788195593,2.124408033,3.219106537,65.84758505,177.477697,268.9312061,27.32972627,73.66127208,111.6186151,0.6541131,42.66327,71.48567,8756342.804,571115633.2,956949237.2,518385376,790668604,86.963,9.053893,8.3259159,7.5498721,7.5498721,2.58,0.5,118987.3967,183143.7234,321468.3266,232.1997819,357.3986305,627.3343008,7.9,26.27,344.27,85.07,27.09,138.8,19.45,80.67,23.45,6.53,5.71,86.89,2.74,3.9,2.7,5.1
"78","Indonesia",49.4,1.020366482,2.663409884,5.056987635,85.24364932,222.5070914,422.4718158,20.86858118,54.47217871,103.4257385,1.066842,35.58759,71.30388,2823353.463,94181092.86,188702785,156962565,101199548,49.4,7.4193282,7.9842802,7.347647,7.347647,1,0.24,7272.128659,12446.09086,28585.46572,82.43602785,141.0874781,324.0416058,18.6,48.38,384.93,149.73,20.78,62.84,27.91,83.27,45.3,2.98,1.84,82.91,3.06,6.9,4.8,8.9
"79","Iran",396.45,0.870882295,2.008571733,3.459457249,72.75541312,167.800479,289.0106306,21.81011213,50.30206145,86.63759836,0.03890009,2.204791,10.49139,31382.23955,1778692.011,8463818.828,71424438,7936049,396.45,11.3852069,12.860293,11.0630794,11.0630794,0.41,0.17,43.26512702,55.9499208,206.2125559,1.328461976,1.717950402,6.331786323,6.7,47.64,352.24,67.36,20.78,31.62,8.54,59.15,10.94,1.48,1.41,104.48,4.73,25.8,19.3,32.2
"80","Iraq",266.617,1.164338457,2.504804723,3.919958686,97.27138321,209.2568691,327.4819287,25.02542643,53.83641323,84.25268194,0.706506,18.24499,50.81578,265312.6509,6851501.138,19082738.58,30914996,5200653,266.617,17.2299941,17.4914421,13.7771144,13.7771144,0.35,0.16,3.099555605,12.04861261,24.26456267,0.310474336,1.206877849,2.430517449,21.1,50.31,613.13,129.92,50.48,41.87,10.24,142.58,6.93,1.52,3.37,99.31,3.12,30.4,23.4,37
"81","Ireland",382.762,0.577231411,2.058216272,2.470563485,48.22317552,171.9478924,206.3962812,11.81372843,42.12384777,50.56302468,0.1854279,0.3040497,0.3353735,8914.238613,14616.84879,16122.70539,4232536,444299,382.762,7.3088405,5.1438133,6.2155942,6.2155942,0.17,0.07,0.851403099,1.341764391,0.849139936,0.191230184,0.301368238,0.190721865,35.14,42.09,159.45,29.93,9.19,34.72,6.61,22.99,11.65,0.15,0.32,152.01,3.92,25.3,25.1,25.5
"82","Israel",286.868,0.508129071,1.918522938,2.675549201,42.45021475,160.2776055,223.5212365,6.230197422,23.52311126,32.80505032,0,0.4831344,0.9977683,0,42096.94968,86938.54528,8380100,0,286.868,7.0922374,5.7613617,6.7878403,6.7878403,0.29,0.12,6.588797326,8.987716548,9.032278833,0.961916049,1.312140647,1.318646414,28.12,40.79,119.21,26.23,22.52,18.42,7.31,56.8,10.34,0.16,0.37,134.5,3.95,26.1,25.9,26.2
"83","Italy",623.534,0.316287353,2.256911343,3.093535301,26.42333779,188.5473135,258.4407102,3.563861467,25.43041726,34.85732559,0.996795,1.881131,2.472911,603426.8885,1138774.799,1497018.936,60426929,303653,623.534,7.0540891,4.6222522,7.4494739,7.4494739,0.23,0.08,21.33296377,24.20477728,34.517873,0.215294503,0.244277146,0.348357987,44.23,49.15,144.02,31.69,8.78,19.04,10.14,26.86,9.26,0.39,0.22,143.27,3.96,19.9,20.1,19.5
"84","Jamaica",66.19,1.014786055,4.057104501,5.497522295,84.77744822,338.9393902,459.2750456,15.58050759,62.29071352,84.40615377,0.876297,34.51796,52.39908,25595.34721,1008218.87,1530500.1,2349242,522692,66.19,9.2817333,14.4098648,14.500917,14.500917,0.49,0.21,3.770326911,5.812347618,10.23805723,2.305956156,3.554869136,6.261661563,22.1,31.1,248.65,105.69,30.32,27.8,8.43,147.02,13.58,0.27,1.73,158.63,2.78,24.7,15.3,33.4
"85","Japan",13.678,3.034385921,3.649771285,5.199124462,253.4992416,304.9098818,434.3462374,35.14447641,42.27191404,60.21663419,0.9434035,1.209406,1.616443,1196101.646,1533355.036,2049420.141,127141000,0,13.678,8.3588827,5.0036277,8.4964572,8.4964572,1.36,0.2,139.8796285,94.0614781,426.0182665,0.552538258,0.371552068,1.682813956,30.22,48.28,94.69,31.75,9.7,12.67,8.24,16.2,6.87,0.23,0.2,120.91,2.69,4.3,4.8,3.7
"86","Jordan",65.47,0.643548024,1.610624012,4.130602626,53.76341055,134.5550553,345.0795845,13.79841212,34.53363704,88.5648859,0,0.3593719,19.90089,0,35143.59981,1946142.462,9031072,128230,65.47,16.510798,17.1804625,13.4508012,13.4508012,0.36,0.18,1.704340143,1.443525314,5.65300118,0.692248746,0.58631406,2.296069241,15.3,49.27,297.16,72.66,40.39,22.19,11.8,95.57,11.48,0.6,0.78,97.41,3.4,35.5,28.2,43.1
"87","Kazakhstan",118.285,0.652794041,1.759645705,2.796565717,54.53584305,147.0046538,233.6312211,7.72641415,20.82701529,33.09991139,0,0.1029689,1.16534,0,18573.29953,210201.4188,17105523,438603,118.285,12.3560972,11.3681004,11.6856272,11.6856272,0.31,0.12,0.629721401,3.35391534,3.395181939,0.084860287,0.451968472,0.457529495,52.04,26.4,534.53,136.11,11.76,46.9,49.78,25.93,13.69,0.22,1.06,121.92,3.41,21,18.9,22.7
"88","Kenya",17.37,0.766345623,1.851108442,3.084440941,64.0221907,154.645651,257.6809474,21.26219634,51.35885164,85.57756047,10.6535,55.18997,78.95827,5350344.626,27717215.88,39654006.25,14218114,33018145,17.37,5.8172238,6.1624503,4.2423771,4.2423771,0.42,0.11,1989.655712,2803.290055,3686.789729,243.664114,343.3062231,451.5044224,4.1,35.16,225.89,74.35,8.37,34.06,19.56,41.49,38.5,3.54,17.21,85.11,2.21,7.1,2.8,11.1
