"","mean_monthly_income","gdp_growth_per_capita_from_previous_year_2020_q2","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","poverty_rate_50_percent_of_median_lis_key_figures_2018"
"101",286.64999,-0.003761229518797,0.8,47.3,12.84739
"102",625.0238008,-0.243765236263319,16.344,20.476,12.62864
"103",441.22,-0.0234484264815231,0.3,29.7,14.80407
"104",305.10001,-0.000383328523747419,15.4,34.2,18.41048
"105",81.559998,-0.000361923191729938,69.6,50.2,18.87943
"106",172.39,-0.000192105234659293,28.695,33.768,17.23425
"107",342.70999,-0.00506372208952501,42,49.8,19.78078
"108",119.01,-0.00042139893222964,28.6,44.3,15.79111
"109",1585.92,-0.000524075474088864,14.282,19.319,6.184
"110",623.0395009,-0.00187326361964868,18.106,22.295,12.85042
"111",329.39001,-0.0021376348965331,16.1,47.8,18.62621
"112",78.699997,-0.000411495810860427,89.3,40.1,16.23228
"113",75.860001,-2.88551540707234e-05,53.2,38.7,18.61682
"114",2162.8799,-0.000975421131690217,16.426,23.158,7.662
"115",624.9889003,-0.0018206470127073,15.03,17.224,12.77393
"116",150.3,-3.75487876046786e-05,44.2,31.3,17.15912
"117",747.06,-0.00314102715025793,20.297,29.067,22.666
"118",96.879997,-0.00113034143201949,54.319,46.932,18.10967
"119",520.39001,-0.00194045837242809,8.95099999999999,28.65,21.394
"120",401.73999,-0.000906364922193787,10.5,55.4,24.442
"121",227.03,-0.000148585850378389,11,27.4,18.75233
"122",543.27002,-0.000209011269543711,5.127,17.565,10.587
"123",816.5,-0.00160308027449062,16.462,27.596,13.81941
"124",627.2525009,-0.0030996614364374,13.331,15.438,12.21468
"125",305.64999,-0.000548939986430203,2.086,19.608,8.465
"126",680.21002,-0.000106213730568128,19.258,29.209,12.506
"127",78.540001,-0.000915293998205704,53.8,54.1,18.79382
"128",622.9696012,-0.406805123555869,19.144,26.726,13.80068
"129",86.949997,-0.0533121901436195,19.3,43.5,16.85243
"130",620.8837007,-0.000321084681357177,14.273,18.563,12.58661
"131",95.980003,-0.000653005090804122,56.9,31.6,17.77595
"132",360,-0.00176355810164931,0.2,41.2,14.137
"133",70.980003,-0.00128745679625585,81,45.5,16.6257
"134",622.5884003,-0.00223854551522669,18.173,25.083,13.1981
"135",678.90997,-0.00221582461363618,9.835,18.922,8.421
"136",1026.3199,-0.00425214884708119,13.001,17.114,9.989
"137",560.3394068,-0.00100769667179396,81.2,47.2,16.00326
"138",337.70999,-0.000221045866214903,11.1,37,23.751
"139",1181.66,-5.76516377895989e-05,19.06,24.101,14.62
"140",98.300003,-0.00095078465753444,91.1,47.2,18.5451
"141",1115.37,-0.000472775652592984,18.517,28.444,15.562
"142",268.32999,-0.000529972990527652,7.735,26.543,17.27212
"143",138.89,-0.000308722381415737,53.4,49.8,17.30687
"144",217.83,-0.0231610247634336,5.9,34.9,18.47152
"145",1642.51,-0.000816915545400869,14.341,18.883,5.596
"146",2020.86,-0.00107080771669397,13.403,17.328,8.745
"147",217.17999,-0.000601121826619848,4.4,11.1,16.77718
"148",192.72,-0.00121127776601095,13.2,26.4,16.23412
"149",78.599998,-0.000181748779468981,65.6,55.3,18.67486
"150",477.04999,-0.000171963203334913,0.9,20,15.26717
"151",82.519997,-0.00117039803249491,50.1,45.3,18.55284
"152",302.64999,-0.00746257503162021,5.6,4.4,17.18975
"153",334.19,-0.00180968695264301,1.2,26.2,15.79798
"154",567.58002,-0.000159930656865728,14.215,26.515,17.09275
"155",96.959999,-0.000218014105182398,69.9,50.4,19.31533
"156",350.12,-0.000258508212137631,1.2,4.4,14.02213
"157",621.2471991,-0.0010580666852232,15.628,20.121,10.73023
"158",1432.22,-0.000318148622498567,18.533,28.737,9.138
"159",2096.71,-2.85358061874237e-05,19.613,26.788,17.049
"160",825.67999,-0.00312124895104976,18.974,26.475,14.058
"161",62.200001,-0.000248033882515033,2.3,21.1,16.9589
"162",314.81,-0.000445918419552249,11.272,35.763,20.52868
"163",287.04999,-0.000117290561465674,7.1,24.3,17.66115
"164",123.29,-0.00034132114193077,45.9,35.3,17.63406
"165",90.860001,-0.000628336400264452,56.6,51.8,18.81474
"166",147.38,-0.000976655214680512,29.7,62.5,18.41266
"167",858.34998,-0.000997710394510541,13.512,18.519,5.972
