"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","crude_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_male_who_2019","healthy_diet_cost_percent_cannot_afford","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"78","Indonesia",49.4,7.347647,384.93,1.84,4.8,71.30388,5.347
"79","Iran",396.45,11.0630794,352.24,1.41,19.3,10.49139,4.865
"80","Iraq",266.617,13.7771144,613.13,3.37,23.4,50.81578,4.785
"81","Ireland",382.762,6.2155942,159.45,0.32,25.1,0.3353735,7.035
"82","Israel",286.868,6.7878403,119.21,0.37,25.9,0.9977683,7.195
"83","Italy",623.534,7.4494739,144.02,0.22,20.1,2.472911,6.488
"84","Jamaica",66.19,14.500917,248.65,1.73,15.3,52.39908,6.309
"85","Japan",13.678,8.4964572,94.69,0.2,4.8,1.616443,6.118
"86","Jordan",65.47,13.4508012,297.16,0.78,28.2,19.90089,4.094
"87","Kazakhstan",118.285,11.6856272,534.53,1.06,18.9,1.16534,6.168
"88","Kenya",17.37,4.2423771,225.89,17.21,2.8,78.95827,4.547
"89","Kiribati",30.599,22.2192174,498.79,13.01,41.6,1.616443,5.467
"90","Kuwait",177.026,14.6246098,245.7,0.55,33.3,2.541048,6.106
"91","Kyrgyzstan",174.428,9.3400427,574.47,1.08,14,57.584,6.25
"92","Laos",7.863,5.7492174,443.23,4.86,3.7,83.7078,5.284
"93","Latvia",33.4,9.5992022,423.55,0.43,21.6,2.62944,6.229
"94","Lebanon",86.441,11.051152,217.53,0.64,27.4,1.616443,4.024
"95","Lesotho",20.072,7.5376578,501.31,8.64,4.6,76.94296,3.512
"96","Liberia",16.213,5.6957736,346.06,19.99,5.5,97.57058,5.121
"97","Libya",118.173,14.2216907,310.43,0.98,25,28.74499,5.33
"98","Liechtenstein",26.221,15.4551671,544.45,2.56,25.9,90.62317,3.786
"99","Lithuania",51.795,9.5350186,382.11,0.57,24.2,2.856601,6.391
"100","Luxembourg",234.833,5.2535003,150.35,0.19,24.5,0.4126038,7.404
"101","Madagascar",8.812,3.3602759,505.29,21.16,3,96.73974,4.339
"102","Malawi",9.566,4.2931328,312.91,25.65,2.2,92.84431,3.869
"103","Malaysia",7.353,9.4710603,320.97,2,13,2.754231,5.428
"104","Maldives",68.45,8.3438318,239.27,0.53,5.8,2.729918,5.198
"105","Mali",6.716,4.522811,318.64,28.3,4.6,90.62164,4.988
"106","Malta",124.564,8.7500336,181.96,0.32,29.2,0.3113678,6.157
"107","Marshall Islands",1237.551,21.0801125,421.9,2.76,48.4,25.60362,7.035
"108","Mauritania",35.056,7.3046722,288.87,15.9,6.6,68.03631,4.153
"109","Mauritius",7.863,14.6107078,271.8,0.91,5.6,12.04238,6.015
"110","Mexico",696.596,11.0197769,158.3,0.64,24.3,17.93763,5.964
"111","Micronesia (country)",68.443,19.9445514,582.98,2.79,40.1,2.856601,6.151
"112","Moldova",423.901,10.1435799,543.97,0.75,16.2,4.655106,5.812
"113","Monaco",25.482,7.7590325,325.58,2.76,20.9,0.292606,3.775
"114","Mongolia",234.833,9.4505846,579.93,1.73,17.5,43.16624,6.011
"115","Montenegro",437.855,8.4850937,412.62,0.26,23.3,14.87213,5.722
"116","Morocco",93.334,12.340708,319.37,2.28,19.4,13.70442,4.803
"117","Mozambique",2.848,4.6596229,338.52,18.32,3.3,90.62317,4.932
"118","Myanmar",21.081,7.208295,285.17,3.28,4,51.92937,4.431
"119","Namibia",52.343,5.7685644,330.6,5.68,7.5,45.98487,4.451
"120","Nauru",17.37,28.0206037,591.54,0.46,58.7,19.70135,5.467
"121","Nepal",30.065,7.928876,330.7,4.62,2.7,72.0897,5.449
"122","Netherlands",416.227,5.2926449,127.71,0.41,20.8,0.3128131,7.504
"123","New Zealand",5.184,7.6297578,155.77,0.34,30.1,5.710876,7.257
"124","Nicaragua",23.549,8.9639055,180.52,1.44,17.9,27.84136,6.113
"125","Niger",2.85,3.7354109,334.07,33.31,2.5,91.94135,5.004
"126","Nigeria",5.506,4.2889467,197.62,18.9,4.6,89.12486,5.503
"127","North Korea",416.227,6.6706002,411.09,0.96,6.1,0.01792546,3.775
"128","North Macedonia",185.709,9.507434,111.1,3.64,7.5,18.23828,5.054
"129","Norway",51.649,5.5054435,137.75,0.3,23.6,0.4563593,7.29
"130","Oman",235.576,8.2816983,314.92,0.9,22.9,25.54418,6.853
"131","Pakistan",30.599,9.6872886,479.9,8.52,6,75.2726,4.443
"132","Palau",1038.977,21.1574305,225.89,0.67,51.8,0.7444149,5.885
"133","Panama",614.17,9.5552917,154.03,1.38,17.8,19.78807,6.086
"134","Papua New Guinea",0.782,11.6053098,591.54,6.95,16.6,5.311003,3.775
"135","Paraguay",186.049,7.1140043,271.74,1.96,17.1,15.44793,5.653
"136","Peru",1038.977,7.4633108,108.51,1.05,15.2,22.43048,5.999
"137","Philippines",64.363,6.129182,427.92,2.83,5.2,64.24689,5.08
"138","Poland",121.94,9.2658867,283.08,0.35,23.7,0.449238,6.139
"139","Portugal",232.526,7.7590325,155.11,0.34,20.3,0.9322764,5.768
"140","Qatar",79.832,13.1857956,187.72,0.43,32.5,68.84484,6.375
"141","Romania",341.725,8.3916512,430.29,0.42,23.4,11.02077,6.13
"142","Russia",182.198,10.2981062,562.81,0.96,18.1,2.541048,5.495
"143","Rwanda",2.702,2.9881491,268.13,19.02,1.9,91.14971,3.268
"144","Saint Kitts and Nevis",3.394,16.9508768,238.66,1.08,15.3,41.0972,6.502
"145","Saint Lucia",49.241,15.4551671,215.09,1.23,12,17.73234,3.786
"146","Saint Vincent and the Grenadines",33.4,11.666134,366.32,1.71,16.6,39.30348,5.885
"147","Samoa",26.221,25.1065113,389.59,1.93,39.9,2.856601,5.474
"148","San Marino",1237.551,5.0445686,144.02,1.88,6.1,17.05914,5.999
"149","Sao Tome and Principe",68.443,5.7104621,293.65,5.23,7.2,81.26451,4.547
"150","Saudi Arabia",153.071,13.8250458,301.43,0.69,30.8,25.60362,6.56
"151","Senegal",19.231,5.2602757,356.79,25.53,4,77.24802,5.489
"152","Serbia",117.274,8.4988801,398.67,0.41,21.1,23.87022,6.042
"153","Seychelles",437.855,10.5117947,289.36,4.82,7.6,5.710876,4.731
"154","Sierra Leone",9.277,4.6419825,386.95,31.04,3.8,85.57656,3.447
"155","Singapore",4.786,7.6571868,111.1,0.16,5.8,89.96324,6.378
"156","Slovakia",32.237,8.1008882,356.91,0.5,21,2.348883,6.519
"157","Slovenia",92.355,9.8495225,190.44,0.23,19.4,0.01920434,6.462
"158","Solomon Islands",416.227,11.7706089,666.43,3.4,17.9,66.70957,6.508
"159","Somalia",6.544,4.5081573,473.9,33.84,3.9,77.24802,4.668
"160","South Africa",321.251,11.7505881,249.35,5.62,15.4,61.10259,4.947
"161","South Korea",8.992,8.4375467,123.61,0.26,4.4,1.228063,5.793
"162","South Sudan",5.003,5.2168611,326.17,32.47,10.8,78.95827,2.817
"163","Spain",754.96,8.2329689,117.28,0.32,24.6,1.480493,6.502
"164","Sri Lanka",0.887,8.4048689,226.84,2.56,2.9,45.437,4.213
"165","Sudan",19.088,7.1762183,449.28,3.01,12.7,81.57917,4.139
"166","Suriname",189.215,13.4875486,331.98,2.57,18.9,1.228063,6.269
"167","Sweden",585.983,5.9741604,166.31,0.22,23.1,0.3404294,7.314
"168","Switzerland",222.887,4.3539265,130.34,0.2,22.2,0.02182594,7.508
"169","Syria",15.714,12.6454502,432.24,1.79,20.9,17.05914,3.462
"170","Tajikistan",8.493,7.597814,515.37,4.82,11.6,34.01277,5.373
"171","Tanzania",0.352,4.455715,327,20.03,4,84.53875,3.786
"172","Thailand",0.845,10.1013816,132.19,1.48,7,19.70135,5.885
"173","Timor",20.833,4.1040317,329.97,2.69,2.6,2.348883,5.885
"174","Togo",6.523,4.9975307,386.86,20.51,3.9,97.28955,4.179
"175","Tonga",266.442,24.5182123,274.78,8.57,41.4,5.710876,7.404
"176","Trinidad and Tobago",75.742,14.0860047,304.78,1.24,10.8,7.340323,6.192
"177","Tunisia",83.174,12.6824945,282.73,0.91,19.1,13.31939,4.731
"178","Turkey",117.976,14.205187,193.37,0.62,24.4,6.668437,4.862
"179","Turkmenistan",153.071,10.3663717,602.58,1.62,15.9,60.2145,5.474
"180","Tuvalu",177.026,23.8471629,231,1.73,47,2.472911,5.885
"181","Uganda",2.252,2.9922044,306.9,23.58,1.8,81.69172,4.641
"182","Ukraine",150.685,9.7013798,593.07,0.96,22,15.44793,5.27
"183","United Arab Emirates",48.734,8.4996671,339.84,2.98,27.5,0.4563593,6.458
"184","United Kingdom",668.253,6.9210203,145.01,0.4,26.9,0.4246,6.798
"185","United States",684.958,8.346949,176.43,0.4,35.5,1.499683,7.028
"186","Uruguay",15.545,11.9341041,185.95,0.4,24.9,1.307074,6.31
"187","Uzbekistan",16.642,9.0691813,696.86,1.09,13.8,66.43285,6.154
"188","Vanuatu",25.482,13.2630981,685.22,3.69,20.2,78.95827,5.467
"189","Venezuela",27.43,8.4720032,231,1.12,22.4,1.228063,4.574
"190","Vietnam",0.36,5.0445686,277.86,1.03,1.6,32.01523,5.467
"191","Yemen",20.117,7.051236,540.3,2.14,12,2.895735,4.197
"192","Zambia",18.93,4.3618839,393.06,31.73,3.6,84.97017,4.838
"193","Zimbabwe",16.282,5.2168611,305.49,17.75,4.7,82.59679,3.16
