"","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","total_confirmed_deaths_due_to_covid_19","daily_new_confirmed_cases_of_covid_19_per_million_people","daily_new_confirmed_deaths_due_to_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index"
"55",0.862,3.769,254.798,54.337899543379,74.86,NA,1.635,228,73,27.892,0,3365.902,1278576,0,23.15
"57",1.337,1.218,32.428,-21.8776194467728,114.53,113,1.534,162,1445,4.445,0.07,819.546,27964449,0,43.52
"58",0,0,0,-100,3,NA,NA,NA,2,0,0,36.812,812748,2,86.11
"59",0.181,1.444,237.153,-2.66666666666666,735.08,189,2.335,229,354,34.833,0,2736.649,5348022,1,38.43
"60",1.319,39.955,4105.034,53.7530196875018,81.44,232,2.965,241,35541,511.953,8.012,18364.187,65757955,0,60.65
"61",0,0,23.812,120.833333333333,111.25,NA,0.604,189,54,0,0,4015.315,808743,1,67.59
"62",3.226,0.414,4.138,-47.3684210526316,246.41,75,3.247,97,119,0,0,1516.553,1164801,1,24.07
"63",2.521,37.852,3509.748,99.5581527936146,9.04,11,0.747,194,253,433.924,3.76,8487.469,3207857,0,64.81
"64",0.991,6.039,996.336,80.7761439677762,139.19,222,2.193,241,10183,178.602,1.015,5540.906,81033118,0,59.26
"65",1.347,0.193,10.105,-6.26865671641791,327.51,129,0.661,215,316,0,0,1537.511,4109840,0,42.59
"66",2.551,12.568,602.798,84.3062481666178,41.47,16,1.811,229,593,120.502,1.151,3142.265,10712674,2,48.61
"68",3.51,14.233,187.1,-12.6855952070852,135.05,152,3.472,201,3665,37.788,0.781,5892.697,10385302,2,52.78
"69",0.308,0.076,21.397,-30.4455445544554,146.6,NA,0.601,206,71,11.422,0,899.961,2430398,0,62.04
"70",0,0.508,0,-100,84.21,NA,1.706,180,41,0,0,1221.038,368269,NA,NA
"71",1.684,16.528,336.911,14.7186147186147,122.68,NA,2.93,86,119,44.498,0,5162.995,643246,1,60.19
"72",1.429,0.175,4.385,-43.8202247191011,481.39,109,2.57,170,232,0,0,791.579,2956253,1,53.7
"73",1.283,11.207,443.329,-18.3828996282528,248.4,185,2.789,210,2639,66.333,0.606,9553.432,7401645,2,76.85
"74",4.15,57.451,1630.686,67.6207703766759,20.39,203,2.393,219,1578,237.155,4.451,6825.115,9646167,1,27.78
"75",0,2.93,1116.484,-27.4285714285714,21.82,NA,0.24,229,11,205.128,0,13403.663,326845,2,41.67
"76",0.869,6.829,245.807,-17.6098688908428,168.03,209,1.502,225,120010,31.806,0.368,5790.07,518385376,1,70.83
"77",2.68,5.429,100.949,-2.15450035435861,90.48,222,3.408,228,13512,12.869,0.369,1449.432,156962565,1,68.98
"78",7.711,50.349,501.875,34.7591189539976,69.68,240,5.723,245,33299,82.959,4.119,6927.057,71424438,1,74.54
"79",1.615,18.746,629.25,0.277337559429469,141.91,150,2.332,226,10724,112.126,1.318,11434.097,30914996,1,75.93
"80",0.442,12.151,1318.604,-19.5875015437816,490.23,215,3.216,227,1890,141.764,1.013,11901.464,4232536,2,48.15
"81",1.153,49.448,637.857,-40.1777007259725,45.47,208,0.796,231,2483,135.52,3.466,36049.047,8380100,1,52.78
"82",2.561,24.048,2155.558,88.9318952770288,158.95,239,6.675,248,37700,363.684,3.655,9341.067,60426929,2,75.46
"83",2.757,16.885,139.472,-10.9913793103448,39.71,NA,2.231,196,196,12.833,1.351,2967.417,2349242,0,66.67
"84",1.382,0.727,33.073,10.2820986026892,188.3,196,1.763,237,1730,4.886,0.04,775.765,127141000,2,50.46
"85",2.454,43.418,1752.696,39.2214869599066,9.78,25,1.135,214,668,372.434,4.312,5768.322,9031072,0,51.85
"86",2.137,4.261,110.296,18.4782608695652,143.28,132,1.5,215,2221,22.475,1.598,7884.077,17105523,0,57.41
