"","total_confirmed_deaths_due_to_covid_19_per_million_people","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","healthy_diet_cost_percent_cannot_afford","income_classification_world_bank_2017","gdp_growth_from_previous_year_2020_q2","gdp","national_poverty_lines_jolliffe_and_prydz_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","general_hospitals_per_million_population_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","infant_mortality_rate","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","total_confirmed_deaths_due_to_covid_19","daily_new_confirmed_cases_of_covid_19_per_million_people","daily_new_confirmed_deaths_due_to_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index","deaths_from_anthropogenic_pollution_as_a_share_of_total_air_pollution_deaths","yll_rates_from_anthropogenic_air_pollution_per_100_000"
"68",163.348,8.9001676,361.76,0.51,24.6,3.021302,4,-13.5,250426483259.5,9.59,NA,NA,1.274012043,2.632851949,78.28436887,14.64,2.91,0.87,13.24,555.2157,394.3886029,4.15,57.451,1630.686,67.6207703766759,20.39,203,2.393,219,1578,237.155,4.451,6825.115,9646167,1,27.78,86.93919319,3310.542872
"69",32.234,7.6316878,147.84,0.39,19.4,0.01792546,4,NA,15315260539.5976,22.7,NA,NA,0.881542112,21.26700693,96.83309818,22.96,0,0.37,22.96,700.42822,150.2604665,0,2.93,1116.484,-27.4285714285714,21.82,NA,0.24,229,11,205.128,0,13403.663,326845,2,41.67,19.01408451,136.7781155
"70",86.963,9.053893,344.27,5.71,5.1,71.48567,2,NA,8835757694781.25,1.91,21.8,53.7,1.352926787,1.995294987,94.76563158,NA,NA,NA,NA,154.66501,3622.58324,0.869,6.829,245.807,-17.6098688908428,168.03,209,1.502,225,120010,31.806,0.368,5790.07,518385376,1,70.83,61.48630531,2508.087441
"71",49.4,7.4193282,384.93,1.84,8.9,71.30388,2,-5.36783,3075456084370.75,1.85,12.6,15.5,3.010707634,5.737725649,70.12477932,NA,NA,NA,NA,189.93916,2249.603275,2.68,5.429,100.949,-2.15450035435861,90.48,222,3.408,228,13512,12.869,0.369,1449.432,156962565,1,68.98,50.66606263,1032.765989
"72",396.45,11.3852069,352.24,1.41,32.2,10.49139,3,NA,1398996002264.01,NA,NA,NA,1.716036984,9.154814714,85.58886417,NA,NA,NA,NA,500.40799,1392.306919,7.711,50.349,501.875,34.7591189539976,69.68,240,5.723,245,33299,82.959,4.119,6927.057,71424438,1,74.54,16.78711879,320.4970438
"73",266.617,17.2299941,613.13,3.37,37,50.81578,3,NA,513592674532.306,NA,51.3,11.6,2.939514949,4.446227372,90.54279908,NA,NA,NA,NA,367.85107,1913.346863,1.615,18.746,629.25,0.277337559429469,141.91,150,2.332,226,10724,112.126,1.318,11434.097,30914996,1,75.93,10.95190415,249.087129
"74",382.762,7.3088405,159.45,0.32,25.5,0.3353735,4,NA,314321653958.648,20.33,NA,NA,3.935820977,9.355552291,85.90951591,11.65,NA,0.34,NA,809.01556,310.7764911,0.442,12.151,1318.604,-19.5875015437816,490.23,215,3.216,227,1890,141.764,1.013,11901.464,4232536,2,48.15,38.57002296,448.8481229
"75",286.868,7.0922374,119.21,0.37,26.2,0.9977683,4,-7.766077,278806231973.558,13.76,NA,NA,0.88202389,4.820923171,83.58291107,5.07,2.93,0.4,4.17,686.99359,285.1116599,1.153,49.448,637.857,-40.1777007259725,45.47,208,0.796,231,2483,135.52,3.466,36049.047,8380100,1,52.78,29.09900471,482.5272817
"76",623.534,7.0540891,144.02,0.22,19.5,2.472911,4,-17.3,2077209143231.32,20.72,NA,NA,8.231379081,13.71469477,84.85658922,14.83,0.53,0.09,7.12,765.02649,265.355629,2.561,24.048,2155.558,88.9318952770288,158.95,239,6.675,248,37700,363.684,3.655,9341.067,60426929,2,75.46,61.08894971,1265.656169
"77",66.19,9.2817333,248.65,1.73,33.4,52.39908,3,NA,19431862176.8666,4.07,15.6,1.8,NA,NA,NA,NA,NA,NA,NA,121.21803,1665.110074,2.757,16.885,139.472,-10.9913793103448,39.71,NA,2.231,196,196,12.833,1.351,2967.417,2349242,0,66.67,25.94936709,310.132474
"78",13.678,8.3588827,94.69,0.2,3.7,1.616443,4,-10.00138,4867010472550.63,NA,NA,NA,4.739243635,8.347281956,61.72242978,58.03,NA,2.62,12.14,576.96307,182.5704198,1.382,0.727,33.073,10.2820986026892,188.3,196,1.763,237,1730,4.886,0.04,775.765,127141000,2,50.46,57.9184561,1398.224685
"79",65.47,16.510798,297.16,0.78,43.1,19.90089,2,NA,104894207135.826,NA,23.8,1.7,0.973810325,3.153373732,91.83455661,NA,NA,NA,NA,142.87909,1573.533901,2.454,43.418,1752.696,39.2214869599066,9.78,25,1.135,214,668,372.434,4.312,5768.322,9031072,0,51.85,26.16902617,431.9947334
"80",118.285,12.3560972,534.53,1.06,22.7,1.16534,3,NA,463720551976.635,4.9,34.1,0.2,3.718647336,10.3336845,55.25625108,NA,NA,NA,NA,350.55191,1142.521387,2.137,4.261,110.296,18.4782608695652,143.28,132,1.5,215,2221,22.475,1.598,7884.077,17105523,0,57.41,51.08357124,1134.660993
"81",17.37,5.8172238,225.89,17.21,11.1,78.95827,2,NA,173505898105.895,2.39,9.8,39.9,1.31194462,5.300983921,86.65312956,NA,NA,NA,NA,52.449409,3504.208152,3.493,2.734,96.446,39.7843665768194,50.06,131,1.837,177,934,15.547,0.26,945.356,14218114,0,62.96,35.65176407,493.250825
"82",177.026,19.6593654,245.7,0.55,45.6,NA,4,NA,277117153092.096,NA,NA,NA,2.153418538,4.097016132,87.22819906,NA,NA,NA,NA,428.12521,640.673225,0.928,19.67,1258.382,7.8899819313391,129.96,168,0.614,206,756,181.475,1.639,28823.366,3935794,1,49.07,14.23935091,264.696814
"83",174.428,9.9323155,574.47,1.08,18.6,57.584,2,NA,29601148153.9503,3.88,23.5,0.5,4.382050751,8.841450211,70.95965617,NA,NA,NA,NA,138.24355,1820.068974,0.803,6.744,585.053,17.1577655003069,590.56,117,1.987,205,1138,82.462,0.307,8779.019,5557788,2,57.41,29.90368804,588.8888889
"84",33.4,7.8315259,423.55,0.43,25.1,2.62944,4,-9.6,46862480822.8712,8.26,NA,NA,5.949013577,17.0717777,50.47089579,13.9,0,1.25,23.17,594.9317,374.9379534,2.496,11.664,680.733,66.9700910273082,13.49,NA,1.288,218,63,72.103,1.59,2594.102,1736269,0,41.67,96.24305782,2943.683409
"85",86.441,14.4658527,217.53,0.64,37,NA,3,NA,96800197158.2989,NA,NA,NA,0.155654273,3.348813152,86.14449314,NA,NA,NA,NA,358.2995,582.5027634,0.665,16.263,1415.146,14.078185898193,42.77,63,0.797,220,590,265.038,1.612,10841.056,4722144,1,65.74,39.07493369,875.3715817
"86",20.072,7.3050801,501.31,8.64,26.7,76.94296,2,NA,5360395694.0721,1.76,13.9,32,NA,NA,NA,NA,NA,NA,NA,42.327137,4508.359369,0.667,0.467,53.215,307.142857142857,88.37,NA,2.209,114,43,1.867,0,908.857,658917,0,60.19,94.43016281,1997.002342
"87",16.213,7.7892159,346.06,19.99,14.2,97.57058,1,NA,3936415617.3048,1.75,21.5,71.2,2.031008316,2.505175939,68.13656507,NA,NA,NA,NA,25.088203,4654.678674,0,0,6.92,169.230769230769,169.47,104,5.779,134,82,0.593,0,280.564,760436,0,46.3,23.38470658,647.7681546
"88",118.173,15.1971092,310.43,0.98,39.6,NA,3,NA,100416019385.779,NA,44,1.5,5.662988163,9.027480215,74.41592349,NA,NA,NA,NA,230.01372,685.4828238,1.046,22.703,1028.774,19.3886167877048,75.71,85,1.401,144,812,109.441,1.601,8437.284,6022967,0,72.22,9.951612903,251.8636508
"89",26.221,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6135.774,148.936170212766,NA,NA,0.207,4,1,1835.488,0,12664.866,NA,0,44.44,NA,NA
"90",51.795,8.9232895,382.11,0.57,27.8,2.856601,4,-3.7,76617521916.2819,9.16,NA,NA,4.237066367,8.280441649,60.44408469,25.81,0,0.99,30.05,601.2337,387.5722797,2.25,12.857,1261.438,119.846350832266,23.38,NA,1.241,220,141,151.71,1.837,4173.69,2684137,2,29.63,97.2419557,3154.725504
"91",234.833,6.9729089,150.35,0.19,20.7,0.4126038,4,NA,35015057362.3091,32.39,NA,NA,4.617740176,12.3730704,81.22242945,6.58,10.28,0.74,8.57,679.28198,166.9540009,1.207,22.365,5819.712,160.028551034975,100.85,NA,0.988,226,147,774.79,0,23777.269,555934,0,37.96,93.69747899,1420.811287
"92",8.812,6.3172086,505.29,21.16,7.5,96.73974,1,NA,36665931909.444,1.62,34.3,66.9,2.288021446,10.40111937,91.13901044,NA,NA,NA,NA,16.622654,5515.980977,4.959,0.253,5.706,182.142857142857,83.52,103,1.438,164,244,0,0,612.762,2908091,0,53.7,49.06757084,700.3878688
"93",9.566,6.6198552,312.91,25.65,9.1,92.84431,1,NA,22574655861.4474,1.27,17.9,56,0.922581649,3.840526239,93.98977943,NA,NA,NA,NA,11.881274,4574.614403,3.846,0.105,1.882,5.88235294117647,379.5,93,3.103,152,183,0.157,0,308.26,7205179,1,42.59,51.21985418,869.5962823
"94",7.353,11.4416249,320.97,2,17.9,2.754231,3,-17.1,773658537411.978,3.38,NA,NA,3.123561604,2.804414366,89.13826035,NA,NA,NA,NA,370.69351,573.4911005,1.269,2.317,198.202,20.0187090739008,28.06,4,0.831,235,238,25.799,0.062,884.879,29494229,2,80.56,64.04720998,717.4573632
"95",68.45,11.063976,239.27,0.53,11.4,2.729918,3,NA,NA,NA,13.6,5.2,NA,NA,NA,NA,NA,NA,NA,247.58975,627.7546001,0,3.7,547.599,6.4748201438849,75.89,NA,0.32,184,37,64.75,0,21398.892,400571,NA,NA,48.14814815,451.0989011
"96",6.716,8.3645204,318.64,28.3,12.4,90.62164,1,NA,27521621441.1897,1.82,36.1,77.7,2.225519326,17.1458224,86.73361624,NA,NA,NA,NA,54.852081,7457.332333,2.817,0.198,5.136,-9.56521739130435,69.66,NA,3.869,188,136,0.79,0.148,173.573,4314573,0,8.33,3.635938505,135.9715755
"97",124.564,9.0493557,181.96,0.32,28.5,0.3113678,4,NA,15606395162.966,NA,NA,NA,2.016089401,6.252081044,84.33553014,NA,NA,NA,NA,1287.7975,510.3950935,1.485,24.913,1843.552,-12.847965738758,21.82,NA,0.967,203,55,706.619,11.324,12875.42,431874,1,75,31.25,713.1264916
"98",35.056,8.4635263,288.87,15.9,18.5,68.03631,2,NA,13278340873.935,3.7,32,52.2,1.832958504,9.6241817,81.22913385,NA,NA,NA,NA,85.419205,3387.681805,0,0,12.044,-16.4179104477612,337.91,140,2.123,163,163,3.011,0,1651.088,1672936,0,36.11,3.361870954,127.1386431
"99",7.863,12.8618866,271.8,0.91,15.7,12.04238,3,NA,27474711833.1609,NA,NA,NA,1.744295152,17.02140053,84.21656366,NA,NA,NA,NA,556.64081,1223.68286,0,0,15.726,66.6666666666667,19.74,NA,2.278,215,10,0,0,345.189,1175485,2,51.85,7.57020757,124.9018068
"100",696.596,10.869791,158.3,0.64,32.8,17.93763,3,-18.967486,2006599788818.99,8.02,35,2.8,1.003724047,6.539340492,90.73352713,NA,0.15,0.03,11.26,417.28952,1090.74491,10.963,41.836,314.536,124.092391004034,173.34,208,9.965,228,89814,46.086,4.987,6990.218,107259089,1,67.13,78.80968429,869.6985032
"101",423.901,7.7593317,543.97,0.75,21.1,4.655106,2,NA,23299414541.691,4.86,31.2,0.8,6.880686774,10.74900774,48.94585184,NA,NA,NA,NA,238.01622,1415.151935,1.652,53.297,1116.024,-3.86504377535768,85.68,164,2.36,213,1710,160.884,2.479,17962.485,2715339,1,33.33,85.74077508,2675.620546
"102",25.482,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.57016,NA,0,0,1248.599,63.3333333333333,NA,NA,0.312,NA,1,254.816,0,8154.113,38307,0,37.04,NA,NA
"103",437.855,7.5727608,412.62,0.26,23.1,14.87213,3,NA,11980410038.7412,6.06,57.4,0.3,6.923310581,13.43791788,52.23004196,NA,NA,NA,NA,304.52347,322.9366836,1.68,98.716,1909.047,-26.1699507389163,46.61,NA,1.609,207,275,289.78,7.961,27212.282,596650,NA,NA,NA,NA
"104",93.334,14.0416698,319.37,2.28,32.2,13.70442,2,NA,299980109157.859,2.55,47.3,15.4,1.665594377,3.873115668,75.94501769,NA,NA,NA,NA,231.06967,1974.792896,2.058,20.59,669.998,12.1186018044158,36.65,214,1.691,217,3445,108.045,1.951,5519.64,26694148,0,66.67,16.39722092,340.0721491
"105",2.848,6.5621686,338.52,18.32,10.5,90.62317,1,NA,29449971154.2264,1.45,29.1,69.6,1.000706274,4.376628804,76.8353969,NA,NA,NA,NA,4.3641877,5656.85676,1.225,0.512,34.65,16.2017167381974,45.22,NA,0.725,147,89,3.583,0.032,392.668,5742192,0,53.7,47.9776848,1190.424534
"106",21.081,6.9114952,285.17,3.28,7.3,51.92937,2,NA,317599010611.209,NA,NA,NA,0.72673444,4.199570654,92.56822421,NA,NA,NA,NA,197.51004,3744.050998,2.042,8.344,168.426,13.6267823930564,28.39,40,2.406,63,1147,26.944,0.459,876.056,41713321,2,66.2,56.87301923,2193.448615
"107",52.343,7.3191306,330.6,5.68,25.4,45.98487,3,NA,23095485753.6602,2.14,11.5,42,4.444738826,11.16687438,78.6203996,NA,NA,NA,NA,78.47451,2983.073149,0.282,1.574,142.468,-1.36239782016349,275.52,NA,1.045,123,133,21.252,0,5009.611,834393,0,44.44,54.74642393,624.2374949
"108",30.065,11.6872047,330.7,4.62,5.4,72.0897,1,NA,81052454062.3706,2.2,27.3,28.6,1.048351541,3.303721329,85.84539108,NA,NA,NA,NA,90.96965,2634.820986,0.468,7.31,730.039,-10.51701653275,52.53,67,0.546,168,876,19.563,0.48,5505.064,13124577,1,68.52,65.53924697,1699.554664
"109",416.227,5.1717566,127.71,0.41,20,0.3128131,4,-9,818056008436.757,26.31,NA,NA,5.665388279,16.95792187,76.49254636,4.44,7.82,0.91,0,650.96637,331.5925856,0.711,29.764,3935.191,21.6229865983658,119.53,224,2.289,236,7132,600.121,4.085,18181.168,16550305,0,41.67,72.60744131,1483.946824
"110",5.184,7.9042936,155.77,0.34,31.4,NA,4,NA,171013579064.035,NA,NA,NA,5.612593004,9.809272194,82.04965287,10.9,5.96,0.3,17.27,422.60583,385.6312521,0,0,6.429,-18.4210526315789,50.94,NA,1.575,219,25,0.415,0,329.101,NA,2,22.22,12.20546654,102.5391919
"111",23.549,9.2258635,180.52,1.44,29,27.84136,2,NA,30136878639.6436,4.49,38.4,16.1,0.375851358,2.770323364,90.24229532,NA,NA,NA,NA,146.10959,1309.024948,1.124,0.302,12.076,-1.23456790123457,323.35,154,2.829,158,156,12.076,0.151,832.358,4129702,0,2.78,39.99094203,433.7717856
"112",2.85,5.9408535,334.07,33.31,8.7,91.94135,1,NA,20483442500.8748,1.86,32.1,89.3,4.174073069,7.241705941,91.90016094,NA,NA,NA,NA,35.789703,4907.39445,0,0,0.248,-33.3333333333333,142.44,NA,5.665,209,69,0.124,0,50.317,2168769,2,19.44,5.721958273,228.4687788
"113",5.506,6.299279,197.62,18.9,13.1,89.12486,2,-6.1,1060805903025.59,1.65,28.2,53.2,3.237375922,4.9520462,80.92018016,NA,NA,NA,NA,155.4747,6546.835153,0.912,0.092,2.882,-39.0769230769231,392.32,179,1.824,211,1135,0.548,0.015,301.854,52542706,0,43.52,18.04928825,796.7058058
"114",51.649,6.2257413,137.75,0.3,22.5,0.4563593,4,-5.331291,449338995067.087,35.12,NA,NA,1.923139822,5.672668284,93.22316795,NA,NA,1.07,NA,887.98853,213.1982104,0.199,0.553,320.591,80.2904564315353,581.2,208,1.527,236,280,79.871,0.184,3383.173,5090023,0,38.89,82.6006192,857.6472846
"115",235.576,14.3323602,314.92,0.9,33.7,NA,4,NA,172358228169.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.14493,929.9181875,1.879,29.374,545.762,-27.0418848167539,43.62,115,1.057,206,1203,91.254,2.546,22288.707,4061216,0,50,7.417131605,151.2358049
"116",30.599,12.5771361,479.9,8.52,11.3,75.2726,2,NA,1212090501040.08,2.05,31.5,44.2,2.048896381,4.48254764,87.1201023,NA,NA,NA,NA,89.383614,5066.508545,1.564,0.715,24.7,27.4468582106984,610.04,205,2.047,225,6759,3.735,0.063,1494.846,120256626,2,66.67,31.53699994,1188.872222
"117",614.17,8.9030156,154.03,1.38,27.6,19.78807,3,NA,86035741483.4408,6.96,NA,NA,1.570896565,5.074907607,83.74548712,NA,NA,NA,NA,470.90369,1356.533959,1.346,32.215,1085.342,5.40175557056044,249.44,190,2.032,221,2650,155.512,2.781,30226.886,2976937,2,70.37,37.99086758,268.4143548
"118",0.782,15.357027,591.54,6.95,25.8,NA,2,NA,NA,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6810246,3401.46013,0,0,0.782,16.6666666666667,13.49,NA,1.19,83,7,0,0,65.72,1496847,0,49.07,35.82363748,309.1743918
"119",186.049,8.0133105,271.74,1.96,23.4,15.44793,3,NA,66292864959.0038,6.32,NA,NA,1.697453577,7.960701128,79.03654747,NA,NA,NA,NA,264.27051,1099.695421,1.774,30.704,628.669,-8.03937653814603,80.12,74,2.191,179,1327,135.015,2.524,8490.255,5882259,0,49.07,99.82973893,726.4949541
"120",1038.977,7.2325752,108.51,1.05,24.2,22.43048,3,-30.2358063,386316117149.65,5.52,20.6,10.5,3.121639456,17.46744447,69.91956511,NA,NA,NA,NA,207.45259,1221.789271,1.794,25.416,557.415,-8.76191421763304,438.68,209,3.838,224,34257,58.322,1.82,27068.457,23909023,1,67.59,47.38201689,385.7985148
"121",64.363,7.0508844,427.92,2.83,7.5,64.24689,2,-16.5,912443450835.92,2.44,16.3,11,5.130115078,13.90519241,86.23393266,NA,NA,NA,NA,172.83017,2014.11833,2.148,6.215,112.875,-22.9921553978334,122.2,213,1.89,227,7053,13.816,0.128,3405.186,75168389,0,63.43,52.48948633,921.0279502
"122",121.94,8.394709,283.08,0.35,22.2,0.449238,4,-7.9,1053479356812.86,8,NA,NA,4.148356811,5.265834808,84.56692082,25.31,0,0.65,15.71,396.16248,366.3242414,2.592,40.004,2316.985,53.140881228061,35.3,209,1.647,227,4615,430.686,3.488,7404.337,36922792,2,38.89,97.36062808,3001.313219
"123",232.526,8.4291863,155.11,0.34,21.2,0.9322764,4,-16.3,276343587731.246,12.81,NA,NA,0.989262723,5.142860342,69.12951856,16.6,5.63,0.64,10.78,735.89484,272.3945502,1.59,25.596,2029.675,41.607937050975,65.58,217,1.905,228,2371,323.536,2.746,12203.155,10327002,2,58.33,48.53433836,1126.521848
"124",79.832,18.9393887,187.72,0.43,43.1,NA,4,NA,400649396628.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.92445,543.0833892,0.422,3.471,605.68,13.3853151397011,477.23,NA,0.175,230,230,89.203,0,45708.524,2431908,0,50,13.97058824,149.8881432
"125",341.725,7.2931016,430.29,0.42,21.6,11.02077,3,-10.5,386236496171.876,5.24,NA,NA,4.578165028,12.88616864,74.28533652,NA,NA,NA,NA,232.00484,707.6400662,2.638,54.009,1609.445,20.0403210173303,52.35,212,3.026,225,6574,245.56,5.406,11291.173,15674045,1,38.43,82.07828388,3068.551074
"126",182.198,7.4159878,562.81,0.96,26.9,2.541048,3,NA,3613410539249.58,8.3,NA,NA,9.4713641,23.61144764,61.48502592,NA,NA,NA,NA,515.22107,559.0535331,2.129,24.826,795.83,10.1292469916648,70.95,203,1.718,225,26589,113.407,2.193,10605.953,104037940,0,30.09,81.51069935,2454.513451
"127",2.702,4.2869468,268.13,19.02,9.3,91.14971,1,NA,22988917805.4198,1.46,21,53.8,0.626441374,1.638061847,98.66094322,NA,NA,NA,NA,37.179249,3419.415576,1.754,0.232,6.717,-2.24719101123596,71.74,NA,0.688,136,35,0.849,0.077,392.52,7163805,2,54.63,46.34245187,798.6908526
"128",1237.551,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.5119,NA,0,0,2534.033,514.285714285714,86.29,NA,4.93,218,42,0,0,25104.603,NA,2,38.89,NA,NA
"129",68.443,8.3453454,293.65,5.23,16.9,81.26451,2,NA,762655230.843,2.73,30.6,19.3,NA,NA,NA,NA,NA,NA,NA,35.996059,2539.717063,0,0,36.503,100,30.14,NA,1.594,176,15,0,0,4293.647,67857,NA,NA,38.75,677.8947368
"130",153.071,17.6139625,301.43,0.69,42.3,NA,4,NA,1677338604416.24,NA,NA,NA,1.308725088,2.732971172,83.49132373,NA,NA,NA,NA,467.57504,735.4565519,3.89,6.951,76.493,-7.50260507120528,229.82,173,1.542,226,5329,11.461,0.46,9927.969,31557144,1,53.7,11.37661142,203.0881485
"131",19.231,7.5161234,356.79,25.53,12.9,77.24802,1,NA,42805547586.2381,2.21,39.4,56.9,2.716341588,14.74161457,81.01150969,NA,NA,NA,NA,42.894653,3397.166798,1.274,0.418,6.689,-26.3157894736842,668.54,NA,2.068,189,322,0.358,0,929.949,7129049,0,19.44,9.318529862,256.1967083
"132",117.274,7.2703366,398.67,0.41,21.8,23.87022,3,NA,99972058733.547,5.42,48.8,0.2,5.377880369,9.233046412,73.36397391,NA,NA,NA,NA,537.25604,437.1464594,1.701,4.556,627.811,166.666666666667,183.34,116,1.952,222,798,154.748,0.735,6007.704,6839949,1,36.11,NA,NA
"133",9.277,7.1035396,386.95,31.04,13.3,85.57656,1,NA,10628816282.5364,1.91,23.1,81,0.653627709,3.92525476,93.03010582,NA,NA,NA,NA,98.019753,7942.533669,3.571,0.251,1.755,-48.1481481481481,152.84,NA,3.149,171,74,0.501,0,294.598,962524,0,43.98,19.28866094,1098.062916
"134",4.786,9.3643048,111.1,0.16,6.3,NA,4,-13.2,410139845598.494,NA,NA,NA,2.117348819,3.045648006,76.94395752,NA,NA,NA,NA,1161.4761,129.2178014,0,0,10.085,59.4594594594595,57.18,NA,0.048,223,28,1.197,0,9910.53,5535002,2,47.22,66.79413639,800.3925767
"135",32.237,8.1699695,356.91,0.5,19.9,2.348883,4,-12.1,146456465970.571,15.69,NA,NA,2.6178205,6.388160352,80.30219642,13.24,NA,0.81,NA,380.29736,477.7632175,1.025,21.064,2684.425,39.3950922579418,20.47,10,0.382,220,176,165.029,2.015,8435.716,5358715,2,43.98,92.3744174,2768.779948
"136",92.355,7.2928867,190.44,0.23,21,0.01920434,4,NA,60439877633.5602,19.37,NA,NA,5.80245495,12.28595453,79.52356645,5.81,0,0.66,12.58,342.3797,166.0980378,0.924,21.646,5352.748,112.204424103738,35.25,NA,0.75,229,192,732.588,1.924,12315.458,2044959,1,29.63,79.42835653,1825.048356
"137",6.544,7.4372867,473.9,33.84,12.3,NA,1,NA,NA,NA,34.2,81.2,NA,NA,NA,NA,NA,NA,NA,NA,5708.750822,2.521,0.315,3.209,96.1538461538461,107.09,NA,2.639,196,104,0,0,247.967,2915110,1,35.19,18.41296121,886.9472513
"138",321.251,9.666581,249.35,5.62,39.6,61.10259,3,NA,673272147245.839,5.62,6.2,11.1,4.661810314,8.989362561,79.89208724,NA,NA,NA,NA,83.637741,2400.860333,3.526,17.282,194.693,-1.86963542109289,362.44,194,2.654,223,19053,18.412,0.759,12103.639,36527953,1,51.85,75.62212322,1675.268887
"139",8.992,9.3042505,123.61,0.26,4.8,1.228063,4,-2.957828,1958392116532.5,NA,NA,NA,5.103353577,7.88782279,69.95927227,NA,NA,NA,NA,940.44543,269.2028526,1.943,0.449,14.083,34.9532710280374,238.61,NA,1.763,251,461,2.009,0.02,509.975,51014947,1,50.93,72.83592225,1704.010465
"140",5.003,NA,326.17,32.47,NA,NA,1,NA,NA,NA,40.1,91.1,NA,NA,NA,NA,NA,NA,NA,43.657784,8361.238892,1.563,0.089,3.841,-12.2448979591837,115.41,NA,1.938,172,56,0.625,0,258.18,796103,0,25,NA,NA
"141",754.96,8.5417676,117.28,0.32,22.8,1.480493,4,-22.1,1492300170441.6,18.63,NA,NA,5.00635976,7.039002198,79.81514869,12.13,2.6,0.36,7.38,771.09918,266.2264833,1.508,44.787,2746.585,39.2254651112364,133.39,231,3.161,239,35298,393.928,5.711,23885,46401249,2,47.69,44.18014,742.8515998
"142",0.887,7.0219834,226.84,2.56,7.3,45.437,2,NA,253457134488.068,2.6,NA,NA,0.668497162,7.046222648,87.27026723,NA,NA,NA,NA,135.6982,684.2390101,0.844,0.28,142.855,295.730918499353,8.8,NA,0.214,191,19,21.342,0.14,414.23,19938666,2,81.48,43.20226864,935.2690835
"143",19.088,8.3090898,449.28,3.01,NA,81.57917,2,NA,141177901813.383,3.5,26.7,53.4,NA,NA,NA,NA,NA,NA,NA,175.13531,4236.793727,4.348,0.023,0.935,24.2424242424242,1739.45,178,6.081,192,837,0.41,0,313.916,8906147,0,19.44,NA,NA
"144",189.215,10.946402,331.98,2.57,33.7,NA,3,NA,NA,NA,31.2,5.9,NA,NA,NA,NA,NA,NA,NA,103.195,2669.594504,1.923,6.819,73.3,-40.2777777777778,114.37,NA,2.14,138,111,11.932,1.705,8841.97,438141,0,81.48,15.69767442,272.7440147
"145",585.983,5.8450484,166.31,0.22,18.1,0.3404294,4,-8.3,463407436134.153,29.09,NA,NA,2.198213879,12.27445226,84.30726656,NA,NA,0.43,NA,804.94183,226.383117,0.278,2.475,922.74,61.9006254343294,4101.01,218,5.111,236,5918,91.294,0.099,11464.69,9730592,1,37.04,83.91837726,1103.671019
"146",222.887,5.2982009,130.34,0.2,16.9,0.02182594,4,NA,531971156045.547,31.51,NA,NA,9.2555687,21.54384886,76.66151452,12.07,NA,0.93,NA,2149.3345,322.5397396,0.711,14.097,4722.912,99.965755100044,74.64,221,1.518,236,1929,735.099,1.849,14679.1,8274114,0,40.74,87.58459743,1452.355706
"147",15.714,13.9683956,432.24,1.79,34.8,NA,2,NA,56710613702.6628,NA,55.4,4.4,NA,NA,NA,NA,NA,NA,NA,85.753609,966.093174,5.541,2.514,19.885,-1.69491525423728,70.44,69,4.975,94,275,3.828,0.171,315.874,17929383,0,25.93,26.70908553,531.5533169
"148",8.493,10.2708067,515.37,4.82,16.7,34.01277,2,NA,38206549012.3596,4.46,21.3,13.2,0.673757537,0.892688266,94.70880313,NA,NA,NA,NA,121.52,3424.604178,0.356,0.21,29.986,3.24909747292419,167.39,NA,0.746,177,81,4.299,0,1138.646,8121218,0,35.19,25.00497711,519.2879038
"149",0.352,6.0174174,327,20.03,12.7,84.53875,1,NA,162052511806.036,1.44,18.3,65.6,0.583005908,2.29331399,91.62572786,NA,NA,NA,NA,25.233082,4409.899208,0,0,0,-100,13.49,NA,4.126,195,21,0,0,8.521,8405273,1,16.67,45.00638718,621.3951284
