"","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","general_hospitals_per_million_population_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
"82",2.153418538,4.097016132,87.22819906,NA,NA,NA,NA,428.12521
"83",4.382050751,8.841450211,70.95965617,NA,NA,NA,NA,138.24355
"84",5.949013577,17.0717777,50.47089579,13.9,0,1.25,23.17,594.9317
"85",0.155654273,3.348813152,86.14449314,NA,NA,NA,NA,358.2995
"86",NA,NA,NA,NA,NA,NA,NA,42.327137
"87",2.031008316,2.505175939,68.13656507,NA,NA,NA,NA,25.088203
"88",5.662988163,9.027480215,74.41592349,NA,NA,NA,NA,230.01372
"89",NA,NA,NA,NA,NA,NA,NA,NA
"90",4.237066367,8.280441649,60.44408469,25.81,0,0.99,30.05,601.2337
"91",4.617740176,12.3730704,81.22242945,6.58,10.28,0.74,8.57,679.28198
"92",2.288021446,10.40111937,91.13901044,NA,NA,NA,NA,16.622654
"93",0.922581649,3.840526239,93.98977943,NA,NA,NA,NA,11.881274
"94",3.123561604,2.804414366,89.13826035,NA,NA,NA,NA,370.69351
"95",NA,NA,NA,NA,NA,NA,NA,247.58975
"96",2.225519326,17.1458224,86.73361624,NA,NA,NA,NA,54.852081
"97",2.016089401,6.252081044,84.33553014,NA,NA,NA,NA,1287.7975
"98",1.832958504,9.6241817,81.22913385,NA,NA,NA,NA,85.419205
"99",1.744295152,17.02140053,84.21656366,NA,NA,NA,NA,556.64081
"100",1.003724047,6.539340492,90.73352713,NA,0.15,0.03,11.26,417.28952
"101",6.880686774,10.74900774,48.94585184,NA,NA,NA,NA,238.01622
"102",NA,NA,NA,NA,NA,NA,NA,206.57016
"103",6.923310581,13.43791788,52.23004196,NA,NA,NA,NA,304.52347
"104",1.665594377,3.873115668,75.94501769,NA,NA,NA,NA,231.06967
"105",1.000706274,4.376628804,76.8353969,NA,NA,NA,NA,4.3641877
"106",0.72673444,4.199570654,92.56822421,NA,NA,NA,NA,197.51004
"107",4.444738826,11.16687438,78.6203996,NA,NA,NA,NA,78.47451
"108",1.048351541,3.303721329,85.84539108,NA,NA,NA,NA,90.96965
"109",5.665388279,16.95792187,76.49254636,4.44,7.82,0.91,0,650.96637
"110",5.612593004,9.809272194,82.04965287,10.9,5.96,0.3,17.27,422.60583
"111",0.375851358,2.770323364,90.24229532,NA,NA,NA,NA,146.10959
"112",4.174073069,7.241705941,91.90016094,NA,NA,NA,NA,35.789703
"113",3.237375922,4.9520462,80.92018016,NA,NA,NA,NA,155.4747
