"","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2","stringency_index","income_support","debt_relief","containment_index","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","religious_compatibility_larson_et_al_2016","child_mortality_estimates_gapminder_2015","child_mortality_1950_2017_ihme_2018_x","inequality_in_life_expectancy_2015_2020","inequality_in_education_2017","infant_mortality_rate","international_historical_statistics_deaths_per_1_000_brian_mitchell_2013","life_expectancy","life_expectancy_1950_2015_un_population_division_2015","mean_bmi_male","mean_bmi_female","neonatal_mortality_rate_via_childmortality_org_2015","number_of_child_deaths_1950_2017_ihme_2017","number_of_infant_deaths_ihme_2017","number_of_neonatal_deaths_ihme_2017","total_population_gapminder_hyde_un","indoor_80_years","indoor_under_5s","outdoor_80_years","outdoor_under_5s","excess_mortality_from_air_pollution_all_sources","death_rates_from_all_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000","indoor_5_to_49","indoor_50_to_79","outdoor_5_to_49","outdoor_50_to_79"
"11",67.856,0.788297947,1.835305955,2.805918933,65.85613589,153.3254766,234.4126092,9.670721036,22.51525832,34.42259283,0,0,0,0,0,0,8616862,1032479,11.572171,13.0270691,12.6342799,12.6342799,0.34,0.12,0.485528189,2.879015868,2.957904113,0.139391485,0.826543764,0.849191985,21.83,27.95,538.85,115.88,15.29,32,42.35,45.09,8.4,0.63,1.33,113.32,3.75,19.9,15.8,23.6,5.173,315.14001,3,26.55491,16628.0553,8.492601,5.19,5.3,312.41,NA,NA,61.11,0,0,64.29,NA,33879,2.9,1191.289459,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.63,936.67621,5.29e+09,14.7,31.7,38.24,17,3.8,3196.537872,NA,73.005,70.6,26.24688161,28.15375814,18.2,6,5233,3410,10223344,390,150,1562,424,12462,127.762969,3401.322534,216,1094,748,4152
"12",335.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355891,30947,11.2055637,13.6572693,14.2889055,14.2889055,0.42,0.2,0.227348358,0.214321145,1.019459414,1.305280137,1.230486714,5.853044795,19.7,32.34,303.91,73.96,30.54,16.91,16.98,102.35,16.65,0.25,1.3,165.35,2.9,31.6,24.4,38.1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,57.41,1,1,71.43,NA,30459,100,1699.052483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.98,471.66946,NA,NA,12.1,13.61,8.7,6.3,1062.501087,NA,73.918,75.1,27.28640266,29.0596084,6.9,0,50,31,396914,3,0,24,1,207,53.35051546,1454.381443,0,6,12,59
"13",185.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1360880,10975,12.006818,10.6416642,8.2248035,8.2248035,0.7,0.31,0.428260015,0.485430128,1.941009461,1.87528846,2.125628087,8.499398762,28.6,51.43,249.93,35.3,33.35,33.65,14.4,188.6,15.38,1.94,0.82,103.75,4.03,29.8,25.5,36.8,6.173,NA,4,NA,39498.7672,NA,NA,NA,NA,NA,NA,53.7,2,1,66.43,NA,25533,100,2453.155914,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.41,615.72601,NA,NA,6.2,7.52,5.6,19,533.1194641,NA,77.292,76.4,24.895558,24.79195613,1.1,0,107,55,1748295,1,0,52,4,893,64.85112564,1909.949165,0,6,58,194
"14",35.449,0.643520024,1.946392559,3.441523122,53.76107138,162.6058947,287.5123744,14.4642141,43.74850452,77.35412319,0.2078029,37.54431,77.60098,331800.1227,59947222.41,123905944.9,97687737,63513149,10.2542749,9.2910122,7.4267267,7.4267267,2.68,0.45,6966.326443,10766.63151,15414.84812,112.7259626,174.2207907,249.436142,20.8,23.94,313.8,144.07,20.86,103.92,25.9,72.27,18.01,4.19,0.98,90.05,1.97,3.6,2.3,5,5.28,117.31,2,32.38527,4099.253,2016.32351,NA,41.3,109.03,NA,NA,35.19,0,0,39.76,NA,38814,1.4,88.03535581,51.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,63.223766,2.2242e+11,24.6,37.6,34.26,17.3,37.3,3186.298445,NA,72.591,71,21.40108169,22.05260608,23.3,108,90109,68140,166303494,23742,7190,26503,7213,175170,108.8039407,3162.141158,16625,59314,17334,64439
"15",24.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273417,10800,10.5051944,13.7144681,16.3594163,16.3594163,0.56,0.25,0.47216115,0.525287214,1.639678792,1.623893897,1.806609246,5.639312724,14.4,31.54,198.43,65.64,22.01,13.08,11.08,106.04,13.77,0.24,1.35,159,2.93,23.1,14.7,31.3,NA,NA,4,NA,11995.1868,NA,NA,0.9,NA,NA,NA,50,1,1,57.5,NA,26768,100,1233.55044,66.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,557.15704,1e+07,NA,13,13.59,7,5.5,1116.610777,8.070839579,79.19,75.4,26.51546778,29.41101997,8,0,32,24,287708,0,0,44,1,357,125.7042254,2467.253521,0,0,6,52
"16",102.124,0.799425284,2.174897893,4.061629992,66.78573798,181.6957304,339.3174596,9.50114393,25.8485919,48.27234256,0,0.02752161,1.027703,0,2614.075175,97613.94408,8948708,540908,8.0120648,7.5475883,9.9730906,9.9730906,0.2,0.09,0.470023218,2.439037907,3.084223009,0.051920866,0.269427029,0.34069706,55.31,28.12,527.78,100.19,4.24,15.56,19.51,10.93,12.62,0.22,0.53,133.84,3.97,24.5,22.1,26.3,5.821,571.14001,3,25.27785,18727.3176,0,7.59,0,646.27,NA,NA,43.52,0,0,46.9,NA,33783,100,1084.619757,74.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.51,374.66376,1.24e+09,NA,4.4,7.34,4.9,3.7,488.1843388,NA,74.791,71.1,26.629948,26.91237453,1.9,1,512,351,9442867,76,0,3180,4,13963,147.0408593,3235.225358,16,153,529,5943
"17",942.309,0.266243314,2.440526627,2.876678049,22.24254917,203.8869363,240.3239807,3.22553798,29.56698225,34.85095711,0.05766727,0.2448614,0.292606,6559.743077,27853.37113,33284.39482,11217825,56371,5.6681222,3.4641042,5.3784499,5.3784499,0.21,0.08,17.26590116,12.64780464,19.58343854,1.161686942,0.850971482,1.317615839,69.9,46.5,141.99,32.32,8.6,30.28,10.46,23.44,12.98,0.24,0.35,152.31,3.91,22.1,23.1,21,6.839,1490.91,4,27.21441,39756.2031,NA,26.85,NA,1457.53,8.078,-0.0012465262751405,47.22,2,1,61.9,2.134913683,19878,99,4782.361046,87.9,NA,4.18,1.46,4.98,1.06,NA,10,15.27,0.1,103.74,11.76,18.47,5.84,1.36,0.17,3.51,0.6,5.64,10.8,840.12659,NA,18.8,4.1,4.12,3.6,8.7,296.4014971,9.605525429,81.628,80.5,26.8013405,25.74971353,2.2,0,361,236,11632334,31,0,2883,2,14251,126.1262059,2126.612975,1,23,109,2235
"18",128.263,1.12991063,2.803726473,2.913016384,94.39520716,234.2294463,243.3597648,46.05555438,114.2808764,118.7355716,10.76588,36.95931,38.11414,40454.83962,138881.6296,143221.1227,325156,34132,9.9988558,15.1836179,12.2353456,12.2353456,0.76,0.32,0.574202406,0.923822056,2.189241943,4.886535063,7.86184248,18.63072567,19.6,34.53,313.61,80.28,46.99,38.68,28.42,156.48,19.7,0.44,1.43,154.26,2.91,24.1,16.5,31.5,5.956,268.57999,3,53.26277,NA,13.157082,NA,4.6,264.03,NA,NA,66.67,1,2,71.55,NA,31420,25,523.7288925,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79,118.64302,3.19e+09,NA,16.5,19.67,10.1,15.9,1652.2555,NA,74.623,69.8,27.63242364,30.75287977,8.3,0,126,86,404915,7,2,17,3,129,35.93314763,1092.479109,5,17,9,47
"19",3.382,0.651227469,2.498297764,3.523153305,54.40496818,208.7132635,294.3319386,31.56592909,121.0960744,170.7722919,19.54813,82.3962,89.63388,2184543.406,9207943.438,10016768.94,2083463,8492489,7.3902467,6.9945431,5.1142909,5.1142909,0.1,0.03,470.4756371,694.4851655,888.952408,232.1764814,342.7236384,438.6918811,2.4,34.54,327.29,118.85,23.47,53.24,34.97,80.79,37.9,3.71,23.04,137.86,2.16,9.6,4.7,14.2,4.408,82.610001,1,47.75591,2220.1766,1233.853008,1.44,62.2,82.42,NA,NA,38.89,1,1,45.6,NA,65706,9,84.46045434,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.48,34.203602,4.702e+10,NA,99.5,89.8,35,43.7,5390.388716,NA,61.771,59.2,22.66670723,24.57959394,31.8,34,21620,12085,12451031,655,1735,526,1390,10110,92.92280266,4222.178697,1098,3568,909,2911
"20",742.909,1.467199081,3.338161179,3.758738978,122.5730227,278.8772915,314.0132814,25.7623364,58.6142892,65.99915392,7.438027,21.49098,25.54418,832527.5026,2405454.015,2859122.773,5394527,5330178,6.950181,8.9480019,7.677487,7.677487,0.41,0.14,28.2497269,43.12736664,95.43615511,6.480708413,9.893755392,21.8938008,11.6,33,215.4,55.94,45.48,45.81,28.66,90.18,30.56,0.65,1.88,151.56,2.78,20.2,14.5,25.6,5.559,406.41,2,41.64937,6695.7746,274.0712,7.63,20.5,416.29,NA,NA,56.48,1,2,62.26,NA,44087,42.7,445.8226242,59.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.24,115.56576,2.114e+10,NA,38.4,32.44,25.2,20,2118.418775,NA,71.513,67.7,25.42187349,27.92672885,19.6,8,6255,3737,11832936,800,272,1410,368,3832,35.72960373,1093.519814,204,875,346,1626
