"","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"22",8.93,0.505090038,2.24989419,3.958068766,42.19632731,187.9610853,330.6657282,3.825013115,17.0382984,29.97419035,0.752416,37.10923,60.1921,16591.73589,818306.0213,1327312.851,1400631,808566,3.471
"23",743.068,0.84750795,2.657711216,2.807738164,70.80266919,222.0310122,234.5645918,19.11810954,59.95272863,63.33704097,2.076389,11.95671,12.98858,4315438.805,24850088.45,26994663.41,170536625,35425483,6.11
"24",6.857,0.83995285952,2.37767379398,3.64156111876,72.2244788892,194.666326818,303.897032712,28.5953302664,78.5339508792,118.9993014657,4.90055974527,46.62414283,74.7934927,1200615.3018867,9504920.9352285,15658242.503571,9049011.09,6422875.72,4.69417
"25",167.088,0.514931565,2.828763265,4.167510318,43.01850999,236.3210748,348.1629338,7.843800554,43.08971598,63.48245473,0.1288557,5.284159,9.337595,9117.761038,373904.2902,660723.2733,6173072,1004919,5.598
"26",3.205,0.573611327,2.538903881,3.542036729,47.92074575,212.1055873,295.9095012,36.10796922,159.820176,222.9658782,0.823905,80.15421,89.96324,158134.4265,15384225.16,17266900.15,3567793,14542831,4.741
"27",0.084,0.707986131,1.58855448,3.439233172,59.14671105,132.7113183,287.321067,80.83522961,181.3752565,392.6788828,42.48668,84.76974,97.167,4600043.04,9178040.095,10520294.41,4895650,5303620,3.775
"28",16.048,0.893473526,2.064990798,3.601684469,74.642734,172.5138512,300.892604,38.52634765,89.04186981,155.303704,11.02579,41.82046,66.43285,2708600.533,10273633.02,16319923.83,10458211,12376311,5.241
"29",264.982,0.678612354,2.130181041,2.976252719,56.69276143,177.9599867,248.6426666,10.6897202,33.55529731,46.88289067,0,0.4973831,0.4973831,0,181760.3028,181760.3028,35776913,71697,7.025
"30",169.068,0.619501806,2.521965051,3.364083781,51.75453686,210.6904804,281.0429223,13.88320642,56.5179327,75.39004581,0.1623494,19.00103,32.42308,872.6231545,102129.9662,174273.0823,384763,148150,5.90875
"31",12.837,1.020846914,1.705468567,3.267034795,85.28378563,142.478577,272.9352377,82.33635294,137.5544755,263.5025157,62.8391,81.09219,93.04771,2888102.631,3727019.758,4276498.805,991050,3555050,3.476
"32",5.844,0.708813159,1.761556199,3.216645812,59.21580272,147.1642606,268.7256318,36.5146798,90.74698992,165.7062802,17.41418,57.60084,83.21726,2615047.88,8649787.389,12496547.03,1695139,12314274,4.251
"33",733.723,0.622463862,2.106671037,3.075040316,52.00199348,175.9959095,256.8955987,10.00461942,33.85970377,49.42392635,0.1547775,0.6200612,1.807866,28588.08372,114528.0257,333920.7867,17602817,159864,6.151
"34",3.293,0.847186882,2.110779841,3.608958352,70.77584646,176.339168,301.5002801,30.79742586,76.73228543,131.1949342,0.07885481,3.222103,17.94347,1093239.143,44671074.89,248767370.9,1048983300,322236700,5.771
"35",600.693,1.024257877,2.611167317,3.266096458,85.56874495,218.142633,272.856847,23.07791175,58.83312227,73.58955935,2.649699,15.29894,22.39919,1295731.057,7481344.747,10953442.69,39113473,9115224,5.709
"36",8.05,1.100676758,3.461404191,3.357260846,91.95294552,289.1732824,280.4729195,29.69686059,93.39057717,90.58073281,14.84323,60.93004,60.2145,120807.8615,495904.7212,490080.9983,278318,499106,4.609
"37",16.672,0.986611486,2.575960331,3.876845836,82.42368303,215.2013644,323.8801868,44.85581396,117.1147904,176.2589206,36.00113,77.87475,90.04419,1839910.471,3979946.406,4601890.219,749347,4246301,5.213
