"","Entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","cost_of_healthy_diet_2017_usd_per_day","healthy_diet_cost_percent_cannot_afford","crude_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","liver_disease_ihme_2017","hepatitis_ihme_2017","prevalence_of_obesity_male_who_2019"
"67","Greece",56.893,3.085863011,2.895735,8.8226583,215.53,6.23,0.61,24.2
"68","Grenada",426.85058,3.4947907554,60.13264158,12.1055568,340.45,19.14,0.25,13.3
"69","Guatemala",204.571,3.5694058492,64.8438825,8.225591,165.83,43.44,0.47,15.1
"70","Guinea",5.406,4.147675709,90.28445,4.5085532,382.26,39.63,4.09,3.7
"71","Guinea-Bissau",20.833,3.778343141,92.62132,5.0856492,495.16,52.51,5.28,5
"72","Guyana",151.292,4.771648186,39.30348,10.9003648,495.73,36.36,0.9,12.7
"73","Haiti",20.346,4.698406729,82.16744,7.0955362,544.45,22.18,0.93,17.9
"74","Honduras",266.442,3.649055412,48.85315,7.8857192,315.58,34.33,0.52,15.6
"75","Hungary",163.348,3.721089004,3.021302,9.4248907,361.76,26.66,0.06,28.2
"76","Iceland",32.234,2.386684087,0.01792546,5.2995146,147.84,3.55,0.04,24.2
"77","India",86.963,3.219106537,71.48567,7.5498721,344.27,19.45,6.53,2.7
"78","Indonesia",49.4,5.056987635,71.30388,7.347647,384.93,27.91,2.98,4.8
"79","Iran",396.45,3.459457249,10.49139,11.0630794,352.24,8.54,1.48,19.3
"80","Iraq",266.617,3.919958686,50.81578,13.7771144,613.13,10.24,1.52,23.4
"81","Ireland",382.762,2.470563485,0.3353735,6.2155942,159.45,6.61,0.15,25.1
"82","Israel",286.868,2.675549201,0.9977683,6.7878403,119.21,7.31,0.16,25.9
"83","Italy",623.534,3.093535301,2.472911,7.4494739,144.02,10.14,0.39,20.1
"84","Jamaica",66.19,5.497522295,52.39908,14.500917,248.65,8.43,0.27,15.3
"85","Japan",13.678,5.199124462,1.616443,8.4964572,94.69,8.24,0.23,4.8
"86","Jordan",65.47,4.130602626,19.90089,13.4508012,297.16,11.8,0.6,28.2
"87","Kazakhstan",118.285,2.796565717,1.16534,11.6856272,534.53,49.78,0.22,18.9
"88","Kenya",17.37,3.084440941,78.95827,4.2423771,225.89,19.56,3.54,2.8
"89","Kiribati",320.53447,3.51087496624,62.3123056,22.2192174,498.79,33.35,2.95,41.6
"90","Kuwait",177.026,3.52443497432,60.74302688,14.6246098,245.7,8.96,0.23,33.3
"91","Kyrgyzstan",174.428,3.641826927,57.584,9.3400427,574.47,49.2,0.69,14
"92","Laos",58.23747,5.015950742,83.7078,5.7492174,443.23,25.05,1.24,3.7
"93","Latvia",33.4,3.328510193,2.62944,9.5992022,423.55,14.14,0.41,21.6
"94","Lebanon",86.441,3.61731949746,65.5742372,11.051152,217.53,9.24,0.25,27.4
"95","Lesotho",20.072,4.189361766,76.94296,7.5376578,501.31,18.68,1.08,4.6
"96","Liberia",16.213,5.066444218,97.57058,5.6957736,346.06,41.05,3.46,5.5
"97","Libya",118.173,3.60537017531,60.8859479,14.2216907,310.43,16.93,0.5,25
"98","Liechtenstein",26.221,3.64159181859,67.2975538,7.813470755,392.2934,34.6091,1.4252,8.96100000000001
"99","Lithuania",51.795,3.215128148,2.856601,9.5350186,382.11,22.88,0.28,24.2
"100","Luxembourg",234.833,2.491222593,0.4126038,5.2535003,150.35,11.32,0.11,24.5
"101","Madagascar",8.812,3.45983533,96.73974,3.3602759,505.29,25.66,3.04,3
"102","Malawi",9.566,2.703610821,92.84431,4.2931328,312.91,28.02,6.16,2.2
"103","Malaysia",7.353,3.962462647,2.754231,9.4710603,320.97,12.67,1.57,13
"104","Maldives",68.45,3.638542468,2.729918,8.3438318,239.27,9.63,0.45,5.8
"105","Mali",6.716,3.25869826,90.62164,4.522811,318.64,24.55,3.05,4.6
"106","Malta",124.564,3.932199898,0.3113678,8.7500336,181.96,6.18,0.1,29.2
"107","Marshall Islands",385.94827,3.50567950161,61.14803338,21.0801125,421.9,22.21,1.43,48.4
"108","Mauritania",35.056,4.429886868,68.03631,7.3046722,288.87,27.09,2.28,6.6
"109","Mauritius",7.863,3.719799844,12.04238,14.6107078,271.8,19.69,0.45,5.6
"110","Mexico",696.596,3.266979428,17.93763,11.0197769,158.3,41.18,0.52,24.3
"111","Micronesia (country)",324.81758,3.49392741527,62.3004122,19.9445514,582.98,26.31,1.31,40.1
"112","Moldova",423.901,2.878004293,4.655106,10.1435799,543.97,66.09,0.12,16.2
"113","Monaco",25.482,3.5139663475,68.41795588,7.804471886,389.0306,35.0982,1.5048,8.92100000000001
"114","Mongolia",109.61981,4.610406534,43.16624,9.4505846,579.93,71.32,0.7,17.5
"115","Montenegro",437.855,3.763333674,14.87213,8.4850937,412.62,5.47,0.24,23.3
"116","Morocco",93.334,2.889392766,13.70442,12.340708,319.37,12.84,0.48,19.4
"117","Mozambique",2.848,3.488296239,90.62317,4.6596229,338.52,16.02,4.96,3.3
"118","Myanmar",21.081,3.665605709,51.92937,7.208295,285.17,56.44,1.24,4
"119","Namibia",52.343,3.187241981,45.98487,5.7685644,330.6,12.69,0.64,7.5
"120","Nauru",452.1795,3.4947907554,60.32447318,28.0206037,503.3648,30.3387,4.5217,58.7
"121","Nepal",30.065,3.836645519,72.0897,7.928876,330.7,22.46,3.77,2.7
"122","Netherlands",416.227,2.768451443,0.3128131,5.2926449,127.71,5.82,0.07,20.8
"123","New Zealand",5.184,3.61429829352,73.0245328,7.6297578,155.77,4.05,0.05,30.1
"124","Nicaragua",23.549,3.51918096,27.84136,8.9639055,180.52,28.36,0.37,17.9
"125","Niger",2.85,3.607580503,91.94135,3.7354109,334.07,24.98,3.75,2.5
"126","Nigeria",5.506,3.388323049,89.12486,4.2889467,197.62,27.41,3.05,4.6
"127","North Korea",677.17593,3.53093171596,61.0025714,6.6706002,411.09,13.85,1.25,6.1
"128","North Macedonia",245.79862,3.690535055,18.23828,7.8732791,382.4052,31.8023,1.3892,13.811
"129","Norway",51.649,3.458190307,0.4563593,5.5054435,137.75,4.55,0.07,23.6
"130","Oman",235.576,3.5429610732,60.0129011,8.2816983,314.92,9.8,1.16,22.9
"131","Pakistan",30.599,3.827949612,75.2726,9.6872886,479.9,26.91,3.76,6
"132","Palau",408.50165,3.50056655007,60.99722588,21.1574305,508.003200000001,31.0746,3.669,51.8
"133","Panama",614.17,4.876472158,19.78807,9.5552917,154.03,13.56,0.23,17.8
"134","Papua New Guinea",0.782,3.60021060924,76.7160170000001,11.6053098,591.54,44.8,2.21,16.6
"135","Paraguay",186.049,3.603425935,15.44793,7.1140043,271.74,15.03,0.27,17.1
