"death_rates_from_all_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000"
78.01518738,3764.205122
98.72281671,2036.762168
80.92368972,2230.249326
NA,NA
72.89185517,4349.176724
65.2173913,1451.086957
38.16016943,799.6775825
138.1047051,2949.337309
48.80053199,853.2938023
132.1591419,2226.892659
127.762969,3401.322534
53.35051546,1454.381443
64.85112564,1909.949165
108.8039407,3162.141158
125.7042254,2467.253521
147.0408593,3235.225358
126.1262059,2126.612975
35.93314763,1092.479109
92.92280266,4222.178697
35.72960373,1093.519814
140.3937008,2760.839895
29.00088417,925.9062776
49.22683198,1280.895476
21.74940898,621.749409
210.8671329,4198.181818
83.45300361,3793.135082
49.78083462,2514.348107
87.75274912,3976.91518
55.89592523,1019.852305
96.92898273,2357.581574
133.3061224,5851.306122
135.8766118,7924.570777
47.70448227,982.8727982
202.2828099,4470.598062
15.55703065,399.1229509
33.75634518,1626.142132
44.1991342,1653.073593
31.23960067,724.0224626
111.4307011,5049.576685
175.3773585,3205.613208
75.84723442,1583.371378
100,1832.532189
60.24046254,3014.548138
109.2608926,1968.724643
97.97297297,3577.59009
45.26025836,1212.091565
18.71902758,482.600317
130.7361091,3677.334182
50.26929982,1314.068875
82.72189349,3607.455621
108.1492765,2119.421173
68.58669779,2853.959815
35.98654709,1177.017937
72.83300018,1256.351081
104.5112085,1771.213411
67.13043478,2018.608696
97.38824711,4120.793571
161.5,3160.375
153.605818,2621.396936
90.06203102,3385.14083
149.9863076,2426.21634
33.19464194,1084.084996
96.64524573,4556.911368
115.9978308,4966.64859
57.49674055,1838.461538
59.09812342,2292.437681
26.15479876,727.2198142
188.4018265,3809.518011
43.16109422,707.2948328
141.3716697,4197.1737
67.7047358,2047.758529
85.17994375,1982.833862
79.51844052,2528.138952
65.0383959,1171.906997
94.69246032,1675.868056
136.2470453,2077.96101
56.56999642,1208.77193
160.2324287,2422.696688
61.38248848,1706.34628
87.44397163,2241.095035
32.25190081,1375.87408
63.33504625,1891.341213
71.66666667,1998.164983
155.3018772,3059.512938
103.0934707,2259.425353
54.66042155,2108.52459
74.92782589,3174.46147
98.7575661,2609.971328
NA,NA
166.2960389,3244.440584
83.95061728,1516.931217
34.07468537,1414.355271
41.42898635,1694.371188
44.13636068,1124.367771
37.08791209,925
97.19885259,4670.454015
137.4701671,2280.190931
117.7236971,4527.851524
64.33621367,1685.781618
43.21704764,1106.267613
132.5387073,3120.496436
NA,NA
NA,NA
87.08476604,2137.163364
53.81728116,2489.934771
131.7234725,3949.238362
31.27287515,1138.755592
93.42428608,2608.413502
118.7828656,2046.310192
46.85361007,849.2603224
36.30384742,1085.662611
97.31142757,5173.637126
99.12678735,4996.74452
61.98426406,1039.224717
67.84680472,2055.644623
123.1292756,4172.776211
27.86968694,714.9656401
21.43325614,864.9690425
26.54014159,727.7602049
32.07763649,819.922236
52.89426538,1760.234835
150.4247462,3082.725737
138.434796,2330.212786
30.42505593,1062.192394
183.9731434,3739.818564
129.715501,3012.02954
42.50646361,1726.167246
NA,NA
42.10526316,1682.631579
68.8649356,1829.13132
86.32427788,3217.192148
NA,NA
138.9896172,6394.793119
55.99571734,1200.124911
142.3516403,2998.212311
128.5783366,2299.806576
78.39065542,4964.716789
74.55863598,2216.562713
117.1236531,2346.404025
NA,NA
105.0019559,1690.284536
88.52039158,2179.09234
NA,NA
63.35174954,1715.101289
84.19060393,1315.983095
103.2654537,1659.139655
73.05155804,2014.717219
59.2195237,2154.185334
32.20871276,1365.805022
118.3890252,2886.400539
87.14579055,3799.000684
91.83823529,2341.617647
131.144482,2938.777324
79.67990748,1938.688764
48.7394983,2288.004831
170.6719729,3675.792232
39.67456157,1453.073992
98.37599033,1681.976792
88.02077411,1766.364066
65.47202797,1248.222611
87.36158382,2745.870087
43.19467522,1133.534746
93.65529593,2348.54039
93.95497913,3519.063059
28.65161432,1347.310551
34.47413738,1596.359572
160.6848146,3016.835815
