"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y"
"139","Romania",341.725,0.508367756,2.271961773,3.306929619,4.759807879,21.27220189,30.96252558,0.7519175,6.444023,11.02077,147281.7726,1262222.425,2158692.332,15674045,4141436
"140","Russia",182.198,0.621210643,2.270001586,3.398629889,6.770769513,24.7414588,37.04273244,0.001276778,0.4716394,2.541048,1844.902587,681503.5576,3671731.522,104037940,40058930
"141","Rwanda",2.702,0.762956708,1.310426108,3.607720503,52.86538101,90.79961513,249.9794771,23.69054,56.56786,91.14971,2838348.672,6777359.669,10920589.33,7163805,4465748
"142","Saint Kitts and Nevis",423.901,0.619501806,2.68616602,3.932199898,21.99218217,60.2678033,62.90662372,0.03890009,3.01498,9.337595,11749.06371,48055.21513,210201.4188,43461,6322
"143","Saint Lucia",336.502,1.050054834,2.6511443,3.481056905,59.09355178,149.197478,195.902166,3.748323,12.98524,17.73234,6782.777885,23497.44104,32087.55585,160371,16835
"144","Saint Vincent and the Grenadines",68.443,0.599600045,2.166685499,3.187241981,21.99218217,53.83641323,68.37220189,0.04515375,3.01498,9.337595,1596.915494,1247876.042,2913705.323,82985,26062
"145","Samoa",419.474,0.964181593,2.504804723,3.398629889,17.14388809,44.37649658,75.39004581,0.2792233,14.59719,32.0472,0,435951.7065,1777630.466,177289,16470
"146","San Marino",1237.551,0.28486552,2.29716701,3.085863011,59.09355178,124.2460146,208.7415482,0.4951231,4.592546,14.87213,0,13778.67288,128255.5254,320896618,108209
"147","Sao Tome and Principe",68.443,0.895221716,2.528955099,3.2009921,19.10498482,53.97059513,68.31258044,18.5827,71.84284,81.26451,38482.7276,148778.6189,168289.8611,67857,127696
"148","Saudi Arabia",153.071,0.613036548,1.94525909,3.388323049,14.46101393,37.38051374,63.49265403,0,7.515299,32.42308,1596.915494,1262222.425,3020425.13,31557144,0
"149","Senegal",19.231,0.744343569,1.857560211,3.178888156,23.01494333,57.43536287,98.29053922,8.035439,49.44025,77.24802,1239014.954,7623380.515,11911166.52,7129049,7847945
"150","Serbia",117.274,0.613036548,2.721453576,4.336531784,9.152198781,40.62936245,64.74132912,2.950878,12.28619,23.87022,207176.9541,862595.9535,1675894.25,6839949,255434
"151","Seychelles",75.742,0.633518334,2.166685499,3.840847424,12.75066837,43.60834845,77.30379553,0.06652946,1.354531,5.710876,63.76383035,1298.223146,5473.474885,91924,1495
"152","Sierra Leone",9.277,1.241975289,2.201196701,2.770219681,57.83079465,102.4955613,128.9912987,40.10301,76.5531,85.57656,3003086.233,5732626.072,6408341.648,962524,6274501
"153","Singapore",4.786,0.651227469,2.003412194,3.778343141,38.52634765,73.66127208,111.6186151,45.31672,55.18997,91.14971,14343492.73,4428401.959,4601890.219,5535002,0
"154","Slovakia",32.237,0.387426943,2.110823834,3.333447784,5.577298781,30.38687786,47.98745827,0.5420523,1.311294,2.348883,29483.48216,71324.32286,127761.1958,5358715,65086
"155","Slovenia",92.355,0.440995618,2.047126761,3.041276348,6.205535896,28.80645084,42.79577567,0,0,0.01920434,0,0,396.8361772,2044959,18572
"156","Solomon Islands",614.17,1.12991063,3.262815203,5.497522295,38.99404664,62.29071352,62.90662372,0.9434035,4.592546,5.311003,327.837811,35143.59981,24081.93423,175070,412412
"157","Somalia",6.544,0.652093819,2.801838429,4.429886868,14.52968225,31.13519677,45.54862871,0.996795,1.499683,2.856601,3943.21521,36350.75993,1078818.998,2915110,9489615
"158","South Africa",321.251,1.264708811,3.407425561,4.276109309,29.2795996,78.8861873,98.99730862,18.0559,54.05105,61.10259,10291944.43,30809342.27,34828751.87,36527953,18484024
"159","South Korea",8.992,0.68144879,4.320287496,4.860810844,13.13085791,83.24775401,93.66311521,0,0.9978241,1.228063,0,512501.5262,630756.6251,51014947,0
"160","South Sudan",5.003,1.046140589,3.338161179,4.582558116,11.57654974,17.0382984,30.96252558,0,0.465337,0.9977683,236167.6099,11682.7956,5438.176508,796103,11086033
"161","Spain",754.96,0.442280512,1.770827881,2.715095317,6.080570696,24.34573494,37.32773335,0.5017389,0.9513059,1.480493,233776.3898,443244.2031,689809.5975,46401249,46448
"162","Sri Lanka",0.887,0.971934199,2.227864363,4.050519973,17.60403343,40.35190729,73.36452306,0.08013956,10.67173,45.437,17185.12725,2288445.781,9743510.28,19938666,1027334
"163","Sudan",19.088,1.078303515,2.088458248,4.232425264,24.17271361,46.81771173,94.87978326,5.536669,35.98657,81.57917,2259702.644,14687341.32,33295229.71,8906147,28831766
"164","Suriname",189.215,0.766345623,2.450969495,3.591001371,31.37819024,65.64613288,74.20553857,0.07885481,18.24499,45.437,0,37402.00932,13551.36755,438141,115067
"165","Sweden",585.983,0.822322346,2.502307275,2.889616398,11.10858749,33.80316664,39.03524782,0.1356052,0.3259973,0.3404294,13638.76149,32787.82392,34239.36096,9730592,68594
"166","Switzerland",222.887,0.422059823,2.123611479,2.45778473,5.577981123,28.06584301,32.48230717,0,0.02182594,0.02182594,0,1844.693527,1844.693527,8274114,8282
"167","Syria",15.714,0.772870191,2.624991673,4.610406534,7.803701639,24.7414588,35.69327096,0.5288874,36.85344,72.0897,179176.7521,122636.2866,3671731.522,17929383,805604
"168","Tajikistan",8.493,0.911056262,2.344516378,3.217305785,36.19254302,93.13805678,127.810414,0.7854215,16.24259,34.01277,69747.53413,1442385.522,3020425.13,8121218,427433
"169","Tanzania",0.352,0.993807355,1.943333143,2.670800338,37.34486265,73.02573176,100.3621791,31.10177,71.84402,84.53875,17001442.32,39272747.56,46212182.83,8405273,45474684
"170","Thailand",0.845,1.046140589,2.883112817,5.012801356,17.28115243,47.62601951,82.80625501,0.002042557,2.216301,19.70135,1413.650799,1533898.775,13635276.36,63851568,4806032
"171","Timor",657.805,1.459323301,3.338161179,3.879117852,17.63895856,39.50666324,73.36452306,0.04515375,3.01498,17.94347,569604.8471,5445.498153,747262.7233,503837,737140
"172","Togo",6.523,1.938657561,2.309871612,6.206968342,143.9768989,171.5455881,460.9684924,66.35256,74.28932,97.28955,5108135.243,5719144.728,7489811.684,860349,6556453
"173","Tonga",260.889,0.763473885,2.68616602,3.932199898,12.42962964,39.47090133,48.28606045,0.1003027,1.57308,2.62944,0,0,396.8361772,96791,9573
"174","Trinidad and Tobago",75.742,1.008387702,3.134152422,4.08868259,12.85923731,39.96757366,52.14000489,0.1681227,3.472017,7.340323,2326.939216,48055.21513,101595.3554,1244484,115608
"175","Tunisia",83.174,0.603618059,1.881483827,3.447835621,11.11575981,34.64794,63.49265403,0,1.57308,13.31939,0,179857.2051,1522864.864,10326673,946988
"176","Turkey",117.976,0.734378871,2.370504554,3.440223518,9.986639878,32.23591562,46.78276397,0,2.007663,6.668437,0,1628252.678,5408228.574,74279627,3991845
"177","Turkmenistan",20.072,0.987348298,2.569921043,3.967124844,8.387502822,31.01629693,41.31834865,1.150285,24.74539,72.0897,23751.34925,3993281.663,4587991.133,3015936,1794169
"178","Tuvalu",742.909,0.514931565,2.801838429,3.458190307,23.01494333,59.95272863,84.40615377,0.06652946,0.6200612,13.31939,448098.2047,12845351.35,16319923.83,9012,1807
"179","Uganda",2.252,0.648064841,1.799356803,3.000061375,42.58860861,118.2475855,197.1537903,7.880419,60.01055,81.69172,3243774.713,24701821.64,33626325.65,7667670,32477200
"180","Ukraine",150.685,0.677560681,2.271961773,3.306929619,8.165371609,31.01629693,42.79577567,0.002312479,2.453549,17.94347,469.878016,42096.94968,97613.94408,43302714,1851315
"181","United Arab Emirates",48.734,0.643548024,1.759645705,3.219106537,9.986639878,28.80269213,42.41459171,0.1356052,2.007663,3.633199,236167.6099,2022778.206,6408341.648,8934599,219703
"182","United Kingdom",668.253,0.265348333,1.539730769,1.887692082,4.963690084,28.80269213,35.31176681,0.1003027,0.3433783,0.4246,66258.81917,226831.787,280485.9153,64607830,521031
"183","United States",684.958,0.9044263,2.21435,2.974152331,12.8980859,31.57899822,42.41459171,0.9991196,1.499683,1.499683,3246994.217,4873752.881,4873752.881,320896618,0
"184","Uruguay",15.545,0.694181218,2.128675062,2.961332191,9.391300947,28.79799626,40.06268259,0.02453968,0.3399476,1.307074,843.3419311,11682.7956,44919.50634,3308016,123536
"185","Uzbekistan",16.642,1.459323301,3.230905193,4.779471981,41.09860075,108.8895985,121.4962411,3.311857,25.4164,45.98487,175625.8913,681503.5576,3671731.522,31298900,0
"186","Vanuatu",86.441,0.581570659,2.528955099,3.561060854,7.72641415,22.51525832,29.82971067,0.7519175,0.02182594,0.4973831,3454.907152,1232354.706,1953408.075,153205,111398
"187","Venezuela",27.43,1.12991063,4.057104501,5.066444218,15.24125693,27.3928695,47.98745827,1.85989,12.98524,17.73234,843.3419311,11682.7956,16122.70539,29410446,1744688
"188","Vietnam",0.36,0.974507314,2.513795511,4.306775634,28.58516223,73.73700685,126.3303809,0.4951231,10.18864,32.01523,468369.8264,9638111.305,30285332.51,71536374,20176926
"189","Yemen",20.117,0.581570659,2.407971577,3.481056905,12.42962964,42.12384777,49.42392635,0,1.322372,6.668437,469.878016,290090.1241,747262.7233,13277013,11632956
"190","Zambia",18.93,1.278012074,2.379476799,3.306079267,75.42884391,140.4377844,195.1262762,57.78896,77.14788,84.97017,9739571.017,13002262.99,14320607.34,7068158,9032429
"191","Zimbabwe",16.282,0.774647423,2.29716701,3.967124844,34.26312295,101.6050831,175.4683258,8.090322,63.16433,82.59679,1151798.513,8992544.593,11759094.37,5806102,9971349
"192","Czech Republic",237.838,0.449308988,2.407971577,3.108033837,5.952627554,31.90178325,41.17649176,0,0.1187588,0.188587,0,12581.82744,19979.73279,10451144,94915
"193","Micronesia (country)",16.642,1.127964567,2.45844371,3.51918096,23.35485848,34.64794,88.5648859,5.536669,15.18224,42.00774,1093239.143,13122889.99,19916310.81,59631,44802
