"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y"
"33","Central African Republic",12.837,1.020846914,1.705468567,3.267034795,82.33635294,137.5544755,263.5025157,62.8391,81.09219,93.04771,2888102.631,3727019.758,4276498.805,991050,3555050
"34","Chad",5.844,0.708813159,1.761556199,3.216645812,36.5146798,90.74698992,165.7062802,17.41418,57.60084,83.21726,2615047.88,8649787.389,12496547.03,1695139,12314274
"35","Chile",733.723,0.622463862,2.106671037,3.075040316,10.00461942,33.85970377,49.42392635,0.1547775,0.6200612,1.807866,28588.08372,114528.0257,333920.7867,17602817,159864
"36","China",3.293,0.847186882,2.110779841,3.608958352,30.79742586,76.73228543,131.1949342,0.07885481,3.222103,17.94347,1093239.143,44671074.89,248767370.9,1048983300,322236700
"37","Colombia",600.693,1.024257877,2.611167317,3.266096458,23.07791175,58.83312227,73.58955935,2.649699,15.29894,22.39919,1295731.057,7481344.747,10953442.69,39113473,9115224
"38","Comoros",8.05,1.100676758,3.461404191,3.357260846,29.69686059,93.39057717,90.58073281,14.84323,60.93004,60.2145,120807.8615,495904.7212,490080.9983,278318,499106
"39","Congo",16.672,0.986611486,2.575960331,3.876845836,44.85581396,117.1147904,176.2589206,36.00113,77.87475,90.04419,1839910.471,3979946.406,4601890.219,749347,4246301
"40","Costa Rica",260.889,0.942631128,2.736463189,3.879117852,15.2863986,44.37649658,62.90662372,0.5103955,4.925115,10.59034,25264.34247,243790.9269,524216.9584,4543420,264432
"41","Cote d'Ivoire",4.625,0.814961923,1.618856167,2.889052155,25.8448894,51.33878944,91.62051781,9.432848,36.85344,68.84484,2305149.306,9006047.975,16823936.43,5199406,17909066
"42","Croatia",114.487,0.673078637,3.262815203,4.373040879,7.771650708,37.67384477,50.49298014,0.3083222,2.453549,5.311003,12716.84472,101197.3891,219053.9651,4077496,126108
"43","Cuba",11.301,0.661079505,2.270001586,3.721089004,7.704990358,24.02355328,34.42259283,0.5017389,4.925115,17.94347,60010.99727,1844.693527,9861.655498,10682055,779377
"44","Cyprus",28.542,0.581570659,2.085576347,3.051524636,9.553222324,34.25890599,50.12614175,0.002312479,0.05130247,0.05130247,27.27985227,605.2049781,605.2049781,1160985,0
"45","Democratic Republic of Congo",3.394,0.560192577,2.049379486,3.24618016,36.02248181,131.7827803,208.7415482,28.68827,87.43453,95.51018,23351897.19,71170626.73,77744106.01,21868430,54328189
"46","Denmark",122.406,0.303741478,1.74842859,2.389893956,4.451481478,25.62408513,35.02507712,0.1092044,0.1425427,0.1710614,6295.611819,8217.558146,9861.655498,5660749,22734
"47","Djibouti",61.741,0.615534816,2.459454634,3.540836588,25.67767887,102.5987234,147.709703,3.311857,46.17658,66.70957,31267.14258,435951.7065,629803.0491,439594,487820
"48","Dominica",286.868,0.813268366,3.019520007,2.913016384,12.42962964,50.52219634,62.90662372,0,3.01498,14.87213,6782.777885,23497.44104,53588.93809,57540,13410
"49","Dominican Republic",205.201,1.180382518,2.875454061,4.024191138,15.24125693,37.12824737,51.96089413,0.5847719,7.921777,18.58065,61477.8359,832826.7935,1953408.075,8843851,1684543
"50","Ecuador",713.482,1.345774261,2.50948,3.182589661,31.37819024,58.51125492,74.20553857,3.393462,10.93528,17.05914,569604.8471,1835526.224,2863438.232,13674280,2470088
"51","Egypt",60.801,0.987348298,2.265912852,4.148056121,8.165371609,18.739102,34.30442909,0.7054973,26.9977,75.18362,680399.8897,26037281.93,72509032.64,88807929,4970243
"52","El Salvador",148.315,1.459323301,5.867017476,4.686519279,27.08448184,108.8895985,86.98000382,2.749257,54.69082,41.0972,175625.8913,3493716.304,2625339.275,4734359,1578120
"53","Equatorial Guinea",59.16,0.68144879,2.528955099,3.440223518,12.85923731,33.11874072,48.27234256,0.706506,10.29462,42.00774,9117.761038,862595.9535,9861.655498,875665,299724
"54","Eritrea",148.315,0.643520024,3.118057545,4.771648186,23.01494333,48.13847789,68.31258044,1.85989,36.95931,41.0972,13638.76149,605.2049781,524216.9584,666729,3807961
"55","Estonia",55.03,0.424691275,2.599478188,3.287714057,5.054385528,30.93721416,39.12812747,0.1485402,0.6071837,0.7833411,1956.844828,7998.940914,10319.61032,1278576,36831
"56","Eswatini",16.642,0.930994443,2.243610657,3.202414589,15.26028991,36.77588985,52.49201585,15.93032,52.68501,66.43794,179176.7521,592576.2305,747262.7233,1777196,115608
"57","Ethiopia",12.569,0.720331215,2.003412194,3.647435865,50.71781197,141.0582811,256.8123699,5.599133,52.99223,87.36121,5957478.856,56383745.44,92952348.41,27964449,71908584
"58","Fiji",2.231,0.848623732,2.557932049,3.955216302,10.98752775,33.11874072,51.21003245,0.03736218,7.515299,28.74499,327.837811,65943.66745,252225.5018,812748,79401
"59","Finland",63.891,0.281521543,2.48,2.574301349,3.962456887,34.90636262,36.2336679,0.06272282,0.09872849,0.09872849,3454.907152,5438.176508,5438.176508,5348022,131509
"60","France",544.493,0.319270299,1.903125749,2.994268773,4.059037715,24.19535799,38.06758693,0.002388263,0.02060666,0.0396873,1596.915494,13778.67288,26536.97029,65757955,866113
"61","Gabon",24.262,0.9553951,2.569921043,3.759603537,21.99218217,59.15685746,86.54208702,1.150285,15.18224,32.0472,23751.34925,313486.3834,661717.9565,808743,1121432
"62","Gambia",49.241,0.98305743,2.529438269,3.849925952,38.99404664,100.3329315,152.7115177,3.858992,47.66144,73.06253,85433.99235,1055173.76,1617526.968,1164801,812789
"63","Georgia",63.422,0.726962015,2.624991673,3.540836588,9.705311515,24.16559888,31.00409706,0.2792233,25.26397,72.0897,3454.907152,35143.59981,1497018.936,3207857,509243
"64","Germany",121.539,0.266420584,2.258621347,2.778415742,3.672619731,31.13519677,38.30058588,0,0.2406784,0.2406784,0,198937.5499,198937.5499,81033118,653493
"65","Ghana",10.17,0.823971445,2.514906339,4.250567979,50.05460845,152.7755032,258.2134578,5.28721,34.26132,60.90227,1539713.327,9977400.368,17735636.9,4109840,23472981
"66","Greece",56.893,0.677560681,2.580448916,3.085863011,7.706613058,29.35017021,35.09877836,0.45555,2.04858,2.895735,48992.94018,220318.2031,311427.0039,10712674,108209
