"rank","country","pop2021"
"","Gibraltar","33.6980"
"","British Virgin Islands","30.4210"
"","Palau","18.1690"
"","Cook Islands","17.5650"
"","Anguilla","15.1170"
"","Tuvalu","11.9310"
"","Wallis and Futuna","11.0940"
"","Nauru","10.8760"
"","Saint Barthelemy","9.9070"
"","Saint Pierre and Miquelon","5.7660"
"","Montserrat","4.9770"
"","Falkland Islands","3.5330"
"","Niue","1.6190"
"","Tokelau","1.3730"
"","Vatican City","0.8000"
