"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019","total_confirmed_deaths_due_to_covid_19_per_million_people.y","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","total_confirmed_deaths_due_to_covid_19_per_million_people","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"11","Azerbaijan",67.856,11.572171,13.0270691,12.6342799,0.34,0.12,0.485528189,0.139391485,0.826543764,0.849191985,21.83,27.95,538.85,115.88,15.29,32,42.35,45.09,8.4,0.63,1.33,113.32,3.75,19.9,15.8,23.6,67.856,0.788297947,1.835305955,2.805918933,65.85613589,153.3254766,234.4126092,9.670721036,22.51525832,34.42259283,0,0,0,0,0,0,8616862,1032479,67.856,5.173
"12","Bahamas",335.666,11.2055637,13.6572693,14.2889055,0.42,0.2,0.227348358,1.305280137,1.230486714,5.853044795,19.7,32.34,303.91,73.96,30.54,16.91,16.98,102.35,16.65,0.25,1.3,165.35,2.9,31.6,24.4,38.1,335.666,0.619501806,2.450969495,3.4968817,NA,NA,NA,25.25250389,66.25018108,84.25268194,0.2792233,4.592546,13.70442,61477.8359,148778.6189,26536.97029,355891,30947,335.666,5.488
"13","Bahrain",185.709,12.006818,10.6416642,8.2248035,0.7,0.31,0.428260015,1.87528846,2.125628087,8.499398762,28.6,51.43,249.93,35.3,33.35,33.65,14.4,188.6,15.38,1.94,0.82,103.75,4.03,29.8,25.5,36.8,185.709,0.91506283,1.98490498,3.187241981,NA,NA,NA,18.50998834,44.37649658,84.25268194,0.45555,2.007663,19.90089,236167.6099,373904.2902,311427.0039,1360880,10975,185.709,6.173
"14","Bangladesh",35.449,10.2542749,9.2910122,7.4267267,2.68,0.45,6966.326443,112.7259626,174.2207907,249.436142,20.8,23.94,313.8,144.07,20.86,103.92,25.9,72.27,18.01,4.19,0.98,90.05,1.97,3.6,2.3,5,35.449,0.643520024,1.946392559,3.441523122,53.76107138,162.6058947,287.5123744,14.4642141,43.74850452,77.35412319,0.2078029,37.54431,77.60098,331800.1227,59947222.41,123905944.9,97687737,63513149,35.449,5.28
"15","Barbados",24.359,10.5051944,13.7144681,16.3594163,0.56,0.25,0.47216115,1.623893897,1.806609246,5.639312724,14.4,31.54,198.43,65.64,22.01,13.08,11.08,106.04,13.77,0.24,1.35,159,2.93,23.1,14.7,31.3,24.359,1.127964567,2.819760223,5.015950742,NA,NA,NA,35.14447641,37.12824737,46.33976923,0.6541131,54.69082,66.70957,1844.902587,226831.787,198937.5499,273417,10800,24.359,4.472
"16","Belarus",102.124,8.0120648,7.5475883,9.9730906,0.2,0.09,0.470023218,0.051920866,0.269427029,0.34069706,55.31,28.12,527.78,100.19,4.24,15.56,19.51,10.93,12.62,0.22,0.53,133.84,3.97,24.5,22.1,26.3,102.124,0.799425284,2.174897893,4.061629992,66.78573798,181.6957304,339.3174596,9.50114393,25.8485919,48.27234256,0,0.02752161,1.027703,0,2614.075175,97613.94408,8948708,540908,102.124,5.821
"17","Belgium",942.309,5.6681222,3.4641042,5.3784499,0.21,0.08,17.26590116,1.161686942,0.850971482,1.317615839,69.9,46.5,141.99,32.32,8.6,30.28,10.46,23.44,12.98,0.24,0.35,152.31,3.91,22.1,23.1,21,942.309,0.266243314,2.440526627,2.876678049,22.24254917,203.8869363,240.3239807,3.22553798,29.56698225,34.85095711,0.05766727,0.2448614,0.292606,6559.743077,27853.37113,33284.39482,11217825,56371,942.309,6.839
"18","Belize",128.263,9.9988558,15.1836179,12.2353456,0.76,0.32,0.574202406,4.886535063,7.86184248,18.63072567,19.6,34.53,313.61,80.28,46.99,38.68,28.42,156.48,19.7,0.44,1.43,154.26,2.91,24.1,16.5,31.5,128.263,1.12991063,2.803726473,2.913016384,94.39520716,234.2294463,243.3597648,46.05555438,114.2808764,118.7355716,10.76588,36.95931,38.11414,40454.83962,138881.6296,143221.1227,325156,34132,128.263,5.956
"19","Benin",3.382,7.3902467,6.9945431,5.1142909,0.1,0.03,470.4756371,232.1764814,342.7236384,438.6918811,2.4,34.54,327.29,118.85,23.47,53.24,34.97,80.79,37.9,3.71,23.04,137.86,2.16,9.6,4.7,14.2,3.382,0.651227469,2.498297764,3.523153305,54.40496818,208.7132635,294.3319386,31.56592909,121.0960744,170.7722919,19.54813,82.3962,89.63388,2184543.406,9207943.438,10016768.94,2083463,8492489,3.382,4.408
"20","Bhutan",16.642,11.9438462,11.5148802,8.8572443,1.69,0.38,12.49109508,43.1003323,141.6242112,192.1576634,11,29.22,270.84,72.7,25.17,92.43,20.92,83.18,18.87,2.75,4.12,78.6,2.94,6.4,4.7,8.5,8.05,1.046312885,2.801838429,4.779471981,87.41126856,234.0717151,399.2875506,17.97673597,48.13847789,82.11626476,0.5288874,22.60959,52.1443,3943.21521,168569.868,388771.2146,396843,390543,67.856,5.082
"21","Bolivia",742.909,6.950181,8.9480019,7.677487,0.41,0.14,28.2497269,6.480708413,9.893755392,21.8938008,11.6,33,215.4,55.94,45.48,45.81,28.66,90.18,30.56,0.65,1.88,151.56,2.78,20.2,14.5,25.6,742.909,1.467199081,3.338161179,3.758738978,122.5730227,278.8772915,314.0132814,25.7623364,58.6142892,65.99915392,7.438027,21.49098,25.54418,832527.5026,2405454.015,2859122.773,5394527,5330178,742.909,5.559
"22","Bosnia and Herzegovina",336.502,7.9595233,6.909738,9.1098473,0.52,0.18,0.165359132,0.047956712,0.161376487,0.52605636,52.3,29.45,319.89,107.48,10.77,22.8,10.27,53.65,10.79,0.15,0.38,161.52,4.12,17.9,17.1,18.4,336.502,0.705741816,3.118057545,4.284558679,58.95921603,260.4893521,357.9414101,8.933852302,39.47090133,54.23741878,0,1.285606,3.633199,0,43087.4322,121767.6454,3352091,183870,336.502,5.516
"23","Botswana",8.93,7.5742542,9.4738462,7.0963344,0.35,0.15,58.12570008,100.0783656,136.8585378,200.9847604,8.5,35.2,343.14,107.77,24.71,70.76,15.32,140.84,24.1,0.62,5.06,143.17,2.31,18.9,8.1,29.3,8.93,0.505090038,2.24989419,3.958068766,42.19632731,187.9610853,330.6657282,3.825013115,17.0382984,29.97419035,0.752416,37.10923,60.1921,16591.73589,818306.0213,1327312.851,1400631,808566,8.93,3.471
"24","Brazil",743.068,7.7976249,8.682263,8.8017492,0.48,0.19,462.3082374,3.851812013,8.344758976,11.53111911,16.12,54.18,222.15,63.15,19.62,43.82,18.64,69.08,19.15,0.56,1.25,124.23,2.55,22.1,18.5,25.4,743.068,0.84750795,2.657711216,2.807738164,70.80266919,222.0310122,234.5645918,19.11810954,59.95272863,63.33704097,2.076389,11.95671,12.98858,4315438.805,24850088.45,26994663.41,170536625,35425483,743.068,6.11
"25","Brunei",6.857,9.2080746,9.676519,9.2202553,0.97,0.33,0.063669409,0.55648172,0.402321252,1.81880651,22.5,42.78,220.47,60.52,26.52,52.19,6.97,106.26,13.59,0.45,0.92,149.2,3.15,14.1,12.5,15.7,6.857,1.084304198,2.50948,4.050519973,NA,NA,NA,9.152198781,35.75432177,50.49298014,0,3.01498,10.49139,0,41175.26814,1344101.316,104687,65086,6.857,4.745
"26","Bulgaria",167.088,8.4220956,6.8991835,10.0065948,0.22,0.09,0.269395188,0.0267746,0.027228763,0.325240684,39.73,29.73,508.75,146.22,10.98,25.73,16.41,29.14,11.03,0.26,0.62,140.58,4.41,25,25.5,24.3,167.088,0.514931565,2.828763265,4.167510318,43.01850999,236.3210748,348.1629338,7.843800554,43.08971598,63.48245473,0.1288557,5.284159,9.337595,9117.761038,373904.2902,660723.2733,6173072,1004919,167.088,5.598
"27","Burkina Faso",3.205,7.3630174,5.4645982,3.7923581,0.51,0.11,794.4770944,215.3210044,327.1812676,421.0956136,4.6,35.63,350.79,87.13,16.09,37.02,28.2,76.38,46.66,5.26,30.89,141.5,2,5.6,2.6,8.1,3.205,0.573611327,2.538903881,3.542036729,47.92074575,212.1055873,295.9095012,36.10796922,159.820176,222.9658782,0.823905,80.15421,89.96324,158134.4265,15384225.16,17266900.15,3567793,14542831,3.205,4.741
"28","Burundi",0.084,4.2383366,4.0934194,2.5851791,0.64,0.14,322.0412056,240.4256593,351.9011488,458.969919,3.5,35.51,383.29,131.78,12.68,60.51,34.64,65.71,54.1,5.13,24.8,142.36,1.93,5.4,2.1,8.6,0.084,0.707986131,1.58855448,3.439233172,59.14671105,132.7113183,287.321067,80.83522961,181.3752565,392.6788828,42.48668,84.76974,97.167,4600043.04,9178040.095,10520294.41,4895650,5303620,0.084,3.775
"29","Cambodia",5.184,7.4169244,6.8944944,6.0548587,0.91,0.15,185.7759159,38.77179567,85.17724499,130.6067303,20.9,56.87,354.3,172.44,24.86,61.41,75.21,65.58,64.51,7.2,2.79,139.65,3.23,3.9,2.7,4.8,21.081,0.87682579,2.214249044,3.919958686,NA,NA,NA,17.97673597,53.97059513,98.29053922,1.988262,22.60959,45.98487,61477.8359,18573.29953,1207074.346,6579477,8938158,3.382,4.377
"30","Cameroon",16.048,6.5496373,6.8660443,4.8773871,0.71,0.22,705.0311431,152.6414651,216.361043,296.0179862,3,35.82,320.24,114.12,24.89,55.51,46.87,99.53,38.13,3.99,22.12,160.58,2.48,11.4,6.1,16.4,16.048,0.893473526,2.064990798,3.601684469,74.642734,172.5138512,300.892604,38.52634765,89.04186981,155.303704,11.02579,41.82046,66.43285,2708600.533,10273633.02,16319923.83,10458211,12376311,16.048,5.241
"31","Canada",264.982,6.2295715,4.7614839,6.5400874,0.24,0.11,35.60457069,0.857066455,1.307790811,1.024131627,42.85,30.1,126.84,27.89,8.99,24.59,8.24,27.85,10.22,0.25,0.27,147.79,6.91,29.4,29.5,29.3,264.982,0.678612354,2.130181041,2.976252719,56.69276143,177.9599867,248.6426666,10.6897202,33.55529731,46.88289067,0,0.4973831,0.4973831,0,181760.3028,181760.3028,35776913,71697,264.982,7.025
"32","Cape Verde",169.068,9.0616702,8.0251263,6.9133444,0.23,0.07,5.760243668,25.21947203,31.37297661,48.70629301,2.4,27.31,284.41,73.54,19.48,31.22,22.7,60.2,13.67,1.36,4.74,161.02,1.99,11.8,6.9,16.3,169.068,0.619501806,2.521965051,3.364083781,51.75453686,210.6904804,281.0429223,13.88320642,56.5179327,75.39004581,0.1623494,19.00103,32.42308,872.6231545,102129.9662,174273.0823,384763,148150,169.068,7.508
"33","Central African Republic",12.837,7.9801102,7.6084099,5.7774477,1.03,0.28,211.3721932,337.6809928,523.3641805,680.996517,4.6,43.62,506.18,201.86,16.31,77.35,39.85,77.6,70.42,6.76,24.66,140.1,1.6,7.5,3.7,10.9,12.837,1.020846914,1.705468567,3.267034795,85.28378563,142.478577,272.9352377,82.33635294,137.5544755,263.5025157,62.8391,81.09219,93.04771,2888102.631,3727019.758,4276498.805,991050,3555050,12.837,3.476
"34","Chad",5.844,7.893766,6.1519716,4.0834561,1.24,0.3,758.6749847,322.6589163,497.6303263,640.0044854,4.6,32.25,328.47,108.11,22.88,50.59,35.45,72.58,39.75,4.04,30,127.98,1.94,6.1,3.1,8.9,5.844,0.708813159,1.761556199,3.216645812,59.21580272,147.1642606,268.7256318,36.5146798,90.74698992,165.7062802,17.41418,57.60084,83.21726,2615047.88,8649787.389,12496547.03,1695139,12314274,5.844,4.251
"35","Chile",733.723,10.1604348,10.825427,11.9969369,0.35,0.16,19.78179495,1.475934844,3.487977429,6.086626005,18.89,28.96,138.67,45.89,18.62,27.95,23.92,43.92,13.71,0.13,0.67,134.76,4.89,28,24.9,31,733.723,0.622463862,2.106671037,3.075040316,52.00199348,175.9959095,256.8955987,10.00461942,33.85970377,49.42392635,0.1547775,0.6200612,1.807866,28588.08372,114528.0257,333920.7867,17602817,159864,733.723,6.151
"36","China",3.293,9.8981826,7.6439389,8.2972253,1.58,0.3,268.3886976,0.272490726,0.850300875,1.403658169,36.7,43.8,307.9,132.84,12.13,74.79,10.09,25.64,8.71,0.61,0.61,156.5,3.24,6.2,5.9,6.5,3.293,0.847186882,2.110779841,3.608958352,70.77584646,176.339168,301.5002801,30.79742586,76.73228543,131.1949342,0.07885481,3.222103,17.94347,1093239.143,44671074.89,248767370.9,1048983300,322236700,3.293,5.771
"37","Colombia",600.693,8.3281758,8.7073733,8.4604687,0.46,0.17,53.91300802,1.764725833,1.717726626,7.667555793,14.41,39.52,185.27,32.92,22.02,43.08,10,50.39,18.23,0.18,1.09,109.16,2.44,22.3,17.6,26.6,600.693,1.024257877,2.611167317,3.266096458,85.56874495,218.142633,272.856847,23.07791175,58.83312227,73.58955935,2.649699,15.29894,22.39919,1295731.057,7481344.747,10953442.69,39113473,9115224,600.693,5.709
"38","Comoros",8.05,7.863303,8.0245183,6.0384258,1.5,0.41,36.55028147,175.6912717,264.2789638,337.2701227,3.5,40.48,312.61,85.79,12.07,37.63,23.24,64.6,40.5,3.56,19.82,140.96,2.36,7.8,3.3,12.2,8.05,1.100676758,3.461404191,3.357260846,91.95294552,289.1732824,280.4729195,29.69686059,93.39057717,90.58073281,14.84323,60.93004,60.2145,120807.8615,495904.7212,490080.9983,278318,499106,8.05,4.609
"39","Congo",16.672,7.7231127,7.6175358,5.7576397,0.86,0.25,214.3269584,235.9875363,341.6682072,458.7829475,3.6,51.12,374.62,122.13,15.38,52.38,41.93,69.02,49.78,3.14,13.14,145.47,2.22,9.6,5.5,13.5,16.672,0.986611486,2.575960331,3.876845836,82.42368303,215.2013644,323.8801868,44.85581396,117.1147904,176.2589206,36.00113,77.87475,90.04419,1839910.471,3979946.406,4601890.219,749347,4246301,16.672,5.213
"40","Costa Rica",260.889,8.8486617,8.9133927,8.7075053,0.34,0.14,11.65821886,4.412595061,1.061306557,9.362067606,9.7,39.46,130.93,22.05,24.85,27.45,17.23,39.65,15.16,0.4,0.85,109.66,2.53,25.7,21.1,30.4,260.889,0.942631128,2.736463189,3.879117852,78.7494677,228.6101244,324.069996,15.2863986,44.37649658,62.90662372,0.5103955,4.925115,10.59034,25264.34247,243790.9269,524216.9584,4543420,264432,260.889,6.998
"41","Cote d'Ivoire",4.625,7.3379487,6.312889,4.4236553,0.26,0.08,486.8208205,133.2425572,187.2536846,260.3773541,6,35.07,422.34,139.42,27.81,58.44,47.95,101.94,43.34,4.59,21.59,143,2.4,10.3,5.8,15.2,4.625,0.814961923,1.618856167,2.889052155,68.08370288,135.2427876,241.3577406,25.8448894,51.33878944,91.62051781,9.432848,36.85344,68.84484,2305149.306,9006047.975,16823936.43,5199406,17909066,4.625,5.257
"42","Croatia",114.487,8.3590648,6.3176757,9.2294015,0.21,0.09,0.634493705,0.111150038,0.213351152,1.224146402,58.98,30.22,325.58,88.71,8.95,23.45,18.81,27.81,13.66,0.05,0.31,180.24,4.51,24.4,24.1,24.5,114.487,0.673078637,3.262815203,4.373040879,56.23046257,272.5827237,365.3334068,7.771650708,37.67384477,50.49298014,0.3083222,2.453549,5.311003,12716.84472,101197.3891,219053.9651,4077496,126108,114.487,6.508
"43","Cuba",11.301,7.2850055,9.5670743,11.7883774,0.38,0.16,26.79787593,2.340771293,4.478881745,11.61802816,35.8,34.34,214.01,56.83,13.13,24.27,10.7,28.74,12.81,0.09,0.8,152.98,2.87,24.6,18.9,30.3,11.301,0.694181218,2.273825511,2.905280516,NA,NA,NA,10.98752775,34.25890599,88.5648859,1.260342,0.6200612,5.710876,8825.577048,179857.2051,1530500.1,10682055,779377,11.301,5.418
"44","Cyprus",28.542,8.2802862,5.6710975,6.7227887,0.43,0.16,0.561848339,0.482389041,0.435143815,0.893896176,24.8,43.87,187.14,35.42,17.83,30.02,7.54,63.02,10.77,0.15,0.32,126.42,4.07,21.8,21.9,21.6,28.542,0.581570659,2.085576347,3.051524636,48.58568577,174.233613,254.9310472,9.553222324,34.25890599,50.12614175,0.002312479,0.05130247,0.05130247,27.27985227,605.2049781,605.2049781,1160985,0,28.542,6.26
"45","Czech Republic",237.838,8.4406733,6.6159594,9.060892,0.26,0.11,5.136815339,0.378736361,0.234226046,3.274184753,57.02,29.8,283.58,55.86,6.81,18.94,13.41,25.5,13.21,0.1,0.31,156.73,4.6,26,26.4,25.4,237.838,0.449308988,2.407971577,3.108033837,37.53625634,201.1672161,259.6519496,5.952627554,31.90178325,41.17649176,0,0.1187588,0.188587,0,12581.82744,19979.73279,10451144,94915,237.838,6.897
"46","Democratic Republic of Congo",3.394,6.2299002,6.064558,4.3320325,1.21,0.3,2637.781537,220.8595465,306.7577737,416.3131186,4.4,48.24,353.13,136.68,11.47,58.92,31.39,55.64,51.98,3.99,16.71,114.31,1.8,6.7,3.6,9.7,3.394,0.560192577,2.049379486,3.24618016,46.79971401,171.2096479,271.1929958,36.02248181,131.7827803,208.7415482,28.68827,87.43453,95.51018,23351897.19,71170626.73,77744106.01,21868430,54328189,3.394,4.311
"47","Denmark",122.406,5.3713457,3.2946986,5.0148581,0.34,0.12,8.074058217,1.059482007,0.574502993,1.041109252,40.1,34.51,137.43,36.95,8.07,37.99,10.96,28.41,14.97,0.07,0.44,169.05,3.75,19.7,22.3,17,122.406,0.303741478,1.74842859,2.389893956,25.37522787,146.0675513,199.6569721,4.451481478,25.62408513,35.02507712,0.1092044,0.1425427,0.1710614,6295.611819,8217.558146,9861.655498,5660749,22734,122.406,7.515
"48","Djibouti",61.741,8.6408121,7.5921335,5.8525499,0.71,0.24,19.31481957,103.8233809,146.1172387,198.5049382,3.5,41.29,305.33,83.21,13.97,33.29,26.47,65.77,39.81,3.38,19.55,139.33,2.32,13.5,8.6,18.3,61.741,0.615534816,2.459454634,3.540836588,51.4231258,205.4682234,295.8092388,25.67767887,102.5987234,147.709703,3.311857,46.17658,66.70957,31267.14258,435951.7065,629803.0491,439594,487820,61.741,4.369
"49","Dominica",86.441,8.4823535,13.5847999,14.1707703,0.46,0.21,0.162658359,2.866725552,4.083303752,10.78651956,6.7,31.09,293.7,72.39,42.57,25.8,15.4,127.88,17.63,0.19,1.5,203.15,2.82,27.9,19.9,35.6,614.17,0.799425284,2.721453576,3.458190307,NA,NA,NA,8.162351323,28.16316446,46.78276397,0,3.01498,12.04238,60010.99727,8371.576974,304688.8307,57540,13410,544.493,7.028
"50","Dominican Republic",205.201,8.6348075,11.4407357,10.6344056,0.34,0.15,42.48574207,8.682168866,7.516714052,20.03366968,6.985,30.5,272.57,70.25,22.63,20.73,18.11,53.27,9.89,0.84,2.52,103.49,2.7,27.6,21,34.1,205.201,1.180382518,2.875454061,4.024191138,98.61173919,240.2217261,336.1897358,15.24125693,37.12824737,51.96089413,0.5847719,7.921777,18.58065,61477.8359,832826.7935,1953408.075,8843851,1684543,205.201,5.168
"51","Ecuador",713.482,7.4656134,8.4553857,7.8982064,0.49,0.17,20.70483616,2.566411094,3.140896891,8.521069378,7.18,28.19,141.95,33.66,40.64,23.92,22.51,80.2,18.46,0.28,0.89,106.11,2.65,19.9,14.9,24.7,713.482,1.345774261,2.50948,3.182589661,112.4289274,209.647452,265.8805063,31.37819024,58.51125492,74.20553857,3.393462,10.93528,17.05914,569604.8471,1835526.224,2863438.232,13674280,2470088,713.482,5.354
"52","Egypt",60.801,15.9915285,19.8157674,18.2179029,0.55,0.27,29.55839364,1.537230201,4.982614264,6.140175061,8.4,40.61,436.74,107.01,31.43,43.88,122.79,66.91,16.29,1.07,1.27,83.01,3.61,32,22.7,41.1,60.801,0.987348298,2.265912852,4.148056121,82.48523794,189.2993193,346.5376876,8.165371609,18.739102,34.30442909,0.7054973,26.9977,75.18362,680399.8897,26037281.93,72509032.64,88807929,4970243,60.801,4.472
