"","Entity","Child mortality estimates (Gapminder (2015))","Child mortality 1950-2017 (IHME, 2018).x","Child mortality 1950-2017 (IHME, 2018).y","Inequality in life expectancy (2015-2020)","Inequality in education (2017)","Infant mortality rate","International Historical Statistics (Deaths per 1,000) (Brian Mitchell (2013))","Life expectancy","Population","Life Expectancy (1950-2015) (UN Population Division (2015))","Male life expectancy at birth (HMD (2018) and others)","Male life expectancy at 15 (HMD (2018) and others)","Male life expectancy at 45 (HMD (2018) and others)","Female life expectancy at birth (HMD (2018) and others)","Female life expectancy at 15 (HMD (2018) and others)","Female life expectancy at 45 (HMD (2018) and others)","Female minus male life expectancy at birth (HMD (2018) and others)","Female minus male life expectancy at 15 (HMD (2018) and others)","Female minus male life expectancy at 45 (HMD (2018) and others)","Female-to-male life expectancy ratio at birth (HMD (2018) and others)","Female-to-male life expectancy ratio at 15 (HMD (2018) and others)","Female-to-male life expectancy ratio at 45 (HMD (2018) and others)","Mean BMI (male)","Mean BMI (female)","Neonatal Mortality Rate (via Childmortality.org (2015))","Number of child deaths 1950-2017 (IHME, 2017)","Number of infant deaths (IHME - 2017)","Number of neonatal deaths (IHME - 2017)","Total population (Gapminder, HYDE & UN)","Population by country and region, historic and projections (Gapminder, HYDE & UN)","Share of world population"
"29","Bhutan",32.9,30.07,30.07,17.8,41.7,2072.8343,NA,71.777,763000,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.59475588,24.56664292,18.3,0,355,260,779900,686287,1e-04
"30","Bolivia",38.4,32.44,32.44,25.2,20,2118.418775,NA,71.513,11513000,67.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.42187349,27.92672885,19.6,8,6255,3737,11832936,17390956,0.0015
"31","Bonaire Sint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,77.788,26000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26445,32606,0
"32","Bosnia and Herzegovina",6,7.04,7.04,5.9,19.8,555.5097578,NA,77.401,3301000,76.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.53071356,25.34013918,4,0,159,141,3263459,1641054,4e-04
"33","Botswana",53.3,25.14,25.14,18.6,NA,1561.28169,NA,69.592,2304000,64.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.63366824,26.29687711,21.9,1,751,509,2397240,4165861,3e-04
"34","Brazil",13.3,20.19,20.19,10.8,22,1493.520601,NA,75.881,211050000,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.47157714,27.03856248,8.9,51,44940,23677,213993441,180682762,0.0272
"35","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,79.069,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30423,24857,0
"36","Brunei",10.3,9.97,9.97,5.5,NA,777.6068771,NA,75.86,433000,78.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.31810115,27.33141526,4.3,0,52,29,441532,389884,1e-04
"37","Bulgaria",10.7,8.56,8.56,6.7,6.5,627.6093553,14.62181767,75.046,7e+06,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.32226907,25.93015482,5.6,0,379,231,6896655,3588337,9e-04
"38","Burkina Faso",88.6,115.59,115.59,32,39.2,6132.224096,NA,61.577,20321000,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.25253512,22.1477769,26.7,87,49380,22392,21497097,83194233,0.0027
"39","Burundi",81.7,86.61,86.61,38.1,39.5,5247.735039,NA,61.584,11531000,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.85867709,21.60407468,28.6,31,20389,10359,12255429,50904072,0.0016
"40","Cambodia",28.7,34.9,34.9,16,27.3,2697.656157,NA,69.823,16487000,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.15405293,22.38762001,14.8,12,9876,6072,16946446,21355011,0.0022
"41","Cameroon",88.7,78.71,78.71,33.7,33,4273.025088,NA,59.292,25876000,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.65643975,25.22671897,25.7,55,35507,17820,27224262,90225178,0.0035
"42","Canada",4.9,5.81,5.81,4.3,1.4,465.0432088,7.232596158,82.434,37411000,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.45423618,26.76370753,3.2,2,1819,1178,38067913,56953224,0.0048
"43","Cape Verde",24.3,23.31,23.31,13.3,23.7,2002.559261,NA,72.981,550000,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.80060003,25.42787529,12.2,0,196,136,561901,603949,1e-04
"44","Caribbean",NA,38.69,38.69,NA,NA,2967.973675,NA,NA,NA,72.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,23580,14070,NA,NA,NA
"45","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,83.924,65000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66498,102667,0
"46","Central African Republic",130.5,131.1,131.1,41.7,34.5,11915.67596,NA,53.283,4745000,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.07918352,23.78232058,42.6,22,14800,7142,4919987,11631410,6e-04
"47","Central America",NA,NA,NA,NA,NA,NA,NA,NA,NA,75.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Central and Eastern Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.79068196,26.53562216,NA,NA,NA,NA,NA,NA,NA
"49","Central Asia",NA,28.73,28.73,NA,NA,2020.054334,NA,NA,NA,68.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,38171,23840,NA,NA,NA
"50","Central Asia, Middle East and North Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.72445658,28.46213527,NA,NA,NA,NA,NA,NA,NA
"51","Central Europe",NA,6.28,6.28,NA,NA,470.0477519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5124,3361,NA,NA,NA
"52","Central Latin America",NA,17.57,17.57,NA,NA,1227.789444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,60486,34741,NA,NA,NA
"53","Central sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,NA,NA,NA,NA,NA
"54","Central Sub-Saharan Africa",NA,83.1,83.1,NA,NA,5554.857145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228719,115633,NA,NA,NA
"55","Chad",138.7,122.75,122.75,42.4,43,7102.314108,NA,54.239,15947000,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.05057441,21.97868164,39.3,80,47731,22314,16914985,61849820,0.0021
"56","Channel Islands",8.87,NA,NA,NA,NA,NA,NA,83.086,172000,80.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175244,222514,0
"57","Chile",8.1,7.88,7.88,6.1,7.5,627.4581196,5.37883863,80.181,18952000,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.99180302,28.34360496,4.9,2,1519,1118,19212362,17332335,0.0024
"58","China",10.7,13.16,13.16,7.9,11.5,720.4156658,7.065046376,76.912,1433784064,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.27643908,23.59199764,5.5,165,132753,65418,1444216102,1064993456,0.1834
"59","Colombia",15.9,15.61,15.61,13.2,19.4,1160.255384,5.8,77.287,50339000,73.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.990732,26.75453166,8.5,12,9769,6117,51265841,45221276,0.0065
"60","Comoros",73.5,50.19,50.19,28.9,47.6,3404.656635,NA,64.321,851000,62.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.36117402,25.76026031,34,1,592,383,888456,2186509,1e-04
"61","Congo",45,59.9,59.9,25.1,21.5,3457.201389,NA,64.57,5381000,61.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.39378052,24.22026121,18,7,4385,2418,5657017,20961987,7e-04
"62","Cook Islands",8.1,NA,NA,NA,NA,NA,NA,76.246,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.85587073,33.36277822,4.4,NA,NA,NA,17572,13786,0
"63","Costa Rica",9.7,8.8,8.8,7.5,11.9,704.711585,4.181638798,80.279,5048000,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9095007,28.10500815,6.2,1,491,374,5139053,4797969,7e-04
"64","Cote d'Ivoire",94.4,94.67,94.67,34.2,47.4,5579.573984,NA,57.783,25717000,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.47829494,24.24784698,37.9,66,45573,25672,27053629,96632721,0.0034
"65","Croatia",4.3,4.59,4.59,4.1,5,356.288517,NA,78.488,4130000,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.1976285,27.03333448,2.6,0,133,101,4081657,2183314,5e-04
"66","Cuba",5.6,5.71,5.71,5.3,10.9,381.9394847,7.735580744,78.802,11333000,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.37309739,26.20142057,2.3,1,432,253,11317498,6671461,0.0014
"67","Curacao",11.33,NA,NA,NA,NA,NA,NA,78.88,163000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164796,175041,0
"68","Cura�ao",NA,NA,NA,NA,NA,NA,NA,NA,NA,77.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Cyprus",3.4,3.2,3.2,3.6,11.7,251.0092208,6.708211463,80.982,1199000,79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.73522915,26.22650471,1.5,0,28,19,1215588,1308911,2e-04
"70","Czech Republic",3.4,3.26,3.26,3.3,1.6,212.3376553,NA,79.376,10689000,78.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.18887918,26.43610997,1.8,0,230,137,NA,NA,NA
"71","Czechia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10724553,10274070,0.0014
"72","Czechoslovakia",NA,NA,NA,NA,NA,NA,10.15647458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Democratic Republic of Congo",98.3,87.31,87.31,36.1,26.3,5794.176295,NA,60.681,86791000,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.44356804,22.70869215,30.1,253,160849,80224,92377986,362031082,0.0117
"74","Denmark",3.5,4.05,4.05,3.4,4.3,322.1204886,9.804800291,80.898,5772000,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.27862334,24.55769869,2.5,0,194,130,5813302,6872907,7e-04
"75","Developing countries",NA,NA,NA,17.4,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Djibouti",65.3,48.82,48.82,30.8,47,2491.48713,NA,67.112,974000,61.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.50601857,24.75441969,33.4,1,820,456,1002197,1331656,1e-04
"77","Dominica",21.2,33.36,33.36,NA,NA,3055.178046,NA,75,72000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.07841251,29.21841194,15.6,0,24,16,72172,51345,0
"78","Dominican Republic",30.9,33.13,33.13,15.4,19.1,2406.219552,NA,74.081,10739000,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.68938691,27.56382371,21.7,6,5033,3793,10953714,11012548,0.0014
"79","East and South East Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.91034526,23.66621471,NA,NA,NA,NA,NA,NA,NA
"80","East Asia",NA,13.24,13.24,NA,NA,735.7607083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,141104,69807,NA,NA,NA
"81","East Asia and the Pacific",NA,NA,NA,10,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","East Germany",NA,NA,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Eastern Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Eastern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Eastern Europe",NA,8.75,8.75,NA,NA,593.1697135,NA,NA,NA,71.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,13942,9285,NA,NA,NA
"86","Eastern sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,849,NA,NA,NA,NA,NA
"87","Eastern Sub-Saharan Africa",NA,68.32,68.32,NA,NA,4573.485412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609457,333968,NA,NA,NA
"88","Ecuador",21.6,19.01,19.01,13.9,13.8,1315.719531,NA,77.01,17374000,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.76872095,28.0662789,10.8,5,4109,2401,17888474,24482822,0.0023
"89","Egypt",24,20.39,20.39,11.6,36.9,1592.650397,6.195529916,71.99,100388000,70.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.93033859,31.69788414,12.8,44,34547,16529,104258327,224735180,0.0132
"90","El Salvador",16.8,13.49,13.49,12.2,30.3,1083.908987,5.15845253,73.317,6454000,72.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.97990172,28.50102418,8.3,1,1166,608,6518500,4766079,8e-04
"91","England and Wales",NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Equatorial Guinea",94.1,59.16,59.16,35,NA,3460.540601,NA,58.735,1356000,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.39304404,26.02097699,33.1,2,1316,697,1449891,4510631,2e-04
"93","Eritrea",46.5,51.33,51.33,21.4,NA,4222.614927,NA,66.321,3497000,63.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.31894138,21.17645978,18.4,11,7112,3902,3601462,9061777,5e-04
"94","Estonia",3,3.18,3.18,4.3,2.3,215.1727847,NA,78.745,1326000,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.10832438,26.04526707,1.5,0,30,17,1325188,837720,2e-04
"95","Eswatini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1172369,2145198,1e-04
"96","Ethiopia",59.2,60.58,60.58,24.9,43.5,4211.644212,NA,66.597,112079000,63.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.11043961,21.11970671,27.7,198,148833,89734,117876226,294392903,0.015
"97","Europe",NA,NA,NA,NA,NA,NA,NA,78.587,747182976,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,748962983,630871472,0.0951
"98","Europe and Central Asia",NA,NA,NA,10.9,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,80.666,49000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49053,55097,0
"100","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,81.442,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3528,2717,0
"101","Fiji",22.4,27.9,27.9,10.9,NA,1864.966294,4.767926846,67.444,890000,69.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.80560987,29.0032383,9.6,0,340,219,902899,1066581,1e-04
"102","Finland",2.3,2.4,2.4,2.8,1.9,182.3905576,9.493801965,81.908,5532000,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.54581549,25.68118239,1.3,0,100,68,5548361,5254370,7e-04
"103","France",4.3,4.25,4.25,3.6,8.6,313.2303763,8.496422292,82.659,65130000,81.8,74.9400024414062,75.5,77.4799957275391,82.5199966430664,83,83.9599990844727,7.57999420166016,7.5,6.47999954223633,1.10114753246307,1.09933769702911,1.08363449573517,26.07234717,24.3122892,2.2,3,2297,1529,65426177,65497773,0.0083
"104","French Guiana",10.78,NA,NA,NA,NA,NA,NA,79.952,291000,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306450,927143,0
