"","Entity","Share of people who disagree vaccines are important for children to have","Share of people who agree vaccines are safe","Share of people who disagree vaccines are safe","Share of people who agree vaccines are effective","Share of people who disagree vaccines are effective","Share of people who agree vaccines are important for children to have","Standard deviation of life satisfaction","All causes - Disability Adjusted Life Years (WHO (2015))","Share of population covered by health insurance (ILO (2014))","Public Expenditure on Health (Tanzi & Schuktnecht (2000))","Health Expenditure and Financing (per capita) (OECDstat (2017))","Current health expenditure per capita, PPP (current international $)","Health expenditure per capita, PPP (World Bank (2016))","HAQ Index (IHME (2017))","Beds in for-profit privately owned hospitals (number) (OECD)","Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)","Beds in not-for-profit privately owned hospitals (number) (OECD)","Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)","Beds in publicly owned hospitals (number) (OECD)","Beds in publicly owned hospitals (per 1,000 population) (OECD)","Acute care beds (number) (OECD)","Acute care beds (per 1,000 population) (OECD)","Dentists (per 100,000 population) (OECD)","Dentists (headcount) (OECD)","For-profit privately owned hospitals (number) (OECD)","For-profit privately owned hospitals (per million population) (OECD)","General hospitals (number) (OECD)","General hospitals (per million population) (OECD)","Hospitals (number) (OECD)","Hospitals (per million population) (OECD)","Long-term care beds (number) (OECD)","Long-term care beds (per 1,000 population) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)","Midwives (headcount) (OECD)","Midwives (per 1,000 live births) (OECD)","Not-for-profit privately owned hospitals (number) (OECD)","Not-for-profit privately owned hospitals (per million population) (OECD)","Nurses (per 1,000 population) (OECD)","Nurses (headcount) (OECD)","Physicians (per 1,000 population) (OECD)","Physicians (headcount) (OECD)","Psychiatric care beds (number) (OECD)","Psychiatric care beds (per 1,000 population) (OECD)","Psychiatrists (per 1,000 population) (OECD)","Psychiatrists (headcount) (OECD)","Publicly owned hospitals (number) (OECD)","Publicly owned hospitals (per million population) (OECD)","Surgical specialists (per 1,000 population) (OECD)","Surgical specialists (headcount) (OECD)","Hospital beds (number) (OECD)","Hospital beds, nurse-to-bed ratio (OECD)","Hospital beds (per 1,000 population) (OECD)","Healthy Life Expectancy (IHME)","Life Expectancy (IHME)","Years Lived With Disability (IHME)","Public expenditure on health per capita in developing countries (PPP) (World Bank (WDI) (2017))","Health","Old Age","Out-of-pocket expenditure per capita on healthcare (PPP USD) (WHO Global Health Expenditure)","Percentage of persons without health insurance (%)","How much we think we spend on health expenditure (IPSOS (2016))","How much we actually spend on health expenditure (IPSOS (2016))","Public expenditure on health %GDP (OWID extrapolated series)","Total gross official disbursements for medical research and basic heath sectors","BCG immunization coverage among 1-year-olds (WHO 2017)","Hepatitis B (HepB3) immunization coverage among 1-year-olds (WHO 2017)","DTP3 immunization coverage among 1-year-olds (WHO 2017)","Polio (Pol3) immunization coverage among 1-year-olds (WHO 2017)","Measles (MCV) immunization coverage among 1-year-olds (WHO 2017)","Number of confirmed tetanus cases (WHO 2017)","Number confirmed polio cases (WHO 2017)","Number of confirmed pertussis cases (WHO 2017)","Number of confirmed measles cases (WHO 2017)","Number of confirmed diphtheria cases (WHO 2017)","Estimated deaths due to tuberculosis per 100,000 population, excluding HIV (WHO 2017)","Estimated number of deaths due to tuberculosis, excluding HIV (WHO 2017)"
"31","Bolivia",1.777991454,74.19606176,13.10435207,79.09922514,8.654473793,96.10942464,NA,44087,42.7,NA,NA,445.8226242,371.76,59.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,73.24,9.24,304.1820414,NA,NA,115.56576,NA,NA,NA,4.56537754,2.114e+10,99,99,99,99,99,0,0,11,0,0,3.2,340
"32","Bosnia and Herzegovina",5.866728907,70.28352917,8.300703246,76.4682,6.200150659,84.86382014,NA,24000,59.2,NA,NA,1101.792914,928.45,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.3,77.55,10.25,713.5143154,NA,NA,315.49902,NA,NA,NA,6.81307708,5.03e+09,95,82,82,74,83,0,0,12,1677,0,3,120
"33","Botswana",3.825546888,79.41785942,9.001017043,85.24354003,4.075795082,94.1695158,NA,61513,NA,NA,NA,969.9563729,851.08,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.6,65.23,8.63,511.400578,NA,NA,51.02795,NA,NA,NA,3.19388446,3.52e+09,98,95,95,96,97,0,0,0,0,0,26,590
"34","Brazil",0.504578666,79.9810372,9.042356185,80.66170174,6.681065927,97.41521343,NA,31632,100,NA,NA,1391.52257,1453.9,64.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456291,NA,2.3,65.48,75.24,9.76,612.0097642,NA,NA,393.65927,NA,25,8,3.83175989,2.44e+09,99,96,96,98,99,273,0,2920,214,12,2.7,5500
"35","Brunei",NA,NA,NA,NA,NA,NA,NA,22941,100,NA,NA,2083.430502,1811.61,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.48,76.88,9.4,NA,NA,NA,125.25507,NA,NA,NA,2.48556787,NA,99,99,99,99,96,0,0,5,4,0,5.3,23
"36","Bulgaria",6.922498454,39.54659857,15.61304414,56.86154774,6.439258374,71.44014745,NA,28771,87,NA,NA,1491.868089,1212.52,71.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.6,75.03,9.43,802.0088689,NA,NA,711.14771,NA,NA,NA,4.60763146,NA,96,92,91,91,92,0,0,35,0,0,1.3,90
"37","Burkina Faso",2.869976837,68.02213453,20.75256443,83.90067419,8.622097794,94.20956408,NA,70891,1,NA,NA,96.10067087,109.15,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.93,60.79,7.86,43.0720167,NA,NA,34.698746,NA,NA,NA,2.59397374,1.0803e+11,98,91,91,91,88,0,0,0,99,0,9,1600
"38","Burundi",0.661125647,87.51567521,6.529531228,91.08010345,3.48685783,98.39638064,NA,80027,28.4,NA,NA,63.73553919,61.83,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.51,60.34,6.83,30.74485049,NA,NA,12.152169,NA,NA,NA,3.97372756,4.981e+10,93,94,94,94,93,3,0,0,9,0,24,2700
"39","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Cambodia",0.472894487,87.60302809,7.541631375,94.29418476,2.041912161,98.9268855,NA,40007,26.1,NA,NA,209.6168627,228.71,50.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.12,68.75,8.63,41.01956685,NA,NA,124.43549,NA,NA,NA,1.25104201,7.057e+10,90,89,89,87,81,18,0,10,0,0,55,8600
"41","Cameroon",1.821170138,77.10495707,13.10581138,82.47290506,9.54639879,97.39968236,NA,77369,2,NA,NA,162.8401984,138.43,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.49,60.14,7.65,28.03674608,NA,NA,113.57147,NA,NA,NA,0.93863369,9.525e+10,74,84,84,83,79,120,5,0,1809,0,30,6900
"42","Canada",5.370012878,76.43792009,8.322632874,82.25039568,5.802206573,87.49825141,1.710261106,18838,100,7,"4288.992",4600.088285,4759.31,87.6,625,0.02,NA,NA,91841,2.49,71909,1.95,0.67,24600,7,0.19,589,16.05,722,19.67,15784,0.43,2.47,1690,4.49,NA,NA,11.6,425737,2.93,108124,12575,0.34,0.18,6508,715,19.48,0.43,15790,92466,NA,2.5,71.2,81.85,10.66,NA,"..","..",670.91956,NA,28,10,7.41193189,NA,NA,55,91,91,90,4,0,3510,195,3,0.3,110
"43","Cape Verde",NA,NA,NA,NA,NA,NA,NA,31195,NA,NA,NA,310.4060324,279.14,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.18,73.59,9.41,230.3574551,NA,NA,71.923409,NA,NA,NA,3.55722675,NA,94,93,93,93,92,0,0,0,0,0,5.3,27
"44","Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.97,73.16,9.19,NA,NA,NA,NA,NA,NA,NA,NA,6.328e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Caribbean small states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,965.9328881,853.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Central Africa",2,77,14,84,8,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Central African Republic",NA,NA,NA,NA,NA,NA,NA,97115,6,NA,NA,31.85577603,23.65,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.65,50.16,6.51,12.25518172,NA,NA,12.615376,NA,NA,NA,2.05694298,2.319e+10,74,47,47,47,49,96,0,379,150,0,45,2200
"48","Central America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1269e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Central America and Mexico",1,88,7,90,6,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Central Asia",4,74,7,79,4,88,NA,NA,NA,NA,NA,NA,NA,59.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.58,71.31,8.73,NA,NA,NA,NA,NA,NA,NA,NA,7.483e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Central Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.78,76.87,10.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Central Europe and the Baltics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.942672,1535.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Central Europe, Eastern Europe, and Central Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.43,72.73,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Central Latin America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Central Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.38,61.7,8.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Chad",4.344118015,81.13775922,10.0500689,84.99356568,7.10284335,93.12590799,NA,94563,NA,NA,NA,99.77119413,74.01,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.72,59.83,8.11,43.23409398,NA,NA,56.241741,NA,NA,NA,1.97895016,2.234e+10,70,55,55,62,62,195,0,5898,418,0,23,3200
"57","Chile",3.98514653,74.19019875,11.37743281,77.73035681,6.457683704,88.91722899,NA,21333,93.1,NA,"1595.5279",1903.118645,1677.6,76,10169,0.55,NA,NA,28684,1.56,36523,1.99,1.27,23504,148,8.05,247,13.44,358,19.48,91,0,0.05,13136,49.85,NA,NA,2.99,55508,2.62,48531,1830,0.1,0.1,1790,210,11.43,0.45,8346,38853,0.42,2.11,69.9,80.32,10.42,NA,"4.2","2.4",613.57904,NA,16,8,3.85130942,3.4e+08,93,97,96,96,96,8,0,734,9,0,2.6,470
"58","China",1.868376767,72.29322724,8.290823545,78.84430858,2.833015078,90.28046099,NA,24811,96.9,NA,NA,762.2437789,645.63,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6120500,NA,4.34,67.85,76.36,8.51,415.9885654,NA,NA,246.86253,NA,21,6,3.09517428,7.943e+10,99,99,99,99,99,426,0,6658,42361,0,2.6,35000
"59","Colombia",0.582169118,81.94123131,10.70378513,81.89031228,7.951823432,98.87762287,NA,27188,87.7,NA,NA,852.8121654,842.7,67.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85021,NA,1.71,69.09,78.26,9.17,724.6120706,NA,NA,156.01645,NA,17,7,5.40994315,4.45e+09,90,91,91,91,94,48,0,986,1,0,2.1,1000
"60","Comoros",1.308382738,89.2524814,7.505970773,93.11858028,2.558275957,98.12308712,NA,59673,NA,NA,NA,121.0422012,89.74,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.29,67.54,8.25,32.98878699,NA,NA,90.556938,NA,NA,NA,2.21732035,2.28e+09,73,80,80,81,81,0,0,0,0,0,7.8,61
"61","Congo",2.207636832,75.14630293,17.50763411,91.48989263,3.431957516,96.17708656,NA,70611,NA,NA,NA,202.6585841,241.76,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.63,62.89,8.25,265.6838266,NA,NA,88.853043,NA,NA,NA,4.21192085,9.32e+09,85,80,80,80,80,14,0,21,1359,0,49,2300
"62","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.42215,NA,NA,NA,3.04561103,1.7e+08,99,99,99,99,99,0,0,0,0,0,1.4,0
"63","Costa Rica",1.037113384,86.36932242,5.810229365,86.75535083,5.342327278,97.91496029,NA,23017,100,NA,NA,1286.462817,1369.03,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5614,NA,1.13,71.16,80.98,9.82,1017.045124,NA,NA,276.40625,NA,NA,NA,6.76760152,3.3e+08,83,92,92,92,93,1,0,20,0,0,1,49
"64","Cote d'Ivoire",1.484182932,76.95228843,16.35067072,87.80202892,7.825140704,96.74763536,NA,88856,1.2,NA,NA,189.6011903,171.77,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.15,59.87,7.72,54.76612122,NA,NA,68.291847,NA,NA,NA,1.67853849,5.166e+10,79,83,83,81,72,9,0,0,65,0,22,5000
"65","Croatia",4.352767471,56.77457914,6.794648185,65.43009934,3.972600637,77.67208662,NA,24063,97,NA,NA,1656.426156,1516.85,81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.42,77.36,9.94,NA,NA,NA,251.05083,NA,NA,NA,6.38828759,8e+07,98,94,94,94,93,3,0,57,206,0,0.8,33
"66","Cuba",NA,NA,NA,NA,NA,NA,NA,25180,100,NA,NA,NA,1828.43,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.19,78.91,9.73,NA,NA,NA,NA,NA,NA,NA,10.57366249,2.01e+09,99,96,99,99,99,1,0,0,0,0,0.4,47
"67","Cyprus",6.016327191,62.19919645,9.859631777,70.76774244,6.188590336,85.23998814,NA,15789,65,NA,NA,2136.797759,2196.98,85.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,80.48,10.28,NA,NA,NA,937.77203,NA,NA,NA,3.33201922,NA,NA,97,97,97,90,0,0,2,0,0,0.1,1
"68","Czech Republic",2.981318636,64.04283544,6.603516208,76.39963792,3.086702344,81.38594528,NA,22380,100,NA,"2166.4171",2469.851757,1981.84,84.8,10358,0.98,253,0.02,59603,5.63,43531,4.11,NA,NA,94,8.87,156,14.72,258,24.35,20742,1.96,10.43,7212,64.02,3,0.28,11.54,121917,4.14,43951,9934,0.94,0.15,1533,161,15.2,0.89,9397,70214,0.75,6.63,68.1,79.1,11,NA,"..","..",366.23938,NA,16,7,6.26497638,NA,98,97,99,97,99,1,0,585,9,0,0.4,39
"69","Democratic Republic of Congo",NA,NA,NA,NA,NA,NA,NA,92831,10,NA,NA,33.97361777,26.19,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.11,61.56,8.45,11.97140719,NA,NA,12.715207,NA,NA,NA,1.59835647,5.183e+11,74,81,81,78,79,330,0,0,5020,0,66,51000
"70","Denmark",2.36310731,69.7737173,8.979714929,85.26314262,4.085631741,92.37400934,1.815271616,20451,100,NA,"4484.5356",5083.20928,4552.4,85.7,263,0.05,642,0.11,13524,2.34,14011,2.42,1.43,8208,NA,NA,NA,NA,NA,NA,250,0.04,0.22,3549,57.6,NA,NA,18.23,104415,6.22,35626,2714,0.47,0.19,1093,NA,NA,0.63,3595,14429,2.57,2.5,69.88,80.82,10.95,NA,"..","..",697.55823,NA,21,11,9.15873411,NA,NA,NA,93,93,91,1,0,962,9,1,0.4,20
"71","Djibouti",NA,NA,NA,NA,NA,NA,NA,64677,30,NA,NA,146.6987696,246.84,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.58,66.68,8.1,221.8761764,NA,NA,29.903355,NA,NA,NA,6.75084759,6.23e+09,92,84,84,84,74,0,0,0,47,0,39,350
"72","Dominica",NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA,NA,585.7253903,596.85,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.07,72.92,8.86,414.2121935,NA,NA,166.41263,NA,NA,NA,3.76797285,9e+07,98,98,98,98,96,1,0,0,0,0,4.7,3
"73","Dominican Republic",0.12714161,89.44088705,4.905058752,91.57457995,2.761394869,99.4468944,NA,29597,26.5,NA,NA,873.1177009,631.39,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.41,75.64,9.22,389.74611,NA,NA,381.37183,NA,NA,NA,2.92737565,3.73e+09,99,81,85,87,90,37,0,69,0,1,4.6,490
"74","Early-demographic dividend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417.6341963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","East Asia",2,68,8,77,3,88,NA,NA,NA,NA,NA,NA,NA,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.78,76.29,8.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","East Asia & Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959.5708087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","East Asia & Pacific (all income levels)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,828.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","East Asia & Pacific (developing only)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
