"","all_causes_disability_adjusted_life_years_who_2015","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd"
"116",50534,0.321,0.63169,20.3638,0.580399999999999
"117",27476,0.2087,0.67139,14.3996,0.4997
"118",59322,0.321,0.63169,20.3638,0.580399999999999
"119",30862,0.321,0.63169,20.3638,0.580399999999999
"120",26911,0.2079,0.58929,14.8935,0.5
"121",41446,0.321,0.63169,20.3638,0.580399999999999
"122",25415,0,0.02,15.71,0.54
"123",19815,0.7,0.192283333333333,10.78,0.73
"124",22923,0.1872,0.306823333333333,18.4098,0.6125
"125",28496,0.1557,0.65899,15.4039,0.5109
"126",39906,0.321,0.63169,20.3638,0.580399999999999
"127",54160,0.321,0.63169,20.3638,0.580399999999999
"128",46869.8878871128,0.321,0.63169,20.3638,0.580399999999999
"129",46869.8878871128,0.321,0.63169,20.3638,0.580399999999999
"130",27174,0.2171,0.65449,15.0169,0.5028
"131",53970,0.321,0.63169,20.3638,0.580399999999999
"132",28151,0.1587,0.66309,15.2181,0.5109
"133",117683,0.321,0.63169,20.3638,0.580399999999999
"134",14354,0.3332,1.09107,12.2269,0.747333333333333
"135",25991,0.0928,0.76,15.4028,0.7121
"136",21200,0,0.14,12.58,0.62
"137",89247,0.321,0.63169,20.3638,0.580399999999999
"138",67514,0.321,0.63169,20.3638,0.580399999999999
"139",17921,0.3846,0.190643333333333,11.523,0.679733333333333
"140",80319,0.321,0.63169,20.3638,0.580399999999999
"141",16984,0.36,0.51,7.38,0.96
"142",28527,0.1557,0.65899,15.4039,0.5109
"143",59210,0.321,0.63169,20.3638,0.580399999999999
"144",29901,0.219,0.64069,20.0014,0.539
"145",18308,0.3318,0.18,11.3236,0.66
"146",17679,0.2806,0.13,11.5726,0.82
"147",43178,0.321,0.63169,20.3638,0.580399999999999
"148",42752,0.321,0.63169,20.3638,0.580399999999999
"149",63043,0.321,0.63169,20.3638,0.580399999999999
"150",28993,0.1446,0.65899,15.3938,0.5109
"151",71808,0.321,0.63169,20.3638,0.580399999999999
"152",38360,0.321,0.63169,20.3638,0.580399999999999
"153",26814,0.2079,0.58929,14.8935,0.5
"154",29027,0,0.6791,11.57,0.44
"155",74116,0.321,0.63169,20.3638,0.580399999999999
"156",35121,0.321,0.63169,20.3638,0.580399999999999
"157",25546,0.1737,0.41514,24.0921,0.5127
"158",20376,0.2334,0.189783333333333,13.0315,0.82
"159",22775,1.68,0.18,4.25,0.39
"160",24820,0.173,0.40434,24.0966,0.5127
"161",40253,0.321,0.63169,20.3638,0.580399999999999
"162",29410,0.1487,0.63409,16.0416,0.5113
"163",29226,0.1446,0.65899,15.3938,0.5109
"164",55241,0.321,0.63169,20.3638,0.580399999999999
"165",76189,0.321,0.63169,20.3638,0.580399999999999
"166",72784,0.321,0.63169,20.3638,0.580399999999999
"167",22380,0.02,1.96,15.2,0.89
