"","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","daily_new_confirmed_cases_of_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index"
"36",0,0,0.135,18.9024390243902,9853.43,280,5.195,283,0.029,63.375,1048983300,2,79.17
"37",2.464,47.639,1161.078,18.061189824344,111.45,204,2.958,223,160.486,20305.807,39113473,2,41.67
"38",0,0,14.949,62.5,6.18,85.14,1.354,158,0,594.53,278318,0.74,52.5873
"39",0,0,17.579,155.263157894737,94.61,72,1.751,195,0,951.959,749347,0,51.85
"40",1.292,40.243,1452.657,-3.69599167100468,57.75,94,1.262,215,169.215,20675.234,4543420,1,54.63
"41",0.355,0.076,5.535,-8.17610062893081,252.65,153.58,0.595,217,0.076,776.7,5199406,2,20.37
"42",2.672,34.103,2864.125,100.3066439523,22.78,12,1.217,220,344.192,9407.668,4077496,1,33.8
"43",0.73,0.441,32.931,29.5138888888889,265.13,152.56,1.917,213,7.328,589.585,10682055,2,65.28
"44",0,0,1116.567,23.4848484848485,50.94,128.56,0.655,212,206.645,4357.808,1160985,2,40.74
"45",1.538,0.324,1.396,-35.5670103092783,631.11,165,2.717,201,0.19,124.942,21868430,1,37.96
"46",0.728,6.043,998.584,76.7726161369193,162.77,218,1.682,232,128.621,7278.232,5660749,0,38.89
"47",0,0,45.546,-36.6197183098591,125.8,124.1,1.1,204,3.036,5611.325,439594,0,54.63
"49",0.626,3.964,279.778,2.36087689713322,770.43,214,1.781,220,15.21,11523.701,8843851,0,63.89
"50",3.314,20.008,514.48,52.7086137281292,568,212,7.714,224,57.473,9249.643,13674280,2,60.19
"51",9.091,1.476,11.453,27.6688453159041,368.62,206,5.822,233,1.661,1044.39,88807929,2,43.52
"52",3.139,9.713,146.465,-36.4548494983278,152.84,125,2.922,185,0,5076.161,4734359,0,32.41
"53",0,0,6.415,12.5,4.27,130,1.633,186,0,3622.99,875665,0.62,47.3742
"55",0.862,3.769,254.798,54.337899543379,74.86,155.89,1.635,228,27.892,3365.902,1278576,0,23.15
"57",1.337,1.218,32.428,-21.8776194467728,114.53,113,1.534,162,4.445,819.546,27964449,0,43.52
"58",0,0,0,-100,3,75.89,6.06177,116.69,0,36.812,812748,2,86.11
"59",0.181,1.444,237.153,-2.66666666666666,735.08,189,2.335,229,34.833,2736.649,5348022,1,38.43
"60",1.319,39.955,4105.034,53.7530196875018,81.44,232,2.965,241,511.953,18364.187,65757955,0,60.65
"61",0,0,23.812,120.833333333333,111.25,107.67,0.604,189,0,4015.315,808743,1,67.59
"62",3.226,0.414,4.138,-47.3684210526316,246.41,75,3.247,97,0,1516.553,1164801,1,24.07
"63",2.521,37.852,3509.748,99.5581527936146,9.04,11,0.747,194,433.924,8487.469,3207857,0,64.81
"64",0.991,6.039,996.336,80.7761439677762,139.19,222,2.193,241,178.602,5540.906,81033118,0,59.26
"65",1.347,0.193,10.105,-6.26865671641791,327.51,129,0.661,215,0,1537.511,4109840,0,42.59
"66",2.551,12.568,602.798,84.3062481666178,41.47,16,1.811,229,120.502,3142.265,10712674,2,48.61
"68",3.51,14.233,187.1,-12.6855952070852,135.05,152,3.472,201,37.788,5892.697,10385302,2,52.78
"69",0.308,0.076,21.397,-30.4455445544554,146.6,135.96,0.601,206,11.422,899.961,2430398,0,62.04
"70",0,0.508,0,-100,84.21,124.84,1.706,180,0,1221.038,368269,0.65,41.4016
"71",1.684,16.528,336.911,14.7186147186147,122.68,84.3,2.93,86,44.498,5162.995,643246,1,60.19
"72",1.429,0.175,4.385,-43.8202247191011,481.39,109,2.57,170,0,791.579,2956253,1,53.7
"73",1.283,11.207,443.329,-18.3828996282528,248.4,185,2.789,210,66.333,9553.432,7401645,2,76.85
"74",4.15,57.451,1630.686,67.6207703766759,20.39,203,2.393,219,237.155,6825.115,9646167,1,27.78
"75",0,2.93,1116.484,-27.4285714285714,21.82,119.68,0.24,229,205.128,13403.663,326845,2,41.67
"76",0.869,6.829,245.807,-17.6098688908428,168.03,209,1.502,225,31.806,5790.07,518385376,1,70.83
