"","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
"70",111.83,2,NA,6806.4986,28572.13065,1.91,53.7,111.83,19.656,NA
"71",190.66,2,NA,11851.7372,2613.836175,1.85,15.5,163.97,NA,-1.94231993357779e-05
"72",493.39001,3,42.0033,17011.3042,16.0510575,NA,NA,504.64,NA,NA
"73",178.81,3,29.54186,12835.8126,NA,NA,11.6,NA,NA,NA
"74",1408.09,4,31.3598,64684.302,NA,20.33,NA,1248.55,9.403,NA
"75",1097.22,4,39.01302,32954.7701,NA,13.76,NA,936.83,19.317,-0.000883535458363321
"76",1227.58,4,35.928,34364.1682,NA,20.72,NA,1208.21,12.9,-0.000286578152007247
"77",366.34,3,45.45747,7272.9805,7.7054785,4.07,1.8,368.03,NA,NA
"78",1212.01,4,32.85473,38673.8081,NA,NA,NA,1211.9,10.938,-7.93440397254428e-05
"79",331.66,2,33.65573,11506.3383,NA,NA,1.7,NA,NA,NA
"80",340.60999,3,27.79287,25307.5554,1.181724,4.9,0.2,364.64,NA,NA
"81",100.36,2,40.77577,3377.4704,2502.698639,2.39,39.9,124.39,NA,NA
"82",NA,4,NA,65520.7367,NA,NA,NA,NA,NA,NA
"83",161.92,2,29.70122,5176.9883,19.040736,3.88,0.5,160.46,NA,NA
"84",706.84998,4,35.09615,24312.6778,13.2423825,8.26,NA,545.57,NA,-0.00514209868330136
"85",705.17999,3,31.83245,12558.9669,NA,NA,NA,NA,NA,NA
"86",75.699997,2,44.8797,2731.4661,420.627168,1.76,32,75.72,NA,NA
"87",83.059998,1,35.26546,818.4211,589.3702815,1.75,71.2,54.42,NA,NA
"88",NA,3,NA,15013.3124,NA,NA,1.5,NA,NA,NA
"89",NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"90",756.90002,4,35.70781,27370.5548,15.190424,9.16,NA,601.98,12.39,-0.00137553525050728
