"","indoor_80_years","indoor_under_5s","outdoor_80_years","outdoor_under_5s","excess_mortality_from_air_pollution_all_sources","death_rates_from_all_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000","indoor_5_to_49","indoor_50_to_79","outdoor_5_to_49","outdoor_50_to_79"
"93",0,0,637,5,6032,103.0934707,2259.425353,0,0,141,1071
"94",264,179,195,107,1167,54.66042155,2108.52459,220,824,151,612
"95",287,448,106,131,3374,74.92782589,3174.46147,391,1571,144,601
"96",2,0,509,15,6200,98.7575661,2609.971328,1,6,394,1545
"97",4911.57,2296.03,7639.15,1601.93,67646.12,100.5420049134,2956.50853021,2716.71,14662.29,3112.96,16540.68
"98",48,0,1138,2,4786,166.2960389,3244.440584,4,60,93,1289
"99",1,0,101,0,476,83.95061728,1516.931217,0,0,5,78
"100",2272,5205,945,1821,8258,34.07468537,1414.355271,4004,9663,1687,4086
"101",1297,3710,611,1563,7132,41.42898635,1694.371188,1325,4978,627,2396
"102",43,1,2237,38,13387,44.13636068,1124.367771,22,129,1160,7190
"103",3,0,25,0,135,37.08791209,925,0,7,8,57
"104",786,2823,572,2077,17107,97.19885259,4670.454015,1269,3941,944,2863
"105",2,0,69,0,576,137.4701671,2280.190931,0,2,4,88
"107",187,238,250,312,4789,117.7236971,4527.851524,175,728,231,974
"108",8,0,116,2,819,64.33621367,1685.781618,3,16,42,261
"109",2240,314,9098,601,54893,43.21704764,1106.267613,691,3217,2625,13708
"110",104,3,880,15,5393,132.5387073,3120.496436,29,284,193,2146
"111",4879.7,2203.69,7727.19,1602.77,67119.58,100.6834544704,2964.37950225,2716.71,14564.05,3168.56,16638.2
"113",98,0,142,0,7105.99,99.5491808411,1872.611764195,17,200,22,261
"114",212,17,3171,157,29938,87.08476604,2137.163364,102,545,1323,8027
"115",1938,5245,795,1796,15057,53.81728116,2489.934771,2046,7923,823,3346
"116",5415,2380,5054,1842,70995,131.7234725,3949.238362,3511,19562,3012,17619
"117",137,92,122,65,769,31.27287515,1138.755592,125,448,97,401
"119",3707,1934,3967,1824,26639,93.42428608,2608.413502,2003,13511,2063,14402
"120",34,0,3545,2,20104,118.7828656,2046.310192,1,29,150,3028
"121",9,0,291,0,2122,46.85361007,849.2603224,0,9,19,244
"122",395,81,391,58,2208,36.30384742,1085.662611,118,470,110,468
"123",1075,6440,945,5769,19364,97.31142757,5173.637126,1942,6747,1751,5996
"124",5622,23229,6075,24685,180611,99.12678735,4996.74452,9373,26362,10062,28689
"127",18,0,648,0,3230,61.98426406,1039.224717,0,14,24,479
"128",4,0,184,14,3047,67.84680472,2055.644623,6,15,268,744
"129",16706,9998,21172,10729,232622,123.1292756,4172.776211,15888,63829,18932,78620
"131",95,12,250,20,1095,27.86968694,714.9656401,24,122,56,336
"132",694,1192,241,323,1633,21.43325614,864.9690425,2173,5113,857,1893
"133",402,34,578,35,1762,26.54014159,727.7602049,143,779,193,1135
"134",2360,320,3221,402,10065,32.07763649,819.922236,506,2232,730,3256
"135",12911,2971,9456,1902,53264,52.89426538,1760.234835,8912,31130,7492,25827
"136",1224,2,11332,14,58082,150.4247462,3082.725737,114,1663,943,14624
"137",154,0,2323,1,14328,138.434796,2330.212786,7,92,106,1411
"138",0,0,25,3,680,30.42505593,1062.192394,0,0,96,171
"139",1955,35,6862,76,35895,183.9731434,3739.818564,284,3000,820,9570
"140",498,5,37663,207,186086,129.715501,3012.02954,142,1174,8321,80306
"141",921,1830,576,1125,4935,42.50646361,1726.167246,799,2567,501,1609
"146",4853.28,1509.83,8157.28,1283.05,68933.39,99.5327478579001,2543.75463658,2349.07,13563.45,3180.67,17139.78
"147",24,10,13,4,80,42.10526316,1682.631579,12,39,6,21
"148",24,0,2637,21,21720,68.8649356,1829.13132,12,57,1557,7106
"149",917,1407,767,1124,13060,86.32427788,3217.192148,1214,3961,1020,3341
"150",1342,5,2229,5,18046.42,118.0482529647,2569.86045406,193,2489,270,3674
"152",269,1880,152,996,8969,138.9896172,6394.793119,878,2499,504,1433
"153",0,0,567,2,3138,55.99571734,1200.124911,0,0,66,766
"154",85,0,1490,5,7724,142.3516403,2998.212311,8,122,133,2046
"155",65,0,527,0,2659,128.5783366,2299.806576,3,51,19,401
"157",893,2925,371,1063,8456,78.39065542,4964.716789,1500,4600,630,1970
"158",1723,584,5077,1317,40627,74.55863598,2216.562713,1241,3385,3526,11657
"159",2,0,8069,10,58905,117.1236531,2346.404025,0,1,744,8793
"160",1050,5689,590,3094,16551.58,92.3450738058,3514.39599923,1291,4565,740,2591
"161",326,0,9078,3,48429,105.0019559,1690.284536,16,180,405,4682
"162",1843,32,1773,23,18337,88.52039158,2179.09234,663,5168,632,5122
