"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"26","Burkina Faso",3.205,NA,70891,1,96.10067087,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86,34.698746,1.0803e+11
"27","Burundi",0.084,NA,80027,28.4,63.73553919,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83,12.152169,4.981e+10
"28","Cameroon",16.048,NA,77369,2,162.8401984,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.65,113.57147,9.525e+10
"29","Canada",264.982,1.710261106,18838,100,4600.088285,87.6,0.02,NA,2.49,1.95,0.67,0.19,16.05,19.67,0.43,4.49,NA,11.6,2.93,0.34,0.18,19.48,0.43,2.5,10.66,670.91956,NA
"30","Cape Verde",169.068,NA,31195,NA,310.4060324,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.41,71.923409,NA
"31","Central African Republic",12.837,NA,97115,6,31.85577603,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.51,12.615376,2.319e+10
"32","Chad",5.844,NA,94563,NA,99.77119413,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.11,56.241741,2.234e+10
"33","Chile",733.723,NA,21333,93.1,1903.118645,76,0.55,NA,1.56,1.99,1.27,8.05,13.44,19.48,0,49.85,NA,2.99,2.62,0.1,0.1,11.43,0.45,2.11,10.42,613.57904,3.4e+08
"34","China",3.293,NA,24811,96.9,762.2437789,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34,8.51,246.86253,7.943e+10
"35","Colombia",600.693,NA,27188,87.7,852.8121654,67.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,9.17,156.01645,4.45e+09
"36","Comoros",8.05,NA,59673,NA,121.0422012,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,90.556938,2.28e+09
