"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"103","Montenegro",437.855,NA,26702,95,957.0148208,80.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.91,304.52347,9e+07
"104","Morocco",93.334,NA,38061,42.3,435.2900287,61.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.03,231.06967,3.89e+09
"105","Mozambique",2.848,NA,88491,NA,63.74393076,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.94,4.3641877,2.3915e+11
"106","Myanmar",21.081,NA,48793,NA,267.2280328,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.46,197.51004,9.451e+10
"107","Namibia",52.343,NA,48404,28,942.4741866,53.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,78.47451,4.04e+09
"108","Nepal",30.065,NA,43324,0.1,150.5903691,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.49,90.96965,9.946e+10
"109","Netherlands",416.227,1.335178614,18770,98.9,5313.243391,89.5,NA,3.32,0,2.92,0.57,23.99,4.44,31.81,0.29,25.29,7.82,11.74,4.54,0.91,0.23,0,0.42,3.32,10.94,650.96637,NA
"110","New Zealand",5.184,NA,18742,100,3530.096913,86.2,0.31,0.1,2.2,2.59,0.61,10.69,10.9,33.92,0.02,50.56,5.96,11.58,3.5,0.3,0.19,17.27,0.71,2.61,10.68,422.60583,NA
"111","Nicaragua",23.549,NA,33239,12.2,405.9922707,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35,146.10959,1.948e+10
"112","Niger",2.85,NA,70093,3.1,68.46968478,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.66,35.789703,6.702e+10
"113","Nigeria",5.506,NA,84764,2.2,215.223799,51.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74,155.4747,6.9788e+11
"114","Norway",51.649,1.868804097,19615,100,6221.641638,90.5,NA,NA,2.74,3.2,1.37,NA,NA,NA,0,78.14,NA,26.34,6.46,1.07,0.26,NA,0.57,3.6,10.61,887.98853,NA
"115","Oman",235.576,NA,27260,97,1635.870769,77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.76,104.14493,2.5e+08
"116","Pakistan",30.599,NA,50534,26.6,134.4414606,43.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.98,89.383614,2.0375e+11
"117","Panama",614.17,NA,27476,51.8,1542.796273,64.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.54,470.90369,3.23e+09
"118","Papua New Guinea",0.782,NA,59322,NA,98.58088454,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67,5.6810246,6.417e+10
"119","Paraguay",186.049,NA,30862,23.6,724.3116252,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.52,264.27051,5.62e+09
"120","Peru",1038.977,NA,26911,64.4,671.0036469,69.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,207.45259,9.5e+09
"121","Philippines",64.363,NA,41446,82,322.7779997,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.46,172.83017,9.55e+10
"122","Poland",121.94,NA,25415,97.5,1704.195989,79.6,1.78,0,4.85,4.85,1.09,9.72,25.31,27.86,0.02,93.77,0,7.69,3.85,0.65,0.09,15.71,0.54,6.62,10.33,396.16248,NA
"123","Portugal",232.526,1.956165552,19815,100,2661.397049,84.5,0.36,0.7,2.33,3.25,1.01,5.44,16.6,21.84,NA,NA,5.63,NA,4.97,0.64,0.13,10.78,0.73,3.39,10.47,735.89484,NA
"124","Qatar",79.832,NA,22923,100,3900.286232,85.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.71,242.92445,NA
"125","Romania",341.725,NA,28496,94.3,1090.416516,74.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.69,232.00484,NA
"126","Russia",182.198,NA,39906,88,1414.028282,71.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05,8.96,515.22107,NA
"127","Rwanda",2.702,NA,54160,91,143.1853392,47.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,37.179249,8.313e+10
"128","San Marino",1237.551,NA,NA,NA,3674.645142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.5119,NA
"129","Sao Tome and Principe",68.443,NA,NA,2.1,308.3572367,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.95,35.996059,3.65e+09
"130","Saudi Arabia",153.071,NA,27174,NA,3121.341632,79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.72,467.57504,1e+07
"131","Senegal",19.231,NA,53970,20.1,97.08918675,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.35,42.894653,8.352e+10
"132","Serbia",117.274,NA,28151,92.1,1323.690595,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.84,537.25604,1.15e+09
"133","Sierra Leone",9.277,NA,117683,0,256.3404367,41.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52,98.019753,1.4083e+11
"134","Singapore",4.786,NA,14354,100,3681.29594,86.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.11,1161.4761,NA
"135","Slovakia",32.237,NA,25991,94.8,2061.950585,78.6,NA,NA,NA,4.91,NA,NA,13.24,24.08,0.76,NA,NA,NA,NA,0.81,NA,NA,NA,5.82,10.09,380.29736,NA
"136","Slovenia",92.355,NA,21200,100,2733.762624,87.4,0.05,0,4.45,4.2,NA,1.45,5.81,14.03,0.14,NA,0,NA,NA,0.66,0.14,12.58,0.62,4.5,11.51,342.3797,NA
"137","Somalia",6.544,NA,89247,NA,NA,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,NA,5.67e+10
"138","South Africa",321.251,NA,67514,100,1086.409415,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,8.61,83.637741,8.779e+10
"139","South Korea",8.992,NA,17921,100,2556.046343,85.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.24,940.44543,NA
"140","South Sudan",5.003,NA,80319,NA,71.16543519,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.03,43.657784,1.1859e+11
"141","Spain",754.96,1.502460957,16984,99.2,3182.544019,89.6,0.57,0.36,2.04,2.43,0.79,6.7,12.13,16.68,0.51,23.04,2.6,6.24,5.45,0.36,0.11,7.38,0.96,2.97,10.35,771.09918,NA
"142","Sri Lanka",0.887,NA,28527,100,353.1291505,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.66,135.6982,3.374e+10
"143","Sudan",19.088,NA,59210,29.7,277.0008938,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.13,175.13531,1.0946e+11
"144","Suriname",189.215,NA,29901,NA,1016.908901,56.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,103.195,1.77e+09
"145","Sweden",585.983,1.607709408,18308,100,5298.603868,90.5,NA,NA,NA,2.04,1.73,NA,NA,NA,0.18,107.33,NA,19.73,6.64,0.43,0.23,NA,0.66,2.22,11.16,804.94183,NA
"146","Switzerland",222.887,NA,17679,100,7582.571519,91.8,NA,NA,NA,3.56,NA,NA,12.07,33.25,0.13,NA,NA,NA,NA,0.93,0.52,NA,0.82,4.53,11.24,2149.3345,NA
"147","Syria",15.714,NA,43178,90,NA,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.15,85.753609,1.105e+10
"148","Tajikistan",8.493,NA,42752,0.3,192.6961909,58.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.67,121.52,2.398e+10
"149","Tanzania",0.352,NA,63043,13,96.49687717,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76,25.233082,3.1549e+11
"150","Thailand",0.845,NA,28993,98,610.1700037,70.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.77,75.361549,2.679e+10
"151","Togo",6.523,NA,71808,4,95.63100552,44.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,48.73756,1.644e+10
"152","Trinidad and Tobago",75.742,NA,38360,NA,2204.137969,62.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.51,822.86584,5e+07
"153","Tunisia",83.174,NA,26814,80,774.0570073,70.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.85,307.94397,4.34e+09
"154","Turkey",117.976,NA,29027,86,995.9660375,76.2,0.67,0,2.15,2.78,NA,7.33,17.48,18.9,NA,NA,0,NA,NA,0.05,0.05,11.57,0.44,2.81,11.56,168.79961,2.16e+09
"155","Uganda",2.252,NA,74116,2,138.5283968,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86,56.105515,2.0389e+11
"156","Ukraine",150.685,NA,35121,100,469.4283772,72.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.07,224.43942,5.127e+10
"157","United Arab Emirates",48.734,NA,25546,100,2425.795649,72.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.43,431.54056,NA
"158","United Kingdom",668.253,NA,20376,100,4144.60079,84.6,NA,NA,2.54,2.11,NA,NA,11.39,28.82,NA,NA,NA,NA,3.67,0.38,0.18,NA,0.82,2.54,10.85,613.17255,NA
"159","United States",684.958,1.76660037,22775,84,9535.945335,81.3,0.47,1.68,0.61,2.44,NA,3.72,13.75,17.11,0.18,3.9,9.15,17.49,3.46,0.21,0.14,4.25,0.39,2.77,11.16,1056.9528,NA
"160","Uruguay",15.545,NA,24820,97.2,1747.771686,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.39,282.98938,2.1e+08
"161","Uzbekistan",16.642,NA,40253,100,382.8217102,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.49,163.58907,2.245e+10
"162","Venezuela",27.43,NA,29410,100,579.4147164,64.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.87,265.49927,1e+08
"163","Vietnam",0.36,NA,29226,61,334.319988,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.64,145.36028,7.389e+10
"164","Yemen",20.117,NA,55241,42,144.4998841,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.68,116.98312,6.458e+10
"165","Zambia",18.93,NA,76189,8.4,203.0385646,41.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16,55.894348,1.4342e+11
"166","Zimbabwe",16.282,NA,72784,1,182.2733538,48.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.13,47.00177,1.1784e+11
"167","Czech Republic",237.838,NA,22380,100,2469.851757,84.8,0.98,0.02,5.63,4.11,NA,8.87,14.72,24.35,1.96,64.02,0.28,11.54,4.14,0.94,0.15,15.2,0.89,6.63,11,366.23938,NA
