"","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","healthy_life_expectancy_ihme","life_expectancy_ihme","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"109",1.335178614,18770,98.9,5313.243391,89.5,NA,3.32,0,2.92,0.57,23.99,4.44,31.81,0.29,25.29,7.82,11.74,4.54,0.91,0.23,0,0.42,3.32,70.7,81.64,10.94,650.96637,NA
"110",NA,18742,100,3530.096913,86.2,0.31,0.1,2.2,2.59,0.61,10.69,10.9,33.92,0.02,50.56,5.96,11.58,3.5,0.3,0.19,17.27,0.71,2.61,70.8,81.48,10.68,422.60583,NA
"111",NA,33239,12.2,405.9922707,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.92,78.27,9.35,146.10959,1.948e+10
"112",NA,70093,3.1,68.46968478,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.02,61.68,7.66,35.789703,6.702e+10
"113",NA,84764,2.2,215.223799,51.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.28,65.02,8.74,155.4747,6.9788e+11
"114",1.868804097,19615,100,6221.641638,90.5,NA,NA,2.74,3.2,1.37,NA,NA,NA,0,78.14,NA,26.34,6.46,1.07,0.26,NA,0.57,3.6,71.49,82.1,10.61,887.98853,NA
"115",NA,27260,97,1635.870769,77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.2,76.97,10.76,104.14493,2.5e+08
"116",NA,50534,26.6,134.4414606,43.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.63,67.61,8.98,89.383614,2.0375e+11
"117",NA,27476,51.8,1542.796273,64.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.38,78.92,9.54,470.90369,3.23e+09
"118",NA,59322,NA,98.58088454,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.13,60.79,7.67,5.6810246,6.417e+10
"119",NA,30862,23.6,724.3116252,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.96,74.48,9.52,264.27051,5.62e+09
"120",NA,26911,64.4,671.0036469,69.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.84,79.74,9.9,207.45259,9.5e+09
"121",NA,41446,82,322.7779997,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.64,70.1,8.46,172.83017,9.55e+10
"122",NA,25415,97.5,1704.195989,79.6,1.78,0,4.85,4.85,1.09,9.72,25.31,27.86,0.02,93.77,0,7.69,3.85,0.65,0.09,15.71,0.54,6.62,67.6,77.93,10.33,396.16248,NA
"123",1.956165552,19815,100,2661.397049,84.5,0.36,0.7,2.33,3.25,1.01,5.44,16.6,21.84,NA,NA,5.63,NA,4.97,0.64,0.13,10.78,0.73,3.39,70.51,80.99,10.47,735.89484,NA
"124",NA,22923,100,3900.286232,85.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.15,79.87,11.71,242.92445,NA
"125",NA,28496,94.3,1090.416516,74.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.54,75.23,9.69,232.00484,NA
"126",NA,39906,88,1414.028282,71.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05,61.91,70.87,8.96,515.22107,NA
"127",NA,54160,91,143.1853392,47.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.47,67.77,8.3,37.179249,8.313e+10
"128",NA,NA,NA,3674.645142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.5119,NA
"129",NA,NA,2.1,308.3572367,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.65,70.6,8.95,35.996059,3.65e+09
"130",NA,27174,NA,3121.341632,79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.38,77.1,10.72,467.57504,1e+07
"131",NA,53970,20.1,97.08918675,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.89,66.24,8.35,42.894653,8.352e+10
"132",NA,28151,92.1,1323.690595,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.07,75.9,9.84,537.25604,1.15e+09
"133",NA,117683,0,256.3404367,41.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.63,59.15,7.52,98.019753,1.4083e+11
"134",NA,14354,100,3681.29594,86.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.62,83.73,10.11,1161.4761,NA
"135",NA,25991,94.8,2061.950585,78.6,NA,NA,NA,4.91,NA,NA,13.24,24.08,0.76,NA,NA,NA,NA,0.81,NA,NA,NA,5.82,66.88,76.97,10.09,380.29736,NA
"136",NA,21200,100,2733.762624,87.4,0.05,0,4.45,4.2,NA,1.45,5.81,14.03,0.14,NA,0,NA,NA,0.66,0.14,12.58,0.62,4.5,69.32,80.84,11.51,342.3797,NA
"137",NA,89247,NA,NA,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.39,57.13,6.75,NA,5.67e+10
"138",NA,67514,100,1086.409415,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,53.83,62.44,8.61,83.637741,8.779e+10
"139",NA,17921,100,2556.046343,85.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.76,81,10.24,940.44543,NA
"140",NA,80319,NA,71.16543519,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.67,59.7,8.03,43.657784,1.1859e+11
"141",1.502460957,16984,99.2,3182.544019,89.6,0.57,0.36,2.04,2.43,0.79,6.7,12.13,16.68,0.51,23.04,2.6,6.24,5.45,0.36,0.11,7.38,0.96,2.97,72.62,82.97,10.35,771.09918,NA
"142",NA,28527,100,353.1291505,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.75,77.41,9.66,135.6982,3.374e+10
"143",NA,59210,29.7,277.0008938,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.17,68.3,10.13,175.13531,1.0946e+11
"144",NA,29901,NA,1016.908901,56.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.24,71.34,9.1,103.195,1.77e+09
"145",1.607709408,18308,100,5298.603868,90.5,NA,NA,NA,2.04,1.73,NA,NA,NA,0.18,107.33,NA,19.73,6.64,0.43,0.23,NA,0.66,2.22,70.88,82.05,11.16,804.94183,NA
"146",NA,17679,100,7582.571519,91.8,NA,NA,NA,3.56,NA,NA,12.07,33.25,0.13,NA,NA,NA,NA,0.93,0.52,NA,0.82,4.53,71.93,83.18,11.24,2149.3345,NA
"147",NA,43178,90,NA,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.84,67.99,9.15,85.753609,1.105e+10
"148",NA,42752,0.3,192.6961909,58.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.09,71.76,8.67,121.52,2.398e+10
"149",NA,63043,13,96.49687717,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.53,64.29,7.76,25.233082,3.1549e+11
"150",NA,28993,98,610.1700037,70.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.94,77.7,9.77,75.361549,2.679e+10
"151",NA,71808,4,95.63100552,44.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.87,62.59,7.72,48.73756,1.644e+10
"152",NA,38360,NA,2204.137969,62.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.51,73.02,9.51,822.86584,5e+07
"153",NA,26814,80,774.0570073,70.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.61,77.46,10.85,307.94397,4.34e+09
"154",NA,29027,86,995.9660375,76.2,0.67,0,2.15,2.78,NA,7.33,17.48,18.9,NA,NA,0,NA,NA,0.05,0.05,11.57,0.44,2.81,67.6,79.16,11.56,168.79961,2.16e+09
"155",NA,74116,2,138.5283968,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.35,62.2,7.86,56.105515,2.0389e+11
"156",NA,35121,100,469.4283772,72.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.03,72.1,9.07,224.43942,5.127e+10
"157",NA,25546,100,2425.795649,72.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.08,75.51,10.43,431.54056,NA
"158",NA,20376,100,4144.60079,84.6,NA,NA,2.54,2.11,NA,NA,11.39,28.82,NA,NA,NA,NA,3.67,0.38,0.18,NA,0.82,2.54,70.05,80.9,10.85,613.17255,NA
"159",1.76660037,22775,84,9535.945335,81.3,0.47,1.68,0.61,2.44,NA,3.72,13.75,17.11,0.18,3.9,9.15,17.49,3.46,0.21,0.14,4.25,0.39,2.77,67.69,78.86,11.16,1056.9528,NA
"160",NA,24820,97.2,1747.771686,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.93,77.33,9.39,282.98938,2.1e+08
"161",NA,40253,100,382.8217102,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.8,70.29,8.49,163.58907,2.245e+10
"162",NA,29410,100,579.4147164,64.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.56,75.43,8.87,265.49927,1e+08
"163",NA,29226,61,334.319988,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.91,74.55,8.64,145.36028,7.389e+10
"164",NA,55241,42,144.4998841,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,66.68,10.68,116.98312,6.458e+10
"165",NA,76189,8.4,203.0385646,41.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.46,58.62,7.16,55.894348,1.4342e+11
"166",NA,72784,1,182.2733538,48.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.08,59.2,7.13,47.00177,1.1784e+11
"167",NA,22380,100,2469.851757,84.8,0.98,0.02,5.63,4.11,NA,8.87,14.72,24.35,1.96,64.02,0.28,11.54,4.14,0.94,0.15,15.2,0.89,6.63,68.1,79.1,11,366.23938,NA
