"indoor_80_years","indoor_under_5s","outdoor_80_years","outdoor_under_5s","excess_mortality_from_air_pollution_all_sources","excess_mortality_from_fossil_fuels","excess_mortality_from_all_anthropogenic_pollution","total_years_life_lost_from_air_pollution_all_sources","total_years_life_lost_from_fossil_fuels","total_years_life_lost_from_all_anthropogenic_pollution","death_rates_from_all_air_pollution_per_100_000","death_rates_from_air_pollution_from_fossil_fuels_per_100_000","death_rates_from_all_anthropogenic_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000","yll_rates_from_air_pollution_from_fossil_fuels_per_100_000","yll_rates_from_anthropogenic_air_pollution_per_100_000","deaths_from_fossil_pollution_as_a_share_of_total_air_pollution_deaths","deaths_from_fossil_pollution_as_a_share_of_total_anthropogenic_air_pollution_deaths","deaths_from_anthropogenic_pollution_as_a_share_of_total_air_pollution_deaths","indoor_5_to_49","indoor_50_to_79","outdoor_5_to_49","outdoor_50_to_79"
9,0,291,0,2122,154,259,38463,2746,4644,46.85361007,3.400309119,5.7187017,849.2603224,60.63148598,102.5391919,7.25730443,59.45945946,12.20546654,0,9,19,244
395,81,391,58,2208,435,883,66030,12886,26382,36.30384742,7.152252549,14.51825058,1085.662611,211.871095,433.7717856,19.70108696,49.26387316,39.99094203,118,470,110,468
1075,6440,945,5769,19364,562,1108,1029502,22762,45463,97.31142757,2.824262668,5.568119281,5173.637126,114.3876634,228.4687788,2.902292915,50.72202166,5.721958273,1942,6747,1751,5996
5622,23229,6075,24685,180611,6410,32599,9104169,271110,1451614,99.12678735,3.518073135,17.89167958,4996.74452,148.7963818,796.7058058,3.54906401,19.66317985,18.04928825,9373,26362,10062,28689
18,0,648,0,3230,1628,2668,54154,27229,44692,61.98426406,31.2416043,51.19938591,1039.224717,522.529265,857.6472846,50.40247678,61.01949025,82.6006192,0,14,24,479
4,0,184,14,3047,165,226,92319,4962,6792,67.84680472,3.674014696,5.032286796,2055.644623,110.487642,151.2358049,5.415162455,73.00884956,7.417131605,6,15,268,744
16706,9998,21172,10729,232622,29327,73362,7883418,867388,2246077,123.1292756,15.52309011,38.83127958,4172.776211,459.1176077,1188.872222,12.60714808,39.97573676,31.53699994,15888,63829,18932,78620
95,12,250,20,1095,271,416,28091,6829,10546,27.86968694,6.897429371,10.58793586,714.9656401,173.8101298,268.4143548,24.74885845,65.14423077,37.99086758,24,122,56,336
694,1192,241,323,1633,322,585,65902,12959,23556,21.43325614,4.22627586,7.678171981,864.9690425,170.0879157,309.1743918,19.71830986,55.04273504,35.82363748,2173,5113,857,1893
402,34,578,35,1762,391,1759,48316,10734,48232,26.54014159,5.889441181,26.49495406,727.7602049,161.6809761,726.4949541,22.1906924,22.22853894,99.82973893,143,779,193,1135
2360,320,3221,402,10065,1543,4769,257267,39054,121052,32.07763649,4.917614813,15.19903114,819.922236,124.4669662,385.7985148,15.33035271,32.35479136,47.38201689,506,2232,730,3256
12911,2971,9456,1902,53264,11665,27958,1772539,382165,927466,52.89426538,11.58402684,27.7639282,1760.234835,379.5121833,921.0279502,21.90034545,41.72329923,52.48948633,8912,31130,7492,25827
1224,2,11332,14,58082,38858,56549,1190302,795226,1158867,150.4247462,100.6371128,146.4544777,3082.725737,2059.530823,3001.313219,66.90196619,68.71562716,97.36062808,114,1663,943,14624
