"indoor_80_years","indoor_under_5s","outdoor_80_years","outdoor_under_5s","excess_mortality_from_air_pollution_all_sources","excess_mortality_from_fossil_fuels","excess_mortality_from_all_anthropogenic_pollution","total_years_life_lost_from_air_pollution_all_sources","total_years_life_lost_from_fossil_fuels","total_years_life_lost_from_all_anthropogenic_pollution","death_rates_from_all_air_pollution_per_100_000","death_rates_from_air_pollution_from_fossil_fuels_per_100_000","death_rates_from_all_anthropogenic_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000","yll_rates_from_air_pollution_from_fossil_fuels_per_100_000","yll_rates_from_anthropogenic_air_pollution_per_100_000","deaths_from_fossil_pollution_as_a_share_of_total_air_pollution_deaths","deaths_from_fossil_pollution_as_a_share_of_total_anthropogenic_air_pollution_deaths","deaths_from_anthropogenic_pollution_as_a_share_of_total_air_pollution_deaths","indoor_5_to_49","indoor_50_to_79","outdoor_5_to_49","outdoor_50_to_79"
800,272,1410,368,3832,125,3051,117280,3779,93388,35.72960373,1.165501166,28.44755245,1093.519814,35.23543124,870.7505828,3.262004175,4.097017371,79.61899791,204,875,346,1626
659,1,1136,2,5349,3023,3522,105188,59369,69162,140.3937008,79.34383202,92.44094488,2760.839895,1558.24147,1815.275591,56.51523649,85.83191369,65.84408301,88,1314,139,2153
69,11,99,13,656,204,597,20944,6687,19121,29.00088417,9.018567639,26.39257294,925.9062776,295.6233422,845.3138815,31.09756098,34.17085427,91.00609756,89,279,115,400
2417,174,15849,453,102317,15682,65282,2662316,407885,1693114,49.22683198,7.544935632,31.40852493,1280.895476,196.2419379,814.5922808,15.32687628,24.0219356,63.80366899,877,4539,5155,31286
0,0,8,0,92,19,56,2630,517,1579,21.74940898,4.491725768,13.23877069,621.749409,122.2222222,373.286052,20.65217391,33.92857143,60.86956522,0,0,7,23
647,4,3689,16,15077,8247,10343,300170,164022,205739,210.8671329,115.3426573,144.6573427,4198.181818,2294.013986,2877.468531,54.69921072,79.73508653,68.60118061,79,982,390,5245
822,5304,656,4320,15110,567,1016,686785,22183,39861,83.45300361,3.131558772,5.611399846,3793.135082,122.5174043,220.1535524,3.7524818,55.80708661,6.724023825,1774,4752,1457,3835
853,2711,483,1479,5565,292,2758,281079,14129,140399,49.78083462,2.612040199,24.6712564,2514.348107,126.3887533,1255.917233,5.247079964,10.58738216,49.55974843,1231,3689,708,2119
1919,4247,2118,4627,20485,650,3628,928371,25624,149710,87.75274912,2.784441637,15.54146809,3976.91518,109.7669731,641.3211653,3.173053454,17.91620728,17.71051989,2038,6456,2268,7210
21,0,3844,3,20089,17574,19427,366535,320940,354426,55.89592523,48.89815272,54.05396682,1019.852305,892.9881151,986.1600476,87.48071084,90.46172852,96.70466424,1,20,214,3581
43,5,88,9,505,22,45,12283,462,976,96.92898273,4.222648752,8.637236084,2357.581574,88.6756238,187.3320537,4.356435644,48.88888889,8.910891089,12,57,26,119
600,1791,413,1190,6532,198,1930,286714,7228,73412,133.3061224,4.040816327,39.3877551,5851.306122,147.5102041,1498.204082,3.031230863,10.25906736,29.5468463,777,3045,544,2122
999,5921,740,4379,19073,584,1950,1112372,27365,93557,135.8766118,4.160433141,13.89185723,7924.570777,194.9490632,666.502814,3.061919992,29.94871795,10.22387668,1371,4033,1039,3024
259,2,2213,14,8562,1282,2826,176406,25743,57558,47.70448227,7.142857541,15.74548784,982.8727982,143.4310309,320.6931313,14.97313712,45.36447275,33.00630694,27,261,265,2508
179056,3261,361663,4710,2799443,1554096,2203704,61869738,34008747,48525631,202.2828099,112.2962338,159.2357613,4470.598062,2457.41203,3506.376444,55.51447199,70.52199388,78.71937382,43483,379297,75886,702489
1418,79,3703,135,7503,3726,4539,192493,94166,114756,15.55703065,7.725642569,9.411350408,399.1229509,195.2476807,237.9398386,49.66013595,82.08856576,60.49580168,283,2111,673,5603
40,68,20,27,266,13,83,12814,639,4119,33.75634518,1.649746193,10.53299492,1626.142132,81.09137056,522.715736,4.887218045,15.6626506,31.20300752,59,168,29,85
326,331,311,292,2042,46,967,76372,1655,36027,44.1991342,0.995670996,20.93073593,1653.073593,35.82251082,779.8051948,2.252693438,4.756980352,47.35553379,288,1177,262,1118
54,1,327,5,1502,371,548,34811,8339,12462,31.23960067,7.716306156,11.39767055,724.0224626,173.4400998,259.1930116,24.70039947,67.70072993,36.48468708,10,70,59,458
1262,3540,1004,2628,25297,84,6001,1146355,2965,252298,111.4307011,0.37001142,26.43379205,5049.576685,13.06052215,1111.34692,0.332055184,1.399766706,23.7221805,2734,8279,2190,6693
303,0,1649,1,7436,4512,5402,135918,82341,98612,175.3773585,106.4150943,127.4056604,3205.613208,1942.004717,2325.754717,60.67778375,83.52462051,72.64658419,18,356,88,1793
145,1,2109,9,8639,1728,2629,180346,35648,54346,75.84723442,15.17120281,23.08165057,1583.371378,312.976295,477.1378402,20.00231508,65.72841385,30.43176294,16,209,231,3098
3,0,182,0,1165,356,470,21349,6493,8577,100,30.55793991,40.34334764,1832.532189,557.3390558,736.223176,30.55793991,75.74468085,40.34334764,0,2,13,166
5631,15506,3558,9529,46546,1274,18745,2329251,57326,912142,60.24046254,1.648828026,24.26003245,3014.548138,74.1920843,1180.506509,2.7370773,6.796479061,40.271989,6520,25133,4199,16041
11,0,970,0,6194,2499,4218,111607,44887,75858,109.2608926,44.08184865,74.40465691,1968.724643,791.7974951,1338.119598,40.34549564,59.24608819,68.09815951,0,11,32,936
22,51,55,111,870,50,94,31769,1656,3106,97.97297297,5.630630631,10.58558559,3577.59009,186.4864865,349.7747748,5.747126437,53.19148936,10.8045977,26,85,61,209
261,32,1069,90,4765,620,784,127609,16397,20750,45.26025836,5.889057751,7.446808511,1212.091565,155.7465805,197.093465,13.0115425,79.08163265,16.45330535,74,378,274,1556
159,33,807,114,3022,2079,2984,77911,53884,76921,18.71902758,12.87784856,18.48364603,482.600317,333.7710398,476.4680081,68.79549967,69.67158177,98.7425546,56,186,279,1069
36,17,9709,3471,119634,18539,20527,3365055,502761,557423,130.7361091,20.25943065,22.43191828,3677.334182,549.4175313,609.1521986,15.49643078,90.31519462,17.15816574,39,189,8215,47500
283,16,829,38,3080,747,1658,80513,19399,43248,50.26929982,12.19193733,27.06055166,1314.068875,316.6149829,705.8593112,24.25324675,45.05428227,53.83116883,82,316,221,930
42,29,44,30,699,5,251,30483,196,10695,82.72189349,0.591715976,29.70414201,3607.455621,23.19526627,1265.680473,0.715307582,1.992031873,35.90844063,30,130,32,138
102,0,195,0,1420,755,1383,27828,14789,27104,108.1492765,57.50190404,105.3313024,2119.421173,1126.351866,2064.280274,53.16901408,54.59146782,97.3943662,6,118,10,190
9001,10380,5467,6059,68169,3496,14652,2836579,129379,565601,68.58669779,3.517421342,14.74177846,2853.959815,130.1717551,569.0666558,5.128430812,23.86022386,21.4936408,9210,33561,5679,20588
18,7,17,4,321,19,20,10499,604,636,35.98654709,2.130044843,2.242152466,1177.017937,67.71300448,71.30044843,5.919003115,95,6.230529595,43,129,39,131
13,0,594,0,4008,2369,3878,69137,40830,66890,72.83300018,43.04924587,70.47065237,1256.351081,741.9589315,1215.518808,59.10678643,61.08818979,96.75648703,0,14,18,520
158,0,10471,5,67300,30802,48780,1140573,520297,825327,104.5112085,47.83290108,75.75121469,1771.213411,807.9772396,1281.663033,45.76820208,63.14473145,72.48142645,8,100,530,6382
