"standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
1.72800002934,24000,59.2,1101.792914,78.2,0.6086,0.2804,2.5045,2.7984,1.1026,8.5841,14.5035,25.6571,0.3466,63.8868,2.3,9.9374,4.4722,0.4762,0.1324,14.013,0.5944,2.60511666666667,10.25,315.49902,5.03e+09
1.71187870626,61513,41.9978733136095,969.9563729,51.1,0.665,0.2446,2.8057,2.5208,1.1577,10.7072,15.6934,26.3178,0.5139,62.376,1.7142,8.6086,4.1895,0.4607,0.1162,15.5323,0.5318,2.05624404761905,8.63,51.02795,3.52e+09
1.73374086381,31632,100,1391.52257,64.9,0.6173,0.1968,2.987,2.7397,1.1553,9.97120000000001,14.8101,26.2385,0.4873,60.8688,1.519,9.2366,4.5267,0.4882,0.1267,15.1841,0.603,2.3,9.76,393.65927,2.44e+09
1.79405090453,22941,100,2083.430502,70,0.5929,0.1386,3.7377,3.7627,1.1283,8.88110000000001,13.8704,26.1989,0.5266,54.1613,2.0944,10.229,4.8651,0.704900000000001,0.1497,14.3388,0.6697,3.49989166666666,9.4,125.25507,14762670964.539
1.76536379456,28771,87,1491.868089,71.4,0.512,0.1694,2.8917,3.1671,1.1254,8.4951,15.0247,25.7289,0.4843,51.7062,1.5953,9.23320000000001,4.9065,0.5597,0.1274,13.6043,0.6508,3.39033333333333,9.43,711.14771,7577867166.42696
1.78398382193,70891,1,96.10067087,42.9,0.8061,0.5181,3.669,3.4397,1.1806,11.6194,14.7065,27.3805,0.5958,63.4652,2.5669,10.2844,4.7108,0.5836,0.1632,16.5153,0.5838,1.65017333333333,7.86,34.698746,1.0803e+11
1.78398382193,80027,28.4,63.73553919,40.4,0.8118,0.5061,3.667,3.4397,1.1806,10.7332,14.6641,27.2015,0.5762,63.695,2.5669,10.285,4.7071,0.5836,0.1646,16.1992,0.6001,2.03187333333333,6.83,12.152169,4.981e+10
1.78398382193,77369,2,162.8401984,44.4,0.8061,0.5181,3.669,3.4397,1.1806,11.6194,14.7065,27.3805,0.5958,63.4652,2.5669,10.2844,4.7108,0.5836,0.1632,16.5153,0.5838,1.65017333333333,7.65,113.57147,9.525e+10
1.710261106,18838,100,4600.088285,87.6,0.02,0.5523,2.49,1.95,0.67,0.19,16.05,19.67,0.43,4.49,5.3521,11.6,2.93,0.34,0.18,19.48,0.43,2.5,10.66,670.91956,8989344428.94004
1.78398382193,31195,43.7796777647174,310.4060324,61.7,0.8118,0.5061,3.669,3.4397,1.1806,10.7332,14.6456,27.4323,0.5762,63.695,2.5669,10.285,4.7071,0.5836,0.1646,16.1992,0.6001,1.88330904761905,9.41,71.923409,31081736577.9176
1.78398382193,97115,6,31.85577603,28.6,0.8118,0.5061,3.667,3.4397,1.1806,10.7332,14.6641,27.2015,0.5762,63.695,2.5669,10.285,4.7071,0.5836,0.1646,16.1992,0.6001,1.99347333333333,6.51,12.615376,2.319e+10
