"mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_health_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
154.5,"2",41.58799,3295.6815,44.790391,2.8816,29.3,38.3,24.6,37.1,147.67,17.51053,-0.000578672456368605
471.82001,"3",41.91857,15912.3995,39.923408,6.66,8.8,12.5,72.1,15.3,377.03,20.767,-0.000846143276819303
421.89999,"3",45.71153,10638.8251,186.795612,4.68,3.5,21.5,47.8,30.7,361.21,21.24486,-0.000632958153730851
183.12,"2",31.53395,11957.2122,90.1133345199999,4.2773,3.6,52.8,39.6,7.6,219.693,17.677,-0.00281109990066342
311.87,"2",38.77876,8598.1982,31.253271,5.42,8.88899999999999,31.544,30.737,35.607,302.99,17.77248,-0.000598229162597808
702.670101699999,"3",34.026985,28528.953,36.74193514,9.71629999999999,2.044,30.776,47.176,16.442,668.3891,14.35742,-0.00177433179299459
885.83002,"4",30.32145,27408.6649,11.076582,11.07,1.265,28.377,55.244,14.09,701.86,14.866,-0.0041305717809061
110.12,"1",34.99312,1838.4903,3659.216688,1.8,87.3,25.9,27.6,46.5,87.56,16.52607,-0.000525656976299414
227.06,"3",36.6966,13599.637714,4.5771,4.49,4.165,38.387,34.178,24.392,238.97,14.80117,-0.00112581362165365
1501.48,"4",27.32977,38896.7005,8.30684702499999,26.06,3.553,21.766,62.8870000000001,15.51,1501.11,6.802,-0.00093721387941662
1621.01,"4",32.38069,38515.9193,570.452662555,24.69,7.747,19.25,63.1740000000001,18.577,1597.81,9.124,-0.000290403631855071
295.5,"3",38.02437,17613.5564,16.93527,3.63,16.5,15.4,45,39.6,210.08,16.82279,-0.000518684076967637
149.91,"1",35.91883,1882.2399,225.5213455,2.45,60.4,28.9,37.4,33.7,97.16,16.59657,-0.000410105692884169
237.52,"2",35.94862,11984.9049,88.080048,1.89,0.8,23.2,33.8,43,200.07,16.893,-0.00127482082067342
1637.79,"4",31.87067,46177.6187,3391.664367195,26.39,7.882,19.798,63.1420000000001,18.572,1605.69,9.165,-0.000139450942070374
199.55,"2",43.52088,4267.0667,678.509304,2.23,33.7,24.3,35.3,40.4,131.42,18.96272,-0.00019529605461878
662.25,"4",32.89121,23450.7658,9.62423349499996,12.85,1.172,28.553,54.484,15.445,680.16,14.168,-0.00261939903359492
259.89999,"2",48.27859,7402.1146,343.840074,5.51,11.236,31.708,32.432,32.724,257.19,14.606,-0.000425572771602582
87.300003,"1",33.7297,1606.4666,866.0254625,2.53,75.1,34,27.9,38.1,87.3,15.83418,-0.000494211598021527
69.18,"1",50.66424,1501.4136,375.078088,2.01,77.5,32.4,25.9,41.8,69.18,17.495,-0.000333854349285061
202.89,"3",45.11814,10471.937774,12.12238,3.5662,3.2,18.5,36.5,45,202.89,18.97055,-0.000709618662254063
104.7,"1",41.10377,1729.0432,2040.487131,2.15,49.4,19.7,28.5,51.8,104.7,18.90371,-0.000290039818713666
239.57001,"2",48.16817,5041.6354,417.008485,6.43,15.8,31.9,24.2,44,236.33,17.5949,-0.00038721032967303
650.71997,"4",29.61204,25622.8123,14.4033015,9.59,1.768,24.362,60.442,15.239,568.43,10.427,-0.00140126325439343
1527.02,"4",26.13158,43438.5412,4.64926560999999,22.7,2.762,22.197,63.9410000000001,14.916,1413.36,6.068,-0.00142584859722048
111.83,"2",47.432553,6806.4986,28572.13065,1.91,53.7,21.8,35.7,42.5,111.83,19.656,-0.000131506383857551
190.66,"2",43.63245,11851.7372,2613.836175,1.85,15.5,12.6,60.7,26.7,163.97,19.20074,-1.94231993357779e-05
493.39001,"3",42.0033,17011.3042,16.0510575,5.4041,4.775,29.649,37.32,34.4,504.64,19.81693,-0.000733232514707321
178.81,"3",29.54186,12835.8126,102.38413739,4.2147,11.6,51.3,38.4,10.3,243.1815,16.03218,-0.00273687041246777
1408.09,"4",31.3598,64684.302,5.28912338499998,20.33,1.121,27.464,57.985,14.692,1248.55,9.403,-0.00342125899811485
1097.22,"4",39.01302,32954.7701,162.151777425,13.76,6.809,16.362,64.9010000000001,19.945,936.83,19.317,-0.000883535458363321
1227.58,"4",35.928,34364.1682,577.156560615,20.72,7.795,17.911,64.3890000000001,18.681,1208.21,12.9,-0.000286578152007247
366.34,"3",45.45747,7272.9805,7.7054785,4.07,1.8,15.6,42.8,41.6,368.03,19.3856,-0.00137660853287852
1212.01,"4",32.85473,38673.8081,3641.904299635,20.2246,7.945,18.321,63.3580000000001,17.487,1211.9,10.938,-7.93440397254428e-05
331.66,"2",33.65573,11506.3383,60.0032427899999,4.4617,1.7,23.8,73.8,2.4,265.6955,15.39904,-0.00277567126379965
340.60999,"3",27.79287,25307.5554,1.181724,4.9,0.2,34.1,46.3,19.6,364.64,12.0737,-0.0026936644688814
100.36,"2",40.77577,3377.4704,2502.698639,2.39,39.9,9.8,33,57.2,124.39,19.2328,-0.000184318983173461
1470.8178937,"4",30.0940614,65520.7367,6.68659523499997,27.9529,1.107,27.014,57.744,14.719,1529.0745,9.24217000000001,-0.00294032918598786
161.92,"2",29.70122,5176.9883,19.040736,3.88,0.5,23.5,50.6,25.9,160.46,15.59323,-0.00191830686008888
706.84998,"4",35.09615,24312.6778,13.2423825,8.26,1.435,27.835,56.155,14.958,545.57,12.90542,-0.00514209868330136
705.17999,"3",31.83245,12558.9669,13.431326575,6.747,2.113,32.082,47.71,17.033,558.2627,15.15464,-0.00172477959413893
75.699997,"2",44.8797,2731.4661,420.627168,1.76,32,13.9,30.8,55.3,75.72,19.15091,-0.000202780096887971
83.059998,"1",35.26546,818.4211,589.3702815,1.75,71.2,21.5,32.1,46.4,54.42,16.50635,-0.000272968725333983
384.5836978,"3",30.2845813,15013.3124,7.94491630999998,5.9202,1.5,44,48.2,7.8,374.3727,15.24994,-0.00387437926217394
1423.5865929,"4",30.7966243,74086.9704333333,6.14681644499996,26.2353,1.079,27.387,57.684,14.694,1438.1268,9.50904000000001,-0.00334480922574609
756.90002,"4",35.70781,27370.5548,15.190424,9.16,1.947,23.378,62.0690000000001,15.509,601.98,12.39,-0.00137553525050728
2113.2,"4",35.36809,57427.5003,6.38139281999999,32.39,1.442,23.971,61.376,14.218,2155,8.736,-0.00235070071586043
46.939999,"1",42.64818,1427.6004,6270.58539,1.62,66.9,34.3,16.7,49.1,46.66,17.79517,-0.000230631479193893
61.68,"1",44.69431,1116.6402,3664.742496,1.27,56,17.9,25.1,57,57.94,18.90653,-0.00023377661764568
850.15997,"3",41.0664,24842.3559,2.0437445,3.38,7.26,32.65,34.244,28.284,627.05,16.65693,-0.000521720124063215
198.52,"3",31.28565,13007.902025,2.70465,4.2899,5.2,13.6,81.1,5.3,198.52,14.56619,-0.00255419328443147
72.610001,"1",33.03796,1667.2951,1917.911006,1.82,77.7,36.1,24.9,38.9,73.1,15.79647,-0.000496503987281178
1294.25,"4",28.66509,32028.9124,6.16900844499996,22.9485,1.068,26.966,58.19,15.079,1185.137,8.77139000000001,-0.00289188195097819
