"school_closures","workplace_closures","cancel_public_events","close_public_transport","public_information_campaigns","restrictions_internal_movements","international_travel_controls","fiscal_measures","emergency_investment_healthcare","investment_vaccines","contact_tracing","stringency_index","restriction_gatherings","stay_home_requirements","income_support","debt_relief","international_support","testing_policy","containment_index","facial_coverings","vaccination_policy","effectiveness_larson_et_al_2016","population_with_access_to_improved_sanitation_x","population_without_access_to_improved_sanitation_x","daily_icu_occupancy","daily_icu_occupancy_per_million","daily_hospital_occupancy","daily_hospital_occupancy_per_million","weekly_new_icu_admissions_per_million","weekly_new_hospital_admissions_per_million","importance_larson_et_al_2016","safety_larson_et_al_2016"
"1","2","2","0","2","2","1","0","0","0","0",59.26,"4","1","1","2","0","3",57.26,"3","3",7.494,384763,148150,607.81,16.734,2452.57,111.87973,12.81332,53.85689,4.782,10.707
"0","0","0","0","2","0","2","0","0","0","0",24.07,"0","2","0","0","0","2",28.45,"3","2",11.45,991050,3555050,829.44,39.54988,3136.32,501.603285,37.74311,226.43308,6.82533333333333,12.371
"0","0","0","0","2","0","2","0","0","0","1",25,"3","0","0","1","0","2",32.98,"4","1",14.507,1695139,12314274,1016.56,57.09737,2685.09,549.850425,71.76234,348.9731,9.99133333333333,18.236
"2","2","2","1","2","2","2","0","0","0","2",59.72,"3","2","1","0","0","3",69.7,"3","4",6.406,17602817,159864,1370.2,18.06753,4516.72,112.99599,8.98567,40.41324,3.305,8.965
"3","3","2","1","2","2","3","0","0","0","2",79.17,"4","3","1","2","0","3",75.89,"2","5",12.6,1048983300,322236700,4015.17,31.771685,14343.5,177.83962,16.15851,104.38746,13.5,15.8
"3","1","1","2","2","0","1","0","0","0","2",41.67,"0","2","1","2","0","2",53.57,"3","5",5.9,39113473,9115224,758.63,18.664995,3462.49,131.616783333333,9.597,64.58952,3,8.8
"1","1","1","0","2","0","1","0","0","0","2",43.9982,"3","1","1","2","0","3",54.22124,"2","5",8.389,278318,499106,676.53,24.10399,3180.34,164.90778,14.18492,63.58391,5.843,12.3935
"1","1","1","1","2","1","1","0","0","0","0",51.85,"3","2","0","0","0","2",54.17,"3","5",9.204,749347,4246301,1193.4,39.56006,3977.88,359.59177,32.96658,158.28204,6.381,15.213
"2","2","2","0","2","1","1","0","0","0","1",54.63,"3","1","0","1","0","3",61.67,"3","4",12.908,4543420,264432,1812.34,59.68786,4399.42,620.13382,53.69459,249.70912,10.486,16.119
"0","0","0","0","2","0","2","0","0","0","1",20.37,"0","1","1","2","0","2",35.71,"4","5",13.773,5199406,17909066,1209.05,55.90693,3817.44,576.253765,52.06826,275.17015,9.84233333333333,16.148
"1","1","1","0","2","0","1","0","0","0","1",33.8,"3","0","1","1","0","3",45.89,"3","4",11.818,4077496,126108,1038.75,38.99495,903,221.234,31.64353,161.403,8.891,18.844
"3","2","2","2","2","2","1","0","0","0","2",65.28,"4","1","0","2","0","2",71.13,"3","5",7.61,10682055,779377,2617.68,31.04913,9148.57,183.9464,21.13219,105.77571,4.581,10.875
"1","1","1","1","2","0","1","0","0","0","2",40.74,"3","0","2","2","0","3",57.74,"3","5",6.359,1160985,0,10,11.161,63,70.312,7.883,38.288,4.772,10.391
"0","1","1","0","1","2","1","0","0","0","0",37.96,"3","2","0","1","0","1",33.57,"3","1",8.8,21868430,54328189,1399.42,54.68667,4548.93,571.317555,54.36232,246.66034,4.6,13.8
"1","2","1","0","2","0","2","0","0","0","2",38.89,"2","0","2","0","0","3",56.55,"3","5",4.1,5660749,22734,19,3.268,167,28.727,5.768604,32.287,3.4,6.3
"1","1","2","2","2","0","1","0","0","0","0",54.63,"4","0","1","0","0","1",48.93,"4","3",7.233,439594,487820,888.79,26.98276,3486.28,206.48202,13.05334,81.65116,4.585,11.375
"2","1","2","1","2","1","1","0","0","0","1",63.89,"4","2","1","0","0","3",73.21,"4","5",7.693,8843851,1684543,2952.92,37.6432,8647.78,325.7601,14.8466,128.21715,3.99066666666667,11.566
"2","1","2","1","2","1","2","0","0","0","2",60.19,"4","1","1","2","0","3",67.38,"3","3",2.1,13674280,2470088,2412.01,27.41053,6348.53,223.66372,9.34968,75.78119,0.4,3
"1","1","2","0","2","0","1","0","0","0","0",43.52,"4","0","1","2","0","2",44.17,"4","3",7.076,88807929,4970243,1439.22,29.84998,4147.09,168.48014,17.12881,113.50879,4.213,12.319
"1","1","2","0","2","0","1","0","0","0","0",32.41,"1","0","1","0","0","3",43.21,"4","4",16.566,4734359,1578120,1372.99,58.53261,3305.29,498.489965,50.86159,226.22863,10.687,23.8882
"1","1","1","0","2","0","1","0","0","0","2",37.3481,"0","0","0","1","0","3",46.3496375,"2","5",11.501,875665,299724,529.32,36.55655,1864.02,317.1351,36.76329,195.03166,8.589,16.5885
"1","0","0","0","2","0","2","0","0","0","1",23.15,"1","0","0","0","0","2",34.52,"1","5",12.429,1278576,36831,39,29.43,523,394.661,24.831,313.775,8.75633333333333,14.714
"1","1","1","1","2","0","2","0","0","0","1",43.52,"3","0","0","0","0","3",52.14,"3","4",2.1,27964449,71908584,806.4,16.5213,3031.25,170.701103333333,20.64555,70.35347,0.7,4.2
"3","3","2","1","2","2","4","0","0","0","2",86.11,"4","2","1","2","0","2",80.36,"2","5",11.6,812748,79401,1536.47,24.85516,8038.58,166.39101,16.77508,77.50417,8.5,13.7
"1","1","1","0","2","0","2","0","0","0","2",38.43,"4","1","2","1","0","2",50.3,"1","5",3.4,5348022,131509,31,5.587,205,36.948,4.50745,52.809602,2,4.8
"1","2","2","1","2","2","3","0","0","0","1",60.65,"3","0","2","0","0","3",68.45,"3","5",17.3,65757955,866113,1018,15.067,6377,94.384,5.11,21.717,11.7,41
