"school_closures","workplace_closures","cancel_public_events","close_public_transport","public_information_campaigns","restrictions_internal_movements","international_travel_controls","fiscal_measures","emergency_investment_healthcare","investment_vaccines","contact_tracing","stringency_index","restriction_gatherings","stay_home_requirements","income_support","debt_relief","international_support","testing_policy","containment_index","facial_coverings","vaccination_policy","effectiveness_larson_et_al_2016","population_with_access_to_improved_sanitation_x","population_without_access_to_improved_sanitation_x","daily_icu_occupancy","daily_icu_occupancy_per_million","daily_hospital_occupancy","daily_hospital_occupancy_per_million","weekly_new_icu_admissions_per_million","weekly_new_hospital_admissions_per_million","importance_larson_et_al_2016","safety_larson_et_al_2016"
"0","0","0","0","2","0","3","0","0","0","2",19.44,"0","0","0","0","0","3",39.64,"4","4",8.84799999999999,7129049,7847945,742.67,38.08752,2637.82,431.400295,27.30236,179.06617,5.598,12.437
"1","1","1","0","2","0","1","0","0","0","2",36.11,"2","1","2","1","0","3",55.36,"2","5",14.1,6839949,255434,290,41.979,6760,978.544,39.641,168.97364,11.5,16.4
"1","2","1","1","2","0","1","0","0","0","1",43.98,"3","1","0","0","0","3",54.23,"4","4",11.481,962524,6274501,1111.6,53.94202,4212.78,594.71456,63.504,239.16937,8.13,15.185
"1","1","1","0","2","0","3","0","0","0","2",47.22,"4","1","2","2","0","3",66.07,"4","5",6.223,5535002,0,327.83,18.47384,2125.3,75.50573,5.716324,31.283332,4.796,10.1285
"2","1","2","0","2","0","2","0","0","0","1",43.98,"4","0","2","2","0","3",49.7,"2","5",6.405,5358715,65086,802.79,20.53007,1080,197.776,0.55,16.49,4.638,10.7965
"1","1","1","0","2","0","1","0","0","0","2",29.63,"1","0","1","1","0","3",44.4,"3","4",16.4,2044959,18572,126,60.614,475,228.506,32.922,169.859,13.2,22
"0","1","1","0","2","0","1","0","0","0","1",35.19,"3","1","0","1","0","3",45.36,"3","3",16.178,2915110,9489615,1278.88,61.71129,4608.87,570.975895,67.07581,293.26832,10.628,23.3602
"1","2","1","1","2","0","1","0","0","0","2",51.85,"3","2","1","1","0","2",61.07,"3","4",9.9,36527953,18484024,1119.93,22.52719,3872.41,127.98064,13.27562,74.98785,6.4,9.8
"3","2","2","0","2","0","2","0","0","0","2",50.93,"4","0","1","1","0","3",64.29,"3","5",6.4,51014947,0,252.49,12.7511,1625.81,71.6624,9.541734,37.45704,4.7,9
"0","0","0","0","2","0","2","0","0","0","1",25,"3","0","1","0","0","2",36.07,"2","4",15.729,796103,11086033,1069.18,56.55122,3045.8,523.438515,58.61801,309.50444,10.5313333333333,22.542
"1","1","2","0","2","0","2","0","0","0","1",47.69,"4","2","2","2","0","3",54.46,"2","5",7.1,46401249,46448,435,9.306,1730,37.009,0.254,4.563,5.8,9
"3","2","2","1","2","2","2","0","0","0","2",81.48,"4","2","0","2","0","3",83.93,"3","5",7.768,19938666,1027334,1900.82,29.35189,9045.09,187.1817,21.22566,83.90449,5.959,11.125
"0","0","0","0","2","0","3","0","0","0","1",19.44,"0","0","0","0","0","3",28.93,"0","4",9.21899999999999,8906147,28831766,753.22,35.28044,2689.14,380.903475,29.68324,196.15676,6.405,13.037
"3","2","2","2","2","0","4","0","0","0","1",81.48,"4","2","1","0","0","3",80.71,"4","4",6.842,438141,115067,1394.8,21.10653,6120.97,133.69141,11.35599,57.82894,5.338,11.286
"0","0","1","0","2","0","3","0","0","0","0",37.04,"3","1","2","1","0","2",40.48,"0","5",5.9,9730592,68594,27,2.657,220,21.653,0.871,81.7763486666667,4.3,8.6
"1","1","1","0","2","0","3","0","0","0","2",40.74,"3","0","2","0","0","3",53.57,"2","5",5.561,8274114,8282,111,12.736,469,53.812,4.324394,17.784,4.459,10.3125
"3","1","0","0","2","0","1","0","0","0","1",25.93,"0","0","0","0","0","1",29.05,"2","2",15.533,17929383,805604,992.27,50.2532,3101.39,527.962475,66.47787,286.4796,9.933,21.596
"1","1","0","0","2","0","4","0","0","0","0",35.19,"2","0","0","0","0","1",39.29,"4","5",13.256,8121218,427433,708.955,46.7087,2564.12,568.237315,60.42623,272.4822,8.905,15.985
"0","0","1","0","1","0","2","0","0","0","0",16.67,"0","0","1","1","0","3",23.93,"1","3",9.04099999999999,8405273,45474684,915.21,34.04649,3059.91,225.22264,19.69364,167.88758,5.44833333333333,12.7045
"2","2","2","1","2","2","3","0","0","0","1",72.22,"4","2","1","2","0","1",69.05,"4","5",6.5,63851568,4806032,3498.9,32.7548,10502.77,230.51776,9.50695,86.04885,2.1,5.5
"0","2","0","0","2","2","2","0","0","0","2",42.59,"3","1","1","2","0","2",50.71,"4","3",7.146,860349,6556453,933.7,24.18447,4857.76,175.24831,12.18466,69.15205,3.193,8.727
"2","1","2","0","2","2","4","0","0","0","2",74.07,"4","2","1","0","0","1",69.17,"3","3",6.283,1244484,115608,1733.85,29.17996,7831.79,194.86747,11.93108,82.02166,3.626,9.805
"1","3","2","2","2","2","2","0","0","0","1",71.3,"4","2","1","2","0","3",69.76,"3","3",4.3,10326673,946988,1657.74,17.0767,6710.44,156.62026,8.39425,43.831495,1.9,7.6
"1","1","1","1","2","1","1","0","0","0","2",50,"3","1","2","0","0","2",62.62,"4","3",8.3,74279627,3991845,1513.86,33.52318,4383.2,324.01085,17.70457,122.48897,3.6,17
"3","2","2","2","2","2","1","0","0","0","0",78.7,"3","2","1","0","0","3",72.14,"3","3",6.349,7667670,32477200,1459.16,22.09485,7886.55,175.09051,9.19321,62.81594,2.505,8.877
"3","1","1","0","2","2","1","0","0","0","1",50.93,"3","0","1","1","0","2",54.52,"3","4",15.4,43302714,1851315,1351.2,53.53962,5323.8,485.77626,44.26449,203.52586,12.2,25
"1","1","2","1","2","2","3","0","0","0","2",65.28,"4","1","0","2","0","3",71.13,"3","5",7.383,8934599,219703,1964.33,26.646125,7471.18,165.88105,19.72902,68.88355,5.192,9.446
"1","2","1","1","2","0","3","0","0","0","1",43.98,"4","0","2","2","0","2",51.79,"3","5",7,64607830,521031,962,14.104,9065,132.904,8.08023,103.039,5.7,8.7
"2","2","2","1","2","2","3","0","0","0","1",61.57,"4","1","1","1","0","3",67.86,"3","5",9.6,320896618,0,11927,35.826,41607,124.978,15.037254,111.996,8.8,13.5
"1","1","1","1","2","1","4","0","0","0","2",55.56,"3","1","1","1","0","3",63.1,"2","5",7.823,3308016,123536,856.67,24.17967,3118.9,189.5103,13.30737,74.4434,5.626,11.4935
"2","0","2","1","2","2","4","0","0","0","0",63.89,"3","0","1","2","0","2",59.29,"3","4",6.485,31298900,0,1568.01,20.51369,4973.73,129.1876,9.743264,58.55824,4.04,9.629
"3","3","2","1","2","1","3","0","0","0","0",86.11,"4","3","1","2","0","3",78.21,"4","1",7.082,29410446,1744688,1708.49,27.5002,7755.54,241.84272,10.99125,75.80968,4.68,10.164
"2","3","2","2","2","2","4","0","0","0","2",79.17,"4","2","0","0","0","3",78.39,"3","3",4.6,71536374,20176926,3186.23,32.80873,8919.43,176.32785,23.83906,105.3716,0.7,20.9
"1","1","1","0","1","1","3","0","0","0","1",37.96,"0","2","0","0","0","1",41.79,"2","3",10.95,13277013,11632956,987.37,53.21977,3338.3,598.085335,62.39706,262.42487,6.83,15.045
"2","2","2","0","2","0","2","0","0","0","0",50.93,"3","0","0","1","0","3",50.95,"3","4",6.257,7068158,9032429,1913.54,30.87773,3712.36,196.73049,23.92314,111.54984,3.107,10.24
"3","2","2","0","2","2","2","0","0","0","0",73.15,"3","2","0","0","0","2",69.05,"3","5",6.604,5806102,9971349,2137.79,30.39829,8113.02,228.55749,20.49464,99.74342,3.771,9.455
"1","1","1","0","2","0","3","0","0","0","2",35.19,"1","0","1","1","0","3",52.38,"2","5",7.3,10451144,94915,146,13.614,964,89.887,23.471,132.505,6.2,10.2
