"","income_classification_world_bank_2017","gdp_growth_from_previous_year_2020_q2","gdp","national_poverty_lines_jolliffe_and_prydz_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016"
"118","2",NA,NA,1.92,NA,NA
"119","3",NA,66292864959.0038,6.32,NA,NA
"120","3",-30.2358063,386316117149.65,5.52,20.6,10.5
"121","2",-16.5,912443450835.92,2.44,16.3,11
"122","4",-7.9,1053479356812.86,8,NA,NA
"123","4",-16.3,276343587731.246,12.81,NA,NA
"124","4",NA,400649396628.596,NA,NA,NA
"125","3",-10.5,386236496171.876,5.24,NA,NA
"126","3",NA,3613410539249.58,8.3,NA,NA
"127","1",NA,22988917805.4198,1.46,21,53.8
"128","4",NA,NA,NA,NA,NA
"129","2",NA,762655230.843,2.73,30.6,19.3
"130","4",NA,1677338604416.24,NA,NA,NA
"131","1",NA,42805547586.2381,2.21,39.4,56.9
"132","3",NA,99972058733.547,5.42,48.8,0.2
"133","1",NA,10628816282.5364,1.91,23.1,81
"134","4",-13.2,410139845598.494,NA,NA,NA
"135","4",-12.1,146456465970.571,15.69,NA,NA
"136","4",NA,60439877633.5602,19.37,NA,NA
"137","1",NA,NA,NA,34.2,81.2
"138","3",NA,673272147245.839,5.62,6.2,11.1
"139","4",-2.957828,1958392116532.5,NA,NA,NA
"140","1",NA,NA,NA,40.1,91.1
"141","4",-22.1,1492300170441.6,18.63,NA,NA
"142","2",NA,253457134488.068,2.6,NA,NA
"143","2",NA,141177901813.383,3.5,26.7,53.4
"144","3",NA,NA,NA,31.2,5.9
"145","4",-8.3,463407436134.153,29.09,NA,NA
"146","4",NA,531971156045.547,31.51,NA,NA
"147","2",NA,56710613702.6628,NA,55.4,4.4
"148","2",NA,38206549012.3596,4.46,21.3,13.2
"149","1",NA,162052511806.036,1.44,18.3,65.6
"150","3",NA,1124031904190.79,5.43,41,0.9
"151","1",NA,11866978379.4441,2.1,22,50.1
"152","4",NA,34697351281.5718,NA,1.3,5.6
"153","2",-21.6,130322095892.001,3.97,48.1,1.2
"154","3",NA,1655984280526.49,2.82,NA,NA
"155","1",NA,86584070536.4346,1.46,15.6,69.9
"156","2",NA,431319895538.146,5.94,1.4,1.2
"157","4",NA,734906189316.231,NA,NA,NA
"158","4",-21.7,2540210102649.03,21.29,NA,NA
"159","4",-9.5,18140645383318.5,21.7,NA,NA
"160","4",NA,68560712984.2976,6.92,NA,NA
"161","2",NA,336874766859.311,NA,23.2,2.3
"162","3",NA,309413012163.287,6.28,NA,NA
"163","2",NA,661488430245.345,3.35,17.6,7.1
"164","2",NA,69042726810.1435,NA,28,45.9
"165","2",NA,60978621662.9261,1.83,18.5,56.6
"166","1",NA,22715353540.7873,NA,11.7,29.7
"167","4",-10.7,326100315851.243,12.98,NA,NA
