"","total_confirmed_deaths_due_to_covid_19_per_million_people","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","nurses_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"79",65.47,30626,75,NA,NA,NA,NA,NA,NA,142.87909,3.763e+10
"80",118.285,42084,70,NA,NA,NA,NA,NA,NA,350.55191,4.23e+09
"81",17.37,62578,39.4,NA,NA,NA,NA,NA,NA,52.449409,1.9222e+11
"82",177.026,22687,100,NA,NA,NA,NA,NA,NA,428.12521,NA
"83",174.428,39969,83,NA,NA,NA,NA,NA,NA,138.24355,2.132e+10
"84",33.4,29932,70,0,5,9.8,1.25,23.17,0.7,594.9317,NA
"85",86.441,20828,48.3,NA,NA,NA,NA,NA,NA,358.2995,2.968e+10
"86",20.072,99421,17.6,NA,NA,NA,NA,NA,NA,42.327137,2.32e+09
"87",16.213,62373,NA,NA,NA,NA,NA,NA,NA,25.088203,2.1117e+11
"88",118.173,28906,NA,NA,NA,NA,NA,NA,NA,230.01372,1e+07
"89",26.221,NA,95,NA,NA,NA,NA,NA,NA,NA,NA
"90",51.795,30215,95,0,6.5,9.28,0.99,30.05,1.07,601.2337,NA
"91",234.833,18648,97.6,NA,NA,24.27,0.74,8.57,0.68,679.28198,NA
"92",8.812,54971,3.7,NA,NA,NA,NA,NA,NA,16.622654,1.1243e+11
"93",9.566,70678,NA,NA,NA,NA,NA,NA,NA,11.881274,1.6338e+11
"94",7.353,29765,100,NA,NA,NA,NA,NA,NA,370.69351,6.2e+08
"95",68.45,25036,30,NA,NA,NA,NA,NA,NA,247.58975,1.06e+09
"96",6.716,75910,1.9,NA,NA,NA,NA,NA,NA,54.852081,1.3294e+11
"97",124.564,19507,100,NA,NA,NA,NA,NA,NA,1287.7975,NA
"98",35.056,58285,6,NA,NA,NA,NA,NA,NA,85.419205,1.33e+10
"99",7.863,30076,100,NA,NA,NA,NA,NA,NA,556.64081,1.8e+08
"100",696.596,26763,85.6,NA,1.02,NA,0.03,11.26,0.16,417.28952,9.6e+08
"101",423.901,35472,75.7,NA,NA,NA,NA,NA,NA,238.01622,1.13e+10
"102",25.482,NA,NA,NA,NA,NA,NA,NA,NA,206.57016,NA
"103",437.855,26702,95,NA,NA,NA,NA,NA,NA,304.52347,9e+07
"104",93.334,38061,42.3,NA,NA,NA,NA,NA,NA,231.06967,3.89e+09
"105",2.848,88491,NA,NA,NA,NA,NA,NA,NA,4.3641877,2.3915e+11
"106",21.081,48793,NA,NA,NA,NA,NA,NA,NA,197.51004,9.451e+10
"107",52.343,48404,28,NA,NA,NA,NA,NA,NA,78.47451,4.04e+09
"108",30.065,43324,0.1,NA,NA,NA,NA,NA,NA,90.96965,9.946e+10
"109",416.227,18770,98.9,3.32,0,11.74,0.91,0,0.42,650.96637,NA
"110",5.184,18742,100,0.1,2.2,11.58,0.3,17.27,0.71,422.60583,NA
"111",23.549,33239,12.2,NA,NA,NA,NA,NA,NA,146.10959,1.948e+10
"112",2.85,70093,3.1,NA,NA,NA,NA,NA,NA,35.789703,6.702e+10
"113",5.506,84764,2.2,NA,NA,NA,NA,NA,NA,155.4747,6.9788e+11
"114",51.649,19615,100,NA,2.74,26.34,1.07,NA,0.57,887.98853,NA
"115",235.576,27260,97,NA,NA,NA,NA,NA,NA,104.14493,2.5e+08
"116",30.599,50534,26.6,NA,NA,NA,NA,NA,NA,89.383614,2.0375e+11
"117",614.17,27476,51.8,NA,NA,NA,NA,NA,NA,470.90369,3.23e+09
"118",0.782,59322,NA,NA,NA,NA,NA,NA,NA,5.6810246,6.417e+10
"119",186.049,30862,23.6,NA,NA,NA,NA,NA,NA,264.27051,5.62e+09
"120",1038.977,26911,64.4,NA,NA,NA,NA,NA,NA,207.45259,9.5e+09
"121",64.363,41446,82,NA,NA,NA,NA,NA,NA,172.83017,9.55e+10
"122",121.94,25415,97.5,0,4.85,7.69,0.65,15.71,0.54,396.16248,NA
"123",232.526,19815,100,0.7,2.33,NA,0.64,10.78,0.73,735.89484,NA
"124",79.832,22923,100,NA,NA,NA,NA,NA,NA,242.92445,NA
"125",341.725,28496,94.3,NA,NA,NA,NA,NA,NA,232.00484,NA
