,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
24645,CHL,South America,Chile,2021-11-16,1730456.0,1689.0,2466.857,38005.0,5.0,17.429000000000002,90069.925,87.912,128.399,1978.1529999999998,0.26,0.907,,,,,,,,,,51132.0,24392441.0,1269.622,2.661,73073.0,3.803,,,tests performed,,,,,,,,,,,,,,,19212362.0,24.281999999999996,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
25310,CHN,Asia,China,2021-11-16,98445.0,31.0,61.286,4636.0,0.0,0.0,68.165,0.021,0.042,3.21,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444216102.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,,,
28514,CIV,Africa,Cote d'Ivoire,2021-11-16,61523.0,12.0,11.571,702.0,0.0,0.28600000000000003,2274.113,0.444,0.428,25.948,0.0,0.011000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27053629.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.5379999999999999,,,,
21202,CMR,Africa,Cameroon,2021-11-16,106190.0,0.0,263.143,1770.0,0.0,5.571000000000001,3900.565,0.0,9.666,65.016,0.0,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.66099999999997,7.2,,,2.735,1.3,59.29,0.563,,,,
31858,COD,Africa,Democratic Republic of Congo,2021-11-16,57803.0,0.0,23.570999999999998,1099.0,0.0,0.0,625.7230000000001,0.0,0.255,11.897,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.48,,,,
27109,COG,Africa,Congo,2021-11-16,18539.0,149.0,55.143,331.0,12.0,3.1430000000000002,3277.1690000000003,26.339000000000002,9.748,58.511,2.121,0.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657017.0,15.405,19.0,3.4019999999999997,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
27277,COK,Oceania,Cook Islands,2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24326.0,12600.0,11726.0,,,40.0,138.44,71.7,66.73,,2276.0,14.0,0.08,,17572.0,,,,,,,,,,,,,76.25,,,,,
25931,COL,South America,Colombia,2021-11-16,5036287.0,2021.0,2447.0,127865.0,32.0,36.429,98238.65,39.422,47.732,2494.156,0.624,0.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51265841.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,124.24,7.44,4.7,13.5,65.38600000000001,1.71,77.29,0.767,,,,
26497,COM,Africa,Comoros,2021-11-16,4400.0,4.0,9.714,149.0,0.0,0.28600000000000003,4952.412,4.502,10.934000000000001,167.707,0.0,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.51599999999996,11.88,4.4,23.6,15.574000000000002,2.2,64.32,0.5539999999999999,,,,
22470,CPV,Africa,Cape Verde,2021-11-16,38302.0,3.0,5.428999999999999,350.0,0.0,0.0,68165.033,5.3389999999999995,9.661,622.886,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.21900000000002,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
27898,CRI,North America,Costa Rica,2021-11-16,564901.0,239.0,230.143,7231.0,8.0,7.857,109923.171,46.507,44.783,1407.069,1.557,1.5290000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.81,,,,
29760,CUB,North America,Cuba,2021-11-16,959307.0,243.0,341.14300000000003,8284.0,1.0,2.0,84763.16900000001,21.471,30.143,731.9639999999999,0.08800000000000001,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11317498.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.7829999999999999,,,,
29990,CUW,North America,Curacao,2021-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195709.0,101959.0,93750.0,,,181.0,118.76,61.87,56.89,,1098.0,73.0,0.044000000000000004,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
22792,CYM,North America,Cayman Islands,2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119435.0,57357.0,55157.0,,,418.0,179.61,86.25,82.95,,6286.0,67.0,0.10099999999999999,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
30609,CYP,Europe,Cyprus,2021-11-16,128038.0,354.0,258.143,588.0,0.0,1.571,142898.756,395.087,288.10400000000004,656.2460000000001,0.0,1.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896005.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
31242,CZE,Europe,Czechia,2021-11-16,1907629.0,11554.0,11312.714,31636.0,95.0,66.143,177874.919,1077.3410000000001,1054.8419999999999,2949.867,8.857999999999999,6.167000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10724553.0,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
45780,DEU,Europe,Germany,2021-11-16,5144827.0,53627.0,41052.0,98278.0,292.0,187.143,61320.597,639.174,489.29400000000004,1171.364,3.48,2.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83900471.0,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.9470000000000001,,,,
33121,DJI,Africa,Djibouti,2021-11-16,13497.0,1.0,0.5710000000000001,186.0,0.0,0.0,13467.412,0.998,0.57,185.592,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
33726,DMA,North America,Dominica,2021-11-16,5441.0,105.0,53.0,35.0,0.0,0.28600000000000003,75389.348,1454.858,734.357,484.95300000000003,0.0,3.9589999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72172.0,98.56700000000001,,,,9673.367,,227.37599999999998,11.62,,,,3.8,75.0,0.742,,,,
32512,DNK,Europe,Denmark,2021-11-16,434978.0,3981.0,3415.429,2791.0,9.0,6.143,74824.601,684.809,587.52,480.106,1.548,1.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
34352,DOM,North America,Dominican Republic,2021-11-16,398018.0,1002.0,1137.143,4174.0,4.0,2.8569999999999998,36336.351,91.476,103.81299999999999,381.05800000000005,0.365,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.7559999999999999,,,,
2536,DZA,Africa,Algeria,2021-11-16,208245.0,141.0,122.85700000000001,5997.0,6.0,6.143,4667.43,3.16,2.7539999999999996,134.412,0.134,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
34978,ECU,South America,Ecuador,2021-11-16,521792.0,0.0,318.857,33088.0,0.0,14.142999999999999,29169.173,0.0,17.825,1849.683,0.0,0.7909999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17888474.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.759,,,,
35620,EGY,Africa,Egypt,2021-11-16,345848.0,941.0,930.429,19636.0,69.0,64.286,3317.222,9.026,8.924,188.34,0.662,0.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.7070000000000001,,,,
37446,ERI,Africa,Eritrea,2021-11-16,7076.0,13.0,13.857000000000001,52.0,1.0,0.7140000000000001,1964.7579999999998,3.61,3.8480000000000003,14.439,0.278,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601462.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.45899999999999996,,,,
113351,ESP,Europe,Spain,2021-11-16,5061045.0,4091.0,4141.286,87745.0,29.0,26.714000000000002,108268.73800000001,87.51700000000001,88.59299999999999,1877.0910000000001,0.62,0.5710000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46745211.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.904,,,,
38099,EST,Europe,Estonia,2021-11-16,213474.0,867.0,928.857,1701.0,11.0,11.142999999999999,161089.596,654.247,700.925,1283.5910000000001,8.301,8.408999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.892,,,,
