"","age_standardised_diabetes_prevalence_male","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","kidney_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019"
"101",7.7593317,0.27774471,4.48,17.44,0.75,21.1
"102",8.072274918,240.29925086883,29.9132,95.2006,6.3612,17.421
"103",7.5727608,0.011582176,13.84,33.47,0.26,23.1
"104",14.0416698,38.07487182,37.14,91.46,2.28,32.2
"105",6.5621686,821.5822232,13.58,65.91,18.32,10.5
"106",6.9114952,986.7222685,29.02,82.14,3.28,7.3
"107",7.3191306,69.16455963,21.52,105.85,5.68,25.4
"108",11.6872047,1831.196387,26.46,80.96,4.62,5.4
"109",5.1717566,8.606314163,7.93,26.32,0.41,20
"110",7.9042936,3.137888936,10.75,26.13,0.34,31.4
"111",9.2258635,10.33266094,58.52,99.69,1.44,29
"112",5.9408535,684.8434672,19.47,70.73,33.31,8.7
"113",6.299279,6623.459482,6.72,41.12,18.9,13.1
"114",6.2257413,7.889693542,6.14,20.58,0.3,22.5
"115",14.3323602,0.946419589,21.32,103.46,0.9,33.7
"116",12.5771361,4499.728056,29.37,93.89,8.52,11.3
"117",8.9030156,7.427532739,27.31,67.45,1.38,27.6
"118",15.357027,165.6399375,59.11,183.05,6.95,25.8
"119",8.0133105,13.59930623,38.59,109.31,1.96,23.4
"120",7.2325752,92.34946292,24.06,48.66,1.05,24.2
"121",7.0508844,209.3515731,50.55,111.57,2.83,7.5
"122",8.394709,5.607770888,7.6,22.3,0.35,22.2
"123",8.4291863,4.287564851,12.82,39.07,0.34,21.2
"124",18.9393887,0.039604142,25.77,108.6,0.43,43.1
"125",7.2931016,2.216485464,8.67,17.24,0.42,21.6
"126",7.4159878,8.243218999,5.21,16.04,0.96,26.9
"127",4.2869468,345.4228302,10.84,60.85,19.02,9.3
"128",7.985503663,350.27584933584,29.6398,93.9519,6.0052,19.53
"129",8.3453454,1.182479901,43.5,81,5.23,16.9
"130",17.6139625,10.38224065,44.64,85.1,0.69,42.3
"131",7.5161234,651.8171428,26.55,90.21,25.53,12.9
"132",7.2703366,1.50719623,14.08,38.43,0.41,21.8
"133",7.1035396,406.241183,23.09,86.5,31.04,13.3
"134",9.3643048,0.525654718,13.66,22.56,0.16,6.3
"135",8.1699695,0.303444641,9.5,24.19,0.5,19.9
"136",7.2928867,0.121865262,5.36,18.47,0.23,21
"137",7.4372867,445.4531298,17.59,86.18,33.84,12.3
"138",9.666581,1615.847969,27.55,130.7,5.62,39.6
"139",9.3042505,38.68146316,9.74,36.6,0.26,4.8
"140",7.440544021,460.8228436,12.64,66.45,32.47,12.184
"141",8.5417676,23.59704663,9.39,24.84,0.32,22.8
"142",7.0219834,66.51201084,23.41,89.52,2.56,7.3
"143",8.3090898,202.4042067,37.59,79.78,3.01,21.813
"144",10.946402,3.093831384,45.27,126.09,2.57,33.7
"145",5.8450484,16.09295052,6.45,20.46,0.22,18.1
"146",5.2982009,4.994817772,7.72,20.54,0.2,16.9
"147",13.9683956,2.014161609,23.78,48.55,1.79,34.8
"148",10.2708067,4.808756272,11.63,37.83,4.82,16.7
"149",6.0174174,1968.689517,13.25,66.93,20.03,12.7
"150",8.2871193,532.4150149,28.12,64.99,1.48,12.7
"151",7.252472,219.2836653,18.84,71.77,20.51,12.5
"152",10.4106402,2.02676184,30.11,168.86,1.24,26
"153",12.1266469,10.38189492,31.6,67.66,0.91,34.3
"154",13.0451608,31.97276294,20.59,54.35,0.62,39.2
"155",4.4017746,1041.240813,14.65,73.48,23.58,8.6
"156",7.4189136,5.146238766,3.73,11,0.96,25.7
"157",15.0211902,1.350489119,39.1,94.72,2.98,41
"158",6.6201465,30.49522397,5.26,18.3,0.4,28.6
"159",8.1696543,198.1417956,16.46,41.69,0.4,37
"160",9.1377699,7.202059673,14.4,42.13,0.4,30.6
"161",10.4833885,1.328324469,15.86,53.67,1.09,19
"162",9.9360777,61.22011846,34.95,80.11,1.12,28.6
"163",5.5387413,379.9272853,26.19,68.15,1.03,2.6
"164",12.5919634,84.73164561,39.37,84.81,2.14,22
"165",6.4647059,597.1407001,17.28,81.49,31.73,12.4
"166",6.5137745,298.6722588,36.55,137.55,17.75,25.3
"167",8.4406733,5.136815339,6.81,25.5,0.31,25.4
