"","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","healthy_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"54",0.281521543,2.48,215.0627693,34.90636262,0.09872849,3454.907152,5438.176508,7.889
"55",0.319270299,1.903125749,250.1477672,24.19535799,0.0396873,1596.915494,13778.67288,6.714
"56",0.9553951,2.569921043,314.0855085,59.15685746,32.0472,23751.34925,313486.3834,4.914
"57",0.98305743,2.529438269,321.6312408,100.3329315,73.06253,85433.99235,1055173.76,5.164
"58",0.84810034034,2.41372975876,302.418741548,69.8123236287,68.51667331,930396.0333654,8272608.001767,5.123
"59",0.266420584,2.258621347,232.1149325,31.13519677,0.2406784,0,198937.5499,7.312
"60",0.823971445,2.514906339,355.1017527,152.7755032,60.90227,1539713.327,9977400.368,5.319
"61",0.677560681,2.580448916,257.7997503,29.35017021,2.895735,48992.94018,220318.2031,5.788
"62",0.91127235196,2.49697400464,297.23202343,68.2100553526,50.75908045,989998.936551,12303921.596255,6.262
"63",0.903217626,2.214249044,346.5059072,60.2678033,90.28445,1073385.51,7171209.869,4.768
"64",0.925029393,1.857224191,315.651056,52.4092351,92.62132,828455.804,1430471.96,4.24202
"65",0.726962015,3.605647519,398.6339337,91.80740137,39.30348,30770.72312,197033.2702,5.993
"66",1.094127898,2.928761213,392.515182,110.0127216,82.16744,1584615.938,6664828.918,3.615
"67",1.145273549,3.471640373,304.8500762,98.82780761,48.85315,1207456.775,4428401.959,5.93
"68",0.45006955,2.342294252,310.8679202,34.81939065,3.021302,30042.19426,125412.1317,6.038
"69",0.382420976,2.450969495,199.3888126,27.37811411,0.01792546,0,61.55602964,7.575
"70",0.788195593,2.124408033,268.9312061,73.66127208,71.48567,8756342.804,571115633.2,4.225
"71",1.020366482,2.663409884,422.4718158,54.47217871,71.30388,2823353.463,94181092.86,5.347
"72",0.870882295,2.008571733,289.0106306,50.30206145,10.49139,31382.23955,1778692.011,4.865
"73",1.164338457,2.504804723,327.4819287,53.83641323,50.81578,265312.6509,6851501.138,4.785
"74",0.577231411,2.058216272,206.3962812,42.12384777,0.3353735,8914.238613,14616.84879,7.035
"75",0.508129071,1.918522938,223.5212365,23.52311126,0.9977683,0,42096.94968,7.195
"76",0.316287353,2.256911343,258.4407102,25.43041726,2.472911,603426.8885,1138774.799,6.488
"77",1.014786055,4.057104501,459.2750456,62.29071352,52.39908,25595.34721,1008218.87,6.309
"78",3.034385921,3.649771285,434.3462374,42.27191404,1.616443,1196101.646,1533355.036,6.118
"79",0.643548024,1.610624012,345.0795845,34.53363704,19.90089,0,35143.59981,4.094
"80",0.652794041,1.759645705,233.6312211,20.82701529,1.16534,0,18573.29953,6.168
"81",0.766345623,1.851108442,257.6809474,51.35885164,78.95827,5350344.626,27717215.88,4.547
"82",0.88909629567,2.52191722395,304.10878572,72.2387818524,52.33818945,904455.209777845,11840616.145171,6.106
"83",0.964181593,2.45844371,304.2461928,55.97235545,57.584,17306.81858,1390030.646,6.25
"84",0.448210108,2.058050542,278.071027,28.16316446,2.62944,2761.334769,26778.18105,6.229
"85",0.84482425943,2.35148605852,300.487047686,67.5496379452,69.38722281,1788204.8779362,17254162.405971,4.024
"86",0.607529939,2.306327231,349.9884516,89.47021014,76.94296,132948.2793,1077746.223,3.512
"87",0.970414826,2.982044337,423.2618395,391.2985269,97.57058,1268452.806,4114552.009,5.121
"88",0.83809805325,2.51876815859,303.867697432,70.3880426263,63.1961323,1167756.5045346,8568202.78265,5.33
"89",0.84953982204,2.37159688948,302.226571432,66.0788816063,68.7178927,986620.0643504,8895120.088322,4.94199
"90",0.512512295,1.999557172,268.5988427,17.52552523,2.856601,22808.93192,37402.00932,6.391
"91",0.334489337,2.038379917,208.1221882,24.40740677,0.4126038,770.2878075,2072.696366,7.404
"92",1.07819951,2.588895697,289.0422163,141.031827,96.73974,17963623.98,23927939.65,4.339
"93",0.28486552,1.615605276,225.8655657,124.2460146,92.84431,230193.6577,13966089.34,3.869
"94",0.908167921,2.383309207,331.0328026,27.3928695,2.754231,0,96051.64215,5.428
"95",0.422614866,2.68616602,303.9718019,91.9150918,2.729918,0,2539.745027,5.198
"96",0.599600045,1.98490498,272.2387853,77.03821906,90.62164,843602.5747,13122889.99,4.988
"97",0.763473885,2.727949045,328.5045863,39.97814199,0.3113678,469.878016,1035.265736,6.157
"98",0.87682579,2.813919311,370.0824451,84.50684894,68.03631,66723.27378,1631835.851,4.153
"99",0.813268366,2.518435227,310.7602209,24.16559888,12.04238,107.174333,41175.26814,6.015
"100",0.661079505,2.551728019,272.9306122,32.37526772,17.93763,448098.2047,12845351.35,5.964
"101",0.801924017,1.683741188,240.434778,24.30643451,4.655106,0,5445.498153,5.812
"102",0.82766444236,2.49642220816,301.067683606,71.8356402689,56.91335323,996039.801759,10909586.0501663,5.80222
"103",0.560815752,2.336085919,314.3971323,21.31876952,14.87213,7844.028316,38359.53664,5.722
"104",0.607821254,1.911529014,241.386196,45.23284241,13.70442,8825.577048,1253090.27,4.803
"105",0.382520329,1.969263689,291.419903,125.511782,90.62317,2425105.21,22351717.47,4.932
"106",0.909689542,2.5998543,306.2327242,72.54598582,51.92937,88850.50164,13209727.86,4.431
"107",1.008157292,1.83890403,266.2691713,55.31527343,45.98487,236167.6099,606992.9011,4.451
"108",0.986364173,2.564141513,320.5217644,65.64613288,72.0897,549299.6082,12211945.79,5.449
"109",0.300922706,1.794010588,231.2824932,25.74211987,0.3128131,1988.767013,36350.75993,7.504
"110",0.85872777791,2.37381926145,291.464611266,70.5119981363,57.08277839,1139059.846796,15134039.4854761,7.257
"111",1.43555517,2.550074601,294.0000802,74.69742849,27.84136,219119.1571,946174.2164,6.113
"112",0.608233806,1.657867923,301.3851715,236.3938125,91.94135,1166759.882,12622240.14,5.004
"113",1.3811754,2.114463238,283.0679239,35.75432177,89.12486,85638823.05,133395688.1,5.503
"114",1.084304198,2.753281206,288.9047876,36.89398339,0.4563593,11749.06371,19025.45378,7.29
"115",0.88891662883,2.54392705,295.762342721,72.7963257408,52.56091073,982671.171957145,11682853.579063,6.853
"116",0.767463234,1.94525909,319.7952892,52.9854677,75.2726,93873.14985,50113059.58,4.443
"117",1.127964567,3.223740157,407.3911578,39.39665427,19.78807,76381.42315,469280.3115,6.086
"118",0.83756157919,2.23433676783,314.474748907,79.3389144507,77.7692907,1211557.3470097,8682325.811797,3.82184
"119",0.949812696,3.886502873,301.0380898,66.25018108,15.44793,8806.086829,1232354.706,5.653
"120",0.91506283,2.239451954,300.0001146,50.52219634,22.43048,408382.4928,3239904.019,5.999
"121",1.157734234,2.819760223,340.4633893,42.96118423,64.24689,3484983.414,44819470.76,5.08
"122",0.397012866,1.961194354,258.748219,25.67239122,0.449238,0,8371.576974,6.139
"123",0.417757991,1.863018265,224.6360157,20.58682641,0.9322764,11199.9488,47931.10701,5.768
"124",0.8469281828,2.49543030799,296.633234675,71.8521799517,54.86801505,896941.6192434,3790409.099544,6.375
"125",0.508367756,2.271961773,276.2681386,21.27220189,11.02077,147281.7726,1262222.425,6.13
"126",0.621210643,2.270001586,283.9289799,24.7414588,2.541048,1844.902587,681503.5576,5.495
"127",0.762956708,1.310426108,301.3968674,90.79961513,91.14971,2838348.672,6777359.669,3.268
"128",0.97062861938,2.53017636962,296.239607543,63.108153591,46.73220943,1133043.9621706,6657380.660098,5.89742
"129",0.895221716,2.528955099,267.4178864,53.97059513,81.26451,38482.7276,148778.6189,5.21101
"130",0.8720606785,2.49574017312,297.18966056,66.6835157145,50.09216412,992799.228678645,5289725.668725,6.56
"131",0.744343569,1.857560211,265.5712745,57.43536287,77.24802,1239014.954,7623380.515,5.489
"132",0.613036548,2.721453576,362.283357,40.62936245,23.87022,207176.9541,862595.9535,6.042
"133",1.241975289,2.201196701,231.4302156,102.4955613,85.57656,3003086.233,5732626.072,3.447
"134",0.85993121034,2.4674420103,301.76295258,74.0348787655,55.61389929,1101197.75252804,11145636.176293,6.378
"135",0.387426943,2.110823834,278.4835241,30.38687786,2.348883,29483.48216,71324.32286,6.519
"136",0.440995618,2.047126761,254.0748829,28.80645084,0.01920434,0,0,6.462
"137",0.82361627675,2.3192035714,305.816639593,82.0371575143,74.7215745,1113545.8426379,9707347.056765,4.668
"138",1.264708811,3.407425561,357.2355313,78.8861873,61.10259,10291944.43,30809342.27,4.947
"139",0.68144879,4.320287496,406.0827773,83.24775401,1.228063,0,512501.5262,5.793
"140",0.81457509577,2.25721403896,309.040963454,82.2476218193,79.5577170000001,1272023.4756256,9199054.363421,2.817
"141",0.442280512,1.770827881,226.8250056,24.34573494,1.480493,233776.3898,443244.2031,6.502
"142",0.971934199,2.227864363,338.3893043,40.35190729,45.437,17185.12725,2288445.781,4.213
"143",1.078303515,2.088458248,353.5860705,46.81771173,81.57917,2259702.644,14687341.32,4.139
