"","mean_monthly_income","gdp_growth_per_capita_from_previous_year_2020_q2","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","poverty_rate_50_percent_of_median_lis_key_figures_2018"
"102",720.5312933,-0.258442748854749,10.879,13.26
"103",441.22,-0.0216969944956875,0.3,15.25081
"104",305.10001,-0.000398531781015266,15.4,18.28256
"105",81.559998,-0.000407524407870933,69.6,18.11473
"106",172.39,-0.000207095330015984,33.04,17.95536
"107",342.70999,-0.00490519790874349,42,19.84052
"108",119.01,-0.000442304430947076,28.6,17.33354
"109",1585.92,-0.000524075474088864,8.229,6.184
"110",709.8718937,-0.00196390213187844,13.289,13.04864
"111",329.39001,-0.00218941095266834,16.1,18.66199
"112",78.699997,-0.000440360079897124,89.3,17.46075
"113",75.860001,-2.88551540707234e-05,53.2,18.43586
"114",2162.8799,-0.000975421131690217,9.291,7.662
"115",709.3824936,-0.00198476770670304,7.161,11.76947
"116",150.3,-3.65444398547945e-05,44.2,17.84372
"117",747.06,-0.00338583002109514,19.004,22.666
"118",96.879997,-0.00122109924629976,57.087,18.19085
"119",520.39001,-0.0020879344198421,6.806,21.394
"120",401.73999,-0.000906364922193787,10.5,24.442
"121",227.03,-0.000148585850378389,11,18.19195
"122",543.27002,-0.000209011269543711,12.034,10.587
"123",816.5,-0.00160308027449062,7.625,12.91348
"124",716.7753911,-0.00348127184589262,6.308,10.84702
"125",305.64999,-0.000548939986430203,3.391,8.465
"126",680.21002,-0.000101518156231469,11.65,12.506
"127",78.540001,-0.000961838338952404,53.8,18.05477
"128",706.2492941,-0.399605666255108,7.562,12.84848
"129",86.949997,-0.053361659257369,19.3,16.62392
"130",700.2197953,-0.000373994500049702,8.703,12.82983
"131",95.980003,-0.00067234415482725,56.9,17.91053
"132",360,-0.00168211410880075,0.2,14.137
"133",70.980003,-0.00119865448550688,81,17.66763
"134",713.8637937,-0.00223854551522669,13.112,13.16128
"135",678.90997,-0.00221582461363618,9.733,8.421
"136",1026.3199,-0.00497578959496306,6.072,9.989
"137",541.024506500001,-0.00093262952819352,81.2,17.21243
"138",337.70999,-0.000267339045252228,11.1,23.751
"139",1181.66,-5.76516377895989e-05,16.435,14.62
"140",98.300003,-0.00114896407377033,91.1,17.62477
"141",1115.37,-0.000472775652592984,11.515,15.562
"142",268.32999,-0.00065965590434338,9.235,17.13342
"143",138.89,-0.000329033878911593,53.4,17.73494
"144",217.83,-0.0227273716052721,5.9,17.7375
"145",1642.51,-0.000816915545400869,6.951,5.596
"146",2020.86,-0.00103882499029889,6.521,8.745
"147",217.17999,-0.000652974854426933,4.4,16.37589
