"","total_confirmed_deaths_due_to_covid_19_per_million_people","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
"62",204.571,37079,30,0.6374,9.37800000000001,9.5773,15.5259,0.6918,2.2166,247.54504
"63",5.406,72518,0.2,0.8403,13.0031,9.6782,18.9807,0.7357,2.247,31.166372
"64",20.833,83441,1.6,0.693100000000001,9.84900000000001,9.4994,15.2513,0.7134,2.1698,37.274281
"65",151.292,55470,23.8,0.5688,10.6499,8.3853,14.5833,0.6157,1.4917,136.16254
"66",20.346,61717,3.1,0.6902,9.58960000000001,9.758,16.3881,0.7175,2.2554,43.579815
"67",266.442,33106,12,0.6488,9.57240000000001,9.3206,14.9528,0.6817,1.7666,173.59322
"68",163.348,28707,100,0.02,1.2,11.8,13.24,0.68,7.02,555.2157
"69",32.234,17257,100,0,0,29.55,22.96,0.74,2.91,700.42822
"70",86.963,47950,12.5,0.8059,11.405,9.1974,17.9802,0.7281,0.53,154.66501
"71",49.4,36015,59,0.763,11.4106,9.6319,17.803,0.739,1.04,189.93916
"72",396.45,30911,90,0.411,6.2796,10.0759,13.6876,0.6094,2.2835,500.40799
"73",266.617,38798,56.325,0.5961,8.82940000000001,9.4233,14.2755,0.6999,2.175,367.85107
"74",382.762,19319,100,0.4791,3.95,14.76,11.3307,0.47,2.96,809.01556
"75",286.868,17719,100,0.37,2.48,7.41,4.17,0.61,2.99,686.99359
"76",623.534,16957,100,0.93,9.91,7.44,7.12,0.99,3.18,765.02649
"77",66.19,32646,20.1,0.5484,10.7665,8.5871,15.2191,0.6257,1.5641,121.21803
"78",13.678,15700,100,1.2223,14.6616,15.9019,12.14,0.891,13.05,576.96307
"79",65.47,30626,75,0.5664,8.2179,11.8878,15.76,0.7416,3.8741,142.87909
"80",118.285,42084,70,0.5686,9.61760000000001,8.7468,14.4983,0.6294,1.8911,350.55191
"81",17.37,62578,39.4,0.8291,12.8696,9.7052,19.2027,0.7226,2.2802,52.449409
"82",177.026,22687,100,0.2736,5.5955,12.0895,13.2201,0.7107,3.6758,428.12521
"83",174.428,39969,83,0.6306,9.62660000000001,9.4397,14.3453,0.6889,2.1097,138.24355
"84",33.4,29932,70,0.56,9.27,9.8,23.17,0.7,5.57,594.9317
"85",86.441,20828,48.3,0.5421,8.2276,12.0854,13.5581,0.7223,4.29959999999999,358.2995
"86",20.072,99421,17.6,0.5881,10.8653,9.2756,15.484,0.6191,1.2818,42.327137
"87",16.213,62373,9.75066666666667,0.8291,12.9308,9.7052,19.2027,0.7357,2.2291,25.088203
"88",118.173,28906,81.306,0.4815,7.9917,9.9121,13.5341,0.6107,2.0357,230.01372
"89",26.221,29974.65,95,0.5376,8.30870000000001,10.1491,15.6168,0.7288,2.6511,384.22431332
"90",51.795,30215,95,0.05,2.83,9.28,30.05,1.07,6.56,601.2337
"91",234.833,18648,97.6,0.595,1.71,24.27,8.57,0.68,4.51,679.28198
"92",8.812,54971,3.7,0.7939,11.1819,9.5916,18.9048,0.7384,2.1397,16.622654
"93",9.566,70678,7.02275,0.8291,12.9308,9.7052,19.2027,0.7357,2.247,11.881274
"94",7.353,29765,100,0.5826,9.21490000000001,9.3966,15.7142,0.6547,1.9262,370.69351
"95",68.45,25036,30,0.5499,7.8537,9.1748,13.8246,0.6605,2.6166,247.58975
"96",6.716,75910,1.9,0.8396,12.9419,9.6782,18.9807,0.7358,2.1397,54.852081
"97",124.564,19507,100,0.4256,8.22400000000001,12.2217,12.6803,0.7494,3.8531,1287.7975
"98",35.056,58285,6,0.6571,10.8308,9.889,16.0676,0.6904,1.5863,85.419205
"99",7.863,30076,100,0.5176,8.35280000000001,9.34,15.5874,0.6984,2.1202,556.64081
"100",696.596,26763,85.6,0.36,26.1,6.93850000000001,11.26,0.16,1.38,417.28952
"101",423.901,35472,75.7,0.6101,8.5813,9.4958,14.0518,0.6954,2.4442,238.01622
