"Religious.compatibility..Larson.et.al..2016..","Child.mortality.estimates..Gapminder..2015..","Child.mortality.1950.2017..IHME..2018..x","Inequality.in.life.expectancy..2015.2020.","Inequality.in.education..2017.","Infant.mortality.rate","International.Historical.Statistics..Deaths.per.1.000...Brian.Mitchell..2013..","Life.expectancy","Life.Expectancy..1950.2015...UN.Population.Division..2015..","Mean.BMI..male.","Mean.BMI..female.","Neonatal.Mortality.Rate..via.Childmortality.org..2015..","Number.of.child.deaths.1950.2017..IHME..2017.","Number.of.infant.deaths..IHME...2017.","Number.of.neonatal.deaths..IHME...2017.","Total.population..Gapminder..HYDE...UN."
13.7,21.6,19.01,13.9,13.8,1315.719531,NA,77.01,75.5,26.76872095,28.0662789,10.8,5,4109,2401,17888474
NA,24,20.39,11.6,36.9,1592.650397,6.195529916,71.99,70.8,27.93033859,31.69788414,12.8,44,34547,16529,104258327
NA,16.8,13.49,12.2,30.3,1083.908987,5.15845253,73.317,72.6,26.97990172,28.50102418,8.3,1,1166,608,6518500
NA,94.1,59.16,35,NA,3460.540601,NA,58.735,57.1,22.39304404,26.02097699,33.1,2,1316,697,1449891
NA,3,3.18,4.3,2.3,215.1727847,NA,78.745,76.5,27.10832438,26.04526707,1.5,0,30,17,1325188
8.1,59.2,60.58,24.9,43.5,4211.644212,NA,66.597,63.1,20.11043961,21.11970671,27.7,198,148833,89734,117876226
20.7,22.4,27.9,10.9,NA,1864.966294,4.767926846,67.444,69.7,26.80560987,29.0032383,9.6,0,340,219,902899
2.2,2.3,2.4,2.8,1.9,182.3905576,9.493801965,81.908,80.5,26.54581549,25.68118239,1.3,0,100,68,5548361
10.5,4.3,4.25,3.6,8.6,313.2303763,8.496422292,82.659,81.8,26.07234717,24.3122892,2.2,3,2297,1529,65426177
NA,52.2,40.51,23.1,23.5,3404.89869,NA,66.467,63.7,24.14419589,26.69545578,23.2,2,1368,901,2278829
NA,68.9,51.2,28.5,49.3,3450.537925,NA,62.05,59.8,23.55791801,24.65288872,29.9,3,2279,1512,2486937
NA,11.9,12.34,8.1,2.2,943.1186411,NA,73.767,74.6,27.68977139,27.87763074,7.2,1,467,318,3979773
8.8,3.7,3.88,3,2.7,325.4044188,NA,81.326,80.6,27.48449232,26.00994709,2.1,3,2346,1588,83900471
10.1,61.6,62.76,26.2,34.9,3779.929326,NA,64.074,61,22.59033672,25.38987538,28.3,44,32021,21363,31732128
19.4,4.1,4.92,3.5,13.1,352.2865839,9.600140959,82.239,80.6,27.65624943,26.9157422,2.9,0,318,214,10370747
NA,29.1,26.83,16,35,2194.79736,5.134811372,74.302,71.5,25.83059531,27.49113119,13.4,12,9219,4557,18249868
NA,93.7,103.06,31.2,48.3,6132.247871,NA,61.602,58,22.46822914,23.48420628,31.3,41,25401,13444,13497237
NA,92.5,80.62,38.4,41.9,5215.989147,NA,58.322,54.7,22.85539546,24.15697009,39.7,5,3390,2178,2015490
NA,39.4,28.64,19.5,10.7,2003.709588,6.637814579,69.906,66.3,25.18206707,27.95808006,22.8,0,306,225,790329
NA,69,63.54,28.6,38.3,4916.711501,NA,64.001,62.3,26.62422204,24.34822336,25.4,19,15258,8030,11541683
NA,20.4,15.92,18.1,22.7,1091.73737,5.6,75.27,72.8,26.00910489,27.85207042,11,3,2633,1725,10062994
NA,6.2,5.23,4.7,3.2,394.3886029,13.04478867,76.875,75,28.39520228,26.65430385,3.5,0,346,217,9634162
12,2,2.46,2.4,2.6,150.2604665,NA,82.993,82.3,27.16196688,25.5912036,0.9,0,6,4,343360
20.8,47.7,40.83,21.4,38.7,3622.58324,7.4,69.656,67.5,21.81452731,22.00366557,27.7,1040,876086,571527,1393409033
8.4,27.2,29.15,14.8,16.5,2249.603275,NA,71.716,68.6,22.58718339,23.90401041,13.5,109,90145,56952,276361788
7.7,15.5,15.91,9,4.9,1392.306919,NA,76.677,75.1,25.39401948,27.2634146,9.5,21,17961,12000,85028760
NA,32,25.65,17.3,27.2,1913.346863,NA,70.604,69.2,27.9517395,29.94273994,18.4,30,23339,15085,41179351
9.5,3.6,3.73,2.8,2.9,310.7764911,6.237350568,82.305,80.6,28.09450077,27.20344034,2.3,0,199,138,4982904
NA,4,3.85,3.3,7,285.1116599,5.162098361,82.972,82.1,27.82790048,27.12482237,2.1,1,510,338,8789776
18.3,3.4,3.5,2.9,10.5,265.355629,9.713207516,83.512,82.8,26.64890335,24.85762136,2.1,1,1243,875,60367471
NA,15.7,15.6,11,5.6,1665.110074,6.7,74.475,75.4,25.97758141,29.86594518,11.6,1,625,504,2973462
10.8,2.7,2.76,2.9,1.6,182.5704198,8.951731761,84.629,83.3,23.68088582,21.82460637,0.9,2,1720,966,126050796
NA,17.9,14.91,10.7,16.9,1573.533901,NA,74.526,73.8,28.50538669,30.08778993,10.6,4,3764,2656,10269022
NA,14.1,15.82,10.1,3.2,1142.521387,NA,73.597,69.1,26.48649063,26.66546632,7,5,4070,2466,18994958
NA,50.6,48.15,22.8,22.9,3504.208152,NA,66.699,60.6,22.22532695,24.58874859,22.2,60,46373,26742,54985702
NA,8.6,8.36,6.3,17.8,640.673225,NA,75.489,74.3,29.19359451,30.66093207,3.2,0,384,274,4328553
NA,21.3,22.07,12.1,5,1820.068974,NA,71.45,70.3,26.13858825,27.43290879,11.5,3,2754,2101,6628347
7.8,7.9,5.54,5.9,3.7,374.9379534,NA,75.292,73.9,27.19496331,26.45084333,5.2,0,76,48,1866934
9.5,8.3,7.81,6.7,6.2,582.5027634,NA,78.93,78.9,28.1243274,27.64767452,4.8,1,1030,635,6769151
NA,97.1,76.76,28.5,21.9,4508.359369,NA,54.331,49.5,22.81298191,27.1352051,32.7,3,2078,1106,2159067
NA,69.9,78.9,27.5,42.9,4654.678674,NA,64.104,60.3,23.17230055,25.19952427,24.1,10,6860,3503,5180208
NA,13.4,14.6,14.1,NA,685.4828238,NA,72.913,71.5,27.05258408,29.56632955,7.2,1,842,511,6958538
NA,NA,NA,NA,NA,NA,NA,82.494,NA,NA,NA,NA,NA,NA,NA,38254
NA,4,5.17,5.4,4.5,387.5722797,NA,75.933,73.1,27.21831369,26.05921691,2.5,0,114,65,2689862
NA,1.9,2.37,3.4,9.4,166.9540009,NA,82.25,81.3,27.24497208,25.75479558,0.9,0,11,7,634814
NA,49.6,78.11,21.3,35,5515.980977,NA,67.041,64.5,21.57781202,21.14453119,19.7,72,50976,25725,28427333
NA,65.4,70.85,30.3,28.4,4574.614403,NA,64.263,61,22.59813348,23.26532312,21.8,38,26610,15299,19647681
NA,8.2,7.79,5.9,15.6,573.4911005,NA,76.156,74.5,25.40068289,26.30422774,3.9,4,2978,2002,32776195
NA,8.6,8.47,5.7,40,627.7546001,NA,78.921,76.4,24.84316797,26.55675736,4.9,0,43,33,543620
NA,114.7,127.42,36.8,46.2,7457.332333,NA,59.306,57.2,22.99991795,23.18221551,37.8,104,61503,34654,20855724
NA,5.9,6.56,4,6.9,510.3950935,NA,82.53,80.3,27.9549695,26.59676335,4.4,0,22,17,442790
NA,84.7,49.27,32.6,40.8,3387.681805,NA,64.925,62.8,23.36943897,26.75406167,35.7,5,3897,2580,4775110
NA,13.5,14.74,8.9,13.2,1223.68286,7.128447902,74.991,74.1,24.67017349,26.06693249,8.4,0,151,112,1273428
