"Religious.compatibility..Larson.et.al..2016..","Child.mortality.estimates..Gapminder..2015..","Child.mortality.1950.2017..IHME..2018..x","Inequality.in.life.expectancy..2015.2020.","Inequality.in.education..2017.","Infant.mortality.rate","International.Historical.Statistics..Deaths.per.1.000...Brian.Mitchell..2013..","Life.expectancy","Life.Expectancy..1950.2015...UN.Population.Division..2015..","Mean.BMI..male.","Mean.BMI..female.","Neonatal.Mortality.Rate..via.Childmortality.org..2015..","Number.of.child.deaths.1950.2017..IHME..2017.","Number.of.infant.deaths..IHME...2017.","Number.of.neonatal.deaths..IHME...2017.","Total.population..Gapminder..HYDE...UN.","Population.by.country.and.region..historic.and.projections..Gapminder..HYDE...UN."
NA,21.3,31.56,12.4,15.6,2669.594504,NA,71.682,70.9,25.49760616,27.91742678,11.5,0,250,172,591798,613122
5.6,3,3.03,2.7,3.7,226.383117,9.648729394,82.797,81.9,26.86405077,25.45995973,1.6,0,269,176,10160159,13022532
NA,3.9,4.04,3.5,2.4,322.5397396,7.986043718,83.779,82.7,26.8336985,23.81875224,2.7,0,283,222,8715494,11041105
NA,12.9,18.76,13,NA,966.093174,NA,72.697,69.5,27.55826342,29.48096759,7,6,2549,1530,18275704,36103178
NA,44.8,52.39,20.1,6.5,3424.604178,NA,71.097,69.1,26.00734586,26.49672721,20.5,11,9273,5133,9749625,25328026
NA,48.4,65.16,24.9,27,4409.899208,NA,65.456,64,22.4032439,24.15816268,18.8,117,83483,46621,61498438,285651846
33.9,12.3,9.55,9.3,13.3,680.4701023,NA,77.15,74.1,24.00077018,25.11073257,6.7,6,4243,2808,69950844,46015553
NA,52.6,39.07,20.6,44.9,2632.33604,NA,69.495,67.7,21.35808968,21.37075683,22.3,1,968,551,1343875,2372970
NA,78.4,72.99,30.5,38.9,4157.182236,NA,61.042,59,22.58918749,24.64166822,26.7,14,8958,5239,8478242,26949191
NA,16.7,19.65,13,4.5,1161.49148,NA,70.907,72.6,30.72340166,34.00861159,6.9,0,25,16,106759,138261
NA,20.4,18.64,15.6,NA,1580.667616,7.3,73.507,70.2,26.77531848,28.88155719,13.2,0,278,200,1403374,968826
16.9,14,11.72,10.7,34.6,874.124594,NA,76.699,74.6,25.72641503,27.30753368,8.2,2,1492,1043,11935764,12972285
7.5,13.5,15.21,9.6,13.5,1223.451749,NA,77.691,74.8,27.27430057,28.94223386,7.1,17,13702,9035,85042736,86170462
NA,51.4,32.89,23.4,3.6,2121.412529,NA,68.191,65.4,26.68355896,26.80303559,22.6,3,2310,1501,6117933,8421349
NA,27.1,NA,NA,10.5,NA,NA,67.567,NA,30.23321051,31.87132991,17.6,NA,NA,NA,11925,20008
NA,59.5,66.57,32.5,27.9,4238.49771,NA,63.368,57.2,21.61129409,23.34475139,18.7,87,62319,35822,47123533,136784876
11.2,9,10.55,7.5,3.6,721.1484544,NA,72.065,70.7,27.08648953,26.40652804,5.5,4,3130,1923,43466822,24413452
NA,6.8,7.75,5.2,NA,983.2475599,NA,77.972,76.7,28.18800439,29.63816231,3.5,1,743,522,9991083,12909869
9.6,4.2,4.93,4,3.7,387.5656751,NA,81.321,80.4,27.47505756,27.15190484,2.4,4,3011,2107,68207114,78053263
10.5,6.5,7.37,5.6,5.5,568.4556511,NA,78.862,78.9,29.01322022,29.07070589,3.6,26,22093,14838,332915074,433853891
NA,10.1,10.31,9,7.4,784.2311615,9.620208207,77.911,77,27.52969676,27.55825768,5.1,0,371,238,3485152,3181955
NA,39.1,26.73,17,0.8,1786.308659,NA,71.725,68.2,26.48810362,27.6582837,20.4,15,12036,7585,33935765,42270842
NA,27.5,32.5,14.1,17.5,2260.374501,NA,70.474,71.5,25.71103043,26.96518981,11.6,0,187,117,314464,968068
NA,14.9,17.12,10.5,12.9,1322.125254,4.441129899,72.064,73.9,26.70960031,26.93984073,8.9,9,7541,5331,28704947,34240724
26,21.7,15.2,12.7,17.6,975.9281467,NA,75.4,75.6,21.97052794,21.9405938,11.4,19,14689,9812,98168829,97437286
NA,47.5,46.98,24.9,46.1,3651.551117,NA,66.125,63.5,23.72669657,24.19770906,22.1,45,36368,20698,30490639,53171320
NA,67.8,70.48,28.8,21.7,4204.166619,NA,63.886,58.8,21.44802712,23.83398161,21.4,37,25494,13524,18920657,81546198
NA,79.6,60.91,26.6,16.8,4156.238275,NA,61.49,54.8,22.30135343,25.43148733,23.5,25,18772,10558,15092171,30965421
13,3.4,3.26,3.3,1.6,212.3376553,NA,79.376,78.3,28.18887918,26.43610997,1.8,0,230,137,10724553,10274070
NA,34.7,19.48,19,NA,1388.69648,NA,67.883,72.8,28.33833847,31.53416098,18.8,0,29,18,116255,114734
