"","iso_code","continent","Entity","income_welfare","mean_mthly_income","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","mthly_income_flag","GDP.growth.from.previous.year..2020.Q2","GDP.per.capita.PPP.2011...WDI..2016.","Code","Gini.index","Income.classification..World.Bank.2017.","Mean.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Median.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Multidimensional.Poverty..headcount.ratio...Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.education.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.health.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.living.standards.to.overall.poverty..Alkire.and.Robles..2016..","National.poverty.lines..Jolliffe.and.Prydz..2016..","Cost.of.closing.the.poverty.gap.in.int...2011..PovcalNet..World.Bank...2017..","Poverty.rate...50..of.median...LIS.Key.Figures..2018.","Total.wealth","Produced.capital..including.urban.land.","Natural.capital..timber..non.timber..protected.areas..land..sub.soil.assets.","Natural.capital..renewable..excluding.sub.soil.assets.","Forest..timber","Forest..non.timber","Protected.areas","Land..crop..pasture.","Cropland","Pastureland","Sub.soil.assets..fossil.energy.resources..metals.and.minerals.","Fossil.energy.resources..oil..natural.gas..coal.","Oil","Natural.gas","Coal","Metals.and.minerals","Human.capital","Human.capital..total.male","Human.capital..total.female","Net.foreign.assets","Adjusted.net.national.income","Adjusted.net.saving","Gross.domestic.product","Gross.national.income"
"12","AUT","Europe","Austria","i",1681.71,"502.83129","822.35619","1020.79797","1199.05923","1385.72904","1582.48911","1791.02115","2058.41304","2450.25147","4005.83322","662.59374","1109.9286","1484.109075","1924.717095","3228.042345",0,-13.3,43908.12714,"AUT",30.84879,4,1634.26,1423.73,NA,NA,NA,NA,27.02,NA,8.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","AZE","Asia","Azerbaijan","c",315.14001,"152.8429","186.87802","208.62268","229.73706","250.22116","274.48694","306.94636","350.43568","429.22068","762.00852","169.86046","219.17987","262.35405","328.69102","595.6146",0,NA,16710.29664,"AZE",26.55491,3,312.41,256.42,5.3,24.4,49.4,26.2,5.19,8.492601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","BDI","Africa","Burundi","c",54.34,"14.99784","22.2794","27.38736","32.38664","37.7663","43.52634","50.97092","62.27364","83.19454","168.56268","18.63862","29.887","40.64632","56.62228","125.87861",0,NA,734.4845955,"BDI",38.62482,1,47.74,36.41,80.8,23.1,28.9,48,1.54,2221.84917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","BEL","Europe","Belgium","i",1490.91,"512.87304","772.29138","966.10968","1125.63705","1277.70987","1419.34632","1587.81915","1802.51019","2133.49221","3309.8202","642.58221","1045.873365","1348.528095","1695.16467","2721.656205",0,-14.5,40823.39248,"BEL",27.21441,4,1457.53,1309.03,NA,NA,NA,NA,26.85,NA,8.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","BEN","Africa","Benin","c",82.610001,"8.261","18.50464","35.27447","44.36157","53.36606","63.52709","77.07513","95.08411","119.86711","310.77882","13.38282","39.81802","58.446575","86.07962","215.322965",0,NA,1936.825582,"BEN",47.75591,1,82.42,54.75,62.2,41.7,13.4,45,1.44,1233.853008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","BES","North America","Bonaire Sint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","BFA","Africa","Burkina Faso","c",83.839996,"30.1824","39.48864","45.94432","52.06464","58.85568","67.32352","78.30656","94.7392","123.41248","248.1664","34.83552","49.00448","63.0896","86.52288","185.78944",0,NA,1545.077556,"BFA",35.30123,1,83.83,62.61,84,36.2,27.9,35.9,1.64,1447.456556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","BGD","Asia","Bangladesh","c",117.31,"43.4047","57.95114","68.0398","77.89384","88.09981","100.18274","115.43304","135.96229","171.2726","314.74273","50.67792","72.96682","94.141275","125.697665","243.007665",0,NA,2979.16727,"BGD",32.38527,2,109.03,86.64,41.3,21.1,32.5,46.4,NA,2016.32351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","BGR","Europe","Bulgaria","i",569.5,"112.1915","230.078","304.113","366.758","427.6945","493.7565","573.4865","685.1085","863.362","1638.4515","171.13475","335.4355","460.7255","629.2975","1250.90675",0,-8.2,16363.19176,"BGR",41.2841,3,478.49,396.66,NA,NA,NA,NA,7.95,39.325611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","BHR","Asia","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43408.23705,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
