"","iso_code","continent","Entity","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million","income_welfare","mean_mthly_income","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","mthly_income_flag","GDP.growth.from.previous.year..2020.Q2","GDP.per.capita.PPP.2011...WDI..2016.","Code","Gini.index","Income.classification..World.Bank.2017.","Mean.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Median.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Multidimensional.Poverty..headcount.ratio...Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.education.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.health.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.living.standards.to.overall.poverty..Alkire.and.Robles..2016..","National.poverty.lines..Jolliffe.and.Prydz..2016..","Cost.of.closing.the.poverty.gap.in.int...2011..PovcalNet..World.Bank...2017..","Poverty.rate...50..of.median...LIS.Key.Figures..2018.","Total.wealth","Produced.capital..including.urban.land.","Natural.capital..timber..non.timber..protected.areas..land..sub.soil.assets.","Natural.capital..renewable..excluding.sub.soil.assets.","Forest..timber","Forest..non.timber","Protected.areas","Land..crop..pasture.","Cropland","Pastureland","Sub.soil.assets..fossil.energy.resources..metals.and.minerals.","Fossil.energy.resources..oil..natural.gas..coal.","Oil","Natural.gas","Coal","Metals.and.minerals","Human.capital","Human.capital..total.male","Human.capital..total.female","Net.foreign.assets","Adjusted.net.national.income","Adjusted.net.saving","Gross.domestic.product","Gross.national.income"
"26","BMU","North America","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",101341,48464,47365,5512,NA,1224,163.21,78.05,76.28,8.88,19713,187,0.301,NA,62092,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50669.31477,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","BOL","South America","Bolivia",525187,926,902.429,19030,8,8.571,44383.49,78.256,76.264,1608.223,0.676,0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11832936,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,0.718,NA,NA,NA,NA,"i",406.41,"50.39484","116.23326","168.66015","219.4614","273.51393","335.28825","412.50615","516.1407","684.39444","1287.91329","83.31405","194.060775","304.40109","464.323425","986.153865",0,NA,6324.990141,"BOL",41.64937,2,416.29,285.15,20.5,19.8,27.5,52.6,7.63,274.0712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","BRA","South America","Brazil",21965684,4918,9808.429,611478,132,246,102646.529,22.982,45.835,2857.461,0.617,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,0.765,NA,NA,NA,NA,"i",602.28998,"58.42213","131.90151","190.92593","254.76867","324.03202","410.15949","513.75337","659.50755","959.44797","2520.58365","95.16182","222.8473","367.095755","586.63046","1740.01581",0,NA,15109.82555,"BRA",53.42883,3,563.57,358.68,5.3,10.9,68.5,20.6,3.05,3923.824387,19.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","BRB","North America","Barbados",22639,323,280.429,199,5,2.286,78687.419,1122.666,974.699,691.674,17.379,7.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287708,664.463,39.8,14.952,9.473,16978.068,NA,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15319.51155,NA,NA,4,NA,NA,0.9,0,97.4,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","BRN","Asia","Brunei",14291,76,61,96,0,0.429,32366.85,172.128,138.155,217.425,0,0.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441532,81.347,32.4,4.591,2.382,71809.251,NA,201.285,12.79,2,30.9,NA,2.7,75.86,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67911.8788,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","BTN","Asia","Bhutan",2625,0,0.286,3,0,0,3365.816,0,0.366,3.847,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779900,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NA,NA,79.807,1.7,71.78,0.654,NA,NA,NA,NA,"c",267.04999,"73.1717","105.2177","130.8545","157.29245","187.73615","224.8561","271.58985","334.61365","439.29725","745.87065","89.1947","144.073475","206.296125","303.10175","592.58395",0,NA,7456.315988,"BTN",37.44141,2,245.77,183.13,27.2,40.4,21.2,38.4,2.97,1.1962875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BWA","Africa","Botswana",194129,0,97.143,2416,0,1,80980.211,0,40.523,1007.826,0,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2397240,4.044,25.8,3.941,2.242,15807.374,NA,237.372,4.81,5.7,34.4,NA,1.8,69.59,0.735,NA,NA,NA,NA,"c",232.69,"35.60157","56.31098","72.1339","90.7491","113.08734","144.96587","189.87504","263.17239","396.03838","965.19812","45.956275","81.4415","129.026605","226.523715","680.61825",0,NA,15359.06317,"BWA",53.32503,3,290.39,136.05,NA,NA,NA,NA,1.97,57.903089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","CAF","Africa","Central African Republic",11666,0,12.429,101,0,0.143,2371.144,0,2.526,20.529,0,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4919987,7.479,18.3,3.655,2.251,661.24,NA,435.727,6.1,NA,NA,16.603,1,53.28,0.397,NA,NA,NA,NA,"c",73.720001,"8.92012","15.62864","22.26344","29.26684","36.93372","45.04292","56.3958","74.16232","107.85236","340.73384","12.27438","25.76514","40.98832","65.27906","224.2931",0,NA,566.846007,"CAF",56.23661,1,73.72,40.64,77.6,24.1,24.1,51.8,1.72,1545.000105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","CAN","North America","Canada",1762638,1816,2419.429,29458,23,26.429,46302.46,47.704,63.556,773.828,0.604,0.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.929,NA,NA,NA,NA,"i",1745.0699,"413.58159","738.16461","977.2392","1176.17718","1375.11516","1594.99398","1863.73476","2202.27834","2703.11343","4408.04682","575.8731","1076.70819","1485.05457","2033.00655","3555.580125",0,-13.494697,42777.89898,"CAN",33.30821,4,1700.77,1426.86,NA,NA,NA,NA,23.48,NA,13.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","CHE","Europe","Switzerland",923047,4297,3709.857,11353,6,8.286,105908.741,493.03,425.662,1302.623,0.688,0.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8715494,214.243,43.1,18.436,12.644,57410.166,NA,99.739,5.59,22.6,28.9,NA,4.53,83.78,0.955,NA,NA,NA,NA,"i",2020.86,"638.59176","943.74162","1161.9945","1362.05964","1584.35424","1816.75314","2101.6944","2469.49092","3033.31086","5096.60892","791.16669","1262.02707","1700.55369","2285.59266","4064.95989",0,NA,55260.31832,"CHE",33.14105,4,2013.28,1681.71,NA,NA,NA,NA,31.51,NA,8.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","CHL","South America","Chile",1730456,1689,2466.857,38005,5,17.429,90069.925,87.912,128.399,1978.153,0.26,0.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,51132,24392441,1269.622,2.661,73073,3.803,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,NA,NA,NA,NA,"i",727.16998,"139.61664","235.60308","301.77555","367.22085","438.48351","522.83523","631.18356","788.25228","1093.66368","2753.79279","187.60986","334.4982","480.65937","709.71792","1923.728235",0,-13.682773,21979.82132,"CHL",44.44094,4,720.4,430.86,NA,NA,NA,NA,7.17,54.862785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","CHN","Asia","China",98445,31,61.286,4636,0,0,68.165,0.021,0.042,3.21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1444216102,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,76.91,0.761,NA,NA,NA,NA,"C",332.12,"88.0118","126.2056","159.74972","193.95808","231.81976","276.32384","331.78788","407.51124","530.06352","976.10068","107.1087","176.8539","254.0718","369.64956","753.0821",0,3.2,12599.18183,NA,NA,3,287.7,NA,5.2,31,34.7,34.4,1.78,3294.700605,25.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","CIV","Africa","Cote d'Ivoire",61523,12,11.571,702,0,0.286,2274.113,0.444,0.428,25.948,0,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27053629,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,NA,NA,19.351,NA,57.78,0.538,NA,NA,NA,NA,"c",116.93,"24.67223","42.0948","54.02166","65.71466","77.99231","93.19321","112.60359","140.316","185.33405","373.35749","33.383515","59.86816","85.59276","126.459795","279.34577",0,NA,3108.425908,"CIV",41.4748,2,119.31,85.09,58.7,34.5,29.6,35.9,2.41,1331.420136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","CMR","Africa","Cameroon",106190,0,263.143,1770,0,5.571,3900.565,0,9.666,65.016,0,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27224262,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,NA,NA,2.735,1.3,59.29,0.563,NA,NA,NA,NA,"c",161.66,"27.80552","45.10314","59.65254","77.27348","98.28928","123.02326","154.06198","195.28528","269.64888","566.45664","36.45433","68.46301","110.65627","174.67363","418.05276",0,NA,2835.566677,"CMR",46.64087,2,160.24,108.68,46,23.6,30.7,45.7,2.35,1303.062921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","COD","Africa","Democratic Republic of Congo",57803,0,23.571,1099,0,0,625.723,0,0.255,11.897,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92377986,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,NA,NA,4.472,NA,60.68,0.48,NA,NA,NA,NA,"c",46.470001,"9.71223","16.03215","20.77209","25.60497","30.6702","36.66483","44.65767","55.81047","76.07139","148.65753","12.87219","23.18853","33.667515","50.23407","112.36446",0,NA,711.5201297,"COD",42.09971,1,45.83,33.02,75.1,15,31.6,53.3,1.4,19144.25821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","COG","Africa","Congo",18539,149,55.143,331,12,3.143,3277.169,26.339,9.748,58.511,2.121,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5657017,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,NA,64.57,0.574,NA,NA,NA,NA,"c",117.42,"18.31752","30.99888","41.91894","54.6003","69.2778","85.36434","105.79542","136.91172","185.64102","445.37406","24.6582","48.25962","77.32107","121.35357","315.50754",0,NA,5988.158823,"COG",48.93867,2,117.41,76.21,39.7,9.9,33.4,56.7,2.75,438.7074065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","COK","Oceania","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",24326,12600,11726,NA,NA,40,138.44,71.7,66.73,NA,2276,14,0.08,NA,17572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","COL","South America","Colombia",5036287,2021,2447,127865,32,36.429,98238.65,39.422,47.732,2494.156,0.624,0.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51265841,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,NA,NA,NA,NA,"i",431.25,"60.375","115.575","156.54375","199.2375","247.5375","304.89375","379.06875","487.3125","680.94375","1681.0125","87.975","177.890625","276.215625","433.190625","1180.978125",0,-15.7,12743.01602,"COL",51.33497,3,450.73,264.68,5.4,31.8,33.5,34.7,5.42,814.191192,19.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","COM","Africa","Comoros",4400,4,9.714,149,0,0.286,4952.412,4.502,10.934,167.707,0,0.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,888456,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,NA,NA,NA,NA,"c",180.10001,"28.9961","51.5086","71.3196","92.2112","112.5625","137.9566","176.8582","222.6036","300.5869","606.2166","40.25235","81.7654","125.25955","199.7309","453.40175",0,NA,1363.563075,"COM",45.33459,1,246.86,132.18,36,28.7,25,46.3,3.89,20.18085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","CPV","Africa","Cape Verde",38302,3,5.429,350,0,0,68165.033,5.339,9.661,622.886,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561901,135.58,25.7,4.46,3.437,6222.554,NA,182.219,2.42,2.1,16.5,NA,2.1,72.98,0.665,NA,NA,NA,NA,"c",243.34,"47.4513","73.48868","94.17258","118.50658","143.81394","173.50142","211.94914","274.00084","392.50742","903.76476","60.46999","106.33958","158.65768","242.97499","648.13609",0,NA,6219.777782,"CPV",42.38109,2,243.33,157.11,NA,NA,NA,NA,NA,5.446749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","CRI","North America","Costa Rica",564901,239,230.143,7231,8,7.857,109923.171,46.507,44.783,1407.069,1.557,1.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5139053,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,NA,NA,NA,NA,"i",731.75,"116.34825","205.62175","272.94275","341.72725","417.82925","515.88375","646.13525","851.757","1244.70675","2704.548","160.985","307.335","466.8565","748.946125","1974.627375",0,NA,14232.17543,"CRI",48.18792,3,676.06,428.34,NA,NA,NA,NA,7.04,19.59831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CUB","North America","Cuba",959307,243,341.143,8284,1,2,84763.169,21.471,30.143,731.964,0.088,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11317498,110.408,43.1,14.738,9.719,NA,NA,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19950.28063,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","CUW","North America","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",195709,101959,93750,NA,NA,181,118.76,61.87,56.89,NA,1098,73,0.044,NA,164796,362.644,41.7,16.367,10.068,NA,NA,NA,11.62,NA,NA,NA,NA,78.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","CYM","North America","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",119435,57357,55157,NA,NA,418,179.61,86.25,82.95,NA,6286,67,0.101,NA,66498,256.496,NA,NA,NA,49903.029,NA,NA,13.22,NA,NA,NA,NA,83.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49902.14655,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","CYP","Europe","Cyprus",128038,354,258.143,588,0,1.571,142898.756,395.087,288.104,656.246,0,1.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896005,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,80.98,0.887,NA,NA,NA,NA,"i",1319.55,"422.256","614.9103","741.5871","860.3466","990.98205","1144.04985","1316.9109","1546.5126","1939.7385","3619.52565","518.58315","800.96685","1067.51595","1431.71175","2779.632075",0,-11.9,29673.18385,"CYP",32.73986,4,835.13,659.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","CZE","Europe","Czechia",1907629,11554,11312.714,31636,95,66.143,177874.919,1077.341,1054.842,2949.867,8.858,6.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10724553,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CZE",24.99034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","DEU","Europe","Germany",5144827,53627,41052,98278,292,187.143,61320.597,639.174,489.294,1171.364,3.48,2.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83900471,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,NA,NA,NA,NA,"i",1637.79,"502.80153","782.86362","971.20947","1136.62626","1302.04305","1482.19995","1708.21497","1996.46601","2438.66931","4058.44362","642.832575","1053.917865","1392.1215","1852.34049","3248.556465",0,-11.7,43602.35925,"DEU",31.87067,4,1605.69,1376.05,NA,NA,NA,NA,26.39,NA,9.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","DJI","Africa","Djibouti",13497,1,0.571,186,0,0,13467.412,0.998,0.57,185.592,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002197,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,NA,1.4,67.11,0.524,NA,NA,NA,NA,"c",154.5,"29.973","53.3025","72.615","88.374","106.296","126.2265","150.792","182.001","236.076","499.1895","41.63775","80.4945","116.26125","166.3965","367.63275",0,NA,3120.044328,"DJI",41.58799,2,147.67,106.7,29.3,38.3,24.6,37.1,NA,44.790391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","DMA","North America","Dominica",5441,105,53,35,0,0.286,75389.348,1454.858,734.357,484.953,0,3.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72172,98.567,NA,NA,NA,9673.367,NA,227.376,11.62,NA,NA,NA,3.8,75,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10377.21429,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
