"","Entity","Total confirmed deaths due to COVID-19 per million people","Religious compatibility (Larson et al (2016))","Child mortality estimates (Gapminder (2015))","Child mortality 1950-2017 (IHME, 2018).x","Child mortality 1950-2017 (IHME, 2018).y","Inequality in life expectancy (2015-2020)","Inequality in education (2017)","Infant mortality rate","International Historical Statistics (Deaths per 1,000) (Brian Mitchell (2013))","Life expectancy","Population.x","Life Expectancy (1950-2015) (UN Population Division (2015))","Male life expectancy at birth (HMD (2018) and others)","Male life expectancy at 15 (HMD (2018) and others)","Male life expectancy at 45 (HMD (2018) and others)","Female life expectancy at birth (HMD (2018) and others)","Female life expectancy at 15 (HMD (2018) and others)","Female life expectancy at 45 (HMD (2018) and others)","Female minus male life expectancy at birth (HMD (2018) and others)","Female minus male life expectancy at 15 (HMD (2018) and others)","Female minus male life expectancy at 45 (HMD (2018) and others)","Female-to-male life expectancy ratio at birth (HMD (2018) and others)","Female-to-male life expectancy ratio at 15 (HMD (2018) and others)","Female-to-male life expectancy ratio at 45 (HMD (2018) and others)","Mean BMI (male)","Mean BMI (female)","Neonatal Mortality Rate (via Childmortality.org (2015))","Number of child deaths 1950-2017 (IHME, 2017)","Number of infant deaths (IHME - 2017)","Number of neonatal deaths (IHME - 2017)","Total population (Gapminder, HYDE & UN)","Population by country and region, historic and projections (Gapminder, HYDE & UN)","Share of world population"
"88","Kiribati",NA,NA,55.9,45.25,45.25,24.5,21.4,2960.079696,NA,68.369,118000,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.16996617,31.3037358,23.7,0,101,57,121388,239471,0
"89","Kuwait",177.026,NA,8.6,8.36,8.36,6.3,17.8,640.673225,NA,75.489,4207000,74.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.19359451,30.66093207,3.2,0,384,274,4328553,6188983,5e-04
"90","Kyrgyzstan",174.428,NA,21.3,22.07,22.07,12.1,5,1820.068974,NA,71.45,6416000,70.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.13858825,27.43290879,11.5,3,2754,2101,6628347,10984938,8e-04
"91","Laos",NA,NA,66.7,63.44,63.44,23.1,34.1,5244.643207,NA,67.923,7169000,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.79560541,23.20833965,30.1,10,8803,4599,7379358,8423978,9e-04
"92","Latvia",33.4,7.8,7.9,5.54,5.54,5.9,3.7,374.9379534,NA,75.292,1907000,73.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.19496331,26.45084333,5.2,0,76,48,1866934,1114401,2e-04
"93","Lebanon",86.441,9.5,8.3,7.81,7.81,6.7,6.2,582.5027634,NA,78.93,6856000,78.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.1243274,27.64767452,4.8,1,1030,635,6769151,5707209,9e-04
"94","Lesotho",20.072,NA,97.1,76.76,76.76,28.5,21.9,4508.359369,NA,54.331,2125000,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.81298191,27.1352051,32.7,3,2078,1106,2159067,2695438,3e-04
"95","Liberia",16.213,NA,69.9,78.9,78.9,27.5,42.9,4654.678674,NA,64.104,4937000,60.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.17230055,25.19952427,24.1,10,6860,3503,5180208,15525036,7e-04
"96","Libya",118.173,NA,13.4,14.6,14.6,14.1,NA,685.4828238,NA,72.913,6777000,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.05258408,29.56632955,7.2,1,842,511,6958538,8011540,9e-04
"97","Liechtenstein",26.221,NA,NA,NA,NA,NA,NA,NA,NA,82.494,38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38254,45212,0
"98","Lithuania",51.795,NA,4,5.17,5.17,5.4,4.5,387.5722797,NA,75.933,2760000,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.21831369,26.05921691,2.5,0,114,65,2689862,1524086,3e-04
"99","Luxembourg",234.833,NA,1.9,2.37,2.37,3.4,9.4,166.9540009,NA,82.25,616000,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.24497208,25.75479558,0.9,0,11,7,634814,985168,1e-04
"100","Madagascar",8.812,NA,49.6,78.11,78.11,21.3,35,5515.980977,NA,67.041,26969000,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.57781202,21.14453119,19.7,72,50976,25725,28427333,99957340,0.0036
"101","Malawi",9.566,NA,65.4,70.85,70.85,30.3,28.4,4574.614403,NA,64.263,18629000,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.59813348,23.26532312,21.8,38,26610,15299,19647681,66559386,0.0025
"102","Malaysia",7.353,NA,8.2,7.79,7.79,5.9,15.6,573.4911005,NA,76.156,31950000,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.40068289,26.30422774,3.9,4,2978,2002,32776195,40078167,0.0042
"103","Maldives",68.45,NA,8.6,8.47,8.47,5.7,40,627.7546001,NA,78.921,531000,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.84316797,26.55675736,4.9,0,43,33,543620,490058,1e-04
"104","Mali",6.716,NA,114.7,127.42,127.42,36.8,46.2,7457.332333,NA,59.306,19658000,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.99991795,23.18221551,37.8,104,61503,34654,20855724,80382697,0.0026
"105","Malta",124.564,NA,5.9,6.56,6.56,4,6.9,510.3950935,NA,82.53,440000,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9549695,26.59676335,4.4,0,22,17,442790,357732,1e-04
"106","Marshall Islands",NA,NA,36,24.75,24.75,NA,NA,1727.648439,NA,73.696,59000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.07705261,30.66769672,16.7,0,22,14,59618,63211,0
"107","Mauritania",35.056,NA,84.7,49.27,49.27,32.6,40.8,3387.681805,NA,64.925,4526000,62.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.36943897,26.75406167,35.7,5,3897,2580,4775110,17064607,6e-04
"108","Mauritius",7.863,NA,13.5,14.74,14.74,8.9,13.2,1223.68286,7.128447902,74.991,1270000,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.67017349,26.06693249,8.4,0,151,112,1273428,827303,2e-04
"109","Mexico",696.596,26.4,13.2,17.38,17.38,12.3,17.1,1090.74491,5.239538336,75.054,127576000,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.63516419,28.5927059,7,33,26935,14311,130262220,141509942,0.0165
"110","Moldova",423.901,NA,15.8,16.36,16.36,9.6,7.3,1415.151935,NA,71.901,4043000,71.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.78111685,27.58411562,11.9,1,509,420,4024025,2011568,5e-04
"111","Monaco",25.482,NA,3.5,NA,NA,NA,NA,NA,NA,86.751,39000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,39520,64364,0
"112","Mongolia",NA,46.2,22.4,29.35,29.35,13.4,11.9,2250.578859,NA,69.87,3225000,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.05091403,26.76993285,11.1,2,1719,1119,3329282,5387208,4e-04
"113","Montenegro",437.855,NA,4.7,4.26,4.26,4.4,7.4,322.9366836,NA,76.884,628000,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.17491841,26.29841226,3.1,0,23,17,628051,453656,1e-04
"114","Morocco",93.334,5.4,27.6,21.93,21.93,14,NA,1974.792896,NA,76.68,36472000,73.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5612347,26.69405022,17.6,14,11758,8099,37344787,44707864,0.0047
"115","Mozambique",2.848,NA,80.6,79.13,79.13,35.6,33.8,5656.85676,NA,60.854,30366000,54.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.06723557,23.49925099,27.1,73,53899,25060,32163045,123646947,0.0041
"116","Myanmar",21.081,NA,50,48.97,48.97,24,26.9,3744.050998,NA,67.134,54045000,65.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.31810837,23.16920511,26.4,39,32114,18485,54806014,55298929,0.007
"117","Namibia",52.343,NA,46.7,43.6,43.6,20.2,25,2983.073149,NA,63.708,2495000,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.05884274,25.54331027,15.9,2,1737,964,2587344,5373589,3e-04
"118","Nauru",NA,NA,35.4,NA,NA,NA,NA,NA,NA,59.962,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.28321941,32.94599814,22.7,NA,NA,NA,10873,5794,0
"119","Nepal",30.065,NA,35.8,32.46,32.46,16.6,40.9,2634.820986,NA,70.778,28609000,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.62258358,22.54971901,22.2,19,16232,11568,29674920,23708193,0.0038
"120","Netherlands",416.227,16.4,3.8,4.27,4.27,3,5.3,331.5925856,8.188873369,82.283,17097000,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1427578,25.25583137,2.4,1,571,427,17173094,15759617,0.0022
"121","New Zealand",5.184,NA,5.7,4.96,4.96,4.3,1.7,385.6312521,6.711154363,82.288,4783000,81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.29108535,28.1097167,3.1,0,229,148,4860642,6008350,6e-04
"122","Nicaragua",23.549,NA,22.1,17.19,17.19,12.9,25.7,1309.024948,NA,74.485,6546000,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.67507287,28.13943727,9.8,2,1783,1173,6702379,8124405,9e-04
"123","Niger",2.85,NA,95.5,112,112,34.9,35,4907.39445,NA,62.42,23311000,60.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.45848169,22.38324661,26.8,97,46965,22565,25130810,164947337,0.0032
"124","Nigeria",5.506,9.7,108.8,109.47,109.47,37.4,38.1,6546.835153,NA,54.687,200964000,52.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.64855815,24.03240199,34.3,789,483195,268744,211400704,732941596,0.0268
"125","North Korea",NA,NA,24.9,24.92,24.92,11.6,NA,2109.195655,NA,72.274,25666000,69.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.35311105,24.08519001,13.5,7,5373,2821,25887045,22792833,0.0033
"126","North Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2082661,1249361,3e-04
"127","Norway",51.649,NA,2.5,2.87,2.87,2.7,6.1,213.1982104,8.487801406,82.404,5379000,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.43953645,26.26415039,1.5,0,128,88,5465629,7952927,7e-04
"128","Oman",235.576,NA,11.6,11.28,11.28,7.1,NA,929.9181875,NA,77.861,4975000,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.52521415,26.45759051,5.2,1,751,501,5223376,7267893,7e-04
"129","Pakistan",30.599,8.5,81.1,58.47,58.47,31,46.2,5066.508545,NA,67.273,216564992,65.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.41747955,24.80713807,45.5,339,286091,209942,225199929,403102827,0.0286
"130","Palau",NA,NA,16.4,NA,NA,NA,1.9,NA,NA,73.701,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.63516593,29.71899666,9,NA,NA,NA,18174,14251,0
"131","Panama",614.17,22.6,17,18.62,18.62,11.5,12.5,1356.533959,5.1,78.506,4246000,77.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.33225151,27.84507405,9.6,1,949,545,4381583,6439999,6e-04
"132","Papua New Guinea",0.782,18.5,57.3,57.46,57.46,25.3,11.5,3401.46013,NA,64.501,8776000,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.39883144,26.00865594,24.5,14,9985,5619,9119005,19782704,0.0012
"133","Paraguay",186.049,NA,20.5,15.52,15.52,18,16.7,1099.695421,NA,74.254,7045000,72.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.707868,27.13007968,10.9,2,1600,664,7219641,8733633,9e-04
"134","Peru",1038.977,20.5,16.9,17.16,17.16,13.2,15.3,1221.789271,NA,76.736,32510000,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3662965,27.27829945,8.2,12,9203,5116,33359415,39158180,0.0042
"135","Philippines",64.363,13.9,28,29.4,29.4,14.4,11.6,2014.11833,4.997056098,71.231,108117000,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.89963784,23.60315367,12.6,66,49489,29690,111046910,146327441,0.0141
"136","Poland",121.94,10.6,5.2,4.81,4.81,4.7,4.7,366.3242414,9.912034939,78.73,37888000,77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.63955019,26.15003733,3.1,2,1323,948,37797000,23032569,0.0048
"137","Portugal",232.526,5.6,3.6,3.94,3.94,2.9,16.3,272.3945502,9.952576517,82.049,10226000,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.27238812,25.30196049,2,0,231,153,10167923,6984955,0.0013
"138","Qatar",79.832,NA,7.7,7.95,7.95,5.9,11.4,543.0833892,NA,80.227,2832000,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.93386095,30.37723605,3.8,0,167,105,2930524,4162408,4e-04
"139","Romania",341.725,11.9,11.1,9.63,9.63,6.8,6.3,707.6400662,12.11507547,76.054,19365000,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3277675,27.02751136,6.3,2,1294,739,19127772,11877961,0.0024
"140","Russia",182.198,8.8,9.6,8.36,8.36,8,2.2,559.0535331,14.19155127,72.584,145872000,69.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.98863335,26.69187846,5,12,9572,6461,145912022,126142651,0.0185
"141","Rwanda",2.702,NA,42,50.68,50.68,23.8,29.3,3419.415576,NA,69.024,12627000,63.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.28077014,22.75714568,18.7,19,13751,7656,13276517,33412642,0.0017
"142","Saint Kitts and Nevis",NA,NA,10.5,NA,NA,NA,NA,NA,NA,76.226,53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.37610431,30.89159317,6.5,NA,NA,NA,53546,43395,0
"143","Saint Lucia",NA,NA,14.3,15.08,15.08,9,12.6,1314.396246,NA,76.203,183000,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.81370474,30.59957482,9.3,0,28,22,184401,122091,0
"144","Saint Vincent and the Grenadines",NA,NA,18.3,18.93,18.93,11.9,NA,1576.243794,NA,72.534,111000,72.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.44665194,28.42279274,11.5,0,24,18,111269,74618,0
"145","Samoa",NA,NA,17.5,15.71,15.71,11.4,4.9,901.0197491,NA,73.321,197000,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.62990811,34.33982466,9.5,0,52,33,200144,310106,0
"146","San Marino",1237.551,NA,2.9,NA,NA,NA,NA,NA,NA,84.972,34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,34010,29693,0
"147","Sao Tome and Principe",68.443,NA,47.3,34.06,34.06,25.9,18.3,2539.717063,NA,70.385,215000,66.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9792431,25.76122035,17.1,0,123,70,223364,708097,0
"148","Saudi Arabia",153.071,2.2,14.5,8.23,8.23,8.9,16.2,735.4565519,NA,75.133,34269000,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.13973836,29.50637747,7.9,4,3670,2419,35340680,42231012,0.0045
"149","Senegal",19.231,NA,47.2,53.14,53.14,21.1,46.5,3397.166798,NA,67.941,16296000,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.90378795,24.13324951,20.8,23,16159,9798,17196308,63515357,0.0022
"150","Serbia",117.274,13.6,6.7,5.61,5.61,7.1,8.1,437.1464594,21.8,76.001,8772000,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.78923098,25.73872813,4.2,0,366,259,8697547,4217425,0.0011
"151","Seychelles",NA,NA,13.6,13.48,13.48,7.7,NA,1067.903983,NA,73.402,98000,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.68074012,28.23789445,8.6,0,16,10,98910,88327,0
"152","Sierra Leone",9.277,NA,120.4,117.82,117.82,39.8,47.3,7942.533669,NA,54.696,7813000,50.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9114498,23.58342185,34.9,30,20114,9056,8141343,16675197,0.001
"153","Singapore",4.786,NA,2.7,2.12,2.12,2.6,8.2,129.2178014,3.428703184,83.62,5804000,82.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4019799,23.14285847,1,0,80,46,5896684,5733477,7e-04
"154","Slovakia",32.237,NA,6.7,6.52,6.52,5.2,1.4,477.7632175,NA,77.542,5457000,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.54900625,25.72590086,4.2,0,255,153,5460726,3829211,7e-04
"155","Slovenia",92.355,19.4,2.7,2.32,2.32,3,2.2,166.0980378,NA,81.324,2079000,80.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.78385887,26.73878467,1.4,0,33,26,2078723,1676264,3e-04
"156","Solomon Islands",NA,NA,28.1,28.83,28.83,15.9,NA,1967.25607,NA,72.996,670000,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.81026423,27.07650928,12.2,1,388,247,703995,2409767,1e-04
"157","Somalia",6.544,NA,136.8,110.4,110.4,38.9,NA,5708.750822,NA,57.397,15443000,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.54632092,23.96891503,39.7,56,36737,17095,16359500,75716429,0.0021
"158","South Africa",321.251,12.1,42.1,35.87,35.87,20.3,14.3,2400.860333,NA,64.131,58558000,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.10522536,29.59192125,11,33,25773,12661,60041996,79190832,0.0076
"159","South Korea",8.992,17.5,3.5,3.54,3.54,NA,NA,269.2028526,NA,83.033,51225000,81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.465566,23.1632351,1.6,1,1146,637,51305184,29541953,0.0065
"160","South Sudan",5.003,NA,92.6,111.26,111.26,37,39.6,8361.238892,NA,57.846,11062000,55.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,47,31687,15380,11381377,31738064,0.0014
"161","Spain",754.96,10.7,4.1,3.47,3.47,3,18.6,266.2264833,8.232298816,83.565,46737000,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.162678,24.92999859,2.8,1,1080,718,46745211,33209856,0.0059
"162","Sri Lanka",0.887,NA,8.7,9.29,9.29,7.1,12.8,684.2390101,6.226843558,76.978,21324000,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6383471,23.83638768,5.4,2,2034,1533,21497306,15275209,0.0027
"163","Sudan",19.088,NA,70.1,52.66,52.66,27.9,42.5,4236.793727,NA,65.311,42813000,63.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.29135867,26.12280796,29.8,68,53535,31836,44909351,142342356,0.0057
"164","Suriname",189.215,NA,21.3,31.56,31.56,12.4,15.6,2669.594504,NA,71.682,581000,70.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.49760616,27.91742678,11.5,0,250,172,591798,613122,1e-04
"165","Sweden",585.983,5.6,3,3.03,3.03,2.7,3.7,226.383117,9.648729394,82.797,10036000,81.9,79.5199966430664,79.8300018310547,80.8499984741211,83.4700012207031,83.7799987792969,84.3099975585938,3.95000457763672,3.94999694824219,3.46000289916992,1.04967308044434,1.04948008060455,1.0427953004837,26.86405077,25.45995973,1.6,0,269,176,10160159,13022532,0.0013
"166","Switzerland",222.887,NA,3.9,4.04,4.04,3.5,2.4,322.5397396,7.986043718,83.779,8591000,82.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8336985,23.81875224,2.7,0,283,222,8715494,11041105,0.0011
"167","Syria",15.714,NA,12.9,18.76,18.76,13,NA,966.093174,NA,72.697,17070000,69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.55826342,29.48096759,7,6,2549,1530,18275704,36103178,0.0023
"168","Tajikistan",8.493,NA,44.8,52.39,52.39,20.1,6.5,3424.604178,NA,71.097,9321000,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.00734586,26.49672721,20.5,11,9273,5133,9749625,25328026,0.0012
"169","Tanzania",0.352,NA,48.4,65.16,65.16,24.9,27,4409.899208,NA,65.456,58005000,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4032439,24.15816268,18.8,117,83483,46621,61498438,285651846,0.0078
"170","Thailand",0.845,33.9,12.3,9.55,9.55,9.3,13.3,680.4701023,NA,77.15,69626000,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.00077018,25.11073257,6.7,6,4243,2808,69950844,46015553,0.0089
"171","Timor",NA,NA,52.6,39.07,39.07,20.6,44.9,2632.33604,NA,69.495,1293000,67.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.35808968,21.37075683,22.3,1,968,551,1343875,2372970,2e-04
"172","Togo",6.523,NA,78.4,72.99,72.99,30.5,38.9,4157.182236,NA,61.042,8082000,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.58918749,24.64166822,26.7,14,8958,5239,8478242,26949191,0.0011
"173","Tonga",NA,NA,16.7,19.65,19.65,13,4.5,1161.49148,NA,70.907,104000,72.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.72340166,34.00861159,6.9,0,25,16,106759,138261,0
"174","Trinidad and Tobago",75.742,NA,20.4,18.64,18.64,15.6,NA,1580.667616,7.3,73.507,1395000,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.77531848,28.88155719,13.2,0,278,200,1403374,968826,2e-04
"175","Tunisia",83.174,16.9,14,11.72,11.72,10.7,34.6,874.124594,NA,76.699,11695000,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.72641503,27.30753368,8.2,2,1492,1043,11935764,12972285,0.0015
"176","Turkey",117.976,7.5,13.5,15.21,15.21,9.6,13.5,1223.451749,NA,77.691,83430000,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27430057,28.94223386,7.1,17,13702,9035,85042736,86170462,0.0108
"177","Turkmenistan",NA,NA,51.4,32.89,32.89,23.4,3.6,2121.412529,NA,68.191,5942000,65.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.68355896,26.80303559,22.6,3,2310,1501,6117933,8421349,8e-04
"178","Tuvalu",NA,NA,27.1,NA,NA,NA,10.5,NA,NA,67.567,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.23321051,31.87132991,17.6,NA,NA,NA,11925,20008,0
"179","Uganda",2.252,NA,59.5,66.57,66.57,32.5,27.9,4238.49771,NA,63.368,44270000,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.61129409,23.34475139,18.7,87,62319,35822,47123533,136784876,0.006
"180","Ukraine",150.685,11.2,9,10.55,10.55,7.5,3.6,721.1484544,NA,72.065,43994000,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.08648953,26.40652804,5.5,4,3130,1923,43466822,24413452,0.0055
"181","United Arab Emirates",48.734,NA,6.8,7.75,7.75,5.2,NA,983.2475599,NA,77.972,9771000,76.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.18800439,29.63816231,3.5,1,743,522,9991083,12909869,0.0013
"182","United Kingdom",668.253,9.6,4.2,4.93,4.93,4,3.7,387.5656751,NA,81.321,67530000,80.4,79.0400009155273,79.5599975585938,80.7299957275391,82.9300003051758,83.3499984741211,84.0299987792969,3.88999938964844,3.79000091552734,3.29999923706055,1.04921555519104,1.04763698577881,1.04087698459625,27.47505756,27.15190484,2.4,4,3011,2107,68207114,78053263,0.0087
"183","United States",684.958,10.5,6.5,7.37,7.37,5.6,5.5,568.4556511,NA,78.862,329064992,78.9,76.3300018310547,76.9900054931641,79.0400009155273,81.1100006103516,81.6900024414062,82.8099975585938,4.77999877929688,4.70000076293945,3.77000045776367,1.06262278556824,1.06104683876038,1.04769742488861,29.01322022,29.07070589,3.6,26,22093,14838,332915074,433853891,0.0423
"184","Uruguay",15.545,NA,10.1,10.31,10.31,9,7.4,784.2311615,9.620208207,77.911,3462000,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.52969676,27.55825768,5.1,0,371,238,3485152,3181955,4e-04
"185","Uzbekistan",16.642,NA,39.1,26.73,26.73,17,0.8,1786.308659,NA,71.725,32982000,68.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.48810362,27.6582837,20.4,15,12036,7585,33935765,42270842,0.0043
"186","Vanuatu",NA,NA,27.5,32.5,32.5,14.1,17.5,2260.374501,NA,70.474,3e+05,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.71103043,26.96518981,11.6,0,187,117,314464,968068,0
"187","Venezuela",27.43,NA,14.9,17.12,17.12,10.5,12.9,1322.125254,4.441129899,72.064,28516000,73.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.70960031,26.93984073,8.9,9,7541,5331,28704947,34240724,0.0036
"188","Vietnam",0.36,26,21.7,15.2,15.2,12.7,17.6,975.9281467,NA,75.4,96462000,75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.97052794,21.9405938,11.4,19,14689,9812,98168829,97437286,0.0125
"189","Yemen",20.117,NA,47.5,46.98,46.98,24.9,46.1,3651.551117,NA,66.125,29162000,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.72669657,24.19770906,22.1,45,36368,20698,30490639,53171320,0.0039
"190","Zambia",18.93,NA,67.8,70.48,70.48,28.8,21.7,4204.166619,NA,63.886,17861000,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.44802712,23.83398161,21.4,37,25494,13524,18920657,81546198,0.0024
