"","Entity","Total confirmed deaths due to COVID-19 per million people","Religious compatibility (Larson et al (2016))","Child mortality estimates (Gapminder (2015))","Child mortality 1950-2017 (IHME, 2018).x","Child mortality 1950-2017 (IHME, 2018).y","Inequality in life expectancy (2015-2020)","Inequality in education (2017)","Infant mortality rate","International Historical Statistics (Deaths per 1,000) (Brian Mitchell (2013))","Life expectancy","Population.x","Life Expectancy (1950-2015) (UN Population Division (2015))","Male life expectancy at birth (HMD (2018) and others)","Male life expectancy at 15 (HMD (2018) and others)","Male life expectancy at 45 (HMD (2018) and others)","Female life expectancy at birth (HMD (2018) and others)","Female life expectancy at 15 (HMD (2018) and others)","Female life expectancy at 45 (HMD (2018) and others)","Female minus male life expectancy at birth (HMD (2018) and others)","Female minus male life expectancy at 15 (HMD (2018) and others)","Female minus male life expectancy at 45 (HMD (2018) and others)","Female-to-male life expectancy ratio at birth (HMD (2018) and others)","Female-to-male life expectancy ratio at 15 (HMD (2018) and others)","Female-to-male life expectancy ratio at 45 (HMD (2018) and others)","Mean BMI (male)","Mean BMI (female)","Neonatal Mortality Rate (via Childmortality.org (2015))","Number of child deaths 1950-2017 (IHME, 2017)","Number of infant deaths (IHME - 2017)","Number of neonatal deaths (IHME - 2017)","Total population (Gapminder, HYDE & UN)","Population by country and region, historic and projections (Gapminder, HYDE & UN)","Share of world population"
"17","Belgium",942.309,18.8,4.1,4.12,4.12,3.6,8.7,296.4014971,9.605525429,81.628,11539000,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8013405,25.74971353,2.2,0,361,236,11632334,12492831,0.0015
"18","Belize",128.263,NA,16.5,19.67,19.67,10.1,15.9,1652.2555,NA,74.623,390000,69.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.63242364,30.75287977,8.3,0,126,86,404915,620439,1e-04
"19","Benin",3.382,NA,99.5,89.8,89.8,35,43.7,5390.388716,NA,61.771,11801000,59.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.66670723,24.57959394,31.8,34,21620,12085,12451031,47208998,0.0016
"20","Bhutan",NA,NA,32.9,30.07,30.07,17.8,41.7,2072.8343,NA,71.777,763000,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.59475588,24.56664292,18.3,0,355,260,779900,686287,1e-04
"21","Bolivia",742.909,NA,38.4,32.44,32.44,25.2,20,2118.418775,NA,71.513,11513000,67.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.42187349,27.92672885,19.6,8,6255,3737,11832936,17390956,0.0015
"22","Bosnia and Herzegovina",336.502,20.2,6,7.04,7.04,5.9,19.8,555.5097578,NA,77.401,3301000,76.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.53071356,25.34013918,4,0,159,141,3263459,1641054,4e-04
"23","Botswana",8.93,NA,53.3,25.14,25.14,18.6,NA,1561.28169,NA,69.592,2304000,64.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.63366824,26.29687711,21.9,1,751,509,2397240,4165861,3e-04
"24","Brazil",743.068,3.1,13.3,20.19,20.19,10.8,22,1493.520601,NA,75.881,211050000,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.47157714,27.03856248,8.9,51,44940,23677,213993441,180682762,0.0272
"25","Brunei",6.857,NA,10.3,9.97,9.97,5.5,NA,777.6068771,NA,75.86,433000,78.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.31810115,27.33141526,4.3,0,52,29,441532,389884,1e-04
"26","Bulgaria",167.088,6,10.7,8.56,8.56,6.7,6.5,627.6093553,14.62181767,75.046,7e+06,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.32226907,25.93015482,5.6,0,379,231,6896655,3588337,9e-04
"27","Burkina Faso",3.205,NA,88.6,115.59,115.59,32,39.2,6132.224096,NA,61.577,20321000,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.25253512,22.1477769,26.7,87,49380,22392,21497097,83194233,0.0027
"28","Burundi",0.084,NA,81.7,86.61,86.61,38.1,39.5,5247.735039,NA,61.584,11531000,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.85867709,21.60407468,28.6,31,20389,10359,12255429,50904072,0.0016
"29","Cambodia",NA,NA,28.7,34.9,34.9,16,27.3,2697.656157,NA,69.823,16487000,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.15405293,22.38762001,14.8,12,9876,6072,16946446,21355011,0.0022
"30","Cameroon",16.048,NA,88.7,78.71,78.71,33.7,33,4273.025088,NA,59.292,25876000,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.65643975,25.22671897,25.7,55,35507,17820,27224262,90225178,0.0035
"31","Canada",264.982,9.9,4.9,5.81,5.81,4.3,1.4,465.0432088,7.232596158,82.434,37411000,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.45423618,26.76370753,3.2,2,1819,1178,38067913,56953224,0.0048
"32","Cape Verde",169.068,NA,24.3,23.31,23.31,13.3,23.7,2002.559261,NA,72.981,550000,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.80060003,25.42787529,12.2,0,196,136,561901,603949,1e-04
"33","Central African Republic",12.837,NA,130.5,131.1,131.1,41.7,34.5,11915.67596,NA,53.283,4745000,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.07918352,23.78232058,42.6,22,14800,7142,4919987,11631410,6e-04
"34","Chad",5.844,NA,138.7,122.75,122.75,42.4,43,7102.314108,NA,54.239,15947000,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.05057441,21.97868164,39.3,80,47731,22314,16914985,61849820,0.0021
"35","Chile",733.723,NA,8.1,7.88,7.88,6.1,7.5,627.4581196,5.37883863,80.181,18952000,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.99180302,28.34360496,4.9,2,1519,1118,19212362,17332335,0.0024
"36","China",3.293,26.3,10.7,13.16,13.16,7.9,11.5,720.4156658,7.065046376,76.912,1433784064,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.27643908,23.59199764,5.5,165,132753,65418,1444216102,1064993456,0.1834
"37","Colombia",600.693,18.7,15.9,15.61,15.61,13.2,19.4,1160.255384,5.8,77.287,50339000,73.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.990732,26.75453166,8.5,12,9769,6117,51265841,45221276,0.0065
"38","Comoros",8.05,NA,73.5,50.19,50.19,28.9,47.6,3404.656635,NA,64.321,851000,62.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.36117402,25.76026031,34,1,592,383,888456,2186509,1e-04
"39","Congo",16.672,NA,45,59.9,59.9,25.1,21.5,3457.201389,NA,64.57,5381000,61.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.39378052,24.22026121,18,7,4385,2418,5657017,20961987,7e-04
"40","Costa Rica",260.889,NA,9.7,8.8,8.8,7.5,11.9,704.711585,4.181638798,80.279,5048000,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9095007,28.10500815,6.2,1,491,374,5139053,4797969,7e-04
"41","Cote d'Ivoire",4.625,NA,94.4,94.67,94.67,34.2,47.4,5579.573984,NA,57.783,25717000,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.47829494,24.24784698,37.9,66,45573,25672,27053629,96632721,0.0034
"42","Croatia",114.487,NA,4.3,4.59,4.59,4.1,5,356.288517,NA,78.488,4130000,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.1976285,27.03333448,2.6,0,133,101,4081657,2183314,5e-04
"43","Cuba",11.301,NA,5.6,5.71,5.71,5.3,10.9,381.9394847,7.735580744,78.802,11333000,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.37309739,26.20142057,2.3,1,432,253,11317498,6671461,0.0014
"44","Cyprus",28.542,NA,3.4,3.2,3.2,3.6,11.7,251.0092208,6.708211463,80.982,1199000,79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.73522915,26.22650471,1.5,0,28,19,1215588,1308911,2e-04
"45","Democratic Republic of Congo",3.394,9.3,98.3,87.31,87.31,36.1,26.3,5794.176295,NA,60.681,86791000,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.44356804,22.70869215,30.1,253,160849,80224,92377986,362031082,0.0117
"46","Denmark",122.406,10.5,3.5,4.05,4.05,3.4,4.3,322.1204886,9.804800291,80.898,5772000,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.27862334,24.55769869,2.5,0,194,130,5813302,6872907,7e-04
"47","Djibouti",61.741,NA,65.3,48.82,48.82,30.8,47,2491.48713,NA,67.112,974000,61.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.50601857,24.75441969,33.4,1,820,456,1002197,1331656,1e-04
"48","Dominica",NA,NA,21.2,33.36,33.36,NA,NA,3055.178046,NA,75,72000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.07841251,29.21841194,15.6,0,24,16,72172,51345,0
"49","Dominican Republic",205.201,NA,30.9,33.13,33.13,15.4,19.1,2406.219552,NA,74.081,10739000,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.68938691,27.56382371,21.7,6,5033,3793,10953714,11012548,0.0014
"50","Ecuador",713.482,13.7,21.6,19.01,19.01,13.9,13.8,1315.719531,NA,77.01,17374000,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.76872095,28.0662789,10.8,5,4109,2401,17888474,24482822,0.0023
"51","Egypt",60.801,NA,24,20.39,20.39,11.6,36.9,1592.650397,6.195529916,71.99,100388000,70.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.93033859,31.69788414,12.8,44,34547,16529,104258327,224735180,0.0132
"52","El Salvador",148.315,NA,16.8,13.49,13.49,12.2,30.3,1083.908987,5.15845253,73.317,6454000,72.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.97990172,28.50102418,8.3,1,1166,608,6518500,4766079,8e-04
