"","Entity","Total confirmed deaths due to COVID-19 per million people","mean","pop","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","flag","Income classification (World Bank 2017)","Gini index","GDP growth from previous year, 2020 Q2","GDP per capita PPP 2011 – WDI (2016)","pop2021","Gini coefficient (World Bank (2016))","GDP per capita","Population.y","GDP","Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017))","National poverty lines (Jolliffe and Prydz (2016))","Multidimensional Poverty (headcount ratio) (Alkire and Robles (2016))","Percentage contribution of deprivations in education to overall poverty (Alkire and Robles (2016))","Percentage contribution of deprivations in health to overall poverty (Alkire and Robles (2016))","Percentage contribution of deprivations in living standards to overall poverty (Alkire and Robles (2016))","Mean monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)","Median monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)","Poverty rate (<50% of median) (LIS Key Figures, 2018)"
"17","Belgium",942.309,1490.91,11.27,"512.87304","772.29138","966.10968","1125.63705","1277.70987","1419.34632","1587.81915","1802.51019","2133.49221","3309.8202","642.58221","1045.873365","1348.528095","1695.16467","2721.656205",0,4,27.21441,-14.5,40823.39248,11632.326,27.59,39756.2031,11429268.36,454384314204.564,NA,26.85,NA,NA,NA,NA,1457.53,1309.03,8.078
"18","Belize",128.263,268.57999,0.23999999,"24.97794","61.23624","91.3172","114.95224","143.42172","179.14286","227.75584","293.28936","409.85308","1139.58494","43.10709","103.13472","161.28229","260.5226","774.71901",0,3,53.26277,NA,8029.833508,404.914,53.26,NA,NA,NA,13.157082,NA,4.6,41,31.2,27.8,264.03,156.77,NA
"19","Benin",3.382,82.610001,10.58,"8.261","18.50464","35.27447","44.36157","53.36606","63.52709","77.07513","95.08411","119.86711","310.77882","13.38282","39.81802","58.446575","86.07962","215.322965",0,1,47.75591,NA,1936.825582,12451.04,43.44,2220.1766,12017978,26682033534.9148,1233.853008,1.44,62.2,41.7,13.4,45,82.42,54.75,NA
"20","Bhutan",NA,267.04999,0.81,"73.1717","105.2177","130.8545","157.29245","187.73615","224.8561","271.58985","334.61365","439.29725","745.87065","89.1947","144.073475","206.296125","303.10175","592.58395",0,2,37.44141,NA,7456.315988,779.898,38.65,NA,NA,NA,1.1962875,2.97,27.2,40.4,21.2,38.4,245.77,183.13,NA
"21","Bolivia",742.909,406.41,11.05,"50.39484","116.23326","168.66015","219.4614","273.51393","335.28825","412.50615","516.1407","684.39444","1287.91329","83.31405","194.060775","304.40109","464.323425","986.153865",0,2,41.64937,NA,6324.990141,11832.94,48.06,6695.7746,11306341,75704710886.7386,274.0712,7.63,20.5,19.8,27.5,52.6,416.29,285.15,NA
"22","Bosnia and Herzegovina",336.502,585.77002,3.6900001,"172.21638","264.76804","329.78851","390.70859","453.38598","523.67838","614.47273","726.94057","909.70081","1472.62578","218.49221","360.24855","488.53218","670.70665","1191.163295",0,3,33.03019,NA,9490.143489,3263.466,33.04,10460.5201,3946870.989,41286323312.5414,0.529834,9.79,0.5,26.7,55.8,17.5,605.42,498.5,NA
"23","Botswana",8.93,232.69,2.25,"35.60157","56.31098","72.1339","90.7491","113.08734","144.96587","189.87504","263.17239","396.03838","965.19812","45.956275","81.4415","129.026605","226.523715","680.61825",0,3,53.32503,NA,15359.06317,2397.241,60.46,15842.1301,2262596.073,35844341352.2151,57.903089,1.97,NA,NA,NA,NA,290.39,136.05,NA
"24","Brazil",743.068,602.28998,209.28999,"58.42213","131.90151","190.92593","254.76867","324.03202","410.15949","513.75337","659.50755","959.44797","2520.58365","95.16182","222.8473","367.095755","586.63046","1740.01581",0,3,53.42883,NA,15109.82555,213993.437,52.87,14033.5656,211307770,2965401452084.71,3923.824387,3.05,5.3,10.9,68.5,20.6,563.57,358.68,19.038
"25","Brunei",6.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,67911.8788,441.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Bulgaria",167.088,569.5,7.2199998,"112.1915","230.078","304.113","366.758","427.6945","493.7565","573.4865","685.1085","863.362","1638.4515","171.13475","335.4355","460.7255","629.2975","1250.90675",0,3,41.2841,-8.2,16363.19176,6896.663,36.01,18444.2602,7166644.156,132183449574.073,39.325611,7.95,NA,NA,NA,NA,478.49,396.66,NA
"27","Burkina Faso",3.205,83.839996,17.59,"30.1824","39.48864","45.94432","52.06464","58.85568","67.32352","78.30656","94.7392","123.41248","248.1664","34.83552","49.00448","63.0896","86.52288","185.78944",0,1,35.30123,NA,1545.077556,21497.096,39.76,1589.6242,19699640.35,31315025031.6565,1447.456556,1.64,84,36.2,27.9,35.9,83.83,62.61,NA
"28","Burundi",0.084,54.34,9.8900003,"14.99784","22.2794","27.38736","32.38664","37.7663","43.52634","50.97092","62.27364","83.19454","168.56268","18.63862","29.887","40.64632","56.62228","125.87861",0,1,38.62482,NA,734.4845955,12255.433,33.36,651.3589,11229000,7314109088.1,2221.84917,1.54,80.8,23.1,28.9,48,47.74,36.41,NA
"29","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3112.630513,16946.438,30.76,3628.5611,16409218.41,59541851603.9299,23.007556,NA,33,27.3,29.8,42.9,166.34,135.47,NA
