"","Entity","Total confirmed deaths due to COVID-19 per million people","mean","pop","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","flag","Income classification (World Bank 2017)","Gini index","GDP growth from previous year, 2020 Q2","GDP per capita PPP 2011 – WDI (2016)","pop2021","Gini coefficient (World Bank (2016))","GDP per capita","Population.y","GDP","Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017))","National poverty lines (Jolliffe and Prydz (2016))","Multidimensional Poverty (headcount ratio) (Alkire and Robles (2016))","Percentage contribution of deprivations in education to overall poverty (Alkire and Robles (2016))","Percentage contribution of deprivations in health to overall poverty (Alkire and Robles (2016))","Percentage contribution of deprivations in living standards to overall poverty (Alkire and Robles (2016))","Mean monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)","Median monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)","Poverty rate (<50% of median) (LIS Key Figures, 2018)"
"63","Georgia",63.422,237.52,3.72,"55.57968","93.34536","118.76","144.17464","171.72696","203.79216","240.84528","290.24944","370.76872","686.4328","74.46252","131.46732","187.75956","265.54736","528.60076",0,2,35.94862,NA,7233.37689,3979.765,40.03,11984.9049,4921590.982,58984799875.9676,88.080048,1.89,0.8,23.2,33.8,43,200.07,152.61,16.893
"64","Germany",121.539,1637.79,81.690002,"502.80153","782.86362","971.20947","1136.62626","1302.04305","1482.19995","1708.21497","1996.46601","2438.66931","4058.44362","642.832575","1053.917865","1392.1215","1852.34049","3248.556465",0,4,31.87067,-11.7,43602.35925,83900.473,30.13,46177.6187,84152483.4,3885961291103.28,NA,26.39,NA,NA,NA,NA,1605.69,1376.05,9.165
"65","Ghana",10.17,199.55,28.83,"32.12755","61.0623","83.811","108.1561","133.49895","161.83505","196.95585","248.04065","327.262","642.75055","46.594925","95.98355","147.667","222.49825","485.006275",0,2,43.52088,NA,3894.004399,31732.129,42.77,4267.0667,27858456.03,118873890039.027,678.509304,2.23,33.7,24.3,35.3,40.4,131.42,95.69,NA
"66","Greece",56.893,662.25,10.82,"129.13875","258.2775","347.019","435.09825","516.555","610.5945","717.21675","839.733","1033.77225","1735.095","193.708125","391.058625","563.57475","778.474875","1384.433625",0,4,32.89121,NA,24372.42214,10370.744,36.68,23450.7658,10662161.1,250035842877.97,NA,12.85,NA,NA,NA,NA,680.16,584.69,14.168
"67","Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,11853.71686,113.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Guatemala",204.571,259.89999,15.92,"43.4033","73.5517","99.0219","124.4921","155.4202","187.9077","230.2714","292.1276","403.8846","988.9195","58.4775","111.757","171.66395","261.1995","696.40205",0,2,48.27859,NA,7111.550259,18249.86,52.35,7402.1146,17231559.7,127549979636.142,343.840074,5.51,NA,NA,NA,NA,257.19,167.87,14.606
"69","Guinea",5.406,87.300003,11.28,"26.4519","39.5469","48.9753","57.3561","66.2607","76.824","89.2206","106.1568","131.7357","230.5593","32.9994","53.1657","71.54235","97.6887","181.1475",0,1,33.7297,NA,1165.12982,13497.244,33.73,1606.4666,11855411,19045321800.7726,866.0254625,2.53,75.1,34,27.9,38.1,87.3,71.01,NA
"70","Guinea-Bissau",20.833,69.18,1.5599999,"11.27634","19.78548","25.80414","31.61526","38.53326","46.0047","55.75908","70.77114","101.6946","290.556","15.53091","28.7097","42.26898","63.26511","196.1253",0,1,50.66424,NA,1321.829538,2015.494,50.66,1501.4136,1833247,2752461977.9592,375.078088,2.01,77.5,32.4,25.9,41.8,69.18,42.2,NA
"71","Guyana",151.292,202.89,0.75999999,"31.24506","60.46122","86.22825","110.77794","135.73341","163.32645","195.99174","239.81598","313.46505","692.05779","45.85314","98.503095","149.52993","217.90386","502.76142",0,3,45.11814,NA,6657.133803,790.326,44.55,NA,NA,NA,12.12238,NA,3.2,18.5,36.5,45,202.89,148.95,NA
"72","Haiti",20.346,104.7,10.29,"5.7585","14.9721","23.7669","33.7134","44.9163","59.4696","79.8861","111.2961","168.3576","504.7587","10.3653","28.74015","52.19295","95.5911","336.55815",1,1,41.10377,NA,1652.173694,11541.685,60.79,1729.0432,10788440,18653678820.608,2040.487131,2.15,49.4,19.7,28.5,51.8,104.7,51.17,NA
"73","Honduras",266.442,239.57001,9.2700005,"25.39442","52.22626","78.57896","108.28564","139.19017","176.08395","222.32096","286.52572","404.63373","902.22062","38.81034","93.4323","157.63706","254.42334","653.427175",0,2,48.16817,NA,4682.99035,10062.991,53.67,5041.6354,9001592,45382744883.5568,417.008485,6.43,15.8,31.9,24.2,44,236.33,151.4,NA
"74","Hungary",163.348,650.71997,9.8400002,"197.16816","312.3456","396.9392","469.16912","536.19328","609.72464","691.71536","795.83056","952.00336","1545.46","254.75688","433.05416","572.95896","743.77296","1248.73168",0,4,29.61204,-13.5,23734.78551,9634.164,30.55,25622.8123,9773575.216,250426483259.5,14.4033015,9.59,NA,NA,NA,NA,568.43,500.13,10.427
"75","Iceland",32.234,1527.02,0.33000001,"587.9027","847.4961","987.98194","1120.83268","1273.53468","1409.43946","1562.14146","1778.9783","2116.44972","3583.91594","717.6994","1054.40731","1341.48707","1670.55988","2850.18283",0,4,26.13158,NA,41236.47323,343.353,26.94,43438.5412,352573.0864,15315260539.5976,NA,22.7,NA,NA,NA,NA,1413.36,1256.03,6.068
"76","India",86.963,111.83,1263.0699,"39.02867","51.88912","61.17101","69.78192","79.3993","90.5823","104.67288","124.91411","159.69324","337.05562","45.458895","65.476465","84.9908","114.793495","248.37443",0,2,NA,NA,5438.616195,1393409.038,33.9,6806.4986,1298135534,8835757694781.25,28572.13065,1.91,53.7,21.8,35.7,42.5,111.83,0,19.656
"77","Indonesia",49.4,190.66,263.98999,"54.71942","75.88268","93.4234","111.34544","131.74606","157.10384","189.13472","231.27058","298.95488","563.01898","65.30105","102.38442","144.42495","210.20265","430.98693",0,2,NA,-5.36783,10033.48179,276361.783,35.57,11851.7372,259494117.4,3075456084370.75,2613.836175,1.85,15.5,12.6,60.7,26.7,163.97,0,NA
"78","Iran",396.45,493.39001,80.279999,"116.93343","185.51464","235.34703","284.68603","337.47876","399.15251","479.57508","592.56139","780.54298","1522.10815","151.224035","260.01653","368.315635","536.068235","1151.325565",0,3,42.0033,NA,16507.02425,85028.759,37.35,17011.3042,82239197.29,1398996002264.01,16.0510575,NA,NA,NA,NA,NA,504.64,391.76,NA
"79","Iraq",266.617,178.81,32.779999,"65.80208","91.55072","109.0741","125.70343","143.048","162.00186","185.24716","217.07534","264.81761","423.7797","78.6764","117.388765","152.52493","201.16125","344.298655",0,3,29.54186,NA,14364.83649,41179.35,29.54,12835.8126,40012478.41,513592674532.306,NA,NA,11.6,51.3,38.4,10.3,NA,NA,NA
"80","Ireland",382.762,1408.09,4.6999998,"443.54835","684.33174","832.18119","977.21446","1116.61537","1258.83246","1427.80326","1679.85137","2089.60556","3572.32433","563.940045","904.697825","1187.723915","1553.827315","2830.964945",0,4,31.3598,NA,48430.92559,4982.907,32.52,64684.302,4859318.942,314321653958.648,NA,20.33,NA,NA,NA,NA,1248.55,1041.22,9.403
"81","Israel",286.868,1097.22,8.5500002,"204.08292","362.0826","510.2073","661.62366","817.4289","980.91468","1171.83096","1418.70546","1801.63524","3044.7855","283.08276","585.91548","899.17179","1295.26821","2423.21037",0,4,39.01302,-7.766077,31484.6333,8789.774,42.78,32954.7701,8460269.367,278806231973.558,NA,13.76,NA,NA,NA,NA,936.83,721.22,19.317
"82","Italy",623.534,1227.58,60.73,"216.05408","504.53538","665.34836","820.02344","977.15368","1139.19424","1322.10366","1556.57144","1916.25238","3158.56334","360.29473","742.6859","1058.17396","1439.33755","2537.40786",0,4,35.928,-17.3,33038.91175,60367.477,35.16,34364.1682,60446949.6,2077209143231.32,NA,20.72,NA,NA,NA,NA,1208.21,1022.05,12.9
"83","Jamaica",66.19,366.34,2.73,"75.46604","117.96148","152.76378","185.36804","219.804","264.49748","330.80502","425.68708","581.01524","1310.03184","96.71376","169.06591","242.15074","378.24605","945.52354",0,3,45.45747,NA,8467.386034,2973.463,45.46,7272.9805,2671788.021,19431862176.8666,7.7054785,4.07,1.8,15.6,42.8,41.6,368.03,240.91,NA
"84","Japan",13.678,1212.01,128.06,"326.03069","567.22068","716.29791","844.77097","979.30408","1119.89724","1276.24653","1478.6522","1813.16696","2998.51274","446.625685","780.53444","1049.60066","1377.449365","2405.83985",0,4,32.85473,-10.00138,35634.97072,126050.804,32.11,38673.8081,125847717.4,4867010472550.63,NA,NA,NA,NA,NA,NA,1211.9,1045.09,10.938
"85","Jordan",65.47,331.66,7.1799998,"114.4227","157.20684","187.05624","214.58402","245.4284","279.92104","323.03684","388.37386","496.16336","910.4067","135.81477","200.82013","262.67472","355.70535","703.28503",0,2,33.65573,NA,11496.26493,10269.021,33.66,11506.3383,9116210.944,104894207135.826,NA,NA,1.7,23.8,73.8,2.4,NA,NA,NA
"86","Kazakhstan",118.285,340.60999,18.040001,"145.44047","188.35733","217.30918","244.55798","273.50983","307.57083","349.80647","404.30407","492.52206","782.72178","166.8989","230.93358","290.54033","377.05527","637.62192",0,3,27.79287,NA,23113.93318,18994.962,26.35,25307.5554,18323403.61,463720551976.635,1.181724,4.9,0.2,34.1,46.3,19.6,364.64,317.36,NA
"87","Kenya",17.37,100.36,48.459999,"24.18676","37.53464","46.86812","56.00088","66.7394","79.7862","95.54272","119.9302","160.17456","316.73616","30.8607","51.4345","73.2628","107.73646","238.45536",0,2,40.77577,NA,2818.255144,54985.698,48.51,3377.4704,51371552.54,173505898105.895,2502.698639,2.39,39.9,9.8,33,57.2,124.39,79.09,NA
"88","Kiribati",NA,154.89,0.090000004,"39.49695","62.57556","81.31725","97.73559","114.46371","133.36029","155.19978","184.00932","227.6883","453.05325","51.036255","89.52642","123.912","169.60455","340.370775",0,2,36.973,NA,1725.85646,121.392,37.61,NA,NA,NA,3.2421125,NA,NA,NA,NA,NA,150.94,120.12,NA
"89","Kuwait",177.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,69877.98654,4328.55,NA,65520.7367,4229457.223,277117153092.096,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Kyrgyzstan",174.428,161.92,6.1999998,"69.30176","90.83712","104.4384","117.23008","130.83136","145.728","164.51072","189.77024","229.44064","376.94976","80.06944","110.83424","138.27968","177.14048","303.1952",0,2,29.70122,NA,3169.471608,6628.356,27.37,5176.9883,5717831.766,29601148153.9503,19.040736,3.88,0.5,23.5,50.6,25.9,160.46,137.09,NA
"91","Laos",NA,113.12,6.4200001,"35.74592","49.7728","60.17984","70.36064","80.8808","92.7584","107.464","129.5224","167.87008","336.64512","42.75936","65.27024","86.8196","118.4932","252.2576",0,2,38.80243,NA,5076.222378,7379.358,37.89,6450.9066,7234171,46666961449.4286,146.936006,NA,34.1,31.4,30.4,38.3,131.52,98.55,NA
"92","Latvia",33.4,706.84998,1.98,"177.41935","323.03045","403.61135","462.98675","534.3786","624.14855","736.5377","872.2529","1087.1353","1846.99905","250.2249","433.29905","579.263575","804.3953","1467.067175",0,4,35.09615,-9.6,22076.41849,1866.942,35.48,24312.6778,1927491.542,46862480822.8712,13.2423825,8.26,NA,NA,NA,NA,545.57,448.22,NA
"93","Lebanon",86.441,705.17999,4.9200001,"217.90062","335.66568","413.23548","481.63794","554.27148","643.12416","730.56648","856.7937","1069.75806","1748.14122","276.78315","447.43671","598.69782","793.68009","1408.94964",0,3,31.83245,NA,16659.32796,6769.146,NA,12558.9669,7707656.046,96800197158.2989,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Lesotho",20.072,75.699997,2.04,"6.813","14.6858","21.4988","29.9015","38.9855","50.9461","65.859","87.6606","131.1881","309.4616","10.7494","25.70015","44.9658","76.7598","220.32485",0,2,44.8797,NA,2517.01021,2159.079,54.18,2731.4661,1962461,5360395694.0721,420.627168,1.76,32,13.9,30.8,55.3,75.72,44.41,NA
"95","Liberia",16.213,83.059998,4.6100001,"24.41964","35.46662","43.93874","52.3278","61.54746","71.68078","83.8906","101.66544","130.57032","225.0926","29.94313","48.13327","66.61412","92.77802","177.83146",0,1,35.26546,NA,802.0499464,5180.203,36.48,818.4211,4809768,3936415617.3048,589.3702815,1.75,71.2,21.5,32.1,46.4,54.42,44.06,NA
"96","Libya",118.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,14879.98843,6958.532,NA,15013.3124,6688465.324,100416019385.779,NA,NA,1.5,44,48.2,7.8,NA,NA,NA
"97","Liechtenstein",26.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,38.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Lithuania",51.795,756.90002,2.9000001,"161.9766","302.76","403.4277","476.847","557.0784","649.4202","760.6845","915.849","1176.9795","2163.9771","232.3683","440.13735","603.2493","838.26675","1670.4783",0,4,35.70781,-3.7,25813.09716,2689.862,35.15,27370.5548,2799268.136,76617521916.2819,15.190424,9.16,NA,NA,NA,NA,601.98,493.52,12.39
"99","Luxembourg",234.833,2113.2,0.56999999,"585.3564","934.0344","1162.26","1386.2592","1627.164","1893.4272","2210.4072","2671.0848","3305.0448","5356.962","759.6954","1274.2596","1760.2956","2440.746","4331.0034",0,4,35.36809,NA,91408.36842,634.814,34.79,57427.5003,609726.3015,35015057362.3091,NA,32.39,NA,NA,NA,NA,2155,1762.81,8.736
"100","Madagascar",8.812,46.939999,22.35,"10.13904","16.75758","21.40464","25.67618","30.41712","35.9091","43.04398","54.12182","74.77542","157.20206","13.44831","23.54041","33.16311","48.5829","115.98874",0,1,42.64818,NA,1373.184562,28427.328,40.63,1427.6004,25683610,36665931909.444,6270.58539,1.62,66.9,34.3,16.7,49.1,46.66,32.81,NA
"101","Malawi",9.566,61.68,18.09,"16.3452","23.13","27.87936","32.6904","37.9332","44.03952","52.48968","63.71544","83.76144","234.93912","19.7376","30.28488","40.98636","58.10256","159.35028",0,1,44.69431,NA,783.8314745,19647.684,46.12,1116.6402,20216588.89,22574655861.4474,3664.742496,1.27,56,17.9,25.1,57,57.94,38.01,NA
"102","Malaysia",7.353,850.15997,30.719999,"193.83648","300.95664","386.8228","472.68896","571.30752","687.77944","835.70728","1034.64472","1360.256","2657.60016","247.39656","429.75588","629.54348","935.176","2008.92808",0,3,41.0664,-17.1,24459.77964,32776.194,46.26,24842.3559,31142720.14,773658537411.978,2.0437445,3.38,NA,NA,NA,NA,627.05,424.45,NA
"103","Maldives",68.45,198.52,0.36000001,"50.02704","76.23168","98.2674","120.50164","143.52996","168.54348","199.11556","234.84916","299.7652","594.36888","63.12936","109.38452","156.03672","216.98236","447.06704",0,3,31.28565,NA,11953.58551,543.617,36.78,NA,NA,NA,2.70465,NA,5.2,13.6,81.1,5.3,198.52,154.71,NA
"104","Mali",6.716,72.610001,15.08,"24.10652","33.76365","40.44377","47.26911","54.31228","63.02548","74.28003","89.09247","113.41682","186.46248","28.935085","43.85644","58.66888","81.68625","149.93965",0,1,33.03796,NA,1525.685201,20855.735,33.04,1667.2951,16506748.83,27521621441.1897,1917.911006,1.82,77.7,36.1,24.9,38.9,73.1,58.5,NA
"105","Malta",124.564,1294.25,0.44999999,"447.8105","657.479","799.8465","931.86","1061.285","1197.18125","1355.07975","1559.57125","1877.95675","3054.43","552.64475","865.85325","1129.233125","1457.3255","2466.193375",0,4,28.66509,NA,28821.62422,442.784,NA,32028.9124,487259.6037,15606395162.966,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3627.846116,59.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Mauritania",35.056,174.63,4.0599999,"52.03974","79.45665","98.84058","117.17673","136.73529","158.21478","184.75854","217.23972","266.48538","435.35259","65.748195","108.008655","147.475035","200.99913","350.918985",0,2,32.61935,NA,3731.902529,4775.119,37.48,3457.515,3840429,13278340873.935,45.088596,3.7,52.2,32,21.4,46.5,175.37,147.84,NA
"108","Mauritius",7.863,351.48999,1.26,"104.74402","156.06156","189.45311","223.54764","257.64217","294.90011","340.9453","405.26797","521.61116","1020.72696","130.40279","206.500375","276.27114","373.106635","771.16906",0,3,36.76121,NA,17730.8984,1273.433,35.84,20138.5723,1364283,27474711833.1609,0.786429,NA,NA,NA,NA,NA,351.49,276.11,NA
"109","Mexico",696.596,415.89999,127.54,"76.1097","128.0972","165.1123","202.5433","242.8856","290.2982","353.0991","447.5084","619.691","1633.6552","102.10345","183.8278","266.5919","400.30375","1126.6731",1,3,45.37549,-18.967486,16284.15191,130262.216,48.07,16494.079,121655764.4,2006599788818.99,635.021306,8.02,2.8,35,24.8,40.2,341.5,215.01,19.664
"110","Moldova",423.901,286.64999,3.55,"122.97285","163.10385","189.47565","213.55425","238.20615","265.15125","297.82935","341.97345","413.06265","621.17055","143.03835","201.51495","251.6787","319.9014","517.1166",0,2,25.66165,NA,4753.548815,4024.019,28.53,6746.7285,3453438.884,23299414541.691,0.246886,4.86,0.8,31.2,21.5,47.3,284.48,246.16,NA
"111","Monaco",25.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,39.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Mongolia",NA,262.17999,3.03,"87.04376","123.48678","150.49132","175.13624","202.40296","233.86456","269.52104","316.45126","391.9591","671.70516","105.26527","162.81378","218.13376","292.98615","531.83213",0,2,32.74099,NA,11396.4208,3329.289,33.75,13382.5423,3103428,41531756485.0044,0.793364,5.56,9.9,18,25,57,321.71,267.14,NA
"113","Montenegro",437.855,441.22,0.62,"156.6331","216.63902","249.73052","292.52886","340.62184","391.36214","447.8383","529.464","652.56438","1134.81784","186.63606","271.12969","365.99199","488.65115","893.69111",0,3,38.48795,NA,14534.17858,628.053,33.19,19504.1588,614249,11980410038.7412,0.988931,6.06,0.3,57.4,12.9,29.7,441.22,367.37,NA
"114","Morocco",93.334,305.10001,34.32,"82.377","122.04","150.7194","177.2631","206.8578","241.3341","286.1838","350.5599","461.0061","972.9639","102.2085","163.99125","224.09595","318.37185","716.985",0,2,39.54851,NA,7146.28198,37344.795,40.72,8451.1355,35495834.75,299980109157.859,55.67418,2.55,15.4,47.3,18.5,34.2,238.74,172.04,NA
"115","Mozambique",2.848,81.559998,27.209999,"12.88648","21.53184","27.89352","34.41832","41.5956","49.99628","61.74092","79.84724","114.5918","370.93488","17.20916","31.15592","45.79594","70.79408","242.76334",0,1,53.99668,NA,1077.423399,32163.047,45.58,1132.7709,25998170.64,29449971154.2264,4635.128613,1.45,69.6,29.1,20.7,50.2,59.56,40.71,NA
"116","Myanmar",21.081,172.39,52.400002,"50.85505","75.50682","90.50475","104.98551","120.15583","138.60156","161.70182","193.24919","241.69078","546.64869","63.180935","97.74513","129.378695","177.475505","394.169735",0,2,30.69687,NA,NA,54806.012,NA,5838.2173,54399998.2,317599010611.209,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Namibia",52.343,342.70999,2.4300001,"32.90016","61.34509","85.6775","113.43701","146.67988","190.54676","254.63353","357.44653","565.12879","1619.30475","47.122625","99.557255","168.61332","306.04003","1092.21677",0,3,59.06661,NA,9497.789209,2587.344,60.97,9043.1202,2553928.87,23095485753.6602,83.767865,2.14,42,11.5,38.7,49.8,237.07,103.81,NA
"118","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,34.76618,NA,NA,10.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Nepal",30.065,119.01,27.02,"41.6535","57.36282","66.76461","77.47551","89.97156","102.94365","119.12901","140.90784","179.7051","314.30541","49.50816","72.12006","96.457605","130.018425","247.005255",0,1,32.84059,NA,2265.053018,29674.92,32.75,2727.4238,29717587,81052454062.3706,312.661701,2.2,28.6,27.3,28.3,44.3,119.01,96.25,NA
"120","Netherlands",416.227,1585.92,16.940001,"558.24384","854.81088","1027.67616","1170.40896","1306.79808","1463.80416","1652.52864","1901.51808","2274.20928","3647.616","706.52736","1099.04256","1385.30112","1777.02336","2960.91264",0,4,28.12108,-9,45691.39293,17173.099,27.99,47474.1095,17231624.08,818056008436.757,NA,26.31,NA,NA,NA,NA,1496.93,1318.62,6.184
"121","New Zealand",5.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,33846.47079,4860.643,NA,35336.1363,4839623.031,171013579064.035,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Nicaragua",23.549,329.39001,6.0100002,"65.21922","104.41663","134.39112","167.33012","205.20997","245.72494","292.16893","364.96412","489.14415","1225.66019","84.817925","150.86062","225.467455","328.566525","857.40217",0,2,46.15629,NA,4692.139506,6702.385,45.73,4952.4772,6085213,30136878639.6436,80.87597,4.49,16.1,38.4,13.8,47.8,288.89,194.55,NA
"123","Niger",2.85,78.699997,19.15,"25.184","36.0446","42.7341","50.1319","57.9232","67.682","78.9361","94.44","121.198","212.6474","30.6143","46.433","62.8026","86.68805","166.9227",0,1,34.27658,NA,894.6284162,25130.817,31.45,964.6601,21233844.44,20483442500.8748,1720.182366,1.86,89.3,32.1,27.7,40.1,77.62,61.14,NA
"124","Nigeria",5.506,75.860001,158.58,"15.47544","25.26138","32.84738","40.81268","49.46072","59.47424","72.4463","91.25958","123.34836","248.28978","20.36841","36.83003","54.46748","81.85294","185.81907",0,2,35.12774,-6.1,5639.447041,211400.708,42.97,5237.6623,202534230.4,1060805903025.59,23490.73132,1.65,53.2,28.2,33.1,38.7,75.86,54.1,NA
"125","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,25887.041,NA,1596.3517,25381085,40517138187.5945,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","North Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9607,NA,NA,2082.658,NA,13074.2313,2118945,27703577041.9785,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Norway",51.649,2162.8799,5.1900001,"750.51936","1191.74688","1429.66368","1615.67136","1810.33056","2024.45568","2286.16416","2617.0848","3090.75552","4814.57088","971.13312","1522.66752","1917.39312","2451.62448","3952.6632",0,4,27.55783,-5.331291,64004.08444,5465.63,25.9,84580.1362,5312583.016,449338995067.087,NA,35.12,NA,NA,NA,NA,2000.46,1811.78,7.662
"128","Oman",235.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,36854.53292,5223.375,NA,36477.6365,4725038.262,172358228169.828,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Pakistan",30.599,150.3,193.2,"58.4667","74.6991","86.1219","97.5447","110.0196","124.4484","142.0335","166.6827","208.7667","434.367","66.5829","91.8333","117.234","154.3581","321.56685",0,2,31.60009,NA,4590.146529,225199.937,29.59,5510.3967,219964290.6,1212090501040.08,1281.683703,2.05,44.2,31.5,37.3,31.3,134.53,109.85,NA
"130","Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,14078.19041,18.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Panama",614.17,747.06,4.0999999,"82.1766","174.81204","260.72394","347.3829","443.00658","549.83616","682.81284","881.5308","1230.40782","2817.16326","128.49432","304.05342","496.42137","782.17182","2023.78554",0,3,49.83834,NA,19934.0278,4381.579,51.67,22637.1482,3800644,86035741483.4408,21.13788,6.96,NA,NA,NA,NA,630.31,404.19,22.666
"132","Papua New Guinea",0.782,96.879997,7.1100001,"18.11656","31.0016","42.72408","54.05904","66.45968","80.50728","96.78312","120.6156","158.30192","300.328","24.55908","48.39156","73.48348","108.69936","229.31496",0,2,41.85079,NA,2723.493095,9119.01,43.88,NA,NA,NA,604.282612,1.92,NA,NA,NA,NA,97.63,70.33,NA
"133","Paraguay",186.049,520.39001,6.8099999,"88.98669","149.35193","200.35015","248.74642","302.86698","369.4769","458.98398","572.94939","771.73837","2039.9288","119.16931","224.548285","336.17194","515.966685","1405.833585",0,3,45.65064,NA,8501.629171,7219.638,48.3,9338.9484,7098536.379,66292864959.0038,39.0364215,6.32,NA,NA,NA,NA,570.91,350.58,21.394
"134","Peru",1038.977,401.73999,32.169998,"66.68884","123.33418","171.94472","218.9483","269.96928","328.22158","398.92782","493.73846","647.60488","1298.02194","95.01151","195.44651","299.09543","446.33314","972.81341",0,3,41.5109,-30.2358063,11437.70538,33359.418,44.73,12310.0847,31382084.41,386316117149.65,199.282773,5.52,10.5,20.6,24,55.4,424.12,309.29,24.442
"135","Philippines",64.363,227.03,101.72,"52.44393","76.73614","95.57963","115.10421","138.71533","167.32111","206.37027","263.12777","364.83721","790.29143","64.590035","105.34192","153.01822","234.74902","577.56432",1,2,37.81171,-16.5,6648.550529,111046.913,43.04,8139.1395,112105641,912443450835.92,1596.889162,2.44,11,16.3,56.3,27.4,174.02,119.18,NA
"136","Poland",121.94,543.27002,37.970001,"193.40412","268.37538","322.15911","373.76976","427.55349","487.31319","559.5681","656.27016","806.75595","1337.53074","230.88975","347.964435","457.43334","607.91913","1072.143345",0,4,30.23947,-7.9,23975.8319,37797.005,32.39,27455.237,38370798.14,1053479356812.86,0,8,NA,NA,NA,NA,508.95,426.19,10.587
"137","Portugal",232.526,816.5,10.36,"195.96","351.095","449.075","531.5415","618.0905","714.4375","831.197","991.231","1254.144","2229.045","273.5275","490.30825","666.264","911.214","1741.5945",0,4,33.49256,-16.3,26184.09946,10167.925,36.04,27035.6002,10221470.42,276343587731.246,NA,12.81,NA,NA,NA,NA,763.76,614.06,NA
"138","Qatar",79.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,134182.4147,2930.528,NA,153764.1643,2605609.691,400649396628.596,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Romania",341.725,305.64999,19.700001,"106.3662","154.35325","191.03125","224.04145","255.5234","290.06185","329.18505","376.86645","450.83375","678.23735","130.359725","207.53635","272.792625","353.02575","564.53555",0,3,35.7615,-10.5,19098.15424,19127.774,27.33,20126.2922,19190643.38,386236496171.876,0,5.24,NA,NA,NA,NA,266.57,238.08,8.465
"140","Russia",182.198,680.21002,144.10001,"189.09838","280.92673","346.22689","409.48642","476.147","556.41178","660.48391","802.6478","1061.1276","2019.54349","235.012555","377.856655","516.27939","731.565855","1540.335545",0,3,37.47301,NA,23292.91145,145912.025,41.59,24668.9079,146476307.5,3613410539249.58,9.9524185,8.3,NA,NA,NA,NA,786.43,563.54,12.506
"141","Rwanda",2.702,78.540001,12.21,"19.16376","28.19586","35.10738","41.86182","49.00896","57.49128","69.03666","86.31546","119.30226","279.83802","23.67981","38.4846","53.25012","77.67606","199.57014",0,1,43.71005,NA,1584.205133,13276.513,51.34,1929.2851,11915770.15,22988917805.4198,1826.482046,1.46,53.8,21,24.9,54.1,82.57,48.4,NA
